"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CDK4","CDK4",3,1.34973096057671e-06,26,"0.000493247106093203",0.00411263023687724,1,2.68662909028251e-29
"ACTB","ACTB",4,0.00013054087685849,25,"0.119836328546177",0.397627510910961,0.476652326422076,0.523347673577924
"CHRNA5","CHRNA5",2,0.00017136107132779,27,"0.877745506311129",0.521794462193121,1,2.99681214959404e-26
"TTC8","TTC8",4,0.000336301787110041,25,"0.906389976193088",1,1,6.78288863339541e-23
"CIT","CIT",2,0.000364086287397393,27,"0.231849817491885",1,1,1.7171643714691e-28
"PROCR","PROCR",2,0.00189111819406013,27,"0.607547136387498",1,0.0393738758466113,0.960626124153389
"RABL5","RABL5",2,0.00212465566578492,27,"0.0264568970351149",1,NA,NA
"PUF60","PUF60",2,0.00255342557836935,27,"0.0380118121366728",1,1,3.72772270904601e-48
"CACNA1E","CACNA1E",2,0.00313855063382535,27,"0.00580047338437954",1,0.999999999998544,1.45558353108033e-12
"UBL7","UBL7",2,0.00323877743648379,27,"0.0196825831585922",1,0.526239968072024,0.473760031927976
"NPY1R","NPY1R",2,0.00325774533416509,27,"0.152595874260334",1,0.121349869190828,0.878650130809172
"XPR1","XPR1",2,0.00392864893169025,27,"0.675924730362657",1,1,7.06211319867177e-79
"KLHL35","KLHL35",3,0.00401254861016074,26,"0.564769704029604",1,1,4.81993091933005e-25
"EGFR","EGFR",8,0.00453849386528038,21,"0.437590904758454",1,0.999997029562174,2.9704378263612e-06
"VPS4A","VPS4A",4,0.00509924790699949,25,"0.524679425583357",1,0.997866042314526,0.00213395768547396
"PFKP","PFKP",2,0.00542603277439883,27,"0.190214842012761",1,1,8.47231113570996e-70
"FABP9","FABP9",3,0.00705112574907812,26,"0.327990906485408",1,0.996666321619707,0.00333367838029292
"ALG10","ALG10",5,0.00749644850448251,24,"0.0304698494488518",1,1,1.50212579808752e-28
"VPS28","VPS28",2,0.00769041783970192,27,"0.359382901996548",1,0.999999951095316,4.89046835718471e-08
"TMED10","TMED10",2,0.00787637088430856,27,"0.0977502678695178",1,1,1.9060253628305e-21
"MCOLN2","MCOLN2",2,0.00812443031845977,27,"0.146295968651818",1,0.864980147662503,0.135019852337497
"ALDH3B1","ALDH3B1",6,0.00817683932927103,23,"0.835113220371573",1,2.15249881857528e-11,0.999999999978475
"TRPS1","TRPS1",2,0.00822473093885698,27,"0.182088029719295",1,0.999999999999981,1.91183472778413e-14
"RAPGEF3","RAPGEF3",2,0.00864239687256122,27,"0.00749886795074492",1,1.52245793173799e-11,0.999999999984775
"CORO2B","CORO2B",2,0.00913390990194528,27,"0.297306940628072",1,1.73661685301639e-16,1
"MCM10","MCM10",2,0.00946553881945644,27,"0.0941708905141713",1,1,3.05393421378679e-70
"C3orf43","C3orf43",2,0.0098030811639047,27,"0.0271469226085345",1,NA,NA
"ETV1","ETV1",6,0.0104437333138401,23,"0.937259939066576",1,9.13944723834755e-23,1
"VSIG8","VSIG8",2,0.0111420143919959,27,"0.995259942667215",1,0.999119526931055,0.000880473068945359
"BCAR1","BCAR1",2,0.0113419725898631,27,"0.0489458699937294",1,0.991773663555338,0.00822633644466217
"TLE3","TLE3",2,0.0124549525050922,27,"0.340347284787284",1,0.999999999999904,9.61307113514675e-14
"REG4","REG4",3,0.0126257031704039,26,"0.517704118874923",1,0.985491982622889,0.0145080173771109
"KIF5A","KIF5A",3,0.013924828991589,26,"0.246347825323982",1,1,1.92542850605274e-18
"CDK6","CDK6",3,0.0148125741718983,26,"0.198773522922654",1,0.719283017288853,0.280716982711147
"BNC1","BNC1",2,0.0148912605158504,27,"0.00104959191028419",1,0.416718709788036,0.583281290211964
"LRRN3","LRRN3",2,0.0168180290712616,27,"0.0386823699238678",1,2.17286446861401e-19,1
"WASL","WASL",2,0.0169766547914881,27,"0.869325589964914",1,0.999999999996116,3.88402915018335e-12
"TMEM207","TMEM207",2,0.0172087122483611,27,"0.746972568820245",1,0.993511948581707,0.00648805141829317
"BTBD8","BTBD8",3,0.0179923875221304,26,"0.499128323275074",1,NA,NA
"NTSR1","NTSR1",6,0.0200897122739948,23,"0.238810845383278",1,0.998967329263888,0.00103267073611244
"LRP5","LRP5",6,0.0206565213947377,23,"0.0398368074252314",1,0.999999997169911,2.83008939976013e-09
"TRIO","TRIO",7,0.0225599248575899,22,"0.210844783175448",1,1,1.06508683686297e-27
"CBLN1","CBLN1",2,0.0230144559412321,27,"0.917913423200102",1,0.94629395820212,0.05370604179788
"MCL1","MCL1",4,0.0230653249049834,25,"0.836575609559918",1,3.5218621307713e-06,0.999996478137869
"RTN4R","RTN4R",3,0.0237868311791618,26,"0.0417707368942302",1,0.999999999999688,3.11650493629394e-13
"THRA","THRA",2,0.0246933034562646,27,"0.0983201373080103",1,5.69972082503001e-20,1
"AKR1B1","AKR1B1",3,0.0273112836459105,26,"0.00119302483704592",1,0.999560255762768,0.000439744237231779
"SERPINE1","SERPINE1",2,0.0274508931746263,27,"0.926762680537925",1,0.109478331733869,0.890521668266131
"CLCN1","CLCN1",2,0.0278012284119462,27,"0.419603613021363",1,0.999877543491335,0.000122456508664936
"HOXA3","HOXA3",2,0.029148973145333,27,"0.795853386501591",1,0.999922003777521,7.79962224785521e-05
"MTSS1L","MTSS1L",2,0.0296053101180278,27,"0.00673527819153234",1,0.998264898134799,0.00173510186520089
"DKK4","DKK4",3,0.0308736637921972,26,"0.430179640494438",1,0.866121948837154,0.133878051162846
"PARD6A","PARD6A",3,0.0316706410109055,26,"0.83849708001424",1,0.999906618961838,9.3381038161604e-05
"TBX1","TBX1",2,0.0339740012650974,27,"0.156100128748021",1,0.999999995713861,4.28613890845959e-09
"FUBP1","FUBP1",3,0.034198175656895,26,"4.35848005970302e-05",1,1,1.53527198807612e-45
"TSHR","TSHR",4,0.0344155428806043,25,"0.552963042556954",1,0.999996863610971,3.13638902882103e-06
"GNB1L","GNB1L",2,0.0359863851310891,27,"0.0430635732714531",1,1,4.89920792053043e-30
"MYT1","MYT1",5,0.0363712686784603,24,"0.0846607181649596",1,0.999926617076993,7.33829230066098e-05
"ANGEL1","ANGEL1",3,0.0369141331347084,26,"0.00677523802803395",1,0.908096544886211,0.0919034551137888
"NNT","NNT",6,0.0372859963502871,23,"0.658327521449695",1,1,2.77857878975315e-22
"BMPER","BMPER",2,0.0373672874868083,27,"0.0463361893473858",1,7.57726081117334e-17,1
"GPR65","GPR65",4,0.0377592047331265,25,"0.965320317361953",1,1.24657666119231e-14,0.999999999999988
"METTL1","METTL1",2,0.0391244893814322,27,"0.705060929775945",1,1,7.42814234654212e-45
