"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"TTC8",25,4,0.000632984629958467,0.928588109668163,1.35657772667908e-22,"up"
"ETV1",23,6,0.00334978691905854,0.928588109668163,1.82788944766951e-22,"down"
"VSIG8",27,2,0.00356603597764726,0.928588109668163,0.00176094613789072,"up"
"CHRNA5",27,2,0.00433748387654099,0.928588109668163,5.99362429918808e-26,"up"
"ALDH3B1",23,6,0.00571088966695768,0.928588109668163,4.30499763715057e-11,"down"
"ACTB",25,4,0.00826054486157152,0.928588109668163,0.953304652844153,"down"
"KLHL35",26,3,0.0095456545493511,0.928588109668163,9.63986183866009e-25,"up"
"GPR65",25,4,0.0101858990799558,0.928588109668163,2.49315332238462e-14,"down"
"PROCR",27,2,0.0109522952370416,0.928588109668163,0.0787477516932226,"down"
"CCND2",28,1,0.0110029557150447,0.928588109668163,7.98355592806122e-18,"down"
"VPS4A",25,4,0.0111910747168299,0.928588109668163,0.00426791537094791,"up"
"XPR1",27,2,0.0114972848534666,0.928588109668163,1.41242263973435e-78,"up"
"CBLN1",27,2,0.0131568346044866,0.928588109668163,0.10741208359576,"up"
"WASL",27,2,0.0132839099292892,0.928588109668163,7.76805830036669e-12,"up"
"ACAP2",27,2,0.0136939850610452,0.928588109668163,0.112412886005433,"down"
"SERPINE1",27,2,0.014184318178863,0.928588109668163,0.218956663467738,"down"
"MCL1",25,4,0.0143275094731123,0.928588109668163,7.0437242615426e-06,"down"
"GLI3",27,2,0.0155079101786498,0.928588109668163,0.46030800048979,"down"
"RAB30",26,3,0.0173293616708618,0.928588109668163,0.493833033835124,"down"
"CIT",27,2,0.0176691949650499,0.928588109668163,3.4343287429382e-28,"up"
"TMEM207",27,2,0.0179061753997928,0.928588109668163,0.0129761028365863,"up"
"PLEKHH1",28,1,0.0182616878741837,0.928588109668163,1.13599406634044e-07,"up"
"BMP2",28,1,0.0185127940746227,0.928588109668163,1.952991732414e-12,"down"
"EGFR",21,8,0.01854112210899,0.928588109668163,5.94087565272241e-06,"up"
"NPAS4",24,5,0.0191018444075873,0.928588109668163,0.070473040204203,"down"
"PARD6A",26,3,0.0196566038530492,0.928588109668163,0.000186762076323208,"up"
"REG4",26,3,0.0204674329526396,0.928588109668163,0.0290160347542217,"up"
"FIGNL2",27,2,0.020535360077284,0.928588109668163,8.66438091786302e-16,"up"
"CABP2",22,7,0.0208887980263678,0.928588109668163,6.04921524643511e-08,"up"
"FABP9",26,3,0.020991528918807,0.928588109668163,0.00666735676058584,"up"
"ZNF3",26,3,0.0215547409172868,0.928588109668163,1.29909574041499e-26,"up"
"MED15",27,2,0.0220975699262101,0.928588109668163,4.59650833017669e-07,"up"
"HOXA3",27,2,0.0223227547903791,0.928588109668163,0.000155992444957104,"up"
