"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"KRAS","KRAS",14,1.08755654427637e-09,15,"0.944821450136049",2.98099248786153e-06,1,2.52474284347078e-17
"TP53","TP53",16,6.94354512406456e-07,13,"0.0301328124815439",0.00190253136399369,1,4.79715210248875e-28
"WDR7","WDR7",2,2.17095547380702e-05,27,"0.0123822066974998",0.0594624704275743,8.61268879870514e-10,0.999999999138731
"CLSPN","CLSPN",2,0.00062303449334372,27,"0.282330082020618",1,1,6.50835925982594e-57
"WWP2","WWP2",2,0.000639759484697832,27,"0.507426798501394",1,1.12734001984744e-19,1
"GPR101","GPR101",3,0.00129819141371298,26,"0.570092484726297",1,0.262541184838725,0.737458815161275
"CHD8","CHD8",5,0.00146726840244282,24,"0.779467426618139",1,0.999999984839029,1.51609712192678e-08
"TNS3","TNS3",2,0.00211444099758409,27,"0.693888566235429",1,8.33405445266623e-21,1
"ATR","ATR",4,0.00237211787815839,25,"0.571145777212703",1,1,3.70620822916359e-28
"PRDM14","PRDM14",2,0.00274176620011397,27,"0.306478484120597",1,0.999732666628331,0.000267333371669316
"UBQLN2","UBQLN2",2,0.00475366472712592,27,"0.0562244418070418",1,0.999995633656747,4.36634325324774e-06
"FBXW7","FBXW7",2,0.00599593725064249,27,"0.0351755638782144",1,0.999999999999865,1.35151051970746e-13
"CTAG2","CTAG2",2,0.00704310346661269,27,"0.390022850795602",1,0.99999974882381,2.51176190190156e-07
"SIGLEC1","SIGLEC1",3,0.00740450544384846,26,"0.625037911567034",1,1.53127952461097e-14,0.999999999999985
"MAP1B","MAP1B",2,0.0074204307176959,27,"0.945129894982334",1,0.999999999950615,4.93850876795132e-11
"SUPV3L1","SUPV3L1",3,0.00786642532180759,26,"0.691044418841422",1,1,2.58532668424802e-47
"NFASC","NFASC",5,0.00851466109575154,24,"0.0210787917786244",1,5.81288785373426e-12,0.999999999994187
"PHOX2B","PHOX2B",2,0.00934718716718341,27,"0.928783690881793",1,0.999843381531132,0.000156618468868248
"BIRC7","BIRC7",2,0.00973728888181557,27,"0.0660183739487339",1,0.488908170412014,0.511091829587986
"ATP10A","ATP10A",4,0.0104527842473904,25,"0.109696852990368",1,2.76953777082928e-14,0.999999999999972
"GPR85","GPR85",3,0.0117346568950319,26,"0.932785830461192",1,2.61184349464936e-08,0.999999973881565
"ADRA1A","ADRA1A",2,0.0119403918981542,27,"0.380685235559549",1,3.93001860845269e-14,0.999999999999961
"THBS2","THBS2",4,0.0121457060832687,25,"0.102189477280559",1,1,2.72369391526082e-49
"BTD","BTD",2,0.0125169327458699,27,"0.140569593799183",1,6.51681689170412e-23,1
"DPP10","DPP10",3,0.0125906253030053,26,"0.432483553570483",1,0.999999999999999,1.28514604595418e-15
"PDZRN4","PDZRN4",3,0.0126678825374744,26,"0.705238717972727",1,0.00337262995686141,0.996627370043139
"DCAF13","DCAF13",2,0.012716303289226,27,"0.474272917638557",1,1,2.25695089873663e-94
"KIF17","KIF17",4,0.013178083371761,25,"0.683630922893384",1,2.31259124188195e-21,1
"UBR5","UBR5",5,0.0133070352903098,24,"0.0255595487641678",1,1,3.98460244160238e-22
"ITGAX","ITGAX",2,0.0139718208151179,27,"0.737959470639625",1,0.000173767595448731,0.999826232404551
"COL21A1","COL21A1",4,0.014274916417632,25,"0.934801942353758",1,0.420006182074073,0.579993817925927
"ANKRD17","ANKRD17",4,0.0143276805613011,25,"0.185497246439487",1,0.999992592744097,7.40725590338537e-06
"PARP10","PARP10",2,0.0151086482434643,27,"0.874946360081419",1,0.999999999999696,3.04336493056488e-13
"RASA2","RASA2",2,0.017545054646967,27,"0.524686015624301",1,0.999921323366542,7.86766334579057e-05
"KIF1A","KIF1A",3,0.0181529266944215,26,"0.00459632141667469",1,0.999999999999928,7.17489327887475e-14
"EVC","EVC",2,0.0184980950232733,27,"0.00260760356353653",1,6.86501819234115e-08,0.999999931349818
"COBLL1","COBLL1",2,0.0189687848516599,27,"0.743464503867792",1,3.38421758946542e-14,0.999999999999966
"AKAP13","AKAP13",3,0.0197637773221193,26,"0.0265160881865371",1,9.95887043277323e-14,0.9999999999999
"RAB33A","RAB33A",2,0.0221971936895576,27,"0.48237650201784",1,0.999998258702607,1.74129739313689e-06
"ERBB4","ERBB4",3,0.0225554585756893,26,"0.00309789067524509",1,1.04791586093163e-16,1
"NPC1","NPC1",2,0.0237780173690451,27,"0.0639304432859856",1,5.58844049944213e-05,0.999944115595006
"TANC2","TANC2",5,0.0245777237498682,24,"0.0300668294459184",1,0.999999999973347,2.66531505522445e-11
"PTPRN2","PTPRN2",3,0.025073316547531,26,"0.213629544801931",1,0.245623450129175,0.754376549870825
"TRPM1","TRPM1",2,0.0254132125786223,27,"0.0506445403740328",1,3.62101543157451e-06,0.999996378984569
"SDHA","SDHA",2,0.0256614042685896,27,"0.932047371203259",1,1,1.43489281429814e-48
"OTUB1","OTUB1",2,0.0273407225001643,27,"0.757997144336385",1,1,1.00180652055355e-22
"SERPINA3","SERPINA3",3,0.0277007084308802,26,"0.0821813145203876",1,0.919662415587575,0.0803375844124253
"SMYD5","SMYD5",2,0.0279679520119061,27,"0.236146488768506",1,1,1.54307368318796e-88
"ABCA7","ABCA7",3,0.0295175141220846,26,"0.0276245184202759",1,1,5.53689566935933e-19
"OR2T27","OR2T27",3,0.0317484876871401,26,"0.687298686687916",1,0.951959636456699,0.0480403635433006
"DCLK3","DCLK3",2,0.0330802552240878,27,"0.233415917523356",1,0.999536032072174,0.000463967927825773
"NPY1R","NPY1R",2,0.0335459546061189,27,"0.126263776074829",1,0.121349869190828,0.878650130809172
"TG","TG",2,0.0336883353086921,27,"0.0566638290998812",1,0.223006577023597,0.776993422976403
"ANKS6","ANKS6",2,0.033871839257515,27,"0.104768914790228",1,0.998999843994228,0.00100015600577203
"DMRT3","DMRT3",2,0.0341787867860063,27,"0.207632419157083",1,0.99999983282301,1.67176989532981e-07
"BCAN","BCAN",4,0.0342798150130044,25,"0.522385193012305",1,0.999999958368365,4.16316348278376e-08
"PTPN12","PTPN12",3,0.0348158693362199,26,"0.892294920051799",1,4.33954580471322e-06,0.999995660454195
"ABCC12","ABCC12",2,0.0350871533289956,27,"0.951260582622273",1,0.999967215927125,3.27840728750594e-05
"THRSP","THRSP",2,0.0351495212268718,27,"0.633849656221959",1,0.882580109164016,0.117419890835984
"FMN2","FMN2",7,0.0352114069895346,22,"0.269572767451748",1,0.0893780830447252,0.910621916955275
"MTA1","MTA1",2,0.0372387304234931,27,"0.104920899892138",1,1,3.4575980465774e-31
"ITGAD","ITGAD",5,0.0384620705113371,24,"0.0603448472021689",1,0.558359549267622,0.441640450732378
"ATP2B2","ATP2B2",4,0.0389385153788329,25,"0.86633448019567",1,0.946601283971761,0.0533987160282391
"KAT6B","KAT6B",4,0.0393627394209603,25,"0.145118956647686",1,3.59987339140981e-08,0.999999964001266
"DSP","DSP",3,0.0411283257695194,26,"0.220439823527583",1,1,6.88364913918038e-58
"APC","APC",2,0.0436825301085777,27,"0.904300763881323",1,1.42560441927773e-11,0.999999999985744
"DGKQ","DGKQ",2,0.0440077378771555,27,"0.765750713355134",1,1,2.16184774451552e-16
"PDE1C","PDE1C",2,0.0441941123878447,27,"0.00275678187475901",1,9.40860423925878e-13,0.999999999999059
"TTC28","TTC28",4,0.0446044844232998,25,"0.619629672916874",1,3.31239331386997e-18,1
