"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"KRAS",15,14,6.25362099159043e-07,0.0017666479301243,5.04948568694155e-17,"up"
"CHD8",24,5,0.00223484260342648,0.827548828220896,3.03219424385355e-08,"up"
"GPR85",26,3,0.00554335807015532,0.827548828220896,5.22368698929873e-08,"down"
"COL21A1",25,4,0.00554842483818892,0.827548828220896,0.840012364148146,"down"
"GPR101",26,3,0.00591436908334334,0.827548828220896,0.52508236967745,"down"
"MAP1B",27,2,0.00636065445631597,0.827548828220896,9.87701753590264e-11,"up"
"ATR",25,4,0.00648279630974455,0.827548828220896,7.41241645832718e-28,"up"
"PHOX2B",27,2,0.00771339508570276,0.827548828220896,0.000313236937736496,"up"
"TNS3",27,2,0.00957125716516035,0.827548828220896,1.66681089053325e-20,"down"
"FN1",26,3,0.00976122578855393,0.827548828220896,0.636364902382126,"up"
"EED",28,1,0.0102745617486971,0.827548828220896,2.22315803915716e-50,"up"
"SUPV3L1",26,3,0.0103221375558834,0.827548828220896,5.17065336849605e-47,"up"
"WWP2",27,2,0.0111717496808091,0.827548828220896,2.25468003969487e-19,"down"
"SIGLEC1",26,3,0.0117285992589331,0.827548828220896,3.06255904922193e-14,"down"
"PARP10",27,2,0.0121543508407291,0.827548828220896,6.08672986112975e-13,"up"
"SUPT16H",28,1,0.0128215134125255,0.827548828220896,9.84232941160839e-29,"up"
"SDHA",27,2,0.0134690434029029,0.827548828220896,2.86978562859627e-48,"up"
"PDZRN4",26,3,0.0136692585524612,0.827548828220896,0.00674525991372283,"down"
"KIF17",25,4,0.0145522866857836,0.827548828220896,4.62518248376391e-21,"down"
"ABCC12",27,2,0.0152371346677773,0.827548828220896,6.55681457501188e-05,"up"
"ITGAX",27,2,0.0164242111376876,0.827548828220896,0.000347535190897462,"down"
"CLSPN",27,2,0.0166670694727988,0.827548828220896,1.30167185196519e-56,"up"
"KCNV1",25,4,0.0175889990774756,0.827548828220896,5.85001914485156e-12,"up"
