"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"PPARGC1A",28,1,0.0140500513842373,0.826077368660483,0.000935431433577511,"down"
"NCKAP1L",28,1,0.0145844190844803,0.826077368660483,2.12812089285482e-16,"down"
"PTPN13",26,3,0.0152873434141262,0.826077368660483,5.18431560215971e-08,"down"
"MARK2",28,1,0.0172857715264544,0.826077368660483,8.43695666031771e-34,"up"
"WDR36",27,2,0.0194753002025289,0.826077368660483,1.69775405851296e-22,"up"
"TP53BP1",28,1,0.0204821672834828,0.826077368660483,1.39190196621319e-08,"up"
"RANBP2",28,1,0.0230498447667804,0.826077368660483,0.275437322902366,"up"
"CLASP1",28,1,0.0240030853106898,0.826077368660483,6.88302835087267e-09,"up"
"HIF1A",28,1,0.0278334710843251,0.826077368660483,4.94842679688966e-20,"up"
"CIAO1",28,1,0.0280221547477362,0.826077368660483,7.88644737776993e-51,"up"
"CLCN3",28,1,0.0315381945059847,0.826077368660483,7.92413443083653e-08,"up"
"POLD1",28,1,0.0327540171534457,0.826077368660483,4.83172410271145e-32,"up"
"ABCB9",28,1,0.0329643259365389,0.826077368660483,8.29784358191373e-58,"up"
"RAB3C",28,1,0.034004727558349,0.826077368660483,0.0662815536769688,"up"
"TTC37",28,1,0.0346270049899786,0.826077368660483,0.327512971138884,"up"
"EIF3I",28,1,0.034738664182856,0.826077368660483,3.86196068310167e-40,"up"
"KCNH1",27,2,0.0350055719199825,0.826077368660483,0.000260377853960634,"up"
"RAPGEF5",27,2,0.0360166773556114,0.826077368660483,2.06776493690141e-10,"down"
"ART3",28,1,0.0361347820581538,0.826077368660483,0.398005975486977,"up"
"NPHS1",28,1,0.0378580290568725,0.826077368660483,0.00189623029401174,"up"
"ARHGAP42",28,1,0.0387412711150089,0.826077368660483,5.28967118897436e-08,"up"
"KIRREL2",28,1,0.039628090156415,0.826077368660483,4.61220309641605e-13,"up"
"GATA4",28,1,0.0397517536273256,0.826077368660483,0.00984916711053451,"up"
"NPSR1",28,1,0.0399281096401196,0.826077368660483,6.48463438168216e-05,"up"
"CD84",28,1,0.0400306891895541,0.826077368660483,0.767066338704395,"up"
"NR1H2",28,1,0.0405310230656275,0.826077368660483,5.76827974057564e-15,"down"
"KRT85",28,1,0.0414726721108646,0.826077368660483,0.175038888524745,"down"
"TAAR6",28,1,0.0422751556678209,0.826077368660483,0.27629388786128,"up"
"SNX31",28,1,0.0436853605045111,0.826077368660483,0.101055352810357,"up"
"PTPRN2",28,1,0.043869819272962,0.826077368660483,0.49124690025835,"down"
"MCM6",28,1,0.0441573882855179,0.826077368660483,3.47997845088523e-87,"up"
"SERPINE3",28,1,0.0455430891559396,0.826077368660483,0.337408558057281,"down"
"CD33",28,1,0.0462328483494666,0.826077368660483,2.02570167577971e-14,"down"
"RASGEF1C",28,1,0.0464006307765629,0.826077368660483,0.00284945543406976,"up"
"PDPN",27,2,0.0468187250532403,0.826077368660483,1.40227118391671e-05,"down"
"BCAN",28,1,0.0470322800354791,0.826077368660483,8.32632696556752e-08,"up"
