"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"EED","EED",-1,-1,27,"1.62926282920584e-06",0.0106651544799814,1,1.11157901957858e-50
"TP53","TP53",-1,-1,3,"1.64723245266174e-06",0.0107811364026711,1,4.79715210248875e-28
"GCLC","GCLC",-1,-1,28,"1.15978102945835e-05",0.0758960705677544,1,2.5503570273632e-25
"ARL14","ARL14",-1,-1,28,"1.72982846710079e-05",0.113182676602405,0.999990555532108,9.44446789198047e-06
"DRD3","DRD3",-1,-1,28,"2.44412662160354e-05",0.159894763585304,0.753200630699686,0.246799369300314
"HPRT1","HPRT1",-1,-1,28,"5.90359670692431e-05",0.386154260599919,1,1.08848447835904e-51
"MRGPRX1","MRGPRX1",-1,-1,24,"5.95592926523336e-05",0.389517773946262,0.984458473730565,0.0155415262694353
"DUSP23","DUSP23",-1,-1,26,"6.3216781936215e-05",0.41337453708091,1,6.3974702523134e-28
"ANGPTL4","ANGPTL4",-1,-1,29,"7.43226043027345e-05",0.485921186931278,0.99999999778828,2.2117200639985e-09
"ARID3A","ARID3A",-1,-1,27,"8.84751073499945e-05",0.578361776746914,0.999999999999992,8.14141722175388e-15
"ZBTB1","ZBTB1",-1,-1,28,"9.44270685807602e-05",0.617175320243849,0.972650523847297,0.0273494761527028
"WDR61","WDR61",-1,-1,27,"0.000116970709362785",0.7644035856858,0.95566955513371,0.0443304448662902
"ORC5","ORC5",-1,-1,26,"0.000125265193426816",0.818482773850816,1,1.31639575420242e-51
"MTG1","MTG1",-1,-1,28,"0.000136789397785275",0.893645135731202,1,3.72024373200816e-40
"FN1","FN1",-1,-1,26,"0.000145173469357163",0.948273101840989,0.681817548808937,0.318182451191063
"MST1","MST1",-1,-1,28,"0.000145686450021332",0.951478205089319,1,3.07962816667524e-19
"SAR1B","SAR1B",-1,-1,29,"0.000169870013906559",1,1,1.56447098642937e-19
"CD300LF","CD300LF",-1,-1,29,"0.00019182227172243",1,7.0875117136247e-15,0.999999999999993
"LY6D","LY6D",-1,-1,28,"0.000199886803492921",1,0.99999999998733,1.26702008194258e-11
"ANKRD20A4","ANKRD20A4",-1,-1,26,"0.000210275017971773",1,0.869945308924757,0.130054691075243
"KCNS2","KCNS2",-1,-1,27,"0.000212035365942831",1,0.993200462115903,0.00679953788409695
"XRCC4","XRCC4",-1,-1,29,"0.000220428864569744",1,1,1.06062983144671e-23
"MST1P2","MST1P2",-1,-1,26,"0.000229001776855586",1,1,2.70354489849402e-21
"MBD1","MBD1",-1,-1,27,"0.000248494336498761",1,0.998412545448358,0.00158745455164182
"KLHL26","KLHL26",-1,-1,28,"0.000288229510631899",1,0.997394520162306,0.00260547983769426
"CBX5","CBX5",-1,-1,27,"0.00033954200955999",1,0.999999999999997,2.84788070791521e-15
"BCHE","BCHE",-1,-1,24,"0.000346933630468893",1,1.11387180863358e-09,0.999999998886128
"SRSF2","SRSF2",-1,-1,29,"0.000356286406344219",1,1,1.81673998300202e-25
"SETX","SETX",-1,-1,26,"0.000358810540982968",1,1.32353663027342e-05,0.999986764633697
"GRAPL","GRAPL",-1,-1,26,"0.000362607276858773",1,9.89330969825117e-08,0.999999901066903
"COL6A6","COL6A6",-1,-1,24,"0.000373868633060326",1,5.84243608488892e-18,1
"FCN3","FCN3",-1,-1,29,"0.000377818742794189",1,1.13750919186775e-12,0.999999999998862
"LILRB3","LILRB3",-1,-1,27,"0.000387445217990057",1,2.1006111348365e-14,0.999999999999979
"LLGL1","LLGL1",-1,-1,28,"0.000388920325490094",1,1,1.3946030197325e-19
"PLXNC1","PLXNC1",-1,-1,24,"0.000392656665047619",1,0.747228314703991,0.252771685296009
"CELF2","CELF2",-1,-1,22,"0.000396371548628927",1,1.46088226345255e-26,1
"PLXNA3","PLXNA3",-1,-1,28,"0.000413631770296741",1,1,3.82844607518046e-42
"ACTR5","ACTR5",-1,-1,28,"0.000436291761491958",1,1,2.54142137651444e-68
"PCGF2","PCGF2",-1,-1,27,"0.000445054855814808",1,1,6.08579858002969e-20
"DDX55","DDX55",-1,-1,29,"0.000448573830479471",1,1,2.61844357406942e-52
"NIN","NIN",-1,-1,25,"0.0004725339804309",1,0.901148808939859,0.0988511910601408
"UGT3A1","UGT3A1",-1,-1,25,"0.000479809602841885",1,0.99958820260731,0.000411797392690088
"ANKRD20A3","ANKRD20A3",-1,-1,28,"0.000487391264669346",1,0.000858932402751865,0.999141067597248
"ANKRD20A2","ANKRD20A2",-1,-1,28,"0.000487391264669346",1,0.042479546206606,0.957520453793394
"WISP1","WISP1",-1,-1,29,"0.000497605825760417",1,1,1.78272768969696e-53
"RBFOX1","RBFOX1",-1,-1,26,"0.000500853505521537",1,0.999999544917227,4.55082773192021e-07
"PSCA","PSCA",-1,-1,28,"0.000505196821868337",1,0.99970770997704,0.000292290022960119
"KIF15","KIF15",-1,-1,25,"0.000534189503451077",1,1,1.30405200275176e-72
"ARHGEF17","ARHGEF17",-1,-1,26,"0.000564350306676897",1,8.20228282458569e-11,0.999999999917977
"FMR1","FMR1",-1,-1,28,"0.00056628056425434",1,0.999970114954519,2.98850454809535e-05
"SMAD4","SMAD4",-1,-1,27,"0.000573762323186844",1,1.07247614631638e-11,0.999999999989275
"ERCC1","ERCC1",-1,-1,28,"0.000579368093378441",1,0.999999999613492,3.86508421148522e-10
"NCOA1","NCOA1",-1,-1,27,"0.00058631386934993",1,2.7372593176482e-12,0.999999999997263
"HIST1H2BD","HIST1H2BD",-1,-1,29,"0.000604454713038494",1,1,5.31616150044002e-79
"DYRK3","DYRK3",-1,-1,29,"0.000623942716200587",1,0.000195318261956402,0.999804681738044
"TGFBR2","TGFBR2",-1,-1,28,"0.000638046379065393",1,2.05098181553639e-34,1
"PPP1R16B","PPP1R16B",-1,-1,27,"0.000661583111580821",1,3.41755229919587e-11,0.999999999965824
"MAD1L1","MAD1L1",-1,-1,21,"0.000673674359729093",1,0.999999999997494,2.50620710534728e-12
"GRID1","GRID1",-1,-1,26,"0.000679628005231137",1,6.1167144968358e-17,1
"IFNA1","IFNA1",-1,-1,21,"0.000685975941489336",1,0.139231129431981,0.860768870568019
"IFNA13","IFNA13",-1,-1,21,"0.000685975941489336",1,0.844455705949979,0.155544294050021
"CCND2","CCND2",-1,-1,27,"0.000700431971016213",1,3.99177796403061e-18,1
"DHRS7","DHRS7",-1,-1,27,"0.000707717006254605",1,0.999999567050426,4.32949573805453e-07
"ACAP3","ACAP3",-1,-1,26,"0.000716562910634044",1,1,8.94709699191465e-34
"G3BP2","G3BP2",-1,-1,29,"0.000739471331648756",1,0.999999904730486,9.52695142270529e-08
"ASCC3","ASCC3",-1,-1,27,"0.000771586329670781",1,1,5.4020104469294e-37
"FOXP3","FOXP3",-1,-1,28,"0.000783767924686707",1,1,5.66694058758436e-47
"ANKRD20A1","ANKRD20A1",-1,-1,29,"0.000792770669450271",1,0.245258817269193,0.754741182730807
"BRD8","BRD8",-1,-1,29,"0.000869174837089148",1,0.999999999999999,1.04881251630677e-15
"TBC1D10C","TBC1D10C",-1,-1,22,"0.000913580764792421",1,1.80924569048286e-06,0.99999819075431
"MYSM1","MYSM1",-1,-1,26,"0.000965735618242092",1,0.999999965647479,3.43525208854635e-08
"NPAS4","NPAS4",-1,-1,24,"0.000973247895472262",1,0.0352365201021015,0.964763479897899
"DOCK11","DOCK11",-1,-1,26,"0.000981939108856689",1,2.28005067832145e-28,1
"HSPB1","HSPB1",-1,-1,28,"0.000985381838138233",1,1,2.45212726598588e-38
"PRKAR2A","PRKAR2A",-1,-1,28,"0.0010452624530003",1,0.314567400708861,0.685432599291139
"SETD6","SETD6",-1,-1,26,"0.00105124637366805",1,1,5.34241435096396e-47
"EAF1","EAF1",-1,-1,28,"0.00124505881692005",1,0.0250681948094136,0.974931805190586
"SMYD1","SMYD1",-1,-1,26,"0.0012667662056417",1,0.998265909051116,0.00173409094888372
"LDLRAD4","LDLRAD4",-1,-1,29,"0.00127594919315288",1,9.96735148820496e-07,0.999999003264851
"BOLL","BOLL",-1,-1,28,"0.00128749754697599",1,0.999999567260493,4.32739507380986e-07
"GJA10","GJA10",-1,-1,29,"0.00128754463997527",1,0.999816335125619,0.000183664874381377
"MDM4","MDM4",-1,-1,29,"0.00130184305087777",1,0.999999998603059,1.39694120597128e-09
"ZSCAN16","ZSCAN16",-1,-1,28,"0.00130867742298968",1,1,1.39019082035145e-54
"CPB2","CPB2",-1,-1,27,"0.00131166768368252",1,2.05030568595998e-14,0.99999999999998
"RASA1","RASA1",-1,-1,28,"0.00134597824950067",1,0.999999850064209,1.4993579111739e-07
"LRRTM4","LRRTM4",-1,-1,25,"0.00134805559408535",1,9.10903984503858e-11,0.99999999990891
"CREBL2","CREBL2",-1,-1,28,"0.0013747908816133",1,7.84740701126566e-28,1
"MARCH5","MARCH5",-1,-1,29,"0.00138535695452136",1,1,5.06302883592073e-42
"PARP8","PARP8",-1,-1,24,"0.00143408946144852",1,0.999999891645108,1.08354891642894e-07
