"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ATP6V1B2","ATP6V1B2",-1,-1,27,"1.47330980535559e-06",0.00964428598585769,2.56309358948104e-11,0.999999999974369
"RAB5B","RAB5B",-1,-1,28,"6.00002259962884e-06",0.0392701479145708,6.61021429327803e-13,0.999999999999339
"RAB7A","RAB7A",-1,-1,29,"9.03147218329479e-06",0.0591019539674811,1.17810263188595e-07,0.999999882189737
"PPARGC1A","PPARGC1A",-1,-1,27,"9.18684448832366e-06",0.0601095234871017,0.000467715716788756,0.999532284283211
"PRKAA1","PRKAA1",-1,-1,23,"4.39558509554634e-05",0.287559176950642,0.999999999999999,9.86424347750323e-16
"FUBP1","FUBP1",-1,-1,26,"4.39775574156395e-05",0.287657203055698,1,1.53527198807612e-45
"UBE2Z","UBE2Z",-1,-1,27,"4.66757611062045e-05",0.305259477634577,1,6.37631865358396e-54
"WDR49","WDR49",-1,-1,25,"6.00542209579395e-05",0.392694550843966,0.00204340023859429,0.997956599761406
"NFE2L2","NFE2L2",-1,-1,26,"7.13792547495175e-05",0.466677567552345,6.45434620393012e-12,0.999999999993546
"CDK1","CDK1",-1,-1,27,"7.80953102334112e-05",0.510509042995809,1,1.09228898892156e-74
"RNGTT","RNGTT",-1,-1,28,"9.71806790050105e-05",0.635172917976749,0.999999956455418,4.35445819955263e-08
"PI4KAP2","PI4KAP2",-1,-1,28,"0.000105888446629009",0.691980998720574,0.999999800594532,1.99405468309758e-07
"STAT3","STAT3",-1,-1,29,"0.000108437098520076",0.708528001730177,0.00118179268730797,0.998818207312692
"AHCTF1","AHCTF1",-1,-1,25,"0.000134908762997702",0.881358948663987,1,1.36190181361501e-31
"PTPRD","PTPRD",-1,-1,17,"0.000138251678086524",0.903059961261175,3.29721857465472e-12,0.999999999996703
"CDC23","CDC23",-1,-1,29,"0.000172921385217371",1,1,2.32529805742424e-16
"ATN1","ATN1",-1,-1,28,"0.00020036025569839",1,4.37544466177137e-05,0.999956245553382
"MYO3A","MYO3A",-1,-1,27,"0.000200619609625261",1,0.99999940345521,5.96544789650537e-07
"SERPINI1","SERPINI1",-1,-1,25,"0.000242634585323584",1,0.998308258053128,0.00169174194687173
"SHH","SHH",-1,-1,25,"0.000289248728236308",1,0.037059041210774,0.962940958789226
"TLE6","TLE6",-1,-1,29,"0.000332466200610127",1,1,4.8531202817304e-25
"MARK3","MARK3",-1,-1,25,"0.000369863908969641",1,0.184898340578232,0.815101659421768
"TBC1D8B","TBC1D8B",-1,-1,29,"0.000381845213181521",1,0.999999999999998,1.54585117315177e-15
"HEATR6","HEATR6",-1,-1,28,"0.000408251194639848",1,1,3.03530607290106e-29
"PROM1","PROM1",-1,-1,28,"0.000430482407689279",1,0.999999997562517,2.4374826306974e-09
"RAD23A","RAD23A",-1,-1,29,"0.000450563908307987",1,0.995639091028689,0.00436090897131081
"FOXA1","FOXA1",-1,-1,26,"0.000464008513103295",1,1,3.61560962962084e-38
"AANAT","AANAT",-1,-1,29,"0.000474961974186418",1,0.999999999995204,4.79569201475663e-12
"CDK4","CDK4",-1,-1,26,"0.000495180572156165",1,1,2.68662909028251e-29
"GTF2F1","GTF2F1",-1,-1,28,"0.00052247055232911",1,0.94269538377157,0.0573046162284301
"FAM58BP","FAM58BP",-1,-1,29,"0.000533121527442888",1,0.799284968405988,0.200715031594012
"BNC1","BNC1",-1,-1,26,"0.00056073554860326",1,0.416718709788036,0.583281290211964
"PGC","PGC",-1,-1,27,"0.000588816111101268",1,0.999927975691489,7.20243085112498e-05
"KIDINS220","KIDINS220",-1,-1,27,"0.000596610039533869",1,7.09852663915875e-06,0.999992901473361
"GTPBP6","GTPBP6",-1,-1,28,"0.000596982287458637",1,0.896478252731392,0.103521747268608
"RNF112","RNF112",-1,-1,25,"0.000667422123688331",1,2.37956910274077e-06,0.999997620430897
"PI4KAP1","PI4KAP1",-1,-1,26,"0.000686682439429036",1,0.999821111480024,0.000178888519976289
"MMP2","MMP2",-1,-1,25,"0.000758376915617489",1,0.999984681543583,1.5318456417084e-05
"ZRSR2","ZRSR2",-1,-1,29,"0.000846032571300966",1,0.00163348936040425,0.998366510639596
"ATP1A1","ATP1A1",-1,-1,24,"0.000856274866367015",1,0.002094642634707,0.997905357365293
"WDR18","WDR18",-1,-1,28,"0.000872062514973501",1,0.999999999988527,1.14729973113451e-11
"SIM1","SIM1",-1,-1,29,"0.000913866771839564",1,0.999999749542275,2.50457725274781e-07
"PLOD2","PLOD2",-1,-1,28,"0.000976147094189877",1,1,3.62979086061711e-40
"NCKAP1L","NCKAP1L",-1,-1,25,"0.000981151928833049",1,1.06406044642741e-16,1
"MYLK4","MYLK4",-1,-1,28,"0.00103614334489021",1,0.871912167097209,0.128087832902791
"KLF12","KLF12",-1,-1,28,"0.00107811743826077",1,0.00402389903084241,0.995976100969158
"UBL5","UBL5",-1,-1,29,"0.0011600348693055",1,0.99896322983757,0.00103677016242953
"TTF1","TTF1",-1,-1,27,"0.00118506828083607",1,0.99893318711535,0.00106681288464995
"CCNA2","CCNA2",-1,-1,29,"0.00119674182226002",1,1,1.7965197606624e-76
"TEAD1","TEAD1",-1,-1,29,"0.00120854834768319",1,0.000123182324760913,0.999876817675239
"DDX39B","DDX39B",-1,-1,28,"0.00121500228789715",1,1,1.83630207343779e-17
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",-1,-1,28,"0.00121500228789715",1,0.999642498700862,0.000357501299138172
"AKR1B1","AKR1B1",-1,-1,26,"0.00122434626751885",1,0.999560255762768,0.000439744237231779
"WDR26","WDR26",-1,-1,27,"0.00126411418808387",1,0.999999999999997,3.07066576073722e-15
"HSP90B1","HSP90B1",-1,-1,29,"0.0013126177728045",1,1,3.5384159510726e-79
"EMP1","EMP1",-1,-1,29,"0.00134294093200406",1,0.000137843505000525,0.999862156494999
"NTN4","NTN4",-1,-1,28,"0.00136375551905595",1,3.5139434891277e-25,1
"SLC37A3","SLC37A3",-1,-1,27,"0.00139293893627594",1,1,8.01125407019506e-58
"CASP8AP2","CASP8AP2",-1,-1,29,"0.00141541653570926",1,0.999943662023337,5.63379766625776e-05
"SCN4B","SCN4B",-1,-1,28,"0.00143054469032689",1,1.6995126514624e-17,1
"MCMBP","MCMBP",-1,-1,27,"0.0014321021376082",1,0.999791360655186,0.000208639344813626
"HBZ","HBZ",-1,-1,27,"0.00148498388755171",1,3.8974570213172e-06,0.999996102542979
"MTNR1B","MTNR1B",-1,-1,28,"0.00157409825506788",1,0.998251856524826,0.00174814347517389
"CACNA1E","CACNA1E",-1,-1,19,"0.00163149874751502",1,0.999999999998544,1.45558353108033e-12
"PKP2","PKP2",-1,-1,24,"0.0016328077772846",1,0.999999999999989,1.05430227601497e-14
"LHX3","LHX3",-1,-1,28,"0.00166713494955142",1,0.999891443703602,0.000108556296398159
"KIF26A","KIF26A",-1,-1,21,"0.00174524548707429",1,9.52937933736979e-14,0.999999999999905
"PROKR2","PROKR2",-1,-1,25,"0.00178723950570826",1,0.941883869189999,0.0581161308100013
"CLCNKA","CLCNKA",-1,-1,27,"0.00180095138450092",1,0.999412335049398,0.000587664950601615
"SPAG16","SPAG16",-1,-1,27,"0.00182676169177899",1,0.996046554984518,0.00395344501548187
"FOXI1","FOXI1",-1,-1,29,"0.00184802075105542",1,0.966642418790811,0.0333575812091885
"MTNR1A","MTNR1A",-1,-1,25,"0.00187980318546842",1,1,1.69903193889918e-29
"PDAP1","PDAP1",-1,-1,26,"0.0019179480387936",1,1,2.13307632780859e-34
"ACTG1","ACTG1",-1,-1,26,"0.00210307970309835",1,1,1.16153035414027e-21
"RAB17","RAB17",-1,-1,28,"0.00214683235654978",1,3.34723538013446e-05,0.999966527646199
"FNDC3B","FNDC3B",-1,-1,27,"0.00216297437688154",1,1,2.13804190375496e-21
"SLC38A10","SLC38A10",-1,-1,27,"0.00225276371658488",1,1,9.59871805539546e-26
"GRB2","GRB2",-1,-1,29,"0.00226667840365275",1,0.000856532004865921,0.999143467995134
"IQGAP3","IQGAP3",-1,-1,22,"0.00250171385737283",1,1,9.80811134954332e-87
"POU4F2","POU4F2",-1,-1,28,"0.00252222047472348",1,0.956899791002166,0.043100208997834
"PPP1R10","PPP1R10",-1,-1,29,"0.00259222838503851",1,0.0365372953860832,0.963462704613917
"CYP2C18","CYP2C18",-1,-1,27,"0.00272489548709612",1,0.999999999959453,4.05471906539595e-11
"HOXD4","HOXD4",-1,-1,27,"0.00272818205367306",1,1,7.26000140864042e-33
"CDC7","CDC7",-1,-1,25,"0.00279907721520644",1,1,2.50061952711752e-38
"CA2","CA2",-1,-1,26,"0.00280147541065799",1,1.86476286288286e-06,0.999998135237137
