"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"ATP6V1B2",27,2,1.47330980535559e-06,0.00964428598585769,5.12618717896208e-11,"down"
"RAB5B",28,1,6.00002259962884e-06,0.0150342710051417,1.32204285865561e-12,"down"
"RAB7A",29,0,9.03147218329479e-06,0.0150342710051417,2.35620526377191e-07,"down"
"PPARGC1A",27,2,9.18684448832366e-06,0.0150342710051417,0.000935431433577511,"down"
"PRKAA1",23,6,4.39558509554634e-05,0.0436485046001735,1.97284869550065e-15,"up"
"FUBP1",26,3,4.39775574156395e-05,0.0436485046001735,3.07054397615225e-45,"up"
"UBE2Z",27,2,4.66757611062045e-05,0.0436485046001735,1.27526373071679e-53,"up"
"WDR49",25,4,6.00542209579395e-05,0.049139366298834,0.00408680047718857,"down"
"NFE2L2",26,3,7.13792547495175e-05,0.051121190078791,1.29086924078602e-11,"down"
"CDK1",27,2,7.80953102334112e-05,0.051121190078791,2.18457797784313e-74,"up"
"RNGTT",28,1,9.71806790050105e-05,0.0546022497624937,8.70891639910527e-08,"up"
"PI4KAP2",28,1,0.000105888446629009,0.0546022497624937,3.98810936619517e-07,"up"
"STAT3",29,0,0.000108437098520076,0.0546022497624937,0.00236358537461594,"down"
"AHCTF1",25,4,0.000134908762997702,0.0603330323169591,2.72380362723002e-31,"up"
"PTPRD",17,12,0.000138251678086524,0.0603330323169591,6.59443714930943e-12,"down"
"CDC23",29,0,0.000172921385217371,0.0707464617270569,4.65059611484847e-16,"up"
"ATN1",28,1,0.00020036025569839,0.0729586647003866,8.75088932354275e-05,"down"
"MYO3A",27,2,0.000200619609625261,0.0729586647003866,1.19308957930107e-06,"up"
"SERPINI1",25,4,0.000242634585323584,0.0835939997646411,0.00338348389374345,"up"
"SHH",25,4,0.000289248728236308,0.0946711087517436,0.0741180824215479,"down"
"TLE6",29,0,0.000332466200610127,0.103634464247328,9.70624056346081e-25,"up"
"MARK3",25,4,0.000369863908969641,0.108676468064619,0.369796681156464,"down"
"TBC1D8B",29,0,0.000381845213181521,0.108676468064619,3.09170234630354e-15,"up"
"HEATR6",28,1,0.000408251194639848,0.111039324393725,6.07061214580212e-29,"up"
"PROM1",28,1,0.000430482407689279,0.111039324393725,4.8749652613948e-09,"up"
"RAD23A",29,0,0.000450563908307987,0.111039324393725,0.00872181794262162,"up"
"FOXA1",26,3,0.000464008513103295,0.111039324393725,7.23121925924168e-38,"up"
"AANAT",29,0,0.000474961974186418,0.111039324393725,9.59138402951327e-12,"up"
"CDK4",26,3,0.000495180572156165,0.11165274439155,5.37325818056501e-29,"up"
"GTF2F1",28,1,0.00052247055232911,0.11165274439155,0.11460923245686,"up"
"FAM58BP",29,0,0.000533121527442888,0.11165274439155,0.401430063188024,"up"
"BNC1",26,3,0.00056073554860326,0.11165274439155,0.833437419576072,"down"
"PGC",27,2,0.000588816111101268,0.11165274439155,0.0001440486170225,"up"
"KIDINS220",27,2,0.000596610039533869,0.11165274439155,1.41970532783175e-05,"down"
