"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"WDR36","WDR36",2,0.00124733066409743,27,"0.245630231788439",1,1,8.48877029256478e-23
"PTPN13","PTPN13",3,0.00345792435175296,26,"0.311996384115947",1,2.59215780107985e-08,0.999999974078422
"IQCA1","IQCA1",2,0.0111232077590863,27,"0.0466116918370026",1,2.67172656629061e-06,0.999997328273434
"ZCWPW2","ZCWPW2",2,0.0137830272356737,27,"0.001534157788742",1,3.04567360313327e-08,0.999999969543264
"SMARCA4","SMARCA4",8,0.0200675744004374,21,"0.268550924726628",1,1,1.3096110031565e-19
"GRB14","GRB14",4,0.0209190110959813,25,"0.0198838084788961",1,1,1.21531111469002e-22
"MAP4K3","MAP4K3",2,0.0259322826694557,27,"0.00787558211382555",1,1,2.44899120722007e-18
"RAPGEF5","RAPGEF5",2,0.0304061578018751,27,"0.527683682923785",1,1.03388246845071e-10,0.999999999896612
"PUS7L","PUS7L",4,0.0348270601487086,25,"0.00779946735218673",1,1,1.17636891102143e-38
"FRYL","FRYL",2,0.0407041947795665,27,"0.249959627924012",1,0.00120155836283075,0.998798441637169
"KCNH1","KCNH1",2,0.0523283834838651,27,"0.791270803766344",1,0.99986981107302,0.000130188926980317
"PRDM2","PRDM2",2,0.054172634200784,27,"0.0447555069490004",1,0.00964006431144042,0.99035993568856
"KCNJ12","KCNJ12",2,0.0556659341550629,27,"0.633928642046671",1,0.0221024581192067,0.977897541880793
"ZFPM2","ZFPM2",2,0.0616274805942005,27,"0.0463907696475905",1,5.00846712539852e-06,0.999994991532875
"DNMT3A","DNMT3A",2,0.0659643206553762,27,"0.168259179901262",1,1,1.78824791744583e-33
"LRRC7","LRRC7",2,0.0676672759218979,27,"0.011951166853042",1,0.999406860917914,0.000593139082085672
"COL4A1","COL4A1",2,0.0697337655747261,27,"0.338439899921742",1,0.928518582000338,0.0714814179996618
"PKHD1L1","PKHD1L1",3,0.0758540806258238,26,"0.0999778929811523",1,0.000274692175459634,0.99972530782454
"PBRM1","PBRM1",2,0.0772562689451295,27,"0.713370562523556",1,0.0298194428522827,0.970180557147717
"PCDH7","PCDH7",2,0.0926991021737595,27,"0.426703376569543",1,1,2.05713457933714e-28
"HECW1","HECW1",2,0.0954485376320471,27,"0.0695700561578569",1,1,1.00027262689303e-49
"DGKB","DGKB",2,0.0970905606526908,27,"0.312024846335333",1,0.996933077600519,0.00306692239948116
"PDPN","PDPN",2,0.104812316983302,27,"0.933787509309507",1,7.01135591958353e-06,0.99999298864408
"PWWP2A","PWWP2A",2,0.108763009857004,27,"0.530929468220534",1,0.999999999542507,4.57493355349767e-10
"CENPE","CENPE",3,0.111120954557859,26,"0.0774413516241478",1,1,1.56715809934363e-68
"VANGL1","VANGL1",2,0.111956211649748,27,"0.0222538927379102",1,1,9.36840738531586e-27
"CSMD3","CSMD3",7,0.116535892195511,22,"0.437967167058155",1,0.993680256463491,0.00631974353650868
"ARID4B","ARID4B",2,0.116629683504304,27,"0.839527820046751",1,0.99999998588712,1.41128801129628e-08
"LRRK2","LRRK2",2,0.116961882734789,27,"0.0154805860165702",1,3.69743020913515e-18,1
"TTN","TTN",8,0.118931301423698,21,"0.297537443603866",1,0.683945847816993,0.316054152183007
"PVRL1","PVRL1",2,0.119599129873607,27,"0.172241050869747",1,NA,NA
"HERC1","HERC1",3,0.120033672712953,26,"0.770036929025446",1,8.50064653622099e-09,0.999999991499353
"DOCK11","DOCK11",2,0.121850711180976,27,"0.000515447074977193",1,2.28005067832145e-28,1
"DDX31","DDX31",2,0.12849903515466,27,"0.055569576045962",1,1,3.96803378306662e-20
"CNTN1","CNTN1",3,0.139229840003963,26,"0.132057672336492",1,0.0169281683393497,0.98307183166065
"ZNF189","ZNF189",2,0.139810402402921,27,"0.41796835036094",1,0.0100474206577367,0.989952579342263
"SLC4A8","SLC4A8",2,0.15084284742596,27,"0.0525206872637551",1,0.684215152556439,0.315784847443561
"STK11","STK11",7,0.172123765130569,22,"0.929317142539479",1,0.930001861700718,0.0699981382992821
"CHD1","CHD1",2,0.176198697761704,27,"0.509519240259365",1,0.992590323027366,0.00740967697263439
"SLITRK3","SLITRK3",2,0.181450914681694,27,"0.257884868904085",1,0.00833946171286695,0.991660538287133
"FCRL4","FCRL4",2,0.183665961120954,27,"0.044345791154965",1,1,1.88364780121629e-19
"LRP1B","LRP1B",4,0.188396905710347,25,"0.879847004545818",1,0.99999456101207,5.43898792989401e-06
"ABCA13","ABCA13",2,0.189732527336007,27,"0.390286381868444",1,0.997455591211835,0.00254440878816491
"DOCK2","DOCK2",2,0.196711160679488,27,"0.241505206266085",1,1.26216809230054e-12,0.999999999998738
"PAPPA2","PAPPA2",4,0.196741148937873,25,"0.71968912623866",1,0.931300815748133,0.0686991842518669
"HFM1","HFM1",2,0.200900741341276,27,"0.308254018591251",1,0.715962104237786,0.284037895762214
"IGSF3","IGSF3",2,0.204987742771353,27,"0.00224234782580446",1,0.935061183260247,0.0649388167397527
"ATG9B","ATG9B",2,0.2062120590357,27,"0.496771445066407",1,1,4.85590712327635e-22
"MECOM","MECOM",2,0.208770313545027,27,"0.206137038420287",1,6.1203690969265e-06,0.999993879630903
"ATM","ATM",3,0.232492136695138,26,"0.676414393670077",1,0.999943947619449,5.60523805510095e-05
"PSIP1","PSIP1",2,0.236164085499605,27,"0.0497530709824133",1,8.22533559854394e-08,0.999999917746644
"COL22A1","COL22A1",2,0.248175038446912,27,"0.428651091698025",1,1,3.52885428087283e-16
"SI","SI",2,0.277567701010242,27,"0.661003972464403",1,0.994962121543793,0.0050378784562067
"HDAC9","HDAC9",2,0.302896583701,27,"0.956923835567261",1,0.999973174794417,2.68252055829228e-05
"NID2","NID2",3,0.30609980918077,26,"0.839608921700073",1,0.999973228052325,2.67719476744492e-05
"GPR98","GPR98",2,0.339018965913602,27,"0.327975625072146",1,NA,NA
"MN1","MN1",2,0.340403871505241,27,"0.727753738004999",1,0.0111833782694197,0.98881662173058
"ZNF367","ZNF367",3,0.343472389898816,26,"0.26648847833434",1,1,1.44669629640275e-40
"ARID1A","ARID1A",2,0.344639955117002,27,"0.0999996021461033",1,0.999999994935045,5.06495518016821e-09
"NCK1","NCK1",2,0.360737357671032,27,"0.777522652569987",1,0.536010856746009,0.463989143253991
"WHSC1L1","WHSC1L1",3,0.363764576245501,26,"0.153320638682365",1,NA,NA
"COL6A5","COL6A5",2,0.364118438971214,27,"0.205095116148976",1,1.46145973306449e-13,0.999999999999854
"DNAH5","DNAH5",2,0.376208900507431,27,"0.959226058590833",1,0.840625502697611,0.159374497302389
"RABL2B","RABL2B",2,0.379395409351953,27,"0.980569275090526",1,0.0190006962659783,0.980999303734022
"KEAP1","KEAP1",3,0.392599657530844,26,"0.885346736575115",1,0.999999893727921,1.0627207922464e-07
"RALYL","RALYL",2,0.39688919918285,27,"0.63749764033834",1,0.945925344747811,0.0540746552521891
