"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"KRAS","KRAS",2,2.28644266054242e-06,4,"0.852811935751313",0.00168739468348031,NA,NA
"UTY","UTY",2,0.0018016526224193,4,"0.260369598140297",1,NA,NA
"ATP8A1","ATP8A1",2,0.00248983064320271,4,"0.553494647271865",1,NA,NA
"ATG2B","ATG2B",2,0.00634467953640624,4,"0.415184536339887",1,NA,NA
"MAGEB4","MAGEB4",2,0.0271284601559405,4,"0.286726874259443",1,NA,NA
"DSP","DSP",2,0.0722952310111961,4,"0.408878866794162",1,NA,NA
"DCAF8L2","DCAF8L2",2,0.0723242739845438,4,"0.647038537289059",1,NA,NA
"TP53","TP53",3,0.0926908640523738,3,"0.654804316413474",1,NA,NA
"LAMA5","LAMA5",2,0.101033615918262,4,"0.988313381650124",1,NA,NA
"STARD8","STARD8",2,0.113515547193914,4,"0.669509750856344",1,NA,NA
"MACF1","MACF1",2,0.118481213104691,4,"0.758247118280295",1,NA,NA
"GPR85","GPR85",2,0.123705078292568,4,"0.666585155808622",1,NA,NA
"ITGA8","ITGA8",2,0.128150825691813,4,"0.0697836328156979",1,NA,NA
"NLRP3","NLRP3",2,0.155024221792849,4,"0.530009223334202",1,NA,NA
"GPR63","GPR63",2,0.159866763397438,4,"0.735852750314376",1,NA,NA
"ALK","ALK",2,0.163165583101123,4,"0.854701734657049",1,NA,NA
"RNF17","RNF17",2,0.189450362279543,4,"0.0409710066889504",1,NA,NA
"ADAMTS20","ADAMTS20",3,0.202040465319521,3,"0.527705785349123",1,NA,NA
"HOXD11","HOXD11",2,0.202598657228853,4,"0.859896102142665",1,NA,NA
"BAZ2B","BAZ2B",2,0.211344339153922,4,"0.805071328858214",1,NA,NA
"IBTK","IBTK",2,0.310889076425771,4,"0.483864979823564",1,NA,NA
"NR3C2","NR3C2",2,0.314755142410439,4,"0.173844309748104",1,NA,NA
"ROCK2","ROCK2",2,0.333507572882069,4,"0.373369759781084",1,NA,NA
"ZNF217","ZNF217",2,0.367122541977301,4,"0.300909305673488",1,NA,NA
"TRIM13","TRIM13",2,0.374092026887012,4,"0.10278031489966",1,NA,NA
"CLCN1","CLCN1",2,0.375877745310002,4,"0.700963005461138",1,NA,NA
"PIK3C2G","PIK3C2G",2,0.376540201517541,4,"0.684939546423878",1,NA,NA
"SCARA3","SCARA3",2,0.378996360850476,4,"0.313696967618042",1,NA,NA
"LRP5","LRP5",2,0.37952847217917,4,"0.0143508116405682",1,NA,NA
"SLC7A7","SLC7A7",2,0.380527187027969,4,"0.591864389314371",1,NA,NA
"NCOA6","NCOA6",2,0.397706123519163,4,"0.125190616687222",1,NA,NA
"LRIT2","LRIT2",2,0.413734545387018,4,"0.593646865542309",1,NA,NA
