"","#wt","#mut","pvalue","p_adj"
"KRAS",4,2,0.00443730175956183,0.81209497120602
"PDE4B",5,1,0.00846104417718411,0.81209497120602
"SYDE2",5,1,0.00875113960898593,0.81209497120602
"LAMA5",4,2,0.0088167767653733,0.81209497120602
"SLIT2",5,1,0.00919126368405359,0.81209497120602
"AAMP",5,1,0.0129261697901248,0.81209497120602
"ABCC12",5,1,0.0141061311504952,0.81209497120602
"ANKRD36",5,1,0.0172062489414659,0.81209497120602
"PXDN",5,1,0.01749218712515,0.81209497120602
"IGF2BP1",5,1,0.0214397620754332,0.81209497120602
"POLR3B",5,1,0.0216739997131909,0.81209497120602
"RASAL1",5,1,0.0254120992645104,0.81209497120602
"ATP8A1",4,2,0.0262286706343314,0.81209497120602
"DGKI",5,1,0.0267066877862611,0.81209497120602
"NOTCH3",5,1,0.0272998336648978,0.81209497120602
"ACSL6",5,1,0.0322346512120921,0.81209497120602
"CDC27",5,1,0.0323009751702237,0.81209497120602
"HTR1B",5,1,0.0328533415423814,0.81209497120602
"GATA1",5,1,0.0345794914145703,0.81209497120602
"COL25A1",5,1,0.0349096670401329,0.81209497120602
"WDR35",5,1,0.0353627039783045,0.81209497120602
"HTR1F",5,1,0.0383518083977507,0.81209497120602
"PDE11A",5,1,0.0392942443467351,0.81209497120602
"ADM",5,1,0.0406671591688302,0.81209497120602
"TTK",5,1,0.0411035610002381,0.81209497120602
"GPR158",5,1,0.0419228572853446,0.81209497120602
"WDR17",5,1,0.0423352568877345,0.81209497120602
"INTS4",5,1,0.0424443268383489,0.81209497120602
"SETD3",5,1,0.0429930903210228,0.81209497120602
"TTC21B",5,1,0.0430372379102382,0.81209497120602
"TNFRSF25",5,1,0.0431212192262293,0.81209497120602
"SLC6A15",5,1,0.0441979864552436,0.81209497120602
"NIN",5,1,0.0443833101592077,0.81209497120602
"MMS22L",5,1,0.0445238482648114,0.81209497120602
"ACTR8",5,1,0.0484266183545579,0.81209497120602
"LINGO2",5,1,0.0497917014480672,0.81209497120602
"ATG2B",4,2,0.0498325667565706,0.81209497120602
"MGAT4C",5,1,0.0499607402931274,0.81209497120602
"CHD7",5,1,0.0548233648806938,0.81209497120602
"CACNA1A",5,1,0.05510799872534,0.81209497120602
"PI4KA",5,1,0.0572607095741134,0.81209497120602
"LRRC24",5,1,0.0587511035909484,0.81209497120602
"TGM2",5,1,0.0591710922189062,0.81209497120602
"EPHA6",5,1,0.0613415722152186,0.81209497120602
"IRX3",5,1,0.0629142806289033,0.81209497120602
"CNTRL",5,1,0.0630218289561277,0.81209497120602
"NPR1",5,1,0.0631894109215325,0.81209497120602
"TOP1",5,1,0.0638148976608455,0.81209497120602
"UTY",4,2,0.0672833027949174,0.81209497120602
"ALK",4,2,0.0689905782808768,0.81209497120602
"PHF19",5,1,0.0695016167418127,0.81209497120602
"CD83",5,1,0.0699542278495167,0.81209497120602
"DENND5B",5,1,0.0700255581889374,0.81209497120602
"WNT2B",5,1,0.0706700516254144,0.81209497120602
"DCAF8L2",4,2,0.0714366136821133,0.81209497120602
"PHACTR1",5,1,0.0725108805559767,0.81209497120602
"CYSLTR2",5,1,0.0734214145407727,0.81209497120602
"MACF1",4,2,0.0742807716174459,0.81209497120602
"ACTB",5,1,0.0744697890653847,0.81209497120602
"RLBP1",5,1,0.0756671297653665,0.81209497120602
"CHRNA10",5,1,0.0765660355213554,0.81209497120602
"BRCA2",5,1,0.0774450118211896,0.81209497120602
"RUNX1T1",5,1,0.0808203627889641,0.81209497120602
"FGFR1",5,1,0.0817214322734945,0.81209497120602
"ZNF652",5,1,0.0826815731324211,0.81209497120602
"ATP6V1B2",5,1,0.0828067913391192,0.81209497120602
"APH1A",5,1,0.0829321521792408,0.81209497120602
"MRGPRD",5,1,0.0840146645026519,0.81209497120602
"NOMO2",5,1,0.0843056164472684,0.81209497120602
"CYP2R1",5,1,0.0849498739604693,0.81209497120602
"HOXD11",4,2,0.085974333883863,0.81209497120602
"FOXG1",5,1,0.0871495812605837,0.81209497120602
"BAI3",5,1,0.08727983726409,0.81209497120602
"STK36",5,1,0.0883580657548424,0.81209497120602
"GLRB",5,1,0.089165438709198,0.81209497120602
"RASD2",5,1,0.0895242920327674,0.81209497120602
"FBXO11",5,1,0.089719770942589,0.81209497120602
"SDK1",5,1,0.0901430880428338,0.81209497120602
"INO80D",5,1,0.0918432362112772,0.81209497120602
"TFEC",5,1,0.0926981560667392,0.81209497120602
"PKNOX2",5,1,0.0940928380394516,0.81209497120602
"STARD8",4,2,0.0951901947729984,0.81209497120602
"SCD",5,1,0.0972686719416245,0.81209497120602
"GPR88",5,1,0.0997164638995572,0.81209497120602
"SIGLEC7",5,1,0.10055649727102,0.81209497120602
"TMPRSS3",5,1,0.100922964017909,0.81209497120602
"TSSK4",5,1,0.101504478662959,0.81209497120602
"SOX6",5,1,0.102553894066543,0.81209497120602
"GPR85",4,2,0.10333195954555,0.81209497120602
"TP53",3,3,0.104540833130836,0.81209497120602
"GPR63",4,2,0.106411987369065,0.81209497120602
"ABCA10",5,1,0.106643784290655,0.81209497120602
"MAT2A",5,1,0.108962176130032,0.81209497120602
"RPA4",5,1,0.109939546440464,0.81209497120602
"IL18RAP",5,1,0.110066701748776,0.81209497120602
"ATP2B2",5,1,0.110503463739226,0.81209497120602
"HS3ST3B1",5,1,0.11058549474109,0.81209497120602
"BPTF",5,1,0.111060306332034,0.81209497120602
"KIAA1549L",5,1,0.111692596313766,0.81209497120602
"KCNB2",5,1,0.111802822138402,0.81209497120602
"BAZ2B",4,2,0.112857500742887,0.81209497120602
"ACAP2",5,1,0.113762986164615,0.81209497120602
"MTMR4",5,1,0.11400505952749,0.81209497120602
"DSG1",5,1,0.115437003028131,0.81209497120602
"MAGEB4",4,2,0.115541967448011,0.81209497120602
"MYF5",5,1,0.116663692870361,0.812243446587985
"KIAA2026",5,1,0.118779816332075,0.817082592821351
"MAGEC3",5,1,0.120631723520424,0.817082592821351
"SLC16A6",5,1,0.120680220348953,0.817082592821351
"PGAP3",5,1,0.122180648641399,0.819721079066841
"CCKBR",5,1,0.124654131714919,0.825248384591079
"NFATC1",5,1,0.125360109134777,0.825248384591079
"ARHGEF3",5,1,0.126359169998363,0.825248384591079
"KCNG2",5,1,0.130451794832937,0.826667651211256
"CCKAR",5,1,0.130482524635047,0.826667651211256
"TNS3",5,1,0.130503013950845,0.826667651211256
"TEX15",5,1,0.131057066655443,0.826667651211256
"GPR101",5,1,0.134750372197226,0.827723295991573
"DSP",4,2,0.135323634977914,0.827723295991573
"MC2R",5,1,0.136623557782072,0.827723295991573
"NR4A1",5,1,0.138066701321256,0.827723295991573
"LEFTY2",5,1,0.138343775792674,0.827723295991573
"KCNK3",5,1,0.139412977443123,0.827723295991573
"DHRS1",5,1,0.139616759547327,0.827723295991573
"ETV1",5,1,0.140197035228925,0.827723295991573
"FREM2",5,1,0.142948436763018,0.837269415326248
"MAGEB6",5,1,0.145482177046518,0.845400367404176
"PAXIP1",5,1,0.150956228869984,0.85444919600982
"RABGGTB",5,1,0.151193855166108,0.85444919600982
"FKBP5",5,1,0.152283314289753,0.85444919600982
"MED16",5,1,0.153641006274011,0.85444919600982
"CLSPN",5,1,0.15553674157276,0.85444919600982
"KIF21B",5,1,0.155652128455383,0.85444919600982
"FBLN7",5,1,0.156600429981917,0.85444919600982
"DEK",5,1,0.156693150411311,0.85444919600982
"WNT5B",5,1,0.157459472435414,0.85444919600982
"ARHGAP10",5,1,0.160243297815642,0.863208421809809
"ZNF496",5,1,0.164024707595725,0.872133887635658
"MAP1LC3B",5,1,0.164263699703735,0.872133887635658
"MATN1",5,1,0.168361086034461,0.875343153198083
"OLFML2B",5,1,0.168652776155467,0.875343153198083
"SCAF4",5,1,0.170532177464228,0.875343153198083
"ARID1B",5,1,0.170679185388951,0.875343153198083
"OPRM1",5,1,0.17350012126724,0.875343153198083
"TCF3",5,1,0.175326487241344,0.875343153198083
"NLRP3",4,2,0.175818452020163,0.875343153198083
"KRT85",5,1,0.176588375937323,0.875343153198083
"MCM5",5,1,0.179901152884788,0.875343153198083
"DHX33",5,1,0.180497255013567,0.875343153198083
"LYST",5,1,0.180789415540612,0.875343153198083
"TMEM207",5,1,0.180852967905266,0.875343153198083
"HECW1",4,2,0.183503861175571,0.875343153198083
"ADCY7",5,1,0.183650289139639,0.875343153198083
"KCNN2",5,1,0.184781879439974,0.875343153198083
"NPR2",5,1,0.186098905845915,0.875343153198083
"KEAP1",4,2,0.188618188154253,0.875343153198083
"NEDD4",5,1,0.188893989927855,0.875343153198083
"KANK2",5,1,0.196000739650316,0.875343153198083
"SEPT9",5,1,0.196548903404402,0.875343153198083
"KANSL1",5,1,0.197030982970616,0.875343153198083
"SEMA6B",5,1,0.197030982970616,0.875343153198083
"IL20RA",5,1,0.198293115932726,0.875343153198083
"ZNF423",5,1,0.198629609278102,0.875343153198083
"PDE1B",5,1,0.199816802628512,0.875343153198083
"KDM4E",5,1,0.200006067037411,0.875343153198083
"IQGAP2",5,1,0.201035381727765,0.875343153198083
"DGKB",5,1,0.201972637566293,0.875343153198083
"DDX20",5,1,0.202067867402258,0.875343153198083
"TPTE2",5,1,0.202462677168095,0.875343153198083
"HDAC9",4,2,0.20396140374065,0.875343153198083
"OR2T11",5,1,0.20506075171017,0.875343153198083
"SEMA6D",5,1,0.205995382788946,0.875343153198083
"ANKRD17",5,1,0.208675679136015,0.875343153198083
"LRP1B",3,3,0.210452834086666,0.875343153198083
"MAGEA3",5,1,0.214999666268676,0.875343153198083
"MMP20",5,1,0.215889859682792,0.875343153198083
"NRK",5,1,0.217364048750951,0.875343153198083
"ABCC1",5,1,0.217975263644614,0.875343153198083
"IL2RA",5,1,0.219557623616989,0.875343153198083
"PCM1",5,1,0.219700501811406,0.875343153198083
"GOLGA5",5,1,0.22210882474322,0.875343153198083
"GPR64",5,1,0.223549475318593,0.875343153198083
"GPR110",5,1,0.224387482024323,0.875343153198083
"TNFRSF21",5,1,0.224865073675058,0.875343153198083
"CDH2",5,1,0.225488253879012,0.875343153198083
"ACOX2",5,1,0.227116001640246,0.875343153198083
"TRPC5",5,1,0.227349076571379,0.875343153198083
"TERF2IP",5,1,0.228779597443786,0.875343153198083
"ATAD3B",5,1,0.229819143924264,0.875343153198083
"MYO15A",5,1,0.229980436703846,0.875343153198083
"ZFHX4",4,2,0.231613946545724,0.875343153198083
"CA1",5,1,0.232230430279842,0.875343153198083
"SVEP1",5,1,0.232451675286708,0.875343153198083
"RBBP8",5,1,0.232879747840914,0.875343153198083
"GRIN3B",5,1,0.235992616106218,0.875343153198083
"WDR36",5,1,0.237423242438982,0.875343153198083
"HCN4",5,1,0.237736825437615,0.875343153198083
"ERCC2",5,1,0.238140337197005,0.875343153198083
"ABCA3",5,1,0.238708877859898,0.875343153198083
"HEY2",5,1,0.239743123890435,0.875343153198083
"ELAVL4",5,1,0.242316760735379,0.875343153198083
"CHM",5,1,0.244055953661767,0.875343153198083
"LRP1",5,1,0.245163446817355,0.875343153198083
"SUV420H2",5,1,0.245436942080792,0.875343153198083
"PDGFRB",5,1,0.246151840855272,0.875343153198083
"HAPLN1",5,1,0.248104448035213,0.875343153198083
"KCNH3",5,1,0.248180889074755,0.875343153198083
"PGK2",5,1,0.249206409704654,0.875343153198083
"SEH1L",5,1,0.249482306258032,0.875343153198083
"CYP27C1",5,1,0.250188111999531,0.875343153198083
"TCF4",5,1,0.25044922100085,0.875343153198083
"ADAMTS20",3,3,0.25292645983983,0.875343153198083
"KLHL35",5,1,0.253454594799807,0.875343153198083
"NR2F2",5,1,0.253825792390772,0.875343153198083
"SCAF8",5,1,0.255266874169181,0.876218386683049
"TSHR",5,1,0.257210529080704,0.876499087255009
"LPHN3",5,1,0.258708462727811,0.876499087255009
"WDR19",5,1,0.258911654500802,0.876499087255009
"PTPN11",5,1,0.266884158924818,0.899363056102811
