"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"EPHB2","EPHB2",-1,-1,6,"0.000117611962781705",0.769770296406259,NA,NA
"MAPK3","MAPK3",-1,-1,5,"0.000271335198854916",1,NA,NA
"FER1L6-AS1","FER1L6-AS1",-1,-1,5,"0.000292738324140007",1,NA,NA
"CHRM1","CHRM1",-1,-1,6,"0.000339927323215417",1,NA,NA
"SLC39A1","SLC39A1",-1,-1,6,"0.000343289160358196",1,NA,NA
"TAPBPL","TAPBPL",-1,-1,6,"0.000625206570772363",1,NA,NA
"IGSF21","IGSF21",-1,-1,6,"0.000629472868953762",1,NA,NA
"KPNA6","KPNA6",-1,-1,6,"0.00068966252558289",1,NA,NA
"GPR37L1","GPR37L1",-1,-1,6,"0.000830284552784666",1,NA,NA
"ABCC12","ABCC12",-1,-1,5,"0.000876171399073589",1,NA,NA
"RAB24","RAB24",-1,-1,6,"0.00106542826010014",1,NA,NA
"LGALS1","LGALS1",-1,-1,6,"0.00108289532097561",1,NA,NA
"TMEM141","TMEM141",-1,-1,6,"0.00112707497004638",1,NA,NA
"ADAR","ADAR",-1,-1,6,"0.00125053986125179",1,NA,NA
"NAV2","NAV2",-1,-1,6,"0.00145045725361348",1,NA,NA
"HK3","HK3",-1,-1,6,"0.00146903134978438",1,NA,NA
"STK10","STK10",-1,-1,6,"0.00149387933771816",1,NA,NA
"IRF5","IRF5",-1,-1,6,"0.00152939207748259",1,NA,NA
"ZBTB4","ZBTB4",-1,-1,6,"0.00167781616493401",1,NA,NA
"DLX3","DLX3",-1,-1,6,"0.00175216059688055",1,NA,NA
"KCNK3","KCNK3",-1,-1,5,"0.00178745610737663",1,NA,NA
"PAX3","PAX3",-1,-1,6,"0.00189999639837868",1,NA,NA
"ASGR1","ASGR1",-1,-1,6,"0.00207670089362466",1,NA,NA
"SEMA6D","SEMA6D",-1,-1,5,"0.00217041491979519",1,NA,NA
"SLC44A4","SLC44A4",-1,-1,6,"0.00226019900170527",1,NA,NA
"ZCWPW2","ZCWPW2",-1,-1,6,"0.00239923368255257",1,NA,NA
"ZRANB2","ZRANB2",-1,-1,6,"0.00246008430269073",1,NA,NA
"ADCY9","ADCY9",-1,-1,6,"0.00253374640131987",1,NA,NA
"ALDOB","ALDOB",-1,-1,6,"0.00322518161510976",1,NA,NA
"RPS6KA1","RPS6KA1",-1,-1,5,"0.00326893617257562",1,NA,NA
"MED12","MED12",-1,-1,6,"0.00329252698486482",1,NA,NA
"NT5C1B-RDH14","NT5C1B-RDH14",-1,-1,6,"0.00333586921389928",1,NA,NA
"NCKAP1L","NCKAP1L",-1,-1,6,"0.00350162344593741",1,NA,NA
"PUS7L","PUS7L",-1,-1,6,"0.00355419577773308",1,NA,NA
"COLQ","COLQ",-1,-1,6,"0.00356255636756686",1,NA,NA
"GTF2IRD2","GTF2IRD2",-1,-1,6,"0.00367989980768646",1,NA,NA
"GTF2IRD2B","GTF2IRD2B",-1,-1,6,"0.00367989980768646",1,NA,NA
"GTF2IRD2P1","GTF2IRD2P1",-1,-1,6,"0.00367989980768646",1,NA,NA
"ULK2","ULK2",-1,-1,6,"0.00399428870909713",1,NA,NA
"SMARCA4","SMARCA4",-1,-1,2,"0.00426263681496808",1,NA,NA
"SERPINA12","SERPINA12",-1,-1,6,"0.00429960432475762",1,NA,NA
"IKZF2","IKZF2",-1,-1,6,"0.00435369863261537",1,NA,NA
"GLRA1","GLRA1",-1,-1,6,"0.0044686322832449",1,NA,NA
"JUP","JUP",-1,-1,6,"0.00447368596489306",1,NA,NA
"MYL3","MYL3",-1,-1,6,"0.00450410777466692",1,NA,NA
"SYDE2","SYDE2",-1,-1,5,"0.00450622140191292",1,NA,NA
"LRRTM3","LRRTM3",-1,-1,5,"0.00483656985897596",1,NA,NA
"PHF20","PHF20",-1,-1,6,"0.00487370896352135",1,NA,NA
"PDE1C","PDE1C",-1,-1,6,"0.00501840433172018",1,NA,NA
"PTGER3","PTGER3",-1,-1,6,"0.00504069164917409",1,NA,NA
"DHTKD1","DHTKD1",-1,-1,6,"0.005293251151817",1,NA,NA
"MADD","MADD",-1,-1,6,"0.00544419838016441",1,NA,NA
"ACP5","ACP5",-1,-1,6,"0.0060558831983113",1,NA,NA
"GRB14","GRB14",-1,-1,6,"0.00611896233111586",1,NA,NA
"ANKRD7","ANKRD7",-1,-1,6,"0.00615619147356739",1,NA,NA
"HTR3E","HTR3E",-1,-1,6,"0.00627123237542804",1,NA,NA
"CYP2D7P1","CYP2D7P1",-1,-1,6,"0.00639030687577447",1,NA,NA
"CYP2D6","CYP2D6",-1,-1,6,"0.00639030687577447",1,NA,NA
"GRIK5","GRIK5",-1,-1,6,"0.00676589948801964",1,NA,NA
"NAA11","NAA11",-1,-1,6,"0.00677777522939427",1,NA,NA
"SVEP1","SVEP1",-1,-1,5,"0.00701309722196142",1,NA,NA
"KIAA0226","KIAA0226",-1,-1,6,"0.00710744998772395",1,NA,NA
"CHRNA3","CHRNA3",-1,-1,6,"0.00721189062653294",1,NA,NA
"DLST","DLST",-1,-1,6,"0.00739131816760219",1,NA,NA
"SRPX2","SRPX2",-1,-1,6,"0.00741176366628105",1,NA,NA
"MAK","MAK",-1,-1,6,"0.00749401176748765",1,NA,NA
"PITX2","PITX2",-1,-1,6,"0.0081627862679704",1,NA,NA
"ZNF165","ZNF165",-1,-1,6,"0.00824623199287433",1,NA,NA
"MYBL1","MYBL1",-1,-1,6,"0.00829102198206089",1,NA,NA
"NR1H3","NR1H3",-1,-1,6,"0.00841806579393622",1,NA,NA
"DNMT3L","DNMT3L",-1,-1,6,"0.00843797098614063",1,NA,NA
"HDAC9","HDAC9",-1,-1,4,"0.00912733099954577",1,NA,NA
"KCNMB1","KCNMB1",-1,-1,6,"0.00916547119384004",1,NA,NA
"SHD","SHD",-1,-1,6,"0.00956221228415299",1,NA,NA
"PCGF2","PCGF2",-1,-1,6,"0.0096317958624943",1,NA,NA
"ZBTB8B","ZBTB8B",-1,-1,6,"0.00991103620266276",1,NA,NA
"CHFR","CHFR",-1,-1,6,"0.00992403219933302",1,NA,NA
"CDC27","CDC27",-1,-1,5,"0.0101285030585045",1,NA,NA
"OSM","OSM",-1,-1,6,"0.0101669808073684",1,NA,NA
"HIST1H1D","HIST1H1D",-1,-1,6,"0.0101736137691266",1,NA,NA
"SCRT1","SCRT1",-1,-1,5,"0.0102781625279971",1,NA,NA
"MAP3K9","MAP3K9",-1,-1,6,"0.010340589646468",1,NA,NA
"FBXW10","FBXW10",-1,-1,6,"0.0103708814856419",1,NA,NA
"CDRT1","CDRT1",-1,-1,6,"0.0103708814856419",1,NA,NA
"CFTR","CFTR",-1,-1,6,"0.0104012457008348",1,NA,NA
"DUSP10","DUSP10",-1,-1,6,"0.0107435332144553",1,NA,NA
"ZCRB1","ZCRB1",-1,-1,6,"0.0107782610409395",1,NA,NA
"MYOZ3","MYOZ3",-1,-1,6,"0.0110664946441239",1,NA,NA
"GNG10","GNG10",-1,-1,6,"0.0114702921178692",1,NA,NA
"DNAJC25-GNG10","DNAJC25-GNG10",-1,-1,6,"0.0114702921178692",1,NA,NA
"CHD1L","CHD1L",-1,-1,5,"0.0115031116536676",1,NA,NA
"EDF1","EDF1",-1,-1,6,"0.0115989085492714",1,NA,NA
"MCMBP","MCMBP",-1,-1,6,"0.0116173776869365",1,NA,NA
"LAMA5","LAMA5",-1,-1,4,"0.0116866183498763",1,NA,NA
"CYP27C1","CYP27C1",-1,-1,5,"0.0118237060648811",1,NA,NA
"ID1","ID1",-1,-1,6,"0.0120678615575311",1,NA,NA
"MAD1L1","MAD1L1",-1,-1,6,"0.0122095871103558",1,NA,NA
"CSNK1A1L","CSNK1A1L",-1,-1,6,"0.0123798814756372",1,NA,NA
"IQCA1","IQCA1",-1,-1,6,"0.0127342156211946",1,NA,NA
"IDO2","IDO2",-1,-1,6,"0.012774088417603",1,NA,NA
"PDE4B","PDE4B",-1,-1,5,"0.0127747192144413",1,NA,NA
"MAP1LC3B","MAP1LC3B",-1,-1,5,"0.0128375293443389",1,NA,NA
"ABCB10","ABCB10",-1,-1,5,"0.0130456428635957",1,NA,NA
"DUSP12","DUSP12",-1,-1,5,"0.0131598718156132",1,NA,NA
"METRNL","METRNL",-1,-1,6,"0.0138383076061819",1,NA,NA
"PPHLN1","PPHLN1",-1,-1,6,"0.0139023195380475",1,NA,NA
"BAIAP2","BAIAP2",-1,-1,6,"0.0139408414225536",1,NA,NA
"USP9X","USP9X",-1,-1,6,"0.0140698711301053",1,NA,NA
"KPNA3","KPNA3",-1,-1,6,"0.0141477508891423",1,NA,NA
"MMP3","MMP3",-1,-1,6,"0.0144981066170562",1,NA,NA
"ARHGAP26","ARHGAP26",-1,-1,6,"0.0145290928497454",1,NA,NA
"CHCHD7","CHCHD7",-1,-1,6,"0.0145645710960403",1,NA,NA
"CERK","CERK",-1,-1,6,"0.0146982375430516",1,NA,NA
"TNK2","TNK2",-1,-1,6,"0.0148328916260692",1,NA,NA
"PPP1R12B","PPP1R12B",-1,-1,6,"0.0148509204039304",1,NA,NA
"PLEKHA4","PLEKHA4",-1,-1,6,"0.0149867000829053",1,NA,NA
"EIF4EBP3","EIF4EBP3",-1,-1,5,"0.0149914925076373",1,NA,NA
"KRT18","KRT18",-1,-1,5,"0.0150475296783684",1,NA,NA
"TNFSF13","TNFSF13",-1,-1,6,"0.0150869062964173",1,NA,NA
"ARHGEF28","ARHGEF28",-1,-1,6,"0.0151189030582237",1,NA,NA
"NOTCH3","NOTCH3",-1,-1,4,"0.0151510136650231",1,NA,NA
"CPEB2","CPEB2",-1,-1,6,"0.0151784706537798",1,NA,NA
"ITIH2","ITIH2",-1,-1,6,"0.0154372344853874",1,NA,NA
"SMARCD1","SMARCD1",-1,-1,6,"0.0155773117665728",1,NA,NA
"SGCE","SGCE",-1,-1,6,"0.0157609394734044",1,NA,NA
"SOD2","SOD2",-1,-1,6,"0.0158748038199918",1,NA,NA
"GABARAPL1","GABARAPL1",-1,-1,6,"0.0158938453573936",1,NA,NA
"ABCA3","ABCA3",-1,-1,5,"0.0159563184551388",1,NA,NA
"POLE2","POLE2",-1,-1,5,"0.0162687494532177",1,NA,NA
"KIF9","KIF9",-1,-1,6,"0.0163077001426924",1,NA,NA
"HPGD","HPGD",-1,-1,6,"0.0165375079790956",1,NA,NA
"EMILIN1","EMILIN1",-1,-1,6,"0.0168596037444959",1,NA,NA
"FANCL","FANCL",-1,-1,6,"0.0170956234814336",1,NA,NA
"UBE2U","UBE2U",-1,-1,6,"0.0171360595626188",1,NA,NA
"YWHAE","YWHAE",-1,-1,6,"0.0171360595626188",1,NA,NA
"ALDH18A1","ALDH18A1",-1,-1,6,"0.0171613710219916",1,NA,NA
"SLIT2","SLIT2",-1,-1,5,"0.0171898649156486",1,NA,NA
"C8G","C8G",-1,-1,6,"0.0174263908111706",1,NA,NA
"COQ5","COQ5",-1,-1,6,"0.0175343429411099",1,NA,NA
"FANCG","FANCG",-1,-1,6,"0.0183584880926364",1,NA,NA
"CTSF","CTSF",-1,-1,6,"0.0184495532686881",1,NA,NA
"BIRC5","BIRC5",-1,-1,6,"0.0184764057264927",1,NA,NA
"NRG2","NRG2",-1,-1,6,"0.0194137191968206",1,NA,NA
