"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"SBK1","SBK1",-1,-1,5,"3.86112870222673e-11",2.39158311815924e-07,NA,NA
"WWP2","WWP2",-1,-1,5,"2.15259138967028e-06",0.013330998476228,NA,NA
"ADRBK2","ADRBK2",-1,-1,4,"5.77932525797081e-06",0.0357855819973553,NA,NA
"ARPC1A","ARPC1A",-1,-1,5,"2.9493399022346e-05",0.182593633347344,NA,NA
"XRRA1","XRRA1",-1,-1,5,"4.76269966935711e-05",0.294811109533205,NA,NA
"OVOL1","OVOL1",-1,-1,5,"5.77402057412505e-05",0.357354133332599,NA,NA
"DDX4","DDX4",-1,-1,5,"0.00014222366601806",0.880080045319755,NA,NA
"GPT2","GPT2",-1,-1,5,"0.000179729030832219",1,NA,NA
"FCN1","FCN1",-1,-1,5,"0.000181659028661288",1,NA,NA
"TMEM65","TMEM65",-1,-1,4,"0.00025295859305231",1,NA,NA
"EPB41L4A","EPB41L4A",-1,-1,4,"0.000264787639227838",1,NA,NA
"PRRT1","PRRT1",-1,-1,5,"0.000306985192257486",1,NA,NA
"ATOH8","ATOH8",-1,-1,5,"0.000433060278464794",1,NA,NA
"LOC728554","LOC728554",-1,-1,5,"0.000474599879331591",1,NA,NA
"UNC119B","UNC119B",-1,-1,5,"0.000562433728805706",1,NA,NA
"ROBO2","ROBO2",-1,-1,4,"0.000566900689555314",1,NA,NA
"EEF2","EEF2",-1,-1,4,"0.000746176947694104",1,NA,NA
"RAB3GAP1","RAB3GAP1",-1,-1,5,"0.000790973237547956",1,NA,NA
"EIF5A","EIF5A",-1,-1,5,"0.000824417662638447",1,NA,NA
"EIF5AL1","EIF5AL1",-1,-1,5,"0.000824417662638447",1,NA,NA
"TNFRSF21","TNFRSF21",-1,-1,4,"0.00111251867028175",1,NA,NA
"NID1","NID1",-1,-1,3,"0.0012823712813417",1,NA,NA
"BCKDK","BCKDK",-1,-1,5,"0.00128766885992951",1,NA,NA
"THOC3","THOC3",-1,-1,4,"0.00130554187363353",1,NA,NA
"STK38L","STK38L",-1,-1,4,"0.00134775331024196",1,NA,NA
"MTOR","MTOR",-1,-1,4,"0.0013781019575731",1,NA,NA
"GNG8","GNG8",-1,-1,5,"0.00138022763738233",1,NA,NA
"URI1","URI1",-1,-1,4,"0.0013939648349377",1,NA,NA
"RANBP2","RANBP2",-1,-1,5,"0.00147484625235478",1,NA,NA
"MEP1A","MEP1A",-1,-1,5,"0.0015159056181929",1,NA,NA
"FZR1","FZR1",-1,-1,5,"0.00178838494534261",1,NA,NA
"PPP1CC","PPP1CC",-1,-1,5,"0.00182396798331249",1,NA,NA
"UBE2I","UBE2I",-1,-1,5,"0.00191933740076542",1,NA,NA
"NME4","NME4",-1,-1,5,"0.00197804361213794",1,NA,NA
"CLASP1","CLASP1",-1,-1,5,"0.00207348967539007",1,NA,NA
"ZNF92","ZNF92",-1,-1,5,"0.00212950955898954",1,NA,NA
"TRPC4","TRPC4",-1,-1,4,"0.00241842632141644",1,NA,NA
"MTNR1B","MTNR1B",-1,-1,5,"0.00264292635259522",1,NA,NA
"MMEL1","MMEL1",-1,-1,5,"0.00264800938977743",1,NA,NA
"INPP5A","INPP5A",-1,-1,5,"0.00266202807967331",1,NA,NA
"PMP22","PMP22",-1,-1,5,"0.00279221446313761",1,NA,NA
"HS3ST2","HS3ST2",-1,-1,5,"0.00309946885573674",1,NA,NA
"ALDH2","ALDH2",-1,-1,5,"0.00385136852828566",1,NA,NA
"CDC42SE2","CDC42SE2",-1,-1,5,"0.00422365476038257",1,NA,NA
"ZFHX3","ZFHX3",-1,-1,4,"0.0044040430709245",1,NA,NA
"ATAD1","ATAD1",-1,-1,5,"0.0044790451689487",1,NA,NA
"RAB40C","RAB40C",-1,-1,5,"0.00455900519106193",1,NA,NA
"GGA2","GGA2",-1,-1,4,"0.00494138886201279",1,NA,NA
"MED15","MED15",-1,-1,4,"0.00537694481152421",1,NA,NA
"CLDN1","CLDN1",-1,-1,5,"0.00552552861195529",1,NA,NA
"SEMA6C","SEMA6C",-1,-1,5,"0.00557841509341528",1,NA,NA
"RAB28","RAB28",-1,-1,4,"0.00570769562965342",1,NA,NA
"CLDN11","CLDN11",-1,-1,5,"0.0058561520580652",1,NA,NA
"DOK3","DOK3",-1,-1,5,"0.00593334527540881",1,NA,NA
"PDE6G","PDE6G",-1,-1,5,"0.00599421706244383",1,NA,NA
"PLEKHG2","PLEKHG2",-1,-1,4,"0.00625359895512885",1,NA,NA
"MED30","MED30",-1,-1,4,"0.00629359478083419",1,NA,NA
"CLP1","CLP1",-1,-1,5,"0.00665209581286398",1,NA,NA
"NFIA","NFIA",-1,-1,4,"0.00680826661611442",1,NA,NA
"DCLK1","DCLK1",-1,-1,5,"0.00685651215035904",1,NA,NA
"AGAP2","AGAP2",-1,-1,5,"0.00686195858055374",1,NA,NA
"OXA1L","OXA1L",-1,-1,5,"0.00701032568533442",1,NA,NA
"LRRC7","LRRC7",-1,-1,5,"0.00710225032890046",1,NA,NA
"ASH2L","ASH2L",-1,-1,4,"0.00721280001028463",1,NA,NA
"FYN","FYN",-1,-1,5,"0.00746797537817079",1,NA,NA
"MTHFSD","MTHFSD",-1,-1,5,"0.00750301977685874",1,NA,NA
"NDRG1","NDRG1",-1,-1,4,"0.00775342129578658",1,NA,NA
"KIF27","KIF27",-1,-1,5,"0.00778211077114533",1,NA,NA
"CHRNE","CHRNE",-1,-1,5,"0.00778512382277804",1,NA,NA
"TMEM64","TMEM64",-1,-1,4,"0.00784397122921794",1,NA,NA
"CCNI","CCNI",-1,-1,5,"0.00840037545501727",1,NA,NA
"ERMAP","ERMAP",-1,-1,5,"0.00860082182987369",1,NA,NA
"TTC16","TTC16",-1,-1,4,"0.00863626155165042",1,NA,NA
"SHC2","SHC2",-1,-1,5,"0.00864333207686075",1,NA,NA
"MAP3K11","MAP3K11",-1,-1,4,"0.00873048513677782",1,NA,NA
"GPX4","GPX4",-1,-1,5,"0.00873876847778198",1,NA,NA
"CTH","CTH",-1,-1,5,"0.00889858318524235",1,NA,NA
"GPR151","GPR151",-1,-1,5,"0.00909821634950705",1,NA,NA
"CA13","CA13",-1,-1,4,"0.00919271568394615",1,NA,NA
"WDR63","WDR63",-1,-1,5,"0.00941313523956401",1,NA,NA
"FTSJ3","FTSJ3",-1,-1,5,"0.0096040930562061",1,NA,NA
"TXNDC11","TXNDC11",-1,-1,5,"0.00969713414383671",1,NA,NA
"RAPGEF3","RAPGEF3",-1,-1,5,"0.0101545668497602",1,NA,NA
"TWIST1","TWIST1",-1,-1,5,"0.0102894578812987",1,NA,NA
"DHX15","DHX15",-1,-1,5,"0.010338519186456",1,NA,NA
"NCKIPSD","NCKIPSD",-1,-1,5,"0.0105558475079245",1,NA,NA
"LOC643387","LOC643387",-1,-1,5,"0.0106213669795292",1,NA,NA
"KCNK18","KCNK18",-1,-1,5,"0.0106678114899234",1,NA,NA
"ALS2","ALS2",-1,-1,4,"0.0109165921670943",1,NA,NA
"PGAM1","PGAM1",-1,-1,5,"0.0109538599310704",1,NA,NA
"PTPN13","PTPN13",-1,-1,4,"0.0114625846796869",1,NA,NA
"IRF3","IRF3",-1,-1,5,"0.0115732874399287",1,NA,NA
"FCRLA","FCRLA",-1,-1,5,"0.011764891513073",1,NA,NA
"AGR2","AGR2",-1,-1,5,"0.0117732792505508",1,NA,NA
"PFKFB3","PFKFB3",-1,-1,5,"0.0120356784979262",1,NA,NA
"COL5A2","COL5A2",-1,-1,3,"0.0124731740915464",1,NA,NA
"PHIP","PHIP",-1,-1,4,"0.0125483460492852",1,NA,NA
"ALG10","ALG10",-1,-1,5,"0.0134372788012425",1,NA,NA
"CNGA1","CNGA1",-1,-1,5,"0.0136956465484892",1,NA,NA
"MERTK","MERTK",-1,-1,4,"0.0142082809880197",1,NA,NA
"RFC4","RFC4",-1,-1,5,"0.0142584417903209",1,NA,NA
"LRP5","LRP5",-1,-1,4,"0.0143508116405682",1,NA,NA
"DHX57","DHX57",-1,-1,5,"0.0143662945789978",1,NA,NA
"CYP1A2","CYP1A2",-1,-1,5,"0.0152991778086348",1,NA,NA
"POU4F1","POU4F1",-1,-1,5,"0.0153613131820372",1,NA,NA
"LGSN","LGSN",-1,-1,4,"0.0154572821809441",1,NA,NA
"TAP1","TAP1",-1,-1,5,"0.0155384537972847",1,NA,NA
"CDKN2B","CDKN2B",-1,-1,3,"0.0155436303653453",1,NA,NA
"GPR149","GPR149",-1,-1,5,"0.0157330656259675",1,NA,NA
"OTX1","OTX1",-1,-1,5,"0.0158125119619813",1,NA,NA
"SCMH1","SCMH1",-1,-1,5,"0.016122708786746",1,NA,NA
"NR2E3","NR2E3",-1,-1,5,"0.0162578957393895",1,NA,NA
"S1PR4","S1PR4",-1,-1,5,"0.0163122218523678",1,NA,NA
"GNG13","GNG13",-1,-1,5,"0.0163339926082914",1,NA,NA
"CYP11B2","CYP11B2",-1,-1,4,"0.0164736923601276",1,NA,NA
"TIMM50","TIMM50",-1,-1,4,"0.0165818465661041",1,NA,NA
