"","#wt","#mut","pvalue","p_adj"
"SBK1",6,0,1.46359648551005e-06,0.00957923899766328
"EPB41L4A",5,1,2.77597878033353e-05,0.0775921769640028
"OVOL1",6,0,4.49943773158227e-05,0.0775921769640028
"LOC728554",6,0,4.74207345845701e-05,0.0775921769640028
"RAB3GAP1",6,0,8.63832626897833e-05,0.110751436365095
"THOC3",5,1,0.000117644993765791,0.110751436365095
"MTOR",5,1,0.000132336091902816,0.110751436365095
"EEF2",5,1,0.00013537226752036,0.110751436365095
"URI1",5,1,0.000167230907642147,0.121614032279761
"ADRBK2",5,1,0.000196271881662992,0.126557645265808
"DDX4",6,0,0.000243068330110875,0.126557645265808
"PPP1CC",6,0,0.000243963242020335,0.126557645265808
"UBE2I",6,0,0.000251375002055845,0.126557645265808
"GPT2",6,0,0.000295140737015808,0.13797829455489
"NME4",6,0,0.00039201063570738,0.17104730738032
"ROBO2",4,2,0.000566900689555314,0.231897813321221
"ZNF92",6,0,0.000657628733304979,0.253187062322417
"FCN1",6,0,0.000726687830298114,0.26423176940562
"STK38L",5,1,0.000796308454877171,0.274307307219531
"ATAD1",6,0,0.00113619632701833,0.371820248016749
"GNG8",6,0,0.00124355849897843,0.387575732181611
"FMN2",3,3,0.00137999656340667,0.402621766764965
"RANBP2",5,1,0.00147484625235478,0.402621766764965
"XRRA1",6,0,0.00147638233802279,0.402621766764965
"PRRT1",6,0,0.00181884703525199,0.451871439991842
"WWP2",6,0,0.00183484146806938,0.451871439991842
"GPX4",6,0,0.0018688115410438,0.451871439991842
"PHIP",5,1,0.00193313985023248,0.451871439991842
"CLASP1",6,0,0.0020963553446133,0.461212506457717
"RBBP7",6,0,0.00224306460695675,0.461212506457717
"NDRG1",5,1,0.00225634827180879,0.461212506457717
"TXNDC11",6,0,0.00235343536260561,0.461212506457717
"WDR63",6,0,0.00252430851095419,0.461212506457717
"OXA1L",6,0,0.00257072921960049,0.461212506457717
"LOC643387",6,0,0.00264060489233217,0.461212506457717
"NCKIPSD",6,0,0.00266132628611394,0.461212506457717
"LOC100294341",6,0,0.00267778078615634,0.461212506457717
"LOC100996709",6,0,0.00267778078615634,0.461212506457717
"KPNA7",4,2,0.00303064658054387,0.508604663324606
"TMEM64",5,1,0.00332195793601246,0.528014575519422
"CTH",6,0,0.00342532854658297,0.528014575519422
"DDX5",6,0,0.00353752354863772,0.528014575519422
"ERMAP",6,0,0.0036130641495035,0.528014575519422
"RFC4",6,0,0.0036385404781414,0.528014575519422
"FTSJ3",6,0,0.00365560754688398,0.528014575519422
"SEMA6C",6,0,0.00378868005093334,0.528014575519422
"PFKFB3",6,0,0.00391065887387718,0.528014575519422
"MTHFSD",6,0,0.00393483602679634,0.528014575519422
"UNC119B",6,0,0.00395305029800637,0.528014575519422
"PDE6G",6,0,0.00408252237743757,0.530181582659059
"WDR26",6,0,0.00418192162140585,0.530181582659059
"SYK",6,0,0.00421229064908649,0.530181582659059
"RAB28",5,1,0.00429807855234534,0.530772153303778
"DDX47",6,0,0.00447874438930428,0.531483019524355
"LGSN",5,1,0.00459446832282686,0.531483019524355
"OPN1LW",6,0,0.00465531936681043,0.531483019524355
"BCKDK",6,0,0.00471661932917484,0.531483019524355
"MTNR1B",6,0,0.00472014230816129,0.531483019524355
"AKAP1",6,0,0.0047910615969346,0.531483019524355
"GGA2",5,1,0.00503112940668811,0.537443537685212
"ALG10",6,0,0.0050873871030518,0.537443537685212
"KCNK18",6,0,0.00509113817211354,0.537443537685212
"DMAP1",6,0,0.00539480385175311,0.554801163293087
"UCHL5",4,2,0.00544855378519999,0.554801163293087
"DHX15",6,0,0.00551397921202392,0.554801163293087
"CHST4",6,0,0.00559463357942609,0.554801163293087
"DDX27",6,0,0.00571537887080862,0.558315741931976
"CA13",5,1,0.0058561520580652,0.563654635588775
"ZKSCAN4",6,0,0.00604289967525332,0.573199686587434
"NVL",6,0,0.00627346197820931,0.584293889188354
"PABPC3",6,0,0.00633840582618382,0.584293889188354
"INPP5A",6,0,0.00677302287170846,0.600007199118385
"DCLK1",5,1,0.00685651215035904,0.600007199118385
"AGAP7",5,1,0.00704920703659574,0.600007199118385
"PPP2CA",6,0,0.00720188976118027,0.600007199118385
"ARL17A",4,2,0.00724702032251565,0.600007199118385
"ARL17B",4,2,0.00724702032251565,0.600007199118385
"ARPC1A",6,0,0.00735565026736543,0.600007199118385
"CYP1A2",6,0,0.00741432262363658,0.600007199118385
"GNG13",6,0,0.00746822895119223,0.600007199118385
"NAA50",5,1,0.00751473043304885,0.600007199118385
"ARMC1",6,0,0.00751727888887816,0.600007199118385
"TTF1",6,0,0.00775854861058727,0.602746427227406
"EIF5A",6,0,0.007827875678278,0.602746427227406
"EIF5AL1",6,0,0.007827875678278,0.602746427227406
"MAPK11",5,1,0.00834288698564641,0.629788998669131
"DDX56",6,0,0.00850364590536209,0.629788998669131
"MSH5",6,0,0.00856397568854892,0.629788998669131
"MSH5-SAPCD1",6,0,0.00856397568854892,0.629788998669131
"RAB40C",6,0,0.00877349231032879,0.638027857456688
"FZR1",6,0,0.00894829575667773,0.643588964037975
"SSTR1",6,0,0.00959695249373337,0.671075549552106
"RRAGC",6,0,0.00989805411608183,0.671075549552106
"KAT5",6,0,0.00992078189548926,0.671075549552106
"SRSF11",6,0,0.00998595348264089,0.671075549552106
"NFIA",5,1,0.00998794587749534,0.671075549552106
"TMEM65",5,1,0.01001003477193,0.671075549552106
"NR2E3",6,0,0.0100481900467695,0.671075549552106
"HSPA1B",6,0,0.0103540437589525,0.678390178945935
"RAE1",5,1,0.0103650141932152,0.678390178945935
"AHCYL1",6,0,0.0105575756226772,0.682204348084025
"MAP2K7",6,0,0.010636456187458,0.682204348084025
"PRMT1",6,0,0.0109005297399859,0.682204348084025
"TAP1",6,0,0.0111770829132257,0.682204348084025
"ZBTB7A",6,0,0.0111842484240716,0.682204348084025
"MTSS1L",6,0,0.0112309154639799,0.682204348084025
"UBLCP1",6,0,0.0112741333107954,0.682204348084025
"OR52I2",5,1,0.0113597027907556,0.682204348084025
"NID1",4,2,0.0113613863928432,0.682204348084025
"KCNJ4",5,1,0.0117397569433372,0.698515538128563
"TIAL1",6,0,0.0119312517785988,0.701422269269072
"ZBTB34",6,0,0.0120564291090088,0.701422269269072
"GNRHR",6,0,0.0121903564211766,0.701422269269072
"USP7",6,0,0.0122172862790946,0.701422269269072
"DOK3",6,0,0.0128822507169648,0.730687363909981
"PI4KAP1",5,1,0.0129503031647911,0.730687363909981
"MLF1",5,1,0.0131598718156123,0.73616547891609
"RRP9",6,0,0.0135846380705572,0.745464762104112
"UBTF",6,0,0.0136014314926069,0.745464762104112
"F11R",6,0,0.0138170233176172,0.745464762104112
"CDC42SE2",6,0,0.0138724175878494,0.745464762104112
"TCF7",5,1,0.0138955998436519,0.745464762104112
"EME1",6,0,0.0141607646334966,0.753513857936872
"LRP5",4,2,0.0143508116405682,0.757468243447733
"CLP1",6,0,0.0147430122439685,0.771944121094191
"FADD",6,0,0.0152704821326349,0.787284530827518
"ITGB3",4,2,0.0152765676722834,0.787284530827518
"WDR36",5,1,0.0159777111903939,0.816985310477563
"SCMH1",6,0,0.0164442958991212,0.827079569984808
"LOX",6,0,0.016458985483415,0.827079569984808
"CDC40",6,0,0.0166608011795673,0.827079569984808
"POU4F1",6,0,0.0166805963694415,0.827079569984808
"NRG1",5,1,0.0170541940740955,0.828855389370651
"HS3ST2",6,0,0.0170905743544661,0.828855389370651
"KALRN",5,1,0.0173206841987735,0.828855389370651
"ARPC4",6,0,0.0173291792002708,0.828855389370651
"GNB4",6,0,0.0173496086086752,0.828855389370651
"PMP22",6,0,0.017580771773972,0.830248542165285
"ATOH8",6,0,0.0176324747686745,0.830248542165285
"CDKN2B",4,2,0.017867645600218,0.834697918694005
"PHKB",6,0,0.0179820330841642,0.834697918694005
"TREML2",5,1,0.0185640137829127,0.855644156402561
"FGF18",6,0,0.0189760890224767,0.868520997567203
"ECHDC2",6,0,0.0191579289232096,0.870754477794492
"LRRC55",5,1,0.0193170785874885,0.870863285284627
"GLTSCR2",6,0,0.0194752880206079,0.870863285284627
"ATP10A",6,0,0.0195594962470344,0.870863285284627
"NGB",6,0,0.0197854708644113,0.87270712037791
"BMP2",6,0,0.0199677438004406,0.87270712037791
"SLC2A2",6,0,0.0201743964033339,0.87270712037791
"PRMT2",6,0,0.0203595132751778,0.87270712037791
"GABRA6",6,0,0.0204118201241742,0.87270712037791
"ANKFY1",6,0,0.0204234583722806,0.87270712037791
"HMGB4",6,0,0.0205342851853626,0.87270712037791
"OR2W3",4,2,0.0207449471196413,0.873288272633828
"DHX35",6,0,0.0209467274697503,0.873288272633828
"FOS",6,0,0.0211015859755527,0.873288272633828
"ARHGEF4",6,0,0.0213114836775498,0.873288272633828
"TRPC4",5,1,0.0213693598109328,0.873288272633828
"MMEL1",6,0,0.0214866515378306,0.873288272633828
"ARHGAP11B",6,0,0.0220994576025233,0.873288272633828
"KIF26A",5,1,0.0223704110169868,0.873288272633828
"GABRG1",6,0,0.0225114391727318,0.873288272633828
"GAK",6,0,0.0225366018264685,0.873288272633828
"C3orf80",6,0,0.0226627492859476,0.873288272633828
"MEP1A",6,0,0.022669071297927,0.873288272633828
"PUF60",5,1,0.0229485584046359,0.873288272633828
"VEGFB",6,0,0.0231472145825364,0.873288272633828
"H3F3A",5,1,0.0233139987957429,0.873288272633828
"H3F3AP4",5,1,0.0233139987957429,0.873288272633828
"CYP4F8",6,0,0.0234119500528865,0.873288272633828
"AGAP4",6,0,0.0234833821212458,0.873288272633828
"AGAP9",6,0,0.0234833821212458,0.873288272633828
"AGAP10",6,0,0.0234833821212458,0.873288272633828
"AGAP8",6,0,0.0234833821212458,0.873288272633828
"AGAP5",6,0,0.0234833821212458,0.873288272633828
"OTX1",6,0,0.0237971030751694,0.879955026141151
"KIF18A",6,0,0.0241141236971188,0.883901675371023
"MAT1A",6,0,0.0241739342844023,0.883901675371023
"NWD1",5,1,0.0246553795970392,0.896496997014564
"LHX3",6,0,0.0248940199345462,0.898899512412547
"CPD",6,0,0.0250373080041533,0.898899512412547
"CLOCK",5,1,0.0251334775815884,0.898899512412547
"CHST1",6,0,0.0254087462136986,0.903805673742703
"FRMD1",5,1,0.0256265341840087,0.906625222888308
"GALK1",6,0,0.0257775085179934,0.907063404571327
"MAP3K11",5,1,0.0271347637152065,0.93029971413791
"MIOS",6,0,0.027163333662555,0.93029971413791
"TCL1A",6,0,0.0273021383935143,0.93029971413791
"LOC341056",5,1,0.0278893860005735,0.93029971413791
"UCK2",6,0,0.0280643079607451,0.93029971413791
"TNFRSF18",5,1,0.0281055687729966,0.93029971413791
"KIF27",6,0,0.0282367534172924,0.93029971413791
"SCN2B",6,0,0.0284326887029941,0.93029971413791
"HIF1AN",6,0,0.0284704901528673,0.93029971413791
"KCNV1",5,1,0.0286009514800751,0.93029971413791
"WDR92",6,0,0.0287514436180688,0.93029971413791
"AIRE",6,0,0.0287895758852562,0.93029971413791
"SUSD4",6,0,0.0288048398527052,0.93029971413791
"WRNIP1",6,0,0.0290422409315199,0.93029971413791
"ALDH2",6,0,0.0290960585096365,0.93029971413791
"PEX7",6,0,0.0291730758268087,0.93029971413791
"SPRR1B",6,0,0.0291807863048658,0.93029971413791
"ADM2",5,1,0.0292060168839998,0.93029971413791
"MAP1B",6,0,0.0293663155924713,0.93029971413791
"PORCN",6,0,0.0293740659113234,0.93029971413791
"CACNG1",6,0,0.0296697628846915,0.93029971413791
"GPR39",6,0,0.0298184794460649,0.93029971413791
"SPAST",6,0,0.0298734160508645,0.93029971413791
"ALDH7A1",6,0,0.0300860539958562,0.93029971413791
"NAA15",6,0,0.0301097530627932,0.93029971413791
"S100G",6,0,0.0301334666764304,0.93029971413791
"PI4KAP2",4,2,0.030444033038928,0.933514363826678
"GPSM2",6,0,0.030522853148802,0.933514363826678
"ANKRD28",6,0,0.030682907840705,0.934044799150764
"UBE3C",6,0,0.0309645749488506,0.938255291852904
"ZDHHC19",6,0,0.0312482498078641,0.942487534527514
"TIMM50",5,1,0.0314246412696539,0.943459986742591
"PROM1",5,1,0.0319921217515683,0.944674074727707
"MAP3K6",6,0,0.0320864958784208,0.944674074727707
"GPR18",6,0,0.0324115757219248,0.944674074727707
"CNGA1",6,0,0.0324869557685172,0.944674074727707
"SRSF2",6,0,0.0324869557685172,0.944674074727707
"PLK1",6,0,0.0325205016354479,0.944674074727707
"DAPK3",6,0,0.0325708708115011,0.944674074727707
"RALY",6,0,0.032629711307958,0.944674074727707
"PLEKHG2",5,1,0.0327640970150022,0.944674074727707
"NFRKB",5,1,0.0329428068496219,0.945660836977085
"PPME1",6,0,0.0331544756773759,0.947580975145962
"ECM1",6,0,0.0334192979632241,0.950996978996964
"AGAP2",6,0,0.0340667728854765,0.965225231755168
"HOXA10",6,0,0.0345389313382055,0.969623343309202
"UBE2S",6,0,0.0352209217940967,0.969623343309202
"CCNL1",6,0,0.0355792799894533,0.969623343309202
"VPS4A",6,0,0.0356783197926927,0.969623343309202
"EML6",5,1,0.0357240931730044,0.969623343309202
"MMRN2",6,0,0.0358770370645031,0.969623343309202
"OR2G2",5,1,0.0359049426675094,0.969623343309202
"DHX36",6,0,0.0361767113513902,0.969623343309202
"PAFAH1B1",6,0,0.0364691427166935,0.969623343309202
"GMPR2",6,0,0.0366160392763285,0.969623343309202
"MMP27",6,0,0.03682800056228,0.969623343309202
"BMPR1B",6,0,0.0368372376413921,0.969623343309202
"MCAM",6,0,0.0368742037867016,0.969623343309202
"JUNB",6,0,0.0370409047719213,0.969623343309202
"SMARCA2",6,0,0.037189569535764,0.969623343309202
"KIAA1549",6,0,0.0372268073202577,0.969623343309202
"GNE",6,0,0.0373667044141562,0.969623343309202
"MNX1",6,0,0.0374040784744107,0.969623343309202
"NUDT8",6,0,0.0374789127934957,0.969623343309202
"PVRL4",6,0,0.0375070053112764,0.969623343309202
"AHCYL2",6,0,0.0375257426453032,0.969623343309202
"RBPJ",6,0,0.0376853005732474,0.969623343309202
"HS3ST4",6,0,0.0378170921724137,0.969623343309202
"TNFRSF21",5,1,0.0381615531794704,0.969623343309202
"ZFHX3",5,1,0.038723491642627,0.969623343309202
"TBX4",6,0,0.0388360819495029,0.969623343309202
"SOX11",6,0,0.0388842079263237,0.969623343309202
"NCOA7",6,0,0.038999896807028,0.969623343309202
"CREB3L2",6,0,0.0390675037133464,0.969623343309202
"RCC1",6,0,0.0393291148674624,0.969623343309202
"NID2",5,1,0.039334812625159,0.969623343309202
"BTK",6,0,0.039426347686404,0.969623343309202
"NDUFS7",6,0,0.0394847756858871,0.969623343309202
"GPR151",6,0,0.0395237645085046,0.969623343309202
"OR5H6",6,0,0.0396702352054617,0.969623343309202
"UBA3",6,0,0.0398367372782854,0.969623343309202
"COPS7B",6,0,0.0398956302313652,0.969623343309202
"NUMA1",6,0,0.0400825641903839,0.969623343309202
"FRMPD1",6,0,0.0401516032383232,0.969623343309202
"NPTXR",4,2,0.0404332177768929,0.969623343309202
"RPL22L1",5,1,0.0406456395538036,0.969623343309202
"RNF17",4,2,0.0409710066889504,0.969623343309202
"TET1",5,1,0.0411232862302991,0.969623343309202
"LARP4B",6,0,0.0414604695926637,0.969623343309202
"LRRC4B",6,0,0.0414604695926637,0.969623343309202
"PFDN5",6,0,0.04216283417155,0.969623343309202
"PGAM1",6,0,0.0423372646979816,0.969623343309202
"CYP11B2",5,1,0.0423986650985376,0.969623343309202
"PVRL3",4,2,0.0424872888742745,0.969623343309202
"GTF2H3",6,0,0.0425225545754287,0.969623343309202
"LRRC7",6,0,0.0427705677699102,0.969623343309202
"GPR65",6,0,0.0428223755193765,0.969623343309202
"PWP2",6,0,0.0430196807585921,0.969623343309202
"CCNB3",6,0,0.0434373208243326,0.969623343309202
"BNC1",5,1,0.0435169897042255,0.969623343309202
"SHC2",6,0,0.0435317132999655,0.969623343309202
"COL4A4",5,1,0.0435635766275124,0.969623343309202
"FOSL1",6,0,0.0436262616558519,0.969623343309202
"FBXW7",6,0,0.0436472935856532,0.969623343309202
"ST7",6,0,0.0436999071312976,0.969623343309202
"NEURL2",6,0,0.0438052788293714,0.969623343309202
"PFKP",6,0,0.0439319796198159,0.969623343309202
"TTC16",5,1,0.0439728097515412,0.969623343309202
"CIRH1A",6,0,0.0440589586585195,0.969623343309202
"CDK9",5,1,0.0441843913776791,0.969623343309202
"KANSL1",5,1,0.0442550878402261,0.969623343309202
"AGTR2",6,0,0.0443350361499068,0.969623343309202
"PARP2",6,0,0.0443882782212267,0.969623343309202
"S1PR4",6,0,0.0446445161282039,0.969623343309202
"MTA1",5,1,0.0446691741817453,0.969623343309202
"NUDT19",5,1,0.0447404506767577,0.969623343309202
"WEE2",6,0,0.0452359604083485,0.969847317112187
"OR52I1",6,0,0.0454199667568226,0.969847317112187
"RAPGEF3",6,0,0.0456154146846269,0.969847317112187
"POMT1",6,0,0.0456262915544892,0.969847317112187
"RAB40B",6,0,0.0457460668377519,0.969847317112187
"GNMT",6,0,0.0458333256066998,0.969847317112187
"DND1",6,0,0.0461616689310023,0.969847317112187
"ARL1",6,0,0.0463155036866092,0.969847317112187
"OR51T1",6,0,0.0463485186854978,0.969847317112187
"RBPMS2",6,0,0.0463705385752071,0.969847317112187
"CLDN1",6,0,0.0466243365539817,0.969847317112187
"IQUB",5,1,0.0467218165114369,0.969847317112187
"ALX1",6,0,0.0468126005293382,0.969847317112187
"WIF1",6,0,0.0470125646880936,0.969847317112187
"FOXL2",6,0,0.0471239344613705,0.969847317112187
"LTC4S",6,0,0.0474368304221757,0.969847317112187
"PKN2",6,0,0.0476050973491973,0.969847317112187
"NEK8",6,0,0.0476275669431789,0.969847317112187
"CDC42BPA",4,2,0.0477950171269881,0.969847317112187
"MAP3K3",6,0,0.0478188818975717,0.969847317112187
"CSK",5,1,0.0479241047058769,0.969847317112187
"KLHL17",6,0,0.0480107762787393,0.969847317112187
"PYGO1",6,0,0.0483963072898364,0.971416323274718
"ACVR2A",6,0,0.0486812717585918,0.971416323274718
"ABCD2",6,0,0.0487269831670009,0.971416323274718
"NCR2",5,1,0.0488186122083585,0.971416323274718
"DLX5",6,0,0.0488872278350476,0.971416323274718
"FNIP1",6,0,0.0489789742827589,0.971416323274718
"AGR2",6,0,0.0495437536952251,0.977586655466469
"RBM14",6,0,0.0497060157823891,0.977586655466469
"WDR86",5,1,0.0497640521461737,0.977586655466469
"KPNA1",6,0,0.0498919473461563,0.977586655466469
"CASR",6,0,0.0501484566799802,0.977586655466469
"ALPK3",6,0,0.0502419781735624,0.977586655466469
"TPM2",6,0,0.0503356306939954,0.977586655466469
"UBE2G1",6,0,0.0506526766463254,0.980833635059763
"CDC23",6,0,0.0509475728975003,0.983474416077444
"SNRNP40",6,0,0.0510895800559711,0.983474416077444
"NOS1",5,1,0.0512864710326286,0.984369363368194
"HNRNPUL1",6,0,0.0516247537108712,0.985632778874869
"KLF2",6,0,0.05179210646166,0.985632778874869
"POLM",6,0,0.0518040757727968,0.985632778874869
"GNB1",6,0,0.0521520885620036,0.986456408579623
