"","#wt","#mut","pvalue","p_adj"
"EPHB2",6,0,0.000117611962781705,0.449365510908879
"MAPK3",5,1,0.000271335198854916,0.449365510908879
"FER1L6-AS1",5,1,0.000292738324140007,0.449365510908879
"CHRM1",6,0,0.000339927323215417,0.449365510908879
"SLC39A1",6,0,0.000343289160358196,0.449365510908879
"TAPBPL",6,0,0.000625206570772363,0.556103952617975
"IGSF21",6,0,0.000629472868953762,0.556103952617975
"KPNA6",6,0,0.00068966252558289,0.556103952617975
"GPR37L1",6,0,0.000830284552784666,0.556103952617975
"ABCC12",5,1,0.000876171399073589,0.556103952617975
"RAB24",6,0,0.00106542826010014,0.556103952617975
"LGALS1",6,0,0.00108289532097561,0.556103952617975
"TMEM141",6,0,0.00112707497004638,0.556103952617975
"ADAR",6,0,0.00125053986125179,0.556103952617975
"NAV2",6,0,0.00145045725361348,0.556103952617975
"HK3",6,0,0.00146903134978438,0.556103952617975
"STK10",6,0,0.00149387933771816,0.556103952617975
"IRF5",6,0,0.00152939207748259,0.556103952617975
"ZBTB4",6,0,0.00167781616493401,0.55709048679905
"DLX3",6,0,0.00175216059688055,0.55709048679905
"KCNK3",5,1,0.00178745610737663,0.55709048679905
"PAX3",6,0,0.00189999639837868,0.565248928517657
"ASGR1",6,0,0.00207670089362466,0.590956841251017
"SEMA6D",5,1,0.00217041491979519,0.59172009864644
"SLC44A4",6,0,0.00226019900170527,0.59172009864644
"ZCWPW2",6,0,0.00239923368255257,0.59226322130852
"ZRANB2",6,0,0.00246008430269073,0.59226322130852
"ADCY9",6,0,0.00253374640131987,0.59226322130852
"ALDOB",6,0,0.00322518161510976,0.633814322139681
"RPS6KA1",5,1,0.00326893617257562,0.633814322139681
"MED12",6,0,0.00329252698486482,0.633814322139681
"NT5C1B-RDH14",6,0,0.00333586921389928,0.633814322139681
"NCKAP1L",6,0,0.00350162344593741,0.633814322139681
"PUS7L",6,0,0.00355419577773308,0.633814322139681
"COLQ",6,0,0.00356255636756686,0.633814322139681
"GTF2IRD2",6,0,0.00367989980768646,0.633814322139681
"GTF2IRD2B",6,0,0.00367989980768646,0.633814322139681
"GTF2IRD2P1",6,0,0.00367989980768646,0.633814322139681
"ULK2",6,0,0.00399428870909713,0.641156936424349
"SMARCA4",2,4,0.00426263681496808,0.641156936424349
"SERPINA12",6,0,0.00429960432475762,0.641156936424349
"IKZF2",6,0,0.00435369863261537,0.641156936424349
"GLRA1",6,0,0.0044686322832449,0.641156936424349
"JUP",6,0,0.00447368596489306,0.641156936424349
"MYL3",6,0,0.00450410777466692,0.641156936424349
"SYDE2",5,1,0.00450622140191292,0.641156936424349
"LRRTM3",5,1,0.00483656985897596,0.659826536876888
"PHF20",6,0,0.00487370896352135,0.659826536876888
"PDE1C",6,0,0.00501840433172018,0.659826536876888
"PTGER3",6,0,0.00504069164917409,0.659826536876888
"DHTKD1",6,0,0.005293251151817,0.679300564483182
"MADD",6,0,0.00544419838016441,0.685236123041847
"ACP5",6,0,0.0060558831983113,0.721113077619723
"GRB14",6,0,0.00611896233111586,0.721113077619723
"ANKRD7",6,0,0.00615619147356739,0.721113077619723
"HTR3E",6,0,0.00627123237542804,0.721113077619723
"CYP2D7P1",6,0,0.00639030687577447,0.721113077619723
"CYP2D6",6,0,0.00639030687577447,0.721113077619723
"GRIK5",6,0,0.00676589948801964,0.739342314606425
"NAA11",6,0,0.00677777522939427,0.739342314606425
"SVEP1",5,1,0.00701309722196142,0.743156166942525
"KIAA0226",6,0,0.00710744998772395,0.743156166942525
"CHRNA3",6,0,0.00721189062653294,0.743156166942525
"DLST",6,0,0.00739131816760219,0.743156166942525
"SRPX2",6,0,0.00741176366628105,0.743156166942525
"MAK",6,0,0.00749401176748765,0.743156166942525
"PITX2",6,0,0.0081627862679704,0.777838311328034
"ZNF165",6,0,0.00824623199287433,0.777838311328034
"MYBL1",6,0,0.00829102198206089,0.777838311328034
"NR1H3",6,0,0.00841806579393622,0.777838311328034
"DNMT3L",6,0,0.00843797098614063,0.777838311328034
"HDAC9",4,2,0.00912733099954577,0.80089591896428
"KCNMB1",6,0,0.00916547119384004,0.80089591896428
"SHD",6,0,0.00956221228415299,0.80089591896428
"PCGF2",6,0,0.0096317958624943,0.80089591896428
"ZBTB8B",6,0,0.00991103620266276,0.80089591896428
"CHFR",6,0,0.00992403219933302,0.80089591896428
"CDC27",5,1,0.0101285030585045,0.80089591896428
"OSM",6,0,0.0101669808073684,0.80089591896428
"HIST1H1D",6,0,0.0101736137691266,0.80089591896428
"SCRT1",5,1,0.0102781625279971,0.80089591896428
"MAP3K9",6,0,0.010340589646468,0.80089591896428
"FBXW10",6,0,0.0103708814856419,0.80089591896428
"CDRT1",6,0,0.0103708814856419,0.80089591896428
"CFTR",6,0,0.0104012457008348,0.80089591896428
"DUSP10",6,0,0.0107435332144553,0.810847339229299
"ZCRB1",6,0,0.0107782610409395,0.810847339229299
"MYOZ3",6,0,0.0110664946441239,0.813711884041919
"GNG10",6,0,0.0114702921178692,0.813711884041919
"DNAJC25-GNG10",6,0,0.0114702921178692,0.813711884041919
"CHD1L",5,1,0.0115031116536676,0.813711884041919
"EDF1",6,0,0.0115989085492714,0.813711884041919
"MCMBP",6,0,0.0116173776869365,0.813711884041919
"LAMA5",4,2,0.0116866183498763,0.813711884041919
"CYP27C1",5,1,0.0118237060648811,0.814287626467121
"ID1",6,0,0.0120678615575311,0.814287626467121
"MAD1L1",6,0,0.0122095871103558,0.814287626467121
"CSNK1A1L",6,0,0.0123798814756372,0.814287626467121
"IQCA1",6,0,0.0127342156211946,0.814287626467121
"IDO2",6,0,0.012774088417603,0.814287626467121
"PDE4B",5,1,0.0127747192144413,0.814287626467121
"MAP1LC3B",5,1,0.0128375293443389,0.814287626467121
"ABCB10",5,1,0.0130456428635957,0.814287626467121
"DUSP12",5,1,0.0131598718156132,0.814287626467121
