"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MME","MME",2,0.172511319197576,4,"0.72723815219356",1,NA,NA
"NF2","NF2",2,0.186228058683043,4,"0.620602135857098",1,NA,NA
"COL3A1","COL3A1",2,0.253830929652268,4,"0.305233436778955",1,NA,NA
"SPG7","SPG7",2,0.299966083617216,4,"0.611691579951481",1,NA,NA
"TTN","TTN",2,0.30723994687724,4,"0.199919936053423",1,NA,NA
"ATRX","ATRX",2,0.328820556771505,4,"0.428186082418085",1,NA,NA
"SMARCA4","SMARCA4",4,0.402643208160807,2,"0.00429127265225704",1,NA,NA
"CDKN2A","CDKN2A",2,0.408594389075965,4,"0.810180425934983",1,NA,NA
"TIAM1","TIAM1",2,0.524710443297167,4,"0.220066490675671",1,NA,NA
"GPR98","GPR98",2,0.615091166955146,4,"0.290624882731168",1,NA,NA
"ADAMTS20","ADAMTS20",2,0.800324475111583,4,"0.517878786107001",1,NA,NA
"KIF15","KIF15",2,0.854196598979653,4,"0.344653399820565",1,NA,NA
"NTNG1","NTNG1",2,0.907504108374736,4,"0.613949865323257",1,NA,NA
"MAP4K3","MAP4K3",1,0.00564796912271837,5,"0.753260835137058",1,NA,NA
"MAPK15","MAPK15",1,0.00753061728854743,5,"0.361016551441488",1,NA,NA
"BDP1","BDP1",1,0.0101977021901385,5,"0.758326725410969",1,NA,NA
"DNMBP","DNMBP",1,0.0277690850712098,5,"0.615904456724793",1,NA,NA
"NWD1","NWD1",1,0.0352212340609499,5,"0.975228746534338",1,NA,NA
"NFASC","NFASC",1,0.0462817920351957,5,"0.832215118149541",1,NA,NA
"PRDM2","PRDM2",1,0.0505961940818873,5,"0.145908144540928",1,NA,NA
"IL1RL1","IL1RL1",1,0.0536554973513594,5,"0.262096997821477",1,NA,NA
"DCAF8","DCAF8",1,0.0543614904135453,5,"0.685245565026032",1,NA,NA
"PHF7","PHF7",1,0.0555381455171885,5,"0.779967675777774",1,NA,NA
"MDH1B","MDH1B",1,0.0581267867452034,5,"0.646665178670586",1,NA,NA
"SLC7A8","SLC7A8",1,0.0600878785846087,5,"0.740346028857137",1,NA,NA
"MTOR","MTOR",1,0.0621274140975903,5,"0.999866339976334",1,NA,NA
"ARID1A","ARID1A",1,0.0686382390044157,5,"0.779470043464563",1,NA,NA
"NEK3","NEK3",1,0.072795753703955,5,"0.315471430173289",1,NA,NA
"CARM1","CARM1",1,0.100486370476357,5,"0.489899333574556",1,NA,NA
"BCS1L","BCS1L",1,0.101035476191391,5,"0.90079850022012",1,NA,NA
"AQP4","AQP4",1,0.10456544150232,5,"0.562253407246088",1,NA,NA
"TENM4","TENM4",1,0.104643885175897,5,"0.630713821220887",1,NA,NA
"STK33","STK33",1,0.123313479487035,5,"0.576058545240033",1,NA,NA
"LRRIQ4","LRRIQ4",1,0.125509902347169,5,"0.0648517339991763",1,NA,NA
"ATG4C","ATG4C",1,0.126765001124388,5,"0.833548892285307",1,NA,NA
"PVRL1","PVRL1",1,0.129588973373132,5,"0.236956738991678",1,NA,NA
"CBX8","CBX8",1,0.136648903994991,5,"0.116815485919364",1,NA,NA
"FCGR2B","FCGR2B",1,0.141041749715259,5,"0.332180591640696",1,NA,NA
"COL1A2","COL1A2",1,0.149748997482218,5,"0.732041949425587",1,NA,NA
"SLC16A3","SLC16A3",1,0.153906512181757,5,"0.581502072236216",1,NA,NA
"CIT","CIT",1,0.154769392591095,5,"0.85448172214819",1,NA,NA
"ARHGEF17","ARHGEF17",1,0.155161610958976,5,"0.287160830697562",1,NA,NA
"ULK4","ULK4",1,0.173674317922962,5,"0.294336845115632",1,NA,NA
"LRP1B","LRP1B",1,0.177674945275349,5,"0.262952726275733",1,NA,NA
"ETV6","ETV6",1,0.187637291819528,5,"0.191440982656777",1,NA,NA
"ARHGAP31","ARHGAP31",1,0.188029510187409,5,"0.268744194536813",1,NA,NA
"YME1L1","YME1L1",1,0.195010997135692,5,"0.717485539429534",1,NA,NA
"ROBO2","ROBO2",1,0.20395357592338,5,"0.999853148184862",1,NA,NA
"KIF6","KIF6",1,0.209601520420867,5,"0.635655966841533",1,NA,NA
"PEX1","PEX1",1,0.215641683286235,5,"0.597513838780926",1,NA,NA
