"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"OR2T11","OR2T11",2,0.0060807905522398,4,"0.294643349823551",1,NA,NA
"RAPGEF3","RAPGEF3",2,0.03635974896496,4,"0.152664941990451",1,NA,NA
"TSPAN11","TSPAN11",2,0.0547270840821039,4,"0.236176741981525",1,NA,NA
"OR2T29","OR2T29",2,0.0671065386049077,4,"0.688841815805394",1,NA,NA
"CDH12","CDH12",2,0.0989843059618443,4,"0.916721722461504",1,NA,NA
"OR2T10","OR2T10",3,0.157338171181118,3,"0.712807458234368",1,NA,NA
"ALG10B","ALG10B",2,0.170398872519904,4,"0.444891761405726",1,NA,NA
"PDZRN4","PDZRN4",2,0.179981682664783,4,"0.691958403943552",1,NA,NA
"SOX17","SOX17",2,0.200755538146682,4,"0.731498116963936",1,NA,NA
"MYO10","MYO10",3,0.256261195681453,3,"0.532678175898373",1,NA,NA
"PRDM9","PRDM9",2,0.257351354762919,4,"0.856666986379449",1,NA,NA
"NPBWR1","NPBWR1",2,0.258118994420216,4,"0.0557807454649609",1,NA,NA
"AHR","AHR",2,0.286573188979026,4,"0.268671663873133",1,NA,NA
"OPRK1","OPRK1",2,0.333881914882894,4,"0.766527324625116",1,NA,NA
"LIMS3","LIMS3",2,0.342107386571245,4,"0.0851271338646079",1,NA,NA
"LIMS3-LOC440895","LIMS3-LOC440895",2,0.342107386571245,4,"0.0851271338646079",1,NA,NA
"LIMS3L","LIMS3L",2,0.342107386571245,4,"0.0851271338646079",1,NA,NA
"MCM4","MCM4",2,0.349602275440589,4,"0.000442320834360438",1,NA,NA
"PHF14","PHF14",2,0.372047001010548,4,"0.410316746795207",1,NA,NA
"AMIGO2","AMIGO2",2,0.429867144572177,4,"0.317292573167314",1,NA,NA
"CNTN1","CNTN1",2,0.480041345936766,4,"0.866593198771035",1,NA,NA
"YAF2","YAF2",2,0.490045464043956,4,"0.196952135777637",1,NA,NA
"ARID2","ARID2",2,0.499007671753754,4,"0.364221388848967",1,NA,NA
"SNAI2","SNAI2",2,0.514104088006588,4,"0.0559549728746654",1,NA,NA
"VDR","VDR",2,0.516284929639424,4,"0.362639871409222",1,NA,NA
"CAPRIN2","CAPRIN2",2,0.526595519773419,4,"0.419716266232558",1,NA,NA
"PRICKLE1","PRICKLE1",2,0.542949054304165,4,"0.568583147631281",1,NA,NA
"TCEA1","TCEA1",2,0.551452141622033,4,"0.274945423087567",1,NA,NA
"PPHLN1","PPHLN1",2,0.588000406885858,4,"0.0335433533300595",1,NA,NA
"GXYLT1","GXYLT1",2,0.588693367106242,4,"0.893526249201991",1,NA,NA
"CYP2A7","CYP2A7",2,0.589316532625219,4,"0.442322030957035",1,NA,NA
"MTMR12","MTMR12",2,0.590146685087943,4,"0.105852171515947",1,NA,NA
"LRRK2","LRRK2",2,0.60031617524253,4,"0.24256054842398",1,NA,NA
"TWF1","TWF1",2,0.645398892299446,4,"0.974897296038347",1,NA,NA
"AGR2","AGR2",2,0.659091826560567,4,"0.125356698381362",1,NA,NA
"RB1CC1","RB1CC1",2,0.682207870893417,4,"0.434276588349977",1,NA,NA
"CFHR3","CFHR3",3,0.707727975372757,3,"0.636180742407652",1,NA,NA
"ALG10","ALG10",2,0.712616792366099,4,"0.512675285758642",1,NA,NA
"SLC38A1","SLC38A1",2,0.739240419412571,4,"0.105777743620988",1,NA,NA
"ARL4A","ARL4A",2,0.760253331683175,4,"0.155085287920318",1,NA,NA
"ZCRB1","ZCRB1",2,0.799583065169618,4,"0.131714366548459",1,NA,NA
"IRAK4","IRAK4",2,0.803480402202439,4,"0.620038947788593",1,NA,NA
"ADAMTS20","ADAMTS20",2,0.803958901131748,4,"0.26452642410115",1,NA,NA
"HDAC7","HDAC7",2,0.804341280334674,4,"0.0303837229691824",1,NA,NA
"RGPD6","RGPD6",2,0.849241035700241,4,"8.3516158008949e-06",1,NA,NA
"TMEM117","TMEM117",2,0.859137634834251,4,"0.710337409068583",1,NA,NA
"OR2T34","OR2T34",3,0.859921682821784,3,"0.275791308080314",1,NA,NA
"PRKDC","PRKDC",2,0.88047556122119,4,"0.908820409086929",1,NA,NA
"ABCD2","ABCD2",2,0.885060845552074,4,"0.764421095659881",1,NA,NA
"KIF21A","KIF21A",2,0.893751247201724,4,"0.925235287767986",1,NA,NA
"UBE2V2","UBE2V2",2,0.922021573253351,4,"0.661642764497091",1,NA,NA
"CDH6","CDH6",2,0.931628521646544,4,"0.946432606967978",1,NA,NA
"NPR3","NPR3",2,0.936263437851054,4,"0.517406673364811",1,NA,NA
"PUS7L","PUS7L",2,0.941155631839301,4,"0.224599609465904",1,NA,NA
"ETV1","ETV1",2,0.941521855018574,4,"0.2949530978509",1,NA,NA
"ST18","ST18",2,0.965429991189241,4,"0.90397655439501",1,NA,NA
"DROSHA","DROSHA",2,0.995807586607807,4,"0.146882251353939",1,NA,NA
"RPAP3","RPAP3",2,0.999710633611736,4,"0.084720958939525",1,NA,NA
"KRAS","KRAS",1,0.000152765047357165,5,"0.899287074151177",0.110143599144516,NA,NA
"TCF15","TCF15",1,0.00381856600652093,5,"0.0271672402249484",1,NA,NA
"STK38L","STK38L",1,0.00610969160599829,5,"0.675381279269003",1,NA,NA
"SAMD4B","SAMD4B",1,0.0123721015779031,5,"0.755971468336671",1,NA,NA
"RAD50","RAD50",1,0.0139758894975372,5,"0.480566364363387",1,NA,NA
"PMP2","PMP2",1,0.0195509617895988,5,"0.066970050910768",1,NA,NA
"NLK","NLK",1,0.0196273326429147,5,"0.0309187618119968",1,NA,NA
"GSK3A","GSK3A",1,0.0235222461620262,5,"0.597208697254439",1,NA,NA
"WIF1","WIF1",1,0.0248969215217126,5,"0.369277946303802",1,NA,NA
"CPA6","CPA6",1,0.0255078883482399,5,"0.923079396700693",1,NA,NA
"MTMR9LP","MTMR9LP",1,0.031464814906881,5,"0.127795723465394",1,NA,NA
"CCNT1","CCNT1",1,0.0324576359999879,5,"0.925106893111278",1,NA,NA
"PLEKHG4B","PLEKHG4B",1,0.0328394902665674,5,"0.78815649821243",1,NA,NA
"ATP4A","ATP4A",1,0.0336795696530425,5,"0.101437938548962",1,NA,NA
"BIRC2","BIRC2",1,0.0393310127984199,5,"0.156226497120714",1,NA,NA
"GSTT2","GSTT2",1,0.0398656087716313,5,"0.836769403647694",1,NA,NA
"GSTT2B","GSTT2B",1,0.0398656087716313,5,"0.836769403647694",1,NA,NA
"SDR9C7","SDR9C7",1,0.0484191443430134,5,"0.870401412012463",1,NA,NA
"ARHGEF37","ARHGEF37",1,0.0487246277562771,5,"0.505946380798428",1,NA,NA
"SEMA6A","SEMA6A",1,0.0504811573825431,5,"0.42448953918078",1,NA,NA
"SDCBP","SDCBP",1,0.0517794618889136,5,"0.640541178179728",1,NA,NA
"MBD6","MBD6",1,0.0530013955419681,5,"0.275155425030065",1,NA,NA
"DPY19L3","DPY19L3",1,0.0535359915151795,5,"0.175211463139539",1,NA,NA
"DLL3","DLL3",1,0.0538414749284432,5,"0.300800490666918",1,NA,NA
"AXL","AXL",1,0.05483429602155,5,"0.761526396033234",1,NA,NA
"LRIG3","LRIG3",1,0.0549870377281819,5,"0.166685526506333",1,NA,NA
"SLC1A3","SLC1A3",1,0.0554452628480773,5,"0.861219547564097",1,NA,NA
"GMFG","GMFG",1,0.0562853422345524,5,"0.79112579582471",1,NA,NA
"CA8","CA8",1,0.0589583221006093,5,"0.282009009645609",1,NA,NA
"ATP5B","ATP5B",1,0.0614021894067184,5,"0.00499933253744192",1,NA,NA
"C1QL4","C1QL4",1,0.0614021894067184,5,"0.531349731536174",1,NA,NA
"MEOX2","MEOX2",1,0.0619367853799298,5,"0.335866284473079",1,NA,NA
"UBA3","UBA3",1,0.0621658979398776,5,"0.000748386707253427",1,NA,NA
"TSPAN31","TSPAN31",1,0.0636169441528799,5,"0.96367036300247",1,NA,NA
"TCF7","TCF7",1,0.0643042818327231,5,"0.810616972120696",1,NA,NA
"ANKRD33B","ANKRD33B",1,0.0646097652459867,5,"0.564870773200683",1,NA,NA
"NEUROG1","NEUROG1",1,0.0700320958314165,5,"0.432645468888589",1,NA,NA
"MC2R","MC2R",1,0.0704903209513119,5,"0.417887510788027",1,NA,NA
"PAK4","PAK4",1,0.0733924133773166,5,"0.855898749893212",1,NA,NA
"RGPD4","RGPD4",1,0.0751489430035826,5,"0.060942587731543",1,NA,NA
"CBX5","CBX5",1,0.0762945058033212,5,"0.996211711388852",1,NA,NA
"CDC23","CDC23",1,0.0787383731094304,5,"0.0178401881105852",1,NA,NA
"WNT10B","WNT10B",1,0.0795784524959054,5,"0.844847294519623",1,NA,NA
"PLAG1","PLAG1",1,0.0833206243083851,5,"0.992939652379005",1,NA,NA
"PIK3C2G","PIK3C2G",1,0.0838552202815965,5,"0.378476930922665",1,NA,NA
"KCNC2","KCNC2",1,0.0865282001476534,5,"0.682660844171212",1,NA,NA
"MAP3K10","MAP3K10",1,0.0867573127076011,5,"0.806265195876189",1,NA,NA
"BCDIN3D","BCDIN3D",1,0.0895830342802899,5,"0.606124022776075",1,NA,NA
"RAB5B","RAB5B",1,0.0895830342802899,5,"0.948092362952256",1,NA,NA
"TNFRSF21","TNFRSF21",1,0.0907285970800286,5,"0.162852664789517",1,NA,NA
"UCKL1","UCKL1",1,0.0913395639065559,5,"0.686235181902182",1,NA,NA
"KIF20A","KIF20A",1,0.0933252060927696,5,"0.379965394183805",1,NA,NA
"TMTC4","TMTC4",1,0.0940125437726128,5,"0.134512246766268",1,NA,NA
"DCT","DCT",1,0.094699881452456,5,"0.304597128701276",1,NA,NA
"GPR151","GPR151",1,0.0949289940124037,5,"0.172250851899661",1,NA,NA
"MCRS1","MCRS1",1,0.095539960838931,5,"0.374021678170526",1,NA,NA
"CEACAM1","CEACAM1",1,0.0961509276654583,5,"0.474034996992372",1,NA,NA
"KCNRG","KCNRG",1,0.0991293909447789,5,"0.0126809641542731",1,NA,NA
"WDFY2","WDFY2",1,0.103864383850365,5,"0.682372553316343",1,NA,NA
"KCNK6","KCNK6",1,0.104322608970261,5,"0.766158625688715",1,NA,NA
"CDK4","CDK4",1,0.10470446323684,5,"0.933013963261367",1,NA,NA
"HNRNPA0","HNRNPA0",1,0.105773655183263,5,"0.62077904577129",1,NA,NA
"KIF4B","KIF4B",1,0.107301072249581,5,"0.670548651365324",1,NA,NA
"SLC7A9","SLC7A9",1,0.108675747609268,5,"0.983774630910131",1,NA,NA
"MAG","MAG",1,0.111730581741904,5,"0.666403033746214",1,NA,NA
"LOX","LOX",1,0.112723402835011,5,"0.537594774470253",1,NA,NA
"ZBTB10","ZBTB10",1,0.115243640994436,5,"0.511434289902172",1,NA,NA
"RAPGEF6","RAPGEF6",1,0.118298475127073,5,"0.279429868142999",1,NA,NA
"LMBR1L","LMBR1L",1,0.120131375606655,5,"0.616525839197056",1,NA,NA
"FFAR2","FFAR2",1,0.120360488166602,5,"0.597608932075044",1,NA,NA
"KCNH3","KCNH3",1,0.122040646939552,5,"0.271026876671195",1,NA,NA
"RNF139","RNF139",1,0.122040646939552,5,"0.387256020182448",1,NA,NA
"CACNB3","CACNB3",1,0.123873547419134,5,"0.084925643163823",1,NA,NA
"CD74","CD74",1,0.125553706192084,5,"0.859159564014548",1,NA,NA
"ATP10B","ATP10B",1,0.127386606671666,5,"0.71382631947284",1,NA,NA
"PLAGL2","PLAGL2",1,0.129830473977775,5,"0.388313217785895",1,NA,NA
"TGS1","TGS1",1,0.132579824697148,5,"0.977447524816949",1,NA,NA
"ZFP36","ZFP36",1,0.134107241763467,5,"0.86391016407877",1,NA,NA
"MEGF8","MEGF8",1,0.135100062856573,5,"0.952809893800984",1,NA,NA
"METTL1","METTL1",1,0.136398367362944,5,"0.892745287616588",1,NA,NA
"PGK2","PGK2",1,0.137925784429262,5,"0.549013161547011",1,NA,NA
"ANXA6","ANXA6",1,0.138765863815737,5,"0.522677187914763",1,NA,NA
"RUFY1","RUFY1",1,0.13945320149558,5,"0.126033946815125",1,NA,NA
"FOSB","FOSB",1,0.140598764295319,5,"0.864169594662877",1,NA,NA
