"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"POLE","POLE",2,3.52870609413472e-05,4,"0.0211247421854284",0.0392392117667781,NA,NA
"ZFHX3","ZFHX3",3,0.00219883678208861,3,"0.150031408803826",1,NA,NA
"FBXW7","FBXW7",2,0.00316029234838901,4,"0.330165894014222",1,NA,NA
"ABCA1","ABCA1",2,0.0131687153200773,4,"0.761664728299784",1,NA,NA
"CDC42BPA","CDC42BPA",2,0.0177054477109706,4,"0.547233680773952",1,NA,NA
"RNF43","RNF43",2,0.0250528482978003,4,"0.00107107323469501",1,NA,NA
"NRCAM","NRCAM",2,0.0278266726524787,4,"0.650922754845816",1,NA,NA
"RBM39","RBM39",2,0.0282063077070965,4,"0.0142253283640985",1,NA,NA
"TP53","TP53",2,0.0550813856165855,4,"0.0155300150674638",1,NA,NA
"WDR11","WDR11",2,0.0565613845345473,4,"0.563212005423863",1,NA,NA
"PRKACG","PRKACG",2,0.0949486771271601,4,"0.842662728391479",1,NA,NA
"SLITRK2","SLITRK2",2,0.0990182890688211,4,"0.888979771983491",1,NA,NA
"CDH4","CDH4",2,0.110551256753878,4,"0.147371737758624",1,NA,NA
"PKHD1","PKHD1",3,0.128477416684595,3,"0.230924815904495",1,NA,NA
"ITK","ITK",2,0.132321229141111,4,"0.684939546423878",1,NA,NA
"NPY5R","NPY5R",2,0.135880750303151,4,"0.732091957554297",1,NA,NA
"ATP8B4","ATP8B4",2,0.140659758427806,4,"0.811991762422997",1,NA,NA
"CADM2","CADM2",3,0.143299433771891,3,"0.174301249452634",1,NA,NA
"GABRG2","GABRG2",2,0.147174060080487,4,"0.87799279624649",1,NA,NA
"KEAP1","KEAP1",2,0.156601632255549,4,"0.731667848001335",1,NA,NA
"PRDM14","PRDM14",2,0.159047322309297,4,"0.950388299803786",1,NA,NA
"BAI1","BAI1",2,0.163252849081521,4,"0.261793691542192",1,NA,NA
"PRDM9","PRDM9",2,0.164652277651829,4,"0.906419755418801",1,NA,NA
"RPAP1","RPAP1",2,0.168797639184962,4,"0.0239481130607767",1,NA,NA
"RB1","RB1",2,0.182095581756422,4,"0.860163152109485",1,NA,NA
"FARP2","FARP2",2,0.201821580567718,4,"0.186282364636119",1,NA,NA
"RAI1","RAI1",2,0.204059700398475,4,"0.347140754537066",1,NA,NA
"MMS22L","MMS22L",2,0.204254902764916,4,"0.283978440600275",1,NA,NA
"PAMR1","PAMR1",2,0.206506437362316,4,"0.230508564480111",1,NA,NA
"ITGB4","ITGB4",2,0.208622293249438,4,"0.981799547169265",1,NA,NA
"DNMT1","DNMT1",2,0.211195408987204,4,"0.00700333115676483",1,NA,NA
"ANO1","ANO1",2,0.225424289660867,4,"0.853423174461329",1,NA,NA
"PKHD1L1","PKHD1L1",2,0.231671794799569,4,"0.628320823562657",1,NA,NA
"COL5A1","COL5A1",2,0.240858504664861,4,"0.847428894502466",1,NA,NA
