"","#wt","#mut","pvalue","p_adj"
"CENPA",5,1,0.00818266248326484,0.924295900010146
"IQGAP1",5,1,0.00949574537114017,0.924295900010146
"EZH2",5,1,0.0119537981024163,0.924295900010146
"ANKRD31",5,1,0.0143578816639681,0.924295900010146
"KRAS",5,1,0.0174338448405294,0.924295900010146
"TNFRSF10A",5,1,0.0174421692659819,0.924295900010146
"ABCA1",4,2,0.0178590510593771,0.924295900010146
"GLUD2",5,1,0.0214794805188128,0.924295900010146
"BMPER",5,1,0.0214943909616415,0.924295900010146
"NRAS",5,1,0.0219432597188064,0.924295900010146
"RBM15B",5,1,0.0234872267783016,0.924295900010146
"TBC1D22A",5,1,0.0242804682336176,0.924295900010146
"VPS4A",5,1,0.0252579493394366,0.924295900010146
"KIAA2026",5,1,0.0254808628534773,0.924295900010146
"BDP1",5,1,0.0278760883564967,0.924295900010146
"MYLK2",5,1,0.0284058597949712,0.924295900010146
"MAGEB18",5,1,0.0285033626438206,0.924295900010146
"EPB41L5",5,1,0.0290078440492931,0.924295900010146
"ITGB4",4,2,0.0290367478208856,0.924295900010146
"KIF24",5,1,0.0296692049397184,0.924295900010146
"MAGEC3",5,1,0.032644857972249,0.924295900010146
"ACAN",5,1,0.0334494127754272,0.924295900010146
"ID1",5,1,0.0334530087047812,0.924295900010146
"SLITRK2",4,2,0.0336707953902927,0.924295900010146
"PRDM14",4,2,0.033819691097131,0.924295900010146
"NRCAM",4,2,0.0391808667460372,0.924295900010146
"MED7",5,1,0.039257336186084,0.924295900010146
"ZBTB7A",5,1,0.0398346667216546,0.924295900010146
"ALDH2",5,1,0.0412911390685049,0.924295900010146
"PRKACG",4,2,0.0422854250313868,0.924295900010146
"KBTBD7",5,1,0.0441844507122147,0.924295900010146
"COL6A6",5,1,0.0448607758635585,0.924295900010146
"CDC42BPA",4,2,0.0450690924762687,0.924295900010146
"AJAP1",5,1,0.0453377621702298,0.924295900010146
"SIX5",5,1,0.0453792309028299,0.924295900010146
"SCN7A",5,1,0.0455315439955981,0.924295900010146
"SERPINI1",5,1,0.0455454109999715,0.924295900010146
"MAGEA2",5,1,0.0462197080173788,0.924295900010146
"MAGEA2B",5,1,0.0462197080173788,0.924295900010146
"DGKI",5,1,0.0466375418955596,0.924295900010146
"TERF1",5,1,0.0477842088328266,0.924295900010146
"CDK9",5,1,0.0497917014480672,0.924295900010146
"ZNF197",5,1,0.050135228589726,0.924295900010146
"PRDM9",4,2,0.0519005019661352,0.924295900010146
"GABRG2",4,2,0.0545152541727982,0.924295900010146
