"","#wt","#mut","pvalue","p_adj"
"LRIG3",5,1,0.00696880052071169,0.874868599665131
"CCNA2",5,1,0.0114940424973947,0.874868599665131
"PHF12",5,1,0.0258183206856197,0.874868599665131
"KEAP1",5,1,0.0365454104176356,0.874868599665131
"SLC44A5",5,1,0.0416941988779709,0.874868599665131
"ALDH1L1",5,1,0.0425711325931744,0.874868599665131
"SPEG",4,2,0.0494332184271771,0.874868599665131
"DPF3",5,1,0.0505409076769359,0.874868599665131
"ZADH2",5,1,0.0529154295395544,0.874868599665131
"AKR1B15",5,1,0.0570447164470397,0.874868599665131
"PTPRD",5,1,0.0666393900586082,0.874868599665131
"ADAM17",5,1,0.0679098771759225,0.874868599665131
"COL25A1",5,1,0.0707680985417118,0.874868599665131
"ASH1L",5,1,0.072978451532983,0.874868599665131
"TAF1L",5,1,0.0740423053187204,0.874868599665131
"CBX8",5,1,0.0765104847426328,0.874868599665131
"ARID1B",4,2,0.0822605061480904,0.874868599665131
"RALBP1",5,1,0.0858247094888563,0.874868599665131
"DIMT1",5,1,0.0906309464899013,0.874868599665131
"C1orf159",5,1,0.0945475961204693,0.874868599665131
"GBP2",5,1,0.0951510089266224,0.874868599665131
"VIT",5,1,0.0992519998485425,0.874868599665131
"ITPKB",5,1,0.100250435267703,0.874868599665131
"JAK1",5,1,0.10142737367354,0.874868599665131
"SORL1",5,1,0.102718034886116,0.874868599665131
"FOXA2",5,1,0.104247579961818,0.874868599665131
"ABCD4",5,1,0.123960822757845,0.874868599665131
"ARID4A",5,1,0.126961262677996,0.874868599665131
"ACAN",5,1,0.13236651508964,0.874868599665131
"IQCG",5,1,0.133487133782796,0.874868599665131
"DDX58",5,1,0.133580812336001,0.874868599665131
"PSG2",5,1,0.137545551781136,0.874868599665131
"PILRB",5,1,0.137673055908864,0.874868599665131
"VCAN",5,1,0.13837577029564,0.874868599665131
"CDC25B",5,1,0.140746575587704,0.874868599665131
"EML5",5,1,0.140897685156385,0.874868599665131
"KCNH7",5,1,0.141449086197682,0.874868599665131
"CHUK",5,1,0.143406884888404,0.874868599665131
"ATRNL1",5,1,0.14468922025362,0.874868599665131
"LRP5",5,1,0.14468922025362,0.874868599665131
"MAP4K3",5,1,0.145846590528162,0.874868599665131
"IFT140",5,1,0.147110190457205,0.874868599665131
"EXOC8",5,1,0.155202438792227,0.874868599665131
"ZEB2",5,1,0.155756024908549,0.874868599665131
"TMEM63B",5,1,0.158882480854061,0.874868599665131
"CSF1R",5,1,0.161009145221059,0.874868599665131
"FREM2",4,2,0.161835894970905,0.874868599665131
"ZMYM5",5,1,0.162880687351524,0.874868599665131
"LRRK2",5,1,0.163142399310658,0.874868599665131
"TICAM1",5,1,0.170421974742951,0.874868599665131
"RGS5",5,1,0.171378580422139,0.874868599665131
"MAGEC1",5,1,0.171944338278636,0.874868599665131
"STAT4",5,1,0.174778545958063,0.874868599665131
"ANK1",5,1,0.174927876576315,0.874868599665131
"COL22A1",5,1,0.175301557214839,0.874868599665131
"KCNH1",5,1,0.175600865882607,0.874868599665131
"ARID1A",5,1,0.185685096092258,0.882785568092175
"ALDH18A1",5,1,0.186254231763882,0.882785568092175
"TIMD4",5,1,0.189770275276633,0.882785568092175
"BTNL9",5,1,0.196254651357058,0.882785568092175
