"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MUC12","MUC12",-1,-1,5,"2.52323135108146e-06",0.0156314182199496,NA,NA
"SMYD2","SMYD2",-1,-1,6,"6.64807617906105e-05",0.411781838531041,NA,NA
"GPSM1","GPSM1",-1,-1,6,"0.000163744122395615",1,NA,NA
"FRY","FRY",-1,-1,5,"0.000195006228409955",1,NA,NA
"MCHR1","MCHR1",-1,-1,6,"0.00024396324201581",1,NA,NA
"MED13L","MED13L",-1,-1,6,"0.000287007389321525",1,NA,NA
"EZH2","EZH2",-1,-1,5,"0.000288828252215656",1,NA,NA
"CX3CR1","CX3CR1",-1,-1,6,"0.000383440032467153",1,NA,NA
"MED13","MED13",-1,-1,5,"0.00040882590466762",1,NA,NA
"RSF1","RSF1",-1,-1,6,"0.000466502163206317",1,NA,NA
"CXCL12","CXCL12",-1,-1,5,"0.000504920357685346",1,NA,NA
"MTAP","MTAP",-1,-1,5,"0.000554743321150686",1,NA,NA
"UCK2","UCK2",-1,-1,5,"0.000686235928648693",1,NA,NA
"ARHGEF33","ARHGEF33",-1,-1,6,"0.000694649303446648",1,NA,NA
"LAMP3","LAMP3",-1,-1,6,"0.000715996465233681",1,NA,NA
"NAV2","NAV2",-1,-1,6,"0.000737136435741248",1,NA,NA
"FOXR1","FOXR1",-1,-1,5,"0.000917346797327467",1,NA,NA
"MYSM1","MYSM1",-1,-1,6,"0.00100564443889239",1,NA,NA
"ABCB8","ABCB8",-1,-1,6,"0.00101345017809373",1,NA,NA
"IQGAP1","IQGAP1",-1,-1,5,"0.0010190654877742",1,NA,NA
"NAT8B","NAT8B",-1,-1,6,"0.00124239810249471",1,NA,NA
"TNS1","TNS1",-1,-1,6,"0.00129311755884287",1,NA,NA
"C17orf80","C17orf80",-1,-1,6,"0.0016748384554256",1,NA,NA
"NPFFR1","NPFFR1",-1,-1,6,"0.00171162053441365",1,NA,NA
"TCL1A","TCL1A",-1,-1,6,"0.00181168754155836",1,NA,NA
"ADCY7","ADCY7",-1,-1,6,"0.00189092494185072",1,NA,NA
"LRIG2","LRIG2",-1,-1,6,"0.0024775571467992",1,NA,NA
"SLC12A7","SLC12A7",-1,-1,5,"0.00248555207059775",1,NA,NA
"CPEB4","CPEB4",-1,-1,5,"0.00248676123174474",1,NA,NA
"PRKAG3","PRKAG3",-1,-1,6,"0.0025664799907904",1,NA,NA
"KLHL21","KLHL21",-1,-1,6,"0.00287959920928416",1,NA,NA
"LGR6","LGR6",-1,-1,6,"0.00290539947046808",1,NA,NA
"OR11L1","OR11L1",-1,-1,6,"0.00309144635989689",1,NA,NA
"TAS1R2","TAS1R2",-1,-1,6,"0.00328861013021964",1,NA,NA
"ARHGAP35","ARHGAP35",-1,-1,5,"0.00329915073465636",1,NA,NA
"IL18RAP","IL18RAP",-1,-1,5,"0.00332348288892026",1,NA,NA
"MLL","MLL",-1,-1,6,"0.00335174725276188",1,NA,NA
"HMGN2","HMGN2",-1,-1,6,"0.00366273844569487",1,NA,NA
"TRMT5","TRMT5",-1,-1,6,"0.00366273844569487",1,NA,NA
"LATS1","LATS1",-1,-1,5,"0.00371768884296175",1,NA,NA
"BMP4","BMP4",-1,-1,6,"0.00372743864222735",1,NA,NA
"CBX5","CBX5",-1,-1,5,"0.00378828861114822",1,NA,NA
"ARAP1","ARAP1",-1,-1,5,"0.0039871016365155",1,NA,NA
"ANXA4","ANXA4",-1,-1,6,"0.00407315905179451",1,NA,NA
"HOXC9","HOXC9",-1,-1,5,"0.0044500734384284",1,NA,NA
"C4BPA","C4BPA",-1,-1,6,"0.00449564010200065",1,NA,NA
"RPTOR","RPTOR",-1,-1,6,"0.00481788311625986",1,NA,NA
"CFHR2","CFHR2",-1,-1,5,"0.00508234074536074",1,NA,NA
"FANCE","FANCE",-1,-1,6,"0.00523154790371982",1,NA,NA
"SCAF4","SCAF4",-1,-1,6,"0.00527197304253912",1,NA,NA
"KCTD19","KCTD19",-1,-1,6,"0.00535751267555562",1,NA,NA
"PPARA","PPARA",-1,-1,5,"0.00549125408429663",1,NA,NA
"SNAP25","SNAP25",-1,-1,6,"0.00580473105733625",1,NA,NA
"PDE1B","PDE1B",-1,-1,5,"0.00590913548017169",1,NA,NA
"CYP1A1","CYP1A1",-1,-1,6,"0.00636544103165904",1,NA,NA
"TCIRG1","TCIRG1",-1,-1,6,"0.00647453582877033",1,NA,NA
"BTAF1","BTAF1",-1,-1,6,"0.00658052867041192",1,NA,NA
"KCTD20","KCTD20",-1,-1,6,"0.00670206663358297",1,NA,NA
"PRKCE","PRKCE",-1,-1,5,"0.00675637535468199",1,NA,NA
"CCNY","CCNY",-1,-1,4,"0.00684432162392679",1,NA,NA
"GABRG3","GABRG3",-1,-1,6,"0.00686619108413666",1,NA,NA
"CYP4X1","CYP4X1",-1,-1,6,"0.00693130909982975",1,NA,NA
"DHTKD1","DHTKD1",-1,-1,5,"0.00696885767627164",1,NA,NA
"SERPINB11","SERPINB11",-1,-1,6,"0.00699937574004794",1,NA,NA
"POTEA","POTEA",-1,-1,6,"0.00707537684471748",1,NA,NA
"EP300","EP300",-1,-1,5,"0.00714435175297023",1,NA,NA
"C1R","C1R",-1,-1,6,"0.00725955107217302",1,NA,NA
"LGALS14","LGALS14",-1,-1,5,"0.0073176261628316",1,NA,NA
"RAVER2","RAVER2",-1,-1,6,"0.00778515287064374",1,NA,NA
