"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"VPRBP","VPRBP",-1,-1,5,"4.55694754883188e-10",2.82302900650135e-06,NA,NA
"CLSPN","CLSPN",-1,-1,6,"1.11554850110366e-08",6.90970741583607e-05,NA,NA
"EIF3I","EIF3I",-1,-1,5,"5.24885268319382e-07",0.00325061446670193,NA,NA
"SNRPF","SNRPF",-1,-1,6,"8.61671866670459e-07",0.00533547219842348,NA,NA
"UTP15","UTP15",-1,-1,5,"1.0250406793119e-06",0.00634602684561997,NA,NA
"COPS8","COPS8",-1,-1,6,"1.32439378825489e-06",0.00819799754929777,NA,NA
"NLE1","NLE1",-1,-1,5,"1.45511837314388e-06",0.00900572761138747,NA,NA
"ATP10D","ATP10D",-1,-1,6,"1.65163910093977e-06",0.0102203427566153,NA,NA
"WDR36","WDR36",-1,-1,5,"1.92285290813971e-06",0.0118966909426604,NA,NA
"RRP9","RRP9",-1,-1,5,"1.92677549294142e-06",0.0119190331993356,NA,NA
"DDX27","DDX27",-1,-1,5,"2.32973995984722e-06",0.0144094416516551,NA,NA
"RCC1","RCC1",-1,-1,6,"2.40988052257227e-06",0.0149027011515869,NA,NA
"COPS3","COPS3",-1,-1,6,"2.71469060887917e-06",0.0167849320346999,NA,NA
"WDR74","WDR74",-1,-1,6,"3.16916280866757e-06",0.0195917644831829,NA,NA
"WDR46","WDR46",-1,-1,6,"4.04401235601388e-06",0.0249960403725218,NA,NA
"RFC4","RFC4",-1,-1,6,"7.37363738443783e-06",0.0455690790358258,NA,NA
"INTS4","INTS4",-1,-1,6,"7.66134080711965e-06",0.0473394248471923,NA,NA
"WDR3","WDR3",-1,-1,6,"7.67805948753355e-06",0.0474350515139823,NA,NA
"RGPD6","RGPD6",-1,-1,4,"8.3516158008949e-06",0.0515879308021278,NA,NA
"FTSJ3","FTSJ3",-1,-1,6,"1.53073405404594e-05",0.0945381351778772,NA,NA
"RFC5","RFC5",-1,-1,5,"1.67962946714213e-05",0.103717119596027,NA,NA
"MKI67IP","MKI67IP",-1,-1,6,"1.93310709073777e-05",0.11935003178215,NA,NA
"CTNNBL1","CTNNBL1",-1,-1,6,"2.77050032736768e-05",0.171022985208407,NA,NA
"GEMIN5","GEMIN5",-1,-1,5,"2.91468295663428e-05",0.179894232083468,NA,NA
"AATF","AATF",-1,-1,5,"2.99136257528858e-05",0.184596984521058,NA,NA
"DIMT1","DIMT1",-1,-1,4,"3.29032196505536e-05",0.203012865243916,NA,NA
"CDC27","CDC27",-1,-1,5,"3.46222362231844e-05",0.213584575260825,NA,NA
"RBM28","RBM28",-1,-1,6,"3.55701027673517e-05",0.219396393869025,NA,NA
"FABP1","FABP1",-1,-1,6,"3.93607900563526e-05",0.242737992277526,NA,NA
"BET1","BET1",-1,-1,6,"4.23936198914577e-05",0.261399060250728,NA,NA
"RACGAP1","RACGAP1",-1,-1,5,"4.28731975854065e-05",0.264313263114031,NA,NA
"LOC728554","LOC728554",-1,-1,5,"4.30142895537929e-05",0.265140080809579,NA,NA
"GJC1","GJC1",-1,-1,5,"4.38208440413507e-05",0.270067861826844,NA,NA
"OXA1L","OXA1L",-1,-1,5,"4.5421038654103e-05",0.279884440186583,NA,NA
"NEDD8-MDP1","NEDD8-MDP1",-1,-1,5,"6.81991926188122e-05",0.420175225724502,NA,NA
"CEBPZ","CEBPZ",-1,-1,5,"7.55808626578527e-05",0.465578113972373,NA,NA
"PNPT1","PNPT1",-1,-1,5,"7.75225616605157e-05",0.477461457267116,NA,NA
"MRPL38","MRPL38",-1,-1,6,"7.82918205264797e-05",0.482121030802062,NA,NA
"HNRNPCL1","HNRNPCL1",-1,-1,6,"8.42055167126424e-05",0.518453366399739,NA,NA
"RBMXL1","RBMXL1",-1,-1,6,"0.00010474118111794",0.644786710962039,NA,NA
"CDC42","CDC42",-1,-1,6,"0.000105110920670658",0.6469577167279,NA,NA
"WDR75","WDR75",-1,-1,5,"0.000105537890270136",0.649480176722417,NA,NA
"CIRH1A","CIRH1A",-1,-1,6,"0.00011234544083115",0.691261497434066,NA,NA
"TBL3","TBL3",-1,-1,5,"0.000116073623266891",0.714084930337913,NA,NA
"CHAF1B","CHAF1B",-1,-1,6,"0.000116639410532564",0.717449014185801,NA,NA
"POLE2","POLE2",-1,-1,5,"0.000116804826081884",0.718349680403587,NA,NA
"UTP18","UTP18",-1,-1,6,"0.000122492546006222",0.753206665392259,NA,NA
"CDC40","CDC40",-1,-1,6,"0.000137786812149219",0.847113321093398,NA,NA
"ATP2A2","ATP2A2",-1,-1,6,"0.000174868781051969",1,NA,NA
"FEM1B","FEM1B",-1,-1,6,"0.000176231387982796",1,NA,NA
