"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"ARID1B","ARID1B",2,0.057619427739646,4,"0.545868754624858",1,NA,NA
"SPEG","SPEG",2,0.0837828190555221,4,"0.784362055007771",1,NA,NA
"ROBO2","ROBO2",2,0.111090574170218,4,"0.290453519011388",1,NA,NA
"FREM2","FREM2",2,0.24876724502461,4,"0.747272959735291",1,NA,NA
"PREX2","PREX2",2,0.426404335275044,4,"0.0985803381005868",1,NA,NA
"KIAA1549","KIAA1549",2,0.482964193343336,4,"0.349739348752325",1,NA,NA
"CALCR","CALCR",2,0.502517062359235,4,"0.114303318437801",1,NA,NA
"PDE1C","PDE1C",2,0.683910379855486,4,"0.687392104949023",1,NA,NA
"TTN","TTN",3,0.88582057029253,3,"0.201397120416095",1,NA,NA
"TP53","TP53",3,0.96190406951796,3,"0.978936707321357",1,NA,NA
"CCNA2","CCNA2",1,0.000458248460620814,5,"0.955176285850139",0.127851320513207,NA,NA
"TICAM1","TICAM1",1,0.00290211576673005,5,"0.0661425626379469",0.806788183150954,NA,NA
"CSF1R","CSF1R",1,0.00427679112641643,5,"0.0810364535936653",1,NA,NA
"DDX58","DDX58",1,0.0181762864299123,5,"0.160337219492368",1,NA,NA
"C1orf159","C1orf159",1,0.0232167627487625,5,"0.321757131251567",1,NA,NA
"LRIG3","LRIG3",1,0.0325340068533038,5,"0.993568135229986",1,NA,NA
"RALBP1","RALBP1",1,0.03765085402547,5,"0.410591996838797",1,NA,NA
"MAP4K3","MAP4K3",1,0.0389491585318403,5,"0.166656062319784",1,NA,NA
"KEAP1","KEAP1",1,0.0395601253583676,5,"0.789238931933883",1,NA,NA
"DPF3","DPF3",1,0.0404002047448426,5,"0.671175083199059",1,NA,NA
"ZADH2","ZADH2",1,0.0439896348506905,5,"0.661563484798773",1,NA,NA
"ITPKB","ITPKB",1,0.0500993031159634,5,"0.367324875768708",1,NA,NA
"ALDH1L1","ALDH1L1",1,0.0598747723404003,5,"0.784719986639851",1,NA,NA
"ASH1L","ASH1L",1,0.0643042818327232,5,"0.571773967491001",1,NA,NA
"TAF1L","TAF1L",1,0.0643042818327232,5,"0.564644857869806",1,NA,NA
"ARID1A","ARID1A",1,0.0669008908454641,5,"0.126206935535544",1,NA,NA
"SLC44A5","SLC44A5",1,0.0669008908454641,5,"0.806683642587441",1,NA,NA
"ADAM17","ADAM17",1,0.0673591159653596,5,"0.615339605536711",1,NA,NA
"VIT","VIT",1,0.0719413671643143,5,"0.436033005251928",1,NA,NA
"GBP2","GBP2",1,0.0753780555635303,5,"0.468695880745119",1,NA,NA
"ACAN","ACAN",1,0.0760653932433735,5,"0.295743098412796",1,NA,NA
"PHF12","PHF12",1,0.0826332866285419,5,"0.93607957671976",1,NA,NA
"DNMT3A","DNMT3A",1,0.0899648885468695,5,"0.0364924272666798",1,NA,NA
"ZEB2","ZEB2",1,0.0899648885468695,5,"0.248541552695791",1,NA,NA
"ZMYM5","ZMYM5",1,0.0986711658248834,5,"0.247142821514421",1,NA,NA
"EML5","EML5",1,0.0993585035047266,5,"0.325034253905046",1,NA,NA
"EXOC8","EXOC8",1,0.101420516544256,5,"0.27880624941808",1,NA,NA
"ABCD4","ABCD4",1,0.108981231022532,5,"0.423635070363316",1,NA,NA
"CBX8","CBX8",1,0.111119614915377,5,"0.682290165460754",1,NA,NA
"APRT","APRT",1,0.1121888068618,5,"0.0828813916761437",1,NA,NA
"PILRB","PILRB",1,0.112723402835011,5,"0.375199511659649",1,NA,NA
"BTNL9","BTNL9",1,0.12058960072655,5,"0.204862747006022",1,NA,NA
"TIMD4","TIMD4",1,0.121276938406393,5,"0.223079245691852",1,NA,NA
