"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MCL1","MCL1",3,0.000350131818321925,7,"0.996701272912851",0.463574527458229,4.158349453726e-12,0.999999999995842
"IVL","IVL",2,0.0149214396417933,8,"0.550931945377715",1,1,2.49643456411431e-30
"TMEM44","TMEM44",5,0.0203390511205775,5,"0.354902721229832",1,1,1.45076599480855e-24
"ARL17A","ARL17A",6,0.0237463611194136,4,"0.257033350857129",1,0.99981549068204,0.000184509317959679
"BRD9","BRD9",2,0.0295274408428701,8,"0.839959698186747",1,1,1.34792321859765e-58
"WDR53","WDR53",5,0.0299016405953094,5,"0.785300538809086",1,1,4.13704766779609e-117
"MSH5","MSH5",2,0.0309357728887739,8,"0.478840116978407",1,1,1.90392121714635e-31
"MSH5-SAPCD1","MSH5-SAPCD1",2,0.0309357728887739,8,"0.478840116978407",1,0.999986391517374,1.36084826264441e-05
"CCNT2","CCNT2",2,0.0342094898093036,8,"0.100075425294091",1,0.999999892103393,1.07896607501581e-07
"ARL17B","ARL17B",5,0.035734122116027,5,"0.174007576281103",1,0.614034848243454,0.385965151756546
"LRCH4","LRCH4",2,0.0378366654491938,8,"0.693296836295266",1,6.7282291480367e-05,0.99993271770852
"LY6K","LY6K",2,0.0397510696201911,8,"0.589808646045069",1,1,7.49811636506883e-52
"KLRAP1","KLRAP1",2,0.0440836899942903,8,"0.966430755237483",1,NA,NA
"ANKRD33B","ANKRD33B",2,0.0487595446883046,8,"0.415806607615094",1,0.532643754192105,0.467356245807895
"DGAT1","DGAT1",3,0.0490046678148203,7,"0.879020438169121",1,1,5.68666553025947e-29
"DDX39B","DDX39B",2,0.0499834352723155,8,"0.122043932020851",1,0.999999997604645,2.39535477076302e-09
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",2,0.0499834352723155,8,"0.122043932020851",1,0.178391392394774,0.821608607605226
"HSF1","HSF1",3,0.0542646422482641,7,"0.486582029427148",1,1,4.98078232348097e-45
"S100A11","S100A11",3,0.0562214224027744,7,"0.559218509520492",1,1,9.79703295936343e-73
"NAPRT1","NAPRT1",3,0.0576771230238247,7,"0.674892736716113",1,NA,NA
"TBC1D3B","TBC1D3B",2,0.0626505491589618,8,"0.13300703079411",1,0.989364720056284,0.010635279943716
"ARHGAP11B","ARHGAP11B",3,0.0668064278782777,7,"0.0528085151971865",1,1,1.38037133344155e-91
"PRRT1","PRRT1",2,0.0677234779687563,8,"0.888898637863099",1,0.999999978860121,2.11398786614936e-08
"TMEM130","TMEM130",3,0.0687455672372604,7,"0.411608763317286",1,6.91190221370322e-10,0.99999999930881
"AZGP1","AZGP1",2,0.0743717758993692,8,"0.632739567242588",1,0.0228232727247765,0.977176727275224
"CLEC2D","CLEC2D",2,0.0760303545167588,8,"0.557144031770893",1,0.896539053247811,0.103460946752189
"ST7","ST7",2,0.0855110640520295,8,"0.0267593167529816",1,1.61877255972487e-23,1
"LMTK2","LMTK2",3,0.0860882703308287,7,"0.489119505497411",1,0.508954838403975,0.491045161596025
"MYO10","MYO10",2,0.0872250514810328,8,"0.350471605947702",1,0.999945883671932,5.41163280679015e-05
"WASH3P","WASH3P",2,0.0910323034979052,8,"0.945657936032952",1,0.999999993809076,6.19092392760091e-09
"MTRR","MTRR",2,0.0952151060862306,8,"0.617540161152849",1,2.47297504944026e-09,0.999999997527025
"BHLHA15","BHLHA15",3,0.0961945177385147,7,"0.20456434010316",1,0.999985752770795,1.42472292048945e-05
"TMED10P1","TMED10P1",3,0.0972305723674137,7,"0.90180503982833",1,NA,NA
"PLEKHG4B","PLEKHG4B",3,0.0978204312279112,7,"0.832001114691861",1,1,9.68612986120663e-34
"TECPR1","TECPR1",3,0.101943652010664,7,"0.78571860877256",1,4.29968886336144e-10,0.999999999570031
"CDH12","CDH12",2,0.102618973204157,8,"0.141793702868591",1,0.999999964275884,3.57241159250628e-08
"GNGT1","GNGT1",4,0.108126284182713,6,"0.722861611630309",1,1,7.85439413872509e-84
"GJA5","GJA5",3,0.114090427911221,7,"0.717279447514653",1,1.72026954424024e-12,0.99999999999828
"WHSC1L1","WHSC1L1",2,0.115122309774236,8,"0.214953760158049",1,NA,NA
"ATAT1","ATAT1",2,0.116629683504304,8,"0.637282256914485",1,1,5.29156662670551e-40
"MEPCE","MEPCE",2,0.122228016109737,8,"0.415038278901935",1,0.999988212898535,1.17871014653344e-05
"AP3M2","AP3M2",2,0.124732856567707,8,"0.618744995188942",1,0.999999712567492,2.87432507906324e-07
"AHRR","AHRR",3,0.128873179320364,7,"0.368318523920047",1,0.999873982271945,0.000126017728054925
"PDK4","PDK4",4,0.134128016522166,6,"0.857013058678215",1,3.42153398048278e-11,0.999999999965785
"BAZ1A","BAZ1A",2,0.135801136572247,8,"0.763933349462088",1,0.999999416583436,5.83416564407123e-07
"HBP1","HBP1",3,0.137408836877762,7,"0.825752949118634",1,6.59820227083273e-06,0.999993401797729
"ARPC1B","ARPC1B",2,0.138400524885204,8,"0.273763357582469",1,0.00124639536086222,0.998753604639138
"CLDN11","CLDN11",2,0.138931897506994,8,"0.0121863838196887",1,0.701945720494947,0.298054279505053
"MECOM","MECOM",2,0.143270130001288,8,"0.193682622378221",1,2.96360047976497e-13,0.999999999999704
"MAFA","MAFA",3,0.143610403316862,7,"0.857626139228613",1,0.999933879643848,6.61203561519305e-05
"FGFR1","FGFR1",2,0.147920819376139,8,"0.946631715855213",1,0.42027294392775,0.57972705607225
"MET","MET",2,0.153878177768482,8,"0.652227746771452",1,0.999834040265181,0.000165959734819348
"OR2T10","OR2T10",7,0.155556246298047,3,"0.0307344328231923",1,0.213570544414534,0.786429455585466
"ASNS","ASNS",2,0.155577537219425,8,"0.870987760475214",1,1,2.73134151495484e-67
"IRX4","IRX4",2,0.155662750157277,8,"0.324647342258432",1,1,2.34329170220705e-24
"CLDN15","CLDN15",2,0.15698653402142,8,"0.263675055923728",1,0.598887433935925,0.401112566064075
"LOC649395","LOC649395",2,0.157629086815841,8,"0.641962871383084",1,NA,NA
"SLC12A7","SLC12A7",2,0.158058184408859,8,"0.61000173662229",1,0.999999998035747,1.96425339495871e-09
