"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"TBC1D23","TBC1D23",2,0.000553119349337675,8,"0.247010311060784",0.59239082314065,1,1.69812619532878e-17
"CTNNB1","CTNNB1",2,0.0015861180227771,8,"0.737034550928701",1,0.0144674534856154,0.985532546514385
"RHOA","RHOA",3,0.00240363347220189,7,"0.20632866966611",1,1.762608858763e-27,1
"APC","APC",2,0.00672101847244031,8,"0.820605048181813",1,1.12949698171725e-12,0.99999999999887
"ADRA2B","ADRA2B",2,0.00673011629287652,8,"0.260646709901169",1,0.999999999999731,2.68681320810734e-13
"MMS22L","MMS22L",2,0.00859090819570412,8,"0.54663791892544",1,1,2.28589697098618e-110
"BAZ2B","BAZ2B",2,0.00902819428081483,8,"0.517930887054799",1,5.82536665336625e-09,0.999999994174633
"MCM2","MCM2",2,0.0262332284696477,8,"0.893129455756967",1,1,2.26329065709696e-135
"TP53","TP53",5,0.0410646395741223,5,"0.0399767209163366",1,1,7.8579621312673e-27
"BIRC6","BIRC6",3,0.0491101280700913,7,"0.213788210514858",1,0.999999153400308,8.46599691925043e-07
"COL24A1","COL24A1",2,0.0527589865598974,8,"0.423299337289102",1,0.999999999999964,3.61130563781385e-14
"GRIN2B","GRIN2B",3,0.0643766018572328,7,"0.0658639895314119",1,0.732976961170396,0.267023038829604
"FCGBP","FCGBP",3,0.0688664280213239,7,"0.553203506162696",1,0.99447941377815,0.00552058622184995
"KIDINS220","KIDINS220",2,0.0816336203945069,8,"0.740616571661211",1,1.41604086856075e-06,0.999998583959131
"HERC1","HERC1",2,0.104072201470777,8,"0.389853431359716",1,6.80344385185349e-14,0.999999999999932
"SIM1","SIM1",2,0.106013737885481,8,"0.439124262370504",1,0.978524529980881,0.021475470019119
"ITIH2","ITIH2",2,0.112987705757039,8,"0.800005216257848",1,0.000463331744061374,0.999536668255939
"LPAR1","LPAR1",2,0.130832107121952,8,"0.900949004449749",1,0.994920174341205,0.00507982565879455
"ESPNL","ESPNL",2,0.140390150433858,8,"0.23043846024978",1,0.9999997979188,2.02081200415947e-07
"ASAP2","ASAP2",2,0.168389334143993,8,"0.66716566923429",1,1,2.60519021038483e-17
"ANKRD24","ANKRD24",2,0.172419178029645,8,"0.489246751409739",1,0.0286270866178055,0.971372913382194
"MSH4","MSH4",2,0.191628488574278,8,"0.0928193183054629",1,0.996366574217051,0.00363342578294889
"RANBP2","RANBP2",4,0.194815098718957,6,"0.0711547370182794",1,0.218171145302859,0.781828854697141
"PLEKHG4","PLEKHG4",2,0.195974940787914,8,"0.84339536730331",1,1,8.33605120731345e-67
"KCNH7","KCNH7",2,0.201314747269123,8,"0.520935694206543",1,0.936639336432351,0.0633606635676495
"HSD11B1","HSD11B1",2,0.207382560651974,8,"0.963116834535632",1,6.50926466912342e-13,0.999999999999349
"MYO3A","MYO3A",2,0.210323041649216,8,"0.0202208762597369",1,1,5.1361090428201e-23
"PMP2","PMP2",2,0.213540466109525,8,"0.28318747678572",1,0.924171316982706,0.0758286830172943
"NCAM1","NCAM1",2,0.229887539205587,8,"0.440872315438371",1,0.958085896413506,0.0419141035864936
"BFSP1","BFSP1",2,0.233625920607232,8,"0.712787108001254",1,0.999998026910204,1.97308979558572e-06
"PKD1","PKD1",2,0.242284015125023,8,"0.354323648608983",1,0.00517112446865875,0.994828875531341
"PRMT7","PRMT7",2,0.248051498967894,8,"0.294294875377738",1,1,1.88474929920122e-21
"ANKRD30B","ANKRD30B",2,0.256015374942482,8,"0.621398740867442",1,0.976090930920011,0.0239090690799894
"ATM","ATM",2,0.283490096730051,8,"0.771438808323337",1,0.0226282809036439,0.977371719096356
"PTGFR","PTGFR",2,0.286213669981106,8,"0.487893573558091",1,1.40388259018327e-14,0.999999999999986
"RUNX1T1","RUNX1T1",2,0.289009899623704,8,"0.625342866570479",1,2.01021680926455e-14,0.99999999999998
"FMN2","FMN2",2,0.291819722148825,8,"0.557452975844209",1,0.0430135253941124,0.956986474605888
"RECQL5","RECQL5",2,0.294884055877271,8,"0.839819915905454",1,1,2.45590211093335e-36
"PDZRN4","PDZRN4",2,0.300695631944182,8,"0.680363411276589",1,0.0137660561605897,0.98623394383941
"KIF14","KIF14",2,0.305765934357653,8,"0.251989512818384",1,1,4.64223946668437e-146
"ATAD2B","ATAD2B",2,0.311559394778021,8,"0.972700045071874",1,1,1.6027039852973e-27
"LAMA5","LAMA5",2,0.311869080535294,8,"0.82788537654529",1,1,8.03193423709759e-21
"ABCC11","ABCC11",3,0.31760048790082,7,"0.221274736307355",1,1,8.45663352507392e-17
