"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ZNF689","ZNF689",-1,-1,10,"1.84287134973316e-05",0.114129022688975,0.916344847022132,0.0836551529778676
"RBBP8","RBBP8",-1,-1,10,"8.76069762102416e-05",0.542462396693816,1,1.26302851135948e-61
"SRSF2","SRSF2",-1,-1,10,"0.000111495018618957",0.690265660269963,1,3.54948416207062e-26
"MTG1","MTG1",-1,-1,10,"0.000221145124701061",1,1,1.10432110729803e-40
"PBX3","PBX3",-1,-1,10,"0.000449892783256356",1,3.33860012869282e-14,0.999999999999967
"LDLR","LDLR",-1,-1,9,"0.000542706343655608",1,1.33544788325765e-09,0.999999998664552
"SPEN","SPEN",-1,-1,8,"0.000547942499595",1,0.578591882914867,0.421408117085133
"BCCIP","BCCIP",-1,-1,10,"0.00106430795939083",1,1,1.25222667383132e-40
"DHRS7","DHRS7",-1,-1,9,"0.00108145407926774",1,2.40503228830845e-10,0.999999999759497
"PRR5","PRR5",-1,-1,10,"0.00109966747277168",1,1,3.0450798205325e-75
"MNT","MNT",-1,-1,10,"0.00118339668826239",1,0.999999999505037,4.94963376888572e-10
"ERCC1","ERCC1",-1,-1,10,"0.00122548120498267",1,1,7.95089557584619e-31
"REXO4","REXO4",-1,-1,10,"0.00131205412860058",1,1,6.34159997062934e-42
"KIF2B","KIF2B",-1,-1,7,"0.00138996676161085",1,0.942519418918646,0.057480581081354
"SRSF12","SRSF12",-1,-1,10,"0.00152441871225384",1,1,5.24662174666302e-64
"SERPINA12","SERPINA12",-1,-1,10,"0.00181957661686094",1,0.999999999996662,3.33752329276524e-12
"USP5","USP5",-1,-1,9,"0.0019181853611222",1,1,9.31125371894058e-93
"B3GNT7","B3GNT7",-1,-1,9,"0.00213288781053622",1,9.6774978108593e-21,1
"PAN3","PAN3",-1,-1,10,"0.00252265482961866",1,0.0189756841045063,0.981024315895494
"BMPR1B","BMPR1B",-1,-1,10,"0.00264475559894017",1,0.267936783366995,0.732063216633005
"TCF21","TCF21",-1,-1,10,"0.0026664706723234",1,5.0944243171878e-21,1
"WASH2P","WASH2P",-1,-1,9,"0.00293292542356893",1,0.76030103905847,0.23969896094153
"C1R","C1R",-1,-1,8,"0.00301390060291007",1,0.211532749565926,0.788467250434074
"ADAMTS10","ADAMTS10",-1,-1,10,"0.00303920668162427",1,2.40929545699077e-07,0.999999759070454
"MARCO","MARCO",-1,-1,10,"0.00321062056161925",1,9.11307584319378e-18,1
"GRID1","GRID1",-1,-1,9,"0.00324810105574636",1,4.09812285643542e-15,0.999999999999996
"MCL1","MCL1",-1,-1,7,"0.00329872708714929",1,4.158349453726e-12,0.999999999995842
"KIAA0247","KIAA0247",-1,-1,10,"0.00334303407572534",1,NA,NA
