"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MYT1","MYT1",2,0.00488458166564432,8,"0.740401105132716",1,0.999528051688523,0.00047194831147715
"DDX10","DDX10",2,0.0549211228362838,8,"0.579911211401779",1,1,5.24518223559071e-71
"CSMD3","CSMD3",2,0.118994545147761,8,"0.249056188302862",1,0.999920448133246,7.95518667544976e-05
"NFATC2","NFATC2",2,0.124529793293493,8,"0.392644533696362",1,3.11139594620749e-07,0.999999688860405
"MYO9A","MYO9A",3,0.202305805815024,7,"0.0792082532330208",1,1.12842332079735e-18,1
"COL6A5","COL6A5",2,0.275805173333914,8,"0.650446697861343",1,6.00437329498334e-13,0.9999999999994
"LRRK2","LRRK2",2,0.289726008903396,8,"0.61567619843018",1,2.93713344828431e-16,1
"KIF1B","KIF1B",2,0.33034906388938,8,"0.849788106835346",1,0.945771353874239,0.0542286461257607
"ILF3","ILF3",2,0.417004833295688,8,"0.976631049621091",1,1,4.24195021938976e-58
"ARHGAP42","ARHGAP42",2,0.56774257025847,8,"0.402582272579456",1,3.01416459379679e-11,0.999999999969858
"GPR98","GPR98",2,0.568398748390615,8,"0.373047233955417",1,NA,NA
"FAT3","FAT3",2,0.605813251862964,8,"0.0469474292480641",1,2.38725260244291e-10,0.999999999761275
"KIAA2026","KIAA2026",2,0.655474463341065,8,"0.231336684746134",1,0.00119859815258927,0.998801401847411
"BAZ2B","BAZ2B",2,0.726172126622002,8,"0.753259816870132",1,5.82536665336625e-09,0.999999994174633
"WDFY4","WDFY4",2,0.849456722264113,8,"0.307287213180461",1,1.8582354935543e-12,0.999999999998142
"SMARCA4","SMARCA4",2,0.87389936406654,8,"0.99960481985065",1,1,5.65058815026203e-34
"TTF1","TTF1",2,0.911640455618436,8,"0.856578327133714",1,0.999999161623668,8.3837633195249e-07
"KEAP1","KEAP1",2,0.93119427183648,8,"0.902600815387932",1,1,4.82843975978636e-62
"ABCA8","ABCA8",2,0.992550872843533,8,"0.969252481094771",1,1.51770971759376e-21,1
"TP53","TP53",4,0.999209625888159,6,"0.80619936627693",1,1,7.8579621312673e-27
"TRPM1","TRPM1",1,0.00392220830404166,9,"0.659735529586094",1,0.909824740936136,0.090175259063864
"ZBTB4","ZBTB4",1,0.00470664503980378,9,"0.511119117262666",1,5.91672207279457e-24,1
"SEMA3D","SEMA3D",1,0.00549108177556579,9,"0.915028585265894",1,0.938168496855255,0.0618315031447446
"GLDN","GLDN",1,0.00831505402430943,9,"0.715269646341719",1,4.25502726197155e-16,1
"RNF4","RNF4",1,0.0147474352575587,9,"0.00879940414830738",1,1,1.58751908149201e-17
"DNMT3B","DNMT3B",1,0.0181205132213359,9,"0.441932503156161",1,1,2.98618193089575e-33
"CLDN10","CLDN10",1,0.0194540556721314,9,"0.495274778481139",1,1,1.67624601739232e-29
"ATAD5","ATAD5",1,0.0306715009935297,9,"0.09093917610422",1,1,1.20023814071378e-99
"EBPL","EBPL",1,0.0352212340609499,9,"0.340526372578938",1,0.999999999994556,5.4444274672577e-12
"ATP6AP1","ATP6AP1",1,0.0519297365326827,9,"0.8598738597841",1,4.93804694096286e-05,0.99995061953059
"DOCK10","DOCK10",1,0.0563225822529506,9,"0.353282628486945",1,9.69007180574209e-11,0.999999999903099
"PPP4C","PPP4C",1,0.0672262528800439,9,"0.468092586963942",1,1,5.10844285313932e-49
"COL18A1","COL18A1",1,0.0709915492117021,9,"0.576705625918518",1,0.999982736134387,1.72638656131828e-05
"STARD8","STARD8",1,0.0727173100303787,9,"0.243672410164139",1,6.03940760801217e-19,1
"KIF14","KIF14",1,0.0734233030925646,9,"0.915570952254056",1,1,4.64223946668437e-146
"NTM","NTM",1,0.0734233030925646,9,"0.258009547393552",1,6.92043952492134e-08,0.999999930795605
"RHOC","RHOC",1,0.0767963810563418,9,"0.755736284056047",1,0.999966345336618,3.36546633817518e-05
"KIF15","KIF15",1,0.0849545231082677,9,"0.384197192419982",1,1,9.05555542475093e-134
"CACNA1S","CACNA1S",1,0.0893473688285354,9,"0.280521473833777",1,3.31493828175479e-06,0.999996685061718
"TET2","TET2",1,0.0903671365850262,9,"0.829241128484708",1,0.997321682623509,0.002678317376491
"TBC1D19","TBC1D19",1,0.096250412103242,9,"0.625442923931896",1,0.0679103137358817,0.932089686264118
"KLHL29","KLHL29",1,0.114841562740804,9,"0.127287418957531",1,4.39541306372508e-06,0.999995604586936
"FBP1","FBP1",1,0.124568578264254,9,"0.455147848632945",1,1.16649533175801e-20,1
"RBM15B","RBM15B",1,0.124568578264254,9,"0.293788893557901",1,0.981701641208297,0.018298358791703
"PPM1D","PPM1D",1,0.131314734191808,9,"0.485862406093891",1,1.65259747183648e-17,1
"TSPAN8","TSPAN8",1,0.150847208912285,9,"0.632758376920516",1,2.43549401511853e-05,0.999975645059849
"ABCC2","ABCC2",1,0.155475385653281,9,"0.317712022291548",1,0.999999999086994,9.1300645032805e-10
"ALDH6A1","ALDH6A1",1,0.157514921166263,9,"0.963365785594393",1,8.09199517267123e-11,0.99999999991908
"HCN1","HCN1",1,0.160809555456464,9,"0.429933986466018",1,0.858656928053631,0.141343071946369
"PEX6","PEX6",1,0.161201773824345,9,"0.53396128657714",1,0.999999999921708,7.82916316468803e-11
"RFX5","RFX5",1,0.163633527705207,9,"0.194056417300558",1,0.974060511519143,0.0259394884808565
"PHF10","PHF10",1,0.170928789347795,9,"0.545346477602582",1,0.674285067908119,0.325714932091881
"MIXL1","MIXL1",1,0.172027000777862,9,"0.352851432168569",1,0.999999999999499,5.00781095475372e-13
"MST1R","MST1R",1,0.173046768534353,9,"0.982206093530244",1,0.470716035322521,0.529283964677479
"MMRN2","MMRN2",1,0.178773156705416,9,"0.572654350732622",1,1.47893471170258e-19,1
"CNST","CNST",1,0.179871368135483,9,"0.0956506194309102",1,0.180880349828674,0.819119650171326
"KTN1","KTN1",1,0.180812692218397,9,"0.561370938457622",1,0.999932068518962,6.79314810378135e-05
"NRP1","NRP1",1,0.182930671404955,9,"0.56915590035455",1,2.03090245959088e-18,1
"BIRC3","BIRC3",1,0.184421101202903,9,"0.138052906950233",1,2.20938209319566e-05,0.999977906179068
"COL7A1","COL7A1",1,0.185676199980123,9,"0.447423331465957",1,1,5.57671340897562e-72
"ADAMTS20","ADAMTS20",1,0.185754643653699,9,"0.718693471314543",1,1,9.17393743550198e-53
"AKAP13","AKAP13",1,0.18842172855529,9,"0.989483183478572",1,1.54970447043717e-18,1
"XPA","XPA",1,0.19006904570039,9,"0.645190140481888",1,0.642464262940578,0.357535737059422
"NTN1","NTN1",1,0.190382820394695,9,"0.0998890719056142",1,0.999999999999998,2.09765763674838e-15
"PPP3R1","PPP3R1",1,0.19814874407874,9,"0.0240749907475573",1,1,2.19705782800465e-36
"PHOX2B","PHOX2B",1,0.200031392244569,9,"0.242660483575137",1,0.851696164076443,0.148303835923557
"STARD3","STARD3",1,0.201757153063246,9,"0.742569627273036",1,0.970862227432043,0.0291377725679572
"URI1","URI1",1,0.203482913881922,9,"0.966346949838959",1,1,5.47086650466411e-43
"ANKRD65","ANKRD65",1,0.216190789001269,9,"0.726288750512276",1,0.999999995745938,4.25406199930863e-09
"MAST4","MAST4",1,0.222152508193061,9,"0.0357513987522929",1,5.71619611551747e-09,0.999999994283804
"LGALSL","LGALSL",1,0.23023220657141,9,"0.85415589862524",1,1.02660440652937e-06,0.999998973395593
"EPHA4","EPHA4",1,0.231016643307173,9,"0.250160602628998",1,1,9.76885655788649e-25
"LDHAL6B","LDHAL6B",1,0.231016643307173,9,"0.813465435365753",1,0.203991608221215,0.796008391778785
"FNDC3B","FNDC3B",1,0.236115482089626,9,"0.194502905717997",1,1,4.48515179746915e-19
"CACNA1E","CACNA1E",1,0.239802334747708,9,"0.985848770052183",1,0.999999523480825,4.76519174725081e-07
"TTN","TTN",1,0.240743658830623,9,"0.304350018355387",1,4.14861532083499e-08,0.999999958513847
"ABCC11","ABCC11",1,0.240900546177775,9,"0.897452870001677",1,1,8.45663352507392e-17
"ATP10B","ATP10B",1,0.243018525364333,9,"0.364858025702874",1,1,1.42710533043271e-30
"TET1","TET1",1,0.243332300058638,9,"0.984922752860483",1,1,2.93622898167994e-45
"MYO10","MYO10",1,0.258001267017389,9,"0.904722613455341",1,0.999945883671932,5.41163280679015e-05
"SIX6","SIX6",1,0.258001267017389,9,"0.02152369670347",1,0.999659468449073,0.000340531550927198
"ARID1B","ARID1B",1,0.258864147426727,9,"0.465047497900125",1,0.901696918173497,0.0983030818265032
"PDGFRB","PDGFRB",1,0.272434902955412,9,"0.33849858426111",1,1.13042075970448e-06,0.99999886957924
"KIF13A","KIF13A",1,0.27392533275336,9,"0.209625193491755",1,0.00049987400876575,0.999500125991234
"SALL1","SALL1",1,0.276513973981375,9,"0.233295310291011",1,1,1.14678274992072e-17
"PDE6C","PDE6C",1,0.279573277250847,9,"0.502344886727491",1,0.744789009364509,0.255210990635491
"T","T",1,0.285064334401182,9,"0.386925551289264",1,0.999733990271559,0.000266009728441537
"NTRK2","NTRK2",1,0.287417644608468,9,"0.291880859304727",1,1,5.72337190489469e-46
"EP300","EP300",1,0.296046448701851,9,"0.00342946147573797",1,0.994658208513444,0.00534179148655602
"ZNF33A","ZNF33A",1,0.298635089929866,9,"0.198724322016239",1,1.47940503395784e-06,0.999998520594966
"SORL1","SORL1",1,0.298948864624171,9,"0.472734450104746",1,1,3.35192926264005e-33
"THBS2","THBS2",1,0.306244126266759,9,"0.186728331250532",1,1,1.53739502606491e-22
"PKHD1","PKHD1",1,0.312127401784975,9,"0.460837242388385",1,1,7.3917464799208e-18
"PDZRN4","PDZRN4",1,0.312598063826432,9,"0.510124652501328",1,0.0137660561605897,0.98623394383941
"ABCD2","ABCD2",1,0.313931606277227,9,"0.835792760789129",1,4.12084555684733e-05,0.999958791544431
"BCL11B","BCL11B",1,0.314010049950804,9,"0.141404249752094",1,1,2.02423736118037e-41
"OR2T10","OR2T10",1,0.323423290779949,9,"0.986493448590885",1,0.213570544414534,0.786429455585466
"ZGPAT","ZGPAT",1,0.32381550914783,9,"0.725930727423164",1,0.999999999999641,3.59386452133958e-13
"FER1L6","FER1L6",1,0.324050840168559,9,"0.319147515980716",1,1,4.16491111310932e-17
"SYT4","SYT4",1,0.329934115686775,9,"0.562248827317494",1,0.191377082520928,0.808622917479072
"ITGAD","ITGAD",1,0.330169446707503,9,"0.402507822384429",1,0.0114077066036518,0.988592293396348
"PLCE1","PLCE1",1,0.341465335702478,9,"0.725811336710708",1,2.88416647896167e-16,1
"CACNA1H","CACNA1H",1,0.343583314889035,9,"0.211678561677104",1,5.4712065271209e-11,0.999999999945288
"TPTE2","TPTE2",1,0.347034836526389,9,"0.214819259760891",1,0.999999999999999,6.85968502277244e-16
"WDR7","WDR7",1,0.349231259386523,9,"0.0175378690125784",1,8.358500574352e-06,0.999991641499426
"MEF2A","MEF2A",1,0.356134302661229,9,"0.645987239918187",1,1.21351811763438e-15,0.999999999999999
"DAXX","DAXX",1,0.360997810422954,9,"0.192079335378347",1,1,1.29002785531e-37
"SGK223","SGK223",1,0.364449332060307,9,"0.562459476730542",1,NA,NA
"LY9","LY9",1,0.370646382272828,9,"0.506181769305326",1,0.0320676054480744,0.967932394551926
"GLYR1","GLYR1",1,0.374647009625215,9,"0.23966584063649",1,9.52953042656655e-07,0.999999047046957
"TLR4","TLR4",1,0.381942271267802,9,"0.692450088830562",1,4.8507135275635e-21,1
"ITIH2","ITIH2",1,0.385080018210851,9,"0.473833453201025",1,0.000463331744061374,0.999536668255939
"DGKB","DGKB",1,0.387276441070985,9,"0.609690624061283",1,1,6.35348010070388e-18
"SSH3","SSH3",1,0.38860998352178,9,"0.679222417091147",1,1,3.4019846374535e-18
"SMARCB1","SMARCB1",1,0.401396302314703,9,"0.999993787485436",1,1,6.05245825179879e-99
"DNAH5","DNAH5",1,0.408770007630867,9,"0.81855632221861",1,0.000130617285785545,0.999869382714214
"GPR6","GPR6",1,0.4093191133459,9,"0.84670735797591",1,0.998465558247372,0.00153444175262788
"APEX1","APEX1",1,0.409632888040205,9,"0.847862287177826",1,1,1.33269209227162e-67
"FCHSD2","FCHSD2",1,0.411437092532458,9,"0.7633646153188",1,2.51010377144661e-16,1
"RICTOR","RICTOR",1,0.435440856646778,9,"0.507602714891016",1,0.99036748256358,0.00963251743641993
"PRKCA","PRKCA",1,0.437401948486184,9,"0.719689711820506",1,1.1365728235813e-12,0.999999999998863
"SSTR1","SSTR1",1,0.442814561962942,9,"0.290192933934173",1,3.62532327809443e-13,0.999999999999637
