"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"THEM4","THEM4",3,0.000457214216348937,7,"0.924620801120159",0.744344744216069,NA,NA
"PMEPA1","PMEPA1",2,0.00291625718320357,8,"0.538018298667595",1,NA,NA
"PRKAA1","PRKAA1",4,0.00562786895942795,6,"0.904897096439915",1,NA,NA
"RFX5","RFX5",4,0.00705694492280742,6,"0.505838352365252",1,NA,NA
"HSD17B7","HSD17B7",2,0.00757801908873859,8,"0.80506290872682",1,NA,NA
"APCDD1L","APCDD1L",2,0.00814288887614479,8,"0.186006175653671",1,NA,NA
"CFHR3","CFHR3",6,0.00900819480604877,4,"0.359292613931379",1,NA,NA
"KIRREL","KIRREL",2,0.00945916957267381,8,"0.67186163849899",1,NA,NA
"MCL1","MCL1",4,0.00965604522569322,6,"0.128695240038992",1,NA,NA
"SKP2","SKP2",4,0.0097928112306109,6,"0.0449341237737581",1,NA,NA
"CLDN10","CLDN10",2,0.0151332763616537,8,"0.384979019934947",1,NA,NA
"CLPTM1L","CLPTM1L",2,0.016421808780228,8,"0.156505198372235",1,NA,NA
"S100A2","S100A2",3,0.0177103505445289,7,"0.00785132924240664",1,NA,NA
"ASH1L","ASH1L",3,0.0216553601956729,7,"0.200940884594753",1,NA,NA
"PMP22","PMP22",2,0.0222631828178174,8,"0.693367903117708",1,NA,NA
"KIT","KIT",2,0.022635375600332,8,"0.0522267813666842",1,NA,NA
"MYT1","MYT1",2,0.0257066724944523,8,"0.213587543345245",1,NA,NA
"PTGER4","PTGER4",4,0.0276487469119221,6,"0.896758360916748",1,NA,NA
"ALDH3A1","ALDH3A1",2,0.0285155152225768,8,"0.0804079265987457",1,NA,NA
"SLAMF9","SLAMF9",2,0.0336920763346731,8,"0.895468649648513",1,NA,NA
"NTSR1","NTSR1",2,0.0409005432515055,8,"0.552933289067156",1,NA,NA
"OR2B11","OR2B11",2,0.0431364090142957,8,"0.0254663270662068",1,NA,NA
"PVRL4","PVRL4",2,0.0433160502656915,8,"0.0746615626236951",1,NA,NA
"NLRP3","NLRP3",2,0.0554877014577298,8,"0.116273217092266",1,NA,NA
"SPECC1","SPECC1",2,0.0580870315739584,8,"0.123158178710656",1,NA,NA
"RGS5","RGS5",2,0.0584781449814264,8,"0.405001693905933",1,NA,NA
"ARHGAP5","ARHGAP5",2,0.0620034207305285,8,"0.336633127081178",1,NA,NA
"SLC6A12","SLC6A12",2,0.0654383246713035,8,"0.00982261720278385",1,NA,NA
"NPAS3","NPAS3",2,0.0659365841636495,8,"0.605043036408442",1,NA,NA
"ADAM17","ADAM17",2,0.0683150080112653,8,"0.138607628460736",1,NA,NA
"CA10","CA10",2,0.0685975930225102,8,"0.0242278593005472",1,NA,NA
"HS3ST3B1","HS3ST3B1",2,0.0686824822597748,8,"0.537653790702632",1,NA,NA
"CKS1B","CKS1B",4,0.0696348032698447,6,"0.0320450027223936",1,NA,NA
"CDH12","CDH12",3,0.070044360144102,7,"0.56651716852012",1,NA,NA
"ALDH3A2","ALDH3A2",2,0.0750507643950152,8,"0.853770698640417",1,NA,NA
"CABLES2","CABLES2",2,0.0752580254808629,8,"0.782336682962435",1,NA,NA
"TRIO","TRIO",3,0.0769209403528783,7,"0.296482189465073",1,NA,NA
"HAPLN2","HAPLN2",3,0.0776759590244214,7,"0.21103557373953",1,NA,NA
"SLC6A3","SLC6A3",2,0.0798290319338556,8,"0.185632164799662",1,NA,NA
"OR11L1","OR11L1",2,0.0821650680030464,8,"0.0730309634001731",1,NA,NA
"RAB22A","RAB22A",2,0.082816492062364,8,"0.197899854050395",1,NA,NA
"TCHH","TCHH",3,0.0860636900712973,7,"0.878952442454981",1,NA,NA
"DOCK9","DOCK9",3,0.0875965323691419,7,"0.689107671209331",1,NA,NA
"TSSC1","TSSC1",2,0.0899898468578222,8,"0.447284510316223",1,NA,NA
"HGF","HGF",2,0.0916498106778549,8,"0.734307530011951",1,NA,NA
"UBE2Q1","UBE2Q1",3,0.099460216692894,7,"0.166324850846138",1,NA,NA
"SOX11","SOX11",2,0.0995968942610342,8,"0.048146259168344",1,NA,NA
"BCAN","BCAN",3,0.102633079193103,7,"0.354246815209594",1,NA,NA
"MLLT11","MLLT11",4,0.102707327483835,6,"0.968310120883065",1,NA,NA
"C6","C6",4,0.113522155962441,6,"0.71121778880427",1,NA,NA
"TMTC4","TMTC4",3,0.115639684863542,7,"0.379535764497817",1,NA,NA
"MFAP4","MFAP4",2,0.128653946561114,8,"0.488286575128872",1,NA,NA
"ADRM1","ADRM1",2,0.131067006670955,8,"0.666352797883331",1,NA,NA
"RGPD6","RGPD6",2,0.133502486938612,8,"0.499048153345697",1,NA,NA
"ITGA10","ITGA10",3,0.133682701586664,7,"0.154991845306699",1,NA,NA
"ALKBH5","ALKBH5",2,0.136558408965757,8,"0.467999796457446",1,NA,NA
"MAPK1","MAPK1",2,0.142121781480034,8,"0.994737063463315",1,NA,NA
"PHF14","PHF14",2,0.143305019410176,8,"0.517128183577964",1,NA,NA
"ELAC2","ELAC2",2,0.143386802833772,8,"0.146078989482145",1,NA,NA
"MYO10","MYO10",5,0.146319547149435,5,"0.110166452279581",1,NA,NA
"MEF2D","MEF2D",3,0.147412378223458,7,"0.233052162828401",1,NA,NA
"LIFR","LIFR",4,0.148046399099223,6,"0.0539061443892104",1,NA,NA
"UBQLN4","UBQLN4",3,0.150031408803827,7,"0.012447241228385",1,NA,NA
"PDGFRA","PDGFRA",2,0.150130584497922,8,"0.0802231899361503",1,NA,NA
"PRKAB2","PRKAB2",3,0.150459017629693,7,"0.671755888325682",1,NA,NA
"CDH4","CDH4",2,0.150758964299759,8,"0.333446265745007",1,NA,NA
"SLAMF6","SLAMF6",2,0.151514752316612,8,"0.897342287883294",1,NA,NA
"LIMS3","LIMS3",2,0.154684209922487,8,"0.920639539130052",1,NA,NA
"LIMS3L","LIMS3L",2,0.154684209922487,8,"0.920639539130052",1,NA,NA
"BIRC7","BIRC7",2,0.155024221792849,8,"0.0123613533951844",1,NA,NA
"PKLR","PKLR",3,0.161265579451679,7,"0.0496642042622391",1,NA,NA
"DUSP12","DUSP12",2,0.163514787002889,8,"0.884279240459646",1,NA,NA
"KCNJ10","KCNJ10",2,0.165442080850884,8,"0.0546189824068852",1,NA,NA
"SREBF1","SREBF1",2,0.165617849303214,8,"0.882931795179162",1,NA,NA
"FARP1","FARP1",3,0.166323245643494,7,"0.830241092660448",1,NA,NA
"OSBPL2","OSBPL2",2,0.170354291747279,8,"0.744457638505451",1,NA,NA
"NFKBIA","NFKBIA",2,0.180669641528037,8,"0.0295813263234831",1,NA,NA
"DCAF8","DCAF8",2,0.18278756504967,8,"0.50494216345392",1,NA,NA
"OR2T11","OR2T11",5,0.187354939903233,5,"0.595962918591375",1,NA,NA
"B9D1","B9D1",2,0.187949028142804,8,"0.457464450093015",1,NA,NA
