"","#wt","#mut","pvalue","p_adj"
"THEM4",7,3,0.00107644223521675,0.861332237076267
"PRKAA1",6,4,0.00338649962915118,0.861332237076267
"CD274",9,1,0.00715749701581098,0.861332237076267
"HSD17B7",8,2,0.010407625888017,0.861332237076267
"PTGER4",6,4,0.0112677285803882,0.861332237076267
"CCR10",9,1,0.0132918201384355,0.861332237076267
"SLAMF9",8,2,0.0142935776453044,0.861332237076267
"MIR205HG",9,1,0.0146975878021408,0.861332237076267
"MLLT11",6,4,0.0150378608029024,0.861332237076267
"MAPK1",8,2,0.0161746911989393,0.861332237076267
"ID1",9,1,0.0172978861943301,0.861332237076267
"AJAP1",9,1,0.0174776705910933,0.861332237076267
"ARVCF",9,1,0.0180229174720586,0.861332237076267
"KIRREL",8,2,0.0182116003149216,0.861332237076267
"PMEPA1",8,2,0.0193636279215801,0.861332237076267
"HEPACAM2",9,1,0.0210419807133975,0.861332237076267
"UBAC2",7,3,0.0216735132315057,0.861332237076267
"ANGEL2",9,1,0.0246035592804415,0.861332237076267
"PMP22",8,2,0.0250793606420265,0.861332237076267
"SLC1A3",6,4,0.0252866829646781,0.861332237076267
"CDK6",9,1,0.0253658864671705,0.861332237076267
"LGR6",9,1,0.0254666920120691,0.861332237076267
"YAP1",9,1,0.025697650254782,0.861332237076267
"SYNCRIP",9,1,0.0270838883617806,0.861332237076267
"KAT6A",9,1,0.0297204996516703,0.861332237076267
"ICMT",9,1,0.0307730442488691,0.861332237076267
"ARPC1A",9,1,0.0314516005418051,0.861332237076267
"DDI1",9,1,0.0324814427466855,0.861332237076267
"GPR146",9,1,0.0328560660712693,0.861332237076267
"RFX5",6,4,0.0334687555873031,0.861332237076267
"ERCC5",9,1,0.0337998503065654,0.861332237076267
"BIVM-ERCC5",9,1,0.0337998503065654,0.861332237076267
"ORC4",9,1,0.033984527403456,0.861332237076267
"ALDH3A2",8,2,0.0344828336563884,0.861332237076267
"TCHH",7,3,0.0346830301093838,0.861332237076267
"ACADVL",9,1,0.0355290778643571,0.861332237076267
"NMNAT2",9,1,0.0357784821837371,0.861332237076267
"MRE11A",9,1,0.0393780747048232,0.861332237076267
"GPR39",9,1,0.0402687913763801,0.861332237076267
"LDLRAD3",9,1,0.0404067068966416,0.861332237076267
"UBE2Z",9,1,0.0409450624460726,0.861332237076267
"LAX1",9,1,0.0410234944001137,0.861332237076267
"ANKRD17",9,1,0.0411512061653462,0.861332237076267
"LMX1A",9,1,0.0414743709760957,0.861332237076267
"ZNF217",9,1,0.0433028072574206,0.861332237076267
"CABLES2",8,2,0.0450223149744638,0.861332237076267
"LIMS3-LOC440895",9,1,0.0452621405855522,0.861332237076267
"LIG4",9,1,0.0458735844058603,0.861332237076267
"BET1",9,1,0.0466601289212013,0.861332237076267
"CLDN10",8,2,0.0468195475751643,0.861332237076267
"AIP",9,1,0.047204209846442,0.861332237076267
"MAP2K3",9,1,0.0476702513060196,0.861332237076267
"SOX17",9,1,0.0477700009336543,0.861332237076267
"YWHAZ",9,1,0.0480173215931251,0.861332237076267
"PMS2",9,1,0.0480814022819704,0.861332237076267
"PMS2CL",9,1,0.0480814022819704,0.861332237076267
"SLC39A1",7,3,0.0484358980004136,0.861332237076267
"MPZL1",9,1,0.0484364723090214,0.861332237076267
"UBE2V2",9,1,0.0489178678739436,0.861332237076267
"CAPRIN2",9,1,0.049460078577762,0.861332237076267
"PROX1",9,1,0.0495142770873365,0.861332237076267
"MAPK15",9,1,0.0502289528302712,0.861332237076267
"NTNG1",9,1,0.0510277828106094,0.861332237076267
"TNFRSF4",9,1,0.0518426118642817,0.861332237076267
"NTSR1",8,2,0.0520887696150025,0.861332237076267
"PTP4A3",9,1,0.0525569317470612,0.861332237076267
"REM1",9,1,0.0530555570871799,0.861332237076267
"ENOX1",9,1,0.0534334980860022,0.861332237076267
"KIAA2026",9,1,0.0535063063015524,0.861332237076267
"CNR1",9,1,0.0538440673026066,0.861332237076267
"LIMS3",8,2,0.0540518164686304,0.861332237076267
"LIMS3L",8,2,0.0540518164686304,0.861332237076267
"ACVR2A",9,1,0.0540701776968055,0.861332237076267
"RAG2",9,1,0.0546726970542497,0.861332237076267
"CCDC132",9,1,0.0549077503923028,0.861332237076267
"ATAD3B",9,1,0.0551187375909596,0.861332237076267
"RASAL2",9,1,0.0553147821136366,0.861332237076267
"CA14",7,3,0.056770303176233,0.861332237076267
"RIOK3",9,1,0.0571711905801386,0.861332237076267
"IRX4",9,1,0.0571871840755825,0.861332237076267
"DDHD2",9,1,0.0573184636010371,0.861332237076267
"CBFA2T2",9,1,0.0584390540399935,0.861332237076267
"PPP1CA",9,1,0.0586215001132786,0.861332237076267
"KDM4C",9,1,0.0590205199784703,0.861332237076267
"SLAMF6",8,2,0.0598050654967372,0.861332237076267
"LYNX1",9,1,0.0600307154572295,0.861332237076267
"AGR2",7,3,0.0603017645084945,0.861332237076267
"EIF5A",9,1,0.0609332634579646,0.861332237076267
"FMOD",9,1,0.0616595181892428,0.861332237076267
"HGF",8,2,0.0620848559396098,0.861332237076267
"CBX1",9,1,0.0621531219100242,0.861332237076267
"HLTF",9,1,0.0623890890814484,0.861332237076267
"MNT",9,1,0.0624953304883948,0.861332237076267
"UBE2J1",9,1,0.0633330189490574,0.861332237076267
"NPAS3",8,2,0.0646745617920213,0.861332237076267
"LHX1",9,1,0.0649638764015379,0.861332237076267
"WDR67",9,1,0.0653606597619581,0.861332237076267
"APCDD1L",8,2,0.0659843938973249,0.861332237076267
"C1orf27",9,1,0.0664003757160855,0.861332237076267
"DUSP15",9,1,0.0664723014982589,0.861332237076267
"EIF2AK1",9,1,0.0665010886942122,0.861332237076267
"TCFL5",8,2,0.0666037215188526,0.861332237076267
"ASXL1",9,1,0.0669521431631407,0.861332237076267
"LY6K",9,1,0.0671006033068862,0.861332237076267
