"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"BTBD17","BTBD17",3,0.000112908396283266,7,"0.141197391426555",0.175233831031629,NA,NA
"SLITRK3","SLITRK3",2,0.000353171218823077,8,"0.577502520885061",0.547062217956946,NA,NA
"TP53","TP53",8,0.000464050533393608,2,"0.0338707348121647",0.718350225693305,NA,NA
"KIF18A","KIF18A",2,0.000524273922052024,8,"0.148192441133896",0.811051757414481,NA,NA
"PAX1","PAX1",2,0.00127417480360764,8,"0.52816675112855",1,NA,NA
"NBN","NBN",3,0.00908086539409945,7,"0.0755831068707783",1,NA,NA
"LAMA5","LAMA5",3,0.0122239426361486,7,"0.655778046004754",1,NA,NA
"MAPKBP1","MAPKBP1",2,0.014554318206495,8,"0.046936885451698",1,NA,NA
"ATM","ATM",3,0.0197454662655907,7,"0.733658508804078",1,NA,NA
"OR2T4","OR2T4",2,0.0210396012639973,8,"0.0546830383869983",1,NA,NA
"ATR","ATR",2,0.0240208996587745,8,"0.724365906757579",1,NA,NA
"ACO2","ACO2",2,0.0250699462963283,8,"0.77876970371616",1,NA,NA
"COL6A3","COL6A3",3,0.0251596146855171,7,"0.777175788390856",1,NA,NA
"ANKRD24","ANKRD24",2,0.0287164888798843,8,"0.977789765874729",1,NA,NA
"FREM2","FREM2",2,0.0312786543883475,8,"0.616565931445509",1,NA,NA
"BRCA1","BRCA1",3,0.0328470786082823,7,"0.105749019414788",1,NA,NA
"ENPP4","ENPP4",2,0.0351143305610892,8,"0.0155261481861764",1,NA,NA
"SLC4A8","SLC4A8",2,0.0359080795261564,8,"0.287162046692216",1,NA,NA
"CCAR1","CCAR1",2,0.038258005843239,8,"0.410350739755352",1,NA,NA
"CHRM4","CHRM4",3,0.0386121543758196,7,"0.28104237873539",1,NA,NA
"ATP2B4","ATP2B4",2,0.0394072782566188,8,"0.653603242649067",1,NA,NA
"GTF2IRD1","GTF2IRD1",2,0.0437893845490589,8,"0.453679841131828",1,NA,NA
"TRIO","TRIO",3,0.0438604400553773,7,"0.357647055632274",1,NA,NA
"MYO7B","MYO7B",2,0.0449038339601596,8,"0.0285302727201249",1,NA,NA
"TRIP12","TRIP12",4,0.0495971976349624,6,"0.024853199354213",1,NA,NA
"COL12A1","COL12A1",3,0.0502819501757587,7,"0.295563749560023",1,NA,NA
"DGKD","DGKD",2,0.0505646330389508,8,"0.223385827017084",1,NA,NA
"ABCA12","ABCA12",2,0.0506618259537953,8,"0.449100094704765",1,NA,NA
"HEATR2","HEATR2",2,0.0539717159629904,8,"0.0512437573543045",1,NA,NA
"KCNA2","KCNA2",2,0.0593432138235872,8,"0.565501185904855",1,NA,NA
"ABCB11","ABCB11",2,0.0662142115437436,8,"0.921704956120236",1,NA,NA
"MME","MME",3,0.0830038677924135,7,"0.370835277248436",1,NA,NA
"FAIM3","FAIM3",2,0.0853532218071243,8,"0.411243838822014",1,NA,NA
"GPNMB","GPNMB",2,0.0883771584287576,8,"0.229808325739522",1,NA,NA
"MRGPRX3","MRGPRX3",2,0.0917479280415311,8,"0.136399518478694",1,NA,NA
"FRMD6","FRMD6",2,0.0921081408114014,8,"0.0885242269195584",1,NA,NA
"ITK","ITK",2,0.0988484318590093,8,"0.130831118164923",1,NA,NA
"DLG5","DLG5",2,0.114792735172008,8,"0.969831309991027",1,NA,NA
"DENND5B","DENND5B",2,0.114865933144952,8,"0.798615091659197",1,NA,NA
"NOS1","NOS1",2,0.116261127336398,8,"0.561849109105495",1,NA,NA
"NLRP3","NLRP3",2,0.119599129873607,8,"0.0826779060398225",1,NA,NA
"RREB1","RREB1",3,0.121481454169932,7,"0.218796829438435",1,NA,NA
"CFH","CFH",2,0.121963841418278,8,"0.999691570287204",1,NA,NA
"TIAM1","TIAM1",2,0.125956470039887,8,"0.573365176486382",1,NA,NA
"ANKRD17","ANKRD17",3,0.126338476558631,7,"0.848439878552293",1,NA,NA
"KIAA1549","KIAA1549",2,0.128770191357281,8,"0.532438136935162",1,NA,NA
"SEMA6A","SEMA6A",2,0.13048114584687,8,"0.574985088754303",1,NA,NA
"C1QTNF1","C1QTNF1",2,0.132203392070469,8,"0.644391706626154",1,NA,NA
"CCDC144A","CCDC144A",2,0.134411672829856,8,"0.266785015976705",1,NA,NA
"LGR5","LGR5",2,0.134728634631621,8,"0.205856767321348",1,NA,NA
"AMBRA1","AMBRA1",2,0.137999015051413,8,"0.677202478020425",1,NA,NA
"ARSG","ARSG",2,0.139003883230997,8,"0.664944959565787",1,NA,NA
"COL9A3","COL9A3",2,0.142937282713101,8,"0.864010631421121",1,NA,NA
"KIF2B","KIF2B",3,0.143817966081411,7,"0.869015885655838",1,NA,NA
"MEGF8","MEGF8",2,0.146884164032117,8,"0.998306748367563",1,NA,NA
"FAM83H","FAM83H",2,0.14709120347556,8,"0.970152827294195",1,NA,NA
"BCLAF1","BCLAF1",3,0.149249564959128,7,"0.523130814428101",1,NA,NA
"EMILIN1","EMILIN1",2,0.151725028801571,8,"0.620175512203244",1,NA,NA
"MACF1","MACF1",3,0.155544431025463,7,"0.0152125394308419",1,NA,NA
"NPAS3","NPAS3",2,0.158401882423794,8,"0.510505762397935",1,NA,NA
"SMARCA4","SMARCA4",2,0.160471909403134,8,"0.896969449529194",1,NA,NA
"UGT3A1","UGT3A1",2,0.160601732276146,8,"0.58360341591777",1,NA,NA
"DMRT3","DMRT3",2,0.162424764217656,8,"0.357391922945179",1,NA,NA
"HGF","HGF",3,0.164726796814534,7,"0.719024074715709",1,NA,NA
"SI","SI",2,0.168797639184962,8,"0.0786163677132077",1,NA,NA
"LAMP3","LAMP3",2,0.172725109891375,8,"0.316474094873311",1,NA,NA
"ITGAD","ITGAD",4,0.179090394317681,6,"0.290269675671477",1,NA,NA
"NOTCH4","NOTCH4",2,0.179523772486018,8,"0.859768050046854",1,NA,NA
"SRCAP","SRCAP",3,0.183086340015089,7,"0.507570873536441",1,NA,NA
"SEMA3F","SEMA3F",2,0.184592863242233,8,"0.0653784619901642",1,NA,NA
"KCNS2","KCNS2",2,0.188464438097722,8,"0.238017344507075",1,NA,NA
"SP140","SP140",2,0.19001490236273,8,"0.64343166612852",1,NA,NA
"OBSCN","OBSCN",4,0.191522410165364,6,"0.41942152845467",1,NA,NA
"JPH2","JPH2",2,0.192423567639153,8,"0.00494164879947212",1,NA,NA
"RHO","RHO",2,0.195228989248838,8,"0.974350990389503",1,NA,NA
"LRP1B","LRP1B",7,0.201554829064074,3,"0.779764699348572",1,NA,NA
"PDGFRA","PDGFRA",2,0.207489214902918,8,"0.0637448182538874",1,NA,NA
"LRRK2","LRRK2",2,0.207784503100663,8,"0.174837692483212",1,NA,NA
"KCNQ2","KCNQ2",3,0.208230381307149,7,"0.285042826465593",1,NA,NA
"GLI2","GLI2",2,0.213235331455488,8,"0.660606986635722",1,NA,NA
"TEX2","TEX2",2,0.218201417178442,8,"0.73218113298551",1,NA,NA
"MAGEA2B","MAGEA2B",2,0.219970781279662,8,"0.793745955671141",1,NA,NA
