"","#wt","#mut","pvalue","p_adj"
"ANKRD24",8,2,0.00525256115984434,0.824276207757914
"CFH",8,2,0.0053997166547049,0.824276207757914
"TBC1D2B",9,1,0.00827375703677969,0.824276207757914
"SLX4",9,1,0.0102209354061489,0.824276207757914
"KRAS",9,1,0.0111561876721432,0.824276207757914
"DUSP6",9,1,0.011232447311321,0.824276207757914
"MEGF8",8,2,0.0117585093035081,0.824276207757914
"SLITRK3",8,2,0.0131497410918165,0.824276207757914
"ATP12A",9,1,0.0147912406183519,0.824276207757914
"LPAR3",9,1,0.0162678707867181,0.824276207757914
"KCTD8",9,1,0.0164384664535497,0.824276207757914
"PAX1",8,2,0.0173217658002644,0.824276207757914
"ADCY1",9,1,0.019298039631263,0.824276207757914
"ACO2",8,2,0.0202247939693857,0.824276207757914
"COL6A3",7,3,0.0204654310984424,0.824276207757914
"ATM",7,3,0.0208515497343819,0.824276207757914
"LAMA5",7,3,0.0209874496804962,0.824276207757914
"ABCB11",8,2,0.02111397379796,0.824276207757914
"MMP2",9,1,0.0220264806277735,0.824276207757914
"DCAF8L2",9,1,0.0221734058149417,0.824276207757914
"KLHL14",9,1,0.022562276701312,0.824276207757914
"ATR",8,2,0.0237565198764064,0.824276207757914
"DLG5",8,2,0.0239468802249001,0.824276207757914
"PRPF4",9,1,0.0248619921250486,0.824276207757914
"SLIT2",9,1,0.0258179709682889,0.824276207757914
"TCF19",9,1,0.0271048078101253,0.824276207757914
"GPR50",9,1,0.0283595129528845,0.824276207757914
"DCN",9,1,0.0297694856378251,0.824276207757914
"ARMC3",9,1,0.0301809483759785,0.824276207757914
"GP5",9,1,0.0315840330914064,0.824276207757914
"DDX27",9,1,0.0320742363853791,0.824276207757914
"LYPD6B",9,1,0.0326805294139204,0.824276207757914
"FAM83H",8,2,0.0327539155423002,0.824276207757914
"HNF1A",9,1,0.032931826411792,0.824276207757914
"JUND",9,1,0.0334143005471683,0.824276207757914
"NCKAP1L",9,1,0.0337140899501438,0.824276207757914
"AXIN1",9,1,0.0338648125894703,0.824276207757914
"RRM2B",9,1,0.0340940442983329,0.824276207757914
"MED12",8,2,0.0347711835539189,0.824276207757914
"GDPD3",9,1,0.0358509453304591,0.824276207757914
"FCRLA",9,1,0.036609030243942,0.824276207757914
"FREM2",8,2,0.0377030925840561,0.824276207757914
"HS3ST3A1",9,1,0.037966054008763,0.824276207757914
"BTBD17",7,3,0.0386851443260689,0.824276207757914
"MRE11A",9,1,0.0393780747048232,0.824276207757914
"ATP2B4",8,2,0.0395670703281224,0.824276207757914
"GSTA1",9,1,0.0400734641063923,0.824276207757914
"SOX9",9,1,0.0407421963445865,0.824276207757914
"ADH4",9,1,0.0413063655506761,0.824276207757914
"OR52I2",9,1,0.0417821590429961,0.824276207757914
"PIK3C3",9,1,0.0420117111721594,0.824276207757914
"NRAS",9,1,0.0420467323462986,0.824276207757914
"ITGB7",9,1,0.0429248785172362,0.824276207757914
"NPY1R",9,1,0.0442906988335916,0.824276207757914
"ITGAV",9,1,0.0449126822545283,0.824276207757914
"RHO",8,2,0.0456084388169899,0.824276207757914
"RAB36",9,1,0.0456538810436433,0.824276207757914
"HMGB1",9,1,0.0462344396899586,0.824276207757914
"APMAP",9,1,0.0477866421088464,0.824276207757914
