"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"BCCIP","BCCIP",-1,-1,10,"1.51721772934099e-06",0.00889848198258491,NA,NA
"CRBN","CRBN",-1,-1,10,"2.20459642050752e-05",0.129277534098561,NA,NA
"NDST4","NDST4",-1,-1,9,"2.49795506295225e-05",0.14645510534089,NA,NA
"LCP1","LCP1",-1,-1,9,"2.87281693438501e-05",0.168404528693649,NA,NA
"FABP9","FABP9",-1,-1,10,"2.88915224767594e-05",0.169333213236287,NA,NA
"LTV1","LTV1",-1,-1,10,"3.58794290519215e-05",0.21025345424426,NA,NA
"DRD1","DRD1",-1,-1,10,"5.25451380357644e-05",0.307861963751544,NA,NA
"LRIG2","LRIG2",-1,-1,10,"7.58551856929746e-05",0.444359677789445,NA,NA
"CDK6","CDK6",-1,-1,9,"0.000185916285271759",1,NA,NA
"GALR3","GALR3",-1,-1,10,"0.000208762843033394",1,NA,NA
"TTC1","TTC1",-1,-1,10,"0.000212218760025862",1,NA,NA
"WDR67","WDR67",-1,-1,9,"0.000229774219242196",1,NA,NA
"AK4","AK4",-1,-1,10,"0.000231190865097375",1,NA,NA
"ERBB4","ERBB4",-1,-1,8,"0.000263226921549453",1,NA,NA
"PLEKHA4","PLEKHA4",-1,-1,10,"0.000315416125485135",1,NA,NA
"MED7","MED7",-1,-1,10,"0.000342508456997237",1,NA,NA
"CAMK4","CAMK4",-1,-1,10,"0.000343420057145827",1,NA,NA
"COL10A1","COL10A1",-1,-1,10,"0.000350790910326526",1,NA,NA
"ANKRD44","ANKRD44",-1,-1,10,"0.000444767833560733",1,NA,NA
"ABCB8","ABCB8",-1,-1,10,"0.000501747355806104",1,NA,NA
"UBE2L6","UBE2L6",-1,-1,10,"0.000516544932761098",1,NA,NA
"DPYD","DPYD",-1,-1,10,"0.000609385962425657",1,NA,NA
"HIST1H1T","HIST1H1T",-1,-1,10,"0.000677383663102105",1,NA,NA
"RGR","RGR",-1,-1,10,"0.000693267471273185",1,NA,NA
"ARAP1","ARAP1",-1,-1,8,"0.000710009171750348",1,NA,NA
"ARID3A","ARID3A",-1,-1,10,"0.000773167925490093",1,NA,NA
"CD14","CD14",-1,-1,10,"0.000784214655938253",1,NA,NA
"SAFB2","SAFB2",-1,-1,10,"0.000805338276642198",1,NA,NA
"ALDH16A1","ALDH16A1",-1,-1,9,"0.000890932091790919",1,NA,NA
"RAB12","RAB12",-1,-1,10,"0.000909054490923711",1,NA,NA
"TRIB2","TRIB2",-1,-1,8,"0.000961904261828295",1,NA,NA
"VSX2","VSX2",-1,-1,9,"0.00099589396629951",1,NA,NA
"UBAC2","UBAC2",-1,-1,6,"0.00111949556591329",1,NA,NA
"HSPB1","HSPB1",-1,-1,9,"0.00116203623342481",1,NA,NA
"LGR6","LGR6",-1,-1,8,"0.00121679909549965",1,NA,NA
"TMPRSS2","TMPRSS2",-1,-1,10,"0.0012858682704725",1,NA,NA
"NLRP12","NLRP12",-1,-1,10,"0.00135580239906452",1,NA,NA
"LTBP4","LTBP4",-1,-1,9,"0.00141327335723718",1,NA,NA
"WNK1","WNK1",-1,-1,9,"0.00142849528407707",1,NA,NA
"RAB3D","RAB3D",-1,-1,10,"0.00145968641469296",1,NA,NA
"ZBTB26","ZBTB26",-1,-1,10,"0.001466728276866",1,NA,NA
"FKBP5","FKBP5",-1,-1,10,"0.00157348543849856",1,NA,NA
"C1R","C1R",-1,-1,8,"0.0016148931810106",1,NA,NA
"NPTX1","NPTX1",-1,-1,10,"0.00164179413864141",1,NA,NA
"MEGF8","MEGF8",-1,-1,8,"0.00170450992995452",1,NA,NA
"AIP","AIP",-1,-1,9,"0.00171350664940795",1,NA,NA
"ZRANB2","ZRANB2",-1,-1,10,"0.00173381472351819",1,NA,NA
"MED21","MED21",-1,-1,10,"0.00173544946566651",1,NA,NA
"NRBP1","NRBP1",-1,-1,8,"0.00183264435243935",1,NA,NA
"RELB","RELB",-1,-1,8,"0.00184931410676559",1,NA,NA
"ATP12A","ATP12A",-1,-1,8,"0.00186072405393134",1,NA,NA
"BTF3","BTF3",-1,-1,10,"0.00186370409907555",1,NA,NA
"PAX3","PAX3",-1,-1,8,"0.00187287126146629",1,NA,NA
"FNTA","FNTA",-1,-1,9,"0.00189662198089147",1,NA,NA
"IL1R2","IL1R2",-1,-1,9,"0.00209581187554497",1,NA,NA
"TOP2A","TOP2A",-1,-1,9,"0.00211169921963594",1,NA,NA
"PABPN1L","PABPN1L",-1,-1,10,"0.00211982010258582",1,NA,NA
"GPR88","GPR88",-1,-1,9,"0.00217558639162496",1,NA,NA
"CYP26B1","CYP26B1",-1,-1,8,"0.00227529273458804",1,NA,NA
"CD83","CD83",-1,-1,10,"0.00227865040084763",1,NA,NA
"RBBP8","RBBP8",-1,-1,9,"0.00232191228206513",1,NA,NA
"WASH2P","WASH2P",-1,-1,10,"0.00239815068536176",1,NA,NA
"CFH","CFH",-1,-1,6,"0.00242616542000118",1,NA,NA
"CLSPN","CLSPN",-1,-1,9,"0.00249744662481099",1,NA,NA
"BTNL9","BTNL9",-1,-1,10,"0.00252155952407773",1,NA,NA
"SCNN1D","SCNN1D",-1,-1,9,"0.00253535933141658",1,NA,NA
"ATP11B","ATP11B",-1,-1,9,"0.00262939185669053",1,NA,NA
"ATAD3C","ATAD3C",-1,-1,9,"0.00269887928265322",1,NA,NA
"SLX4","SLX4",-1,-1,8,"0.00276405941172742",1,NA,NA
"KCTD8","KCTD8",-1,-1,9,"0.00285609735202952",1,NA,NA
"CORO1A","CORO1A",-1,-1,9,"0.00289047179210078",1,NA,NA
"TBC1D2B","TBC1D2B",-1,-1,9,"0.00293440196221573",1,NA,NA
"ROS1","ROS1",-1,-1,7,"0.00297485422006083",1,NA,NA
"FAS","FAS",-1,-1,8,"0.0029900345100089",1,NA,NA
"PHIP","PHIP",-1,-1,8,"0.00300320837707346",1,NA,NA
"OR51B2","OR51B2",-1,-1,10,"0.00302402886783348",1,NA,NA
"MLNR","MLNR",-1,-1,10,"0.00327585868637226",1,NA,NA
"EML1","EML1",-1,-1,9,"0.00338649737662278",1,NA,NA
"PITPNM2","PITPNM2",-1,-1,10,"0.0034802041084786",1,NA,NA
"ZBTB12","ZBTB12",-1,-1,10,"0.0034802041084786",1,NA,NA
"SAR1B","SAR1B",-1,-1,10,"0.00352944055474469",1,NA,NA
"STK24","STK24",-1,-1,7,"0.00355119191900022",1,NA,NA
"GNL2","GNL2",-1,-1,10,"0.00360288028454592",1,NA,NA
"GRB10","GRB10",-1,-1,10,"0.00367868467461707",1,NA,NA
"WDR75","WDR75",-1,-1,10,"0.00368917538313474",1,NA,NA
