"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"STARD9","STARD9",-1,-1,8,"2.88162998457191e-06",0.0178488161244384,NA,NA
"VTCN1","VTCN1",-1,-1,10,"7.05808842875629e-06",0.0437107416392877,NA,NA
"RAP1B","RAP1B",-1,-1,10,"3.21616300935442e-05",0.199144813539226,NA,NA
"CACNB4","CACNB4",-1,-1,9,"4.13367847298476e-05",0.255916034262486,NA,NA
"AGAP4","AGAP4",-1,-1,10,"5.4251265500671e-05",0.335815333449153,NA,NA
"AGAP9","AGAP9",-1,-1,10,"5.4251265500671e-05",0.335815333449153,NA,NA
"AGAP7","AGAP7",-1,-1,10,"5.4251265500671e-05",0.335815333449153,NA,NA
"AGAP8","AGAP8",-1,-1,10,"5.4251265500671e-05",0.335815333449153,NA,NA
"AGAP5","AGAP5",-1,-1,10,"5.4251265500671e-05",0.335815333449153,NA,NA
"CDC20","CDC20",-1,-1,10,"7.00716478623732e-05",0.433393142028778,NA,NA
"DLG1","DLG1",-1,-1,10,"0.000135695197445933",0.83913910100565,NA,NA
"MBOAT1","MBOAT1",-1,-1,10,"0.000241203988001147",1,NA,NA
"MATK","MATK",-1,-1,10,"0.000259790401535708",1,NA,NA
"DHX35","DHX35",-1,-1,9,"0.000282789555539512",1,NA,NA
"PTTG1IP","PTTG1IP",-1,-1,10,"0.000289194198492685",1,NA,NA
"DDX50","DDX50",-1,-1,10,"0.000298586494936429",1,NA,NA
"MICB","MICB",-1,-1,10,"0.000299934114964996",1,NA,NA
"TSFM","TSFM",-1,-1,10,"0.000309867429610991",1,NA,NA
"DDX6","DDX6",-1,-1,9,"0.000449034785852259",1,NA,NA
"TNFRSF10A","TNFRSF10A",-1,-1,9,"0.00065010663459868",1,NA,NA
"AGAP6","AGAP6",-1,-1,10,"0.000711024166940503",1,NA,NA
"ORC1","ORC1",-1,-1,10,"0.000714177193584997",1,NA,NA
"SIGLEC1","SIGLEC1",-1,-1,10,"0.000771782822532532",1,NA,NA
"UBA3","UBA3",-1,-1,9,"0.000849416941932752",1,NA,NA
"ONECUT3","ONECUT3",-1,-1,10,"0.000869499929346931",1,NA,NA
"GABRR1","GABRR1",-1,-1,9,"0.000879444053509582",1,NA,NA
"RNF20","RNF20",-1,-1,10,"0.000882890768748073",1,NA,NA
