"","#wt","#mut","pvalue","p_adj"
"BCCIP",10,0,1.54941696606237e-06,0.0101409340428782
"CRBN",10,0,2.19669575070025e-05,0.032553459716023
"NDST4",9,1,2.53852596480142e-05,0.032553459716023
"LCP1",9,1,2.8774647749974e-05,0.032553459716023
"FABP9",10,0,2.90719949372908e-05,0.032553459716023
"MED12",6,4,2.98427438191196e-05,0.032553459716023
"LTV1",10,0,3.58444973599381e-05,0.0335146050315421
"DRD1",10,0,5.09790885546701e-05,0.0417072668237895
"LRIG2",10,0,7.72516779553589e-05,0.0561791369130915
"TPT1",9,1,0.00016147543013445,0.0960456456763054
"CDK6",9,1,0.000187475309423424,0.0960456456763054
"P2RY8",10,0,0.000200211424464358,0.0960456456763054
"GALR3",10,0,0.000209012047984181,0.0960456456763054
"TTC1",10,0,0.000211471371037275,0.0960456456763054
"WDR67",9,1,0.000233876716784875,0.0960456456763054
"AK4",10,0,0.000234794550163619,0.0960456456763054
"ERBB4",8,2,0.000271861179840238,0.104666554238492
"FLJ44635",10,0,0.000291160896858433,0.105869337218802
"PLEKHA4",10,0,0.000322125276541296,0.106374894307158
"CAMK4",10,0,0.000347686316455986,0.106374894307158
"MED7",10,0,0.000348071523411986,0.106374894307158
"COL10A1",10,0,0.000357562669940026,0.106374894307158
"ANKRD44",10,0,0.000447116657408486,0.127233848814719
"ABCB8",10,0,0.000508676322333756,0.130758248529728
"UBE2L6",10,0,0.000518476079037988,0.130758248529728
"COPG1",9,1,0.00051943689255507,0.130758248529728
"DPYD",10,0,0.000615555534761114,0.148985822037898
"GNL3L",10,0,0.000648930757409349,0.148985822037898
"HIST1H1T",10,0,0.000681095961050593,0.148985822037898
"RGR",10,0,0.00070068242642285,0.148985822037898
"ARAP1",8,2,0.000705662411485841,0.148985822037898
"ARID3A",10,0,0.000767887639398945,0.155834697135209
"CD14",10,0,0.000788333871956426,0.155834697135209
"SAFB2",10,0,0.000809530894208876,0.155834697135209
"ALDH16A1",9,1,0.000893687252834119,0.164772739536649
"RAB12",10,0,0.000906313005854753,0.164772739536649
