"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"DARS","DARS",-1,-1,5,"2.41044073590047e-10",1.41372349160563e-06,NA,NA
"COPS8","COPS8",-1,-1,5,"3.81119691361675e-10",2.23488587014486e-06,NA,NA
"WDR74","WDR74",-1,-1,5,"1.57024000468908e-08",9.20631714749208e-05,NA,NA
"PPP1CB","PPP1CB",-1,-1,5,"2.08208118523956e-08",0.000122051599078743,NA,NA
"PSAT1","PSAT1",-1,-1,5,"3.37535743799577e-08",0.000197829699440932,NA,NA
"RTP1","RTP1",-1,-1,4,"4.81649150563257e-08",0.000282246402230069,NA,NA
"MCM6","MCM6",-1,-1,5,"5.1318996718841e-08",0.000300678001775689,NA,NA
"INTS4","INTS4",-1,-1,5,"6.23647726794019e-08",0.000365332838355936,NA,NA
"ARPC1A","ARPC1A",-1,-1,5,"1.2033207474893e-07",0.000704784961804483,NA,NA
"PPP1CC","PPP1CC",-1,-1,5,"1.67602520861898e-07",0.000981480362167275,NA,NA
"USP5","USP5",-1,-1,5,"2.53915609094157e-07",0.00148667589124629,NA,NA
"WDR46","WDR46",-1,-1,5,"2.55513558755638e-07",0.0014957763729555,NA,NA
"PRDM14","PRDM14",-1,-1,5,"2.89200633663e-07",0.00169269130882954,NA,NA
"ACTG1","ACTG1",-1,-1,5,"2.9815353008722e-07",0.00174479445807041,NA,NA
"PRPF6","PRPF6",-1,-1,5,"3.13881359015333e-07",0.00183651983159871,NA,NA
"AATF","AATF",-1,-1,5,"4.31224181918211e-07",0.00252266146422153,NA,NA
"UBASH3B","UBASH3B",-1,-1,4,"4.50498080950545e-07",0.00263496327547974,NA,NA
"EEF2","EEF2",-1,-1,5,"4.82172574645112e-07",0.00281974521652461,NA,NA
"ATRIP","ATRIP",-1,-1,5,"5.06615840056845e-07",0.00296218281681237,NA,NA
"ITGA1","ITGA1",-1,-1,5,"5.23454780076982e-07",0.00306011664433004,NA,NA
"FTSJ3","FTSJ3",-1,-1,5,"5.58475827250327e-07",0.00326429121027816,NA,NA
"STIL","STIL",-1,-1,5,"6.17737700991938e-07",0.00361005912459689,NA,NA
