"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"CCND3","CCND3",-1,-1,5,"5.61591908968851e-13",3.47850028415306e-09,NA,NA
"MEF2B","MEF2B",-1,-1,4,"1.36163767865035e-10",8.43262214388162e-07,NA,NA
"EP300","EP300",-1,-1,3,"2.66820225123212e-09",1.65215083396293e-05,NA,NA
"TCF3","TCF3",-1,-1,5,"2.88366677276536e-08",0.000178527809901903,NA,NA
"CDK6","CDK6",-1,-1,5,"2.88396739904443e-08",0.000178527809901903,NA,NA
"CNKSR1","CNKSR1",-1,-1,5,"2.02610144237343e-07",0.00125395418268492,NA,NA
"PTTG1IP","PTTG1IP",-1,-1,5,"2.27034049815654e-07",0.00140488670025927,NA,NA
"CDK5","CDK5",-1,-1,5,"7.31771557749908e-07",0.00452747062779868,NA,NA
"F2RL3","F2RL3",-1,-1,5,"9.71693908407244e-07",0.00601089851740721,NA,NA
"LGALS1","LGALS1",-1,-1,5,"1.37257036198306e-06",0.00848934768886523,NA,NA
"ADK","ADK",-1,-1,5,"2.01479753797077e-06",0.0124595079748112,NA,NA
"ECM1","ECM1",-1,-1,5,"2.09331533208972e-06",0.0129429686983107,NA,NA
"PIM3","PIM3",-1,-1,5,"2.19584572677586e-06",0.0135747182829284,NA,NA
"TPCN2","TPCN2",-1,-1,5,"2.34812096560827e-06",0.0145137356884247,NA,NA
"MAN1B1","MAN1B1",-1,-1,4,"2.82353182759854e-06",0.017449426694559,NA,NA
"MLLT1","MLLT1",-1,-1,5,"3.01561155863974e-06",0.018633463820835,NA,NA
"CHRM1","CHRM1",-1,-1,5,"3.99297735060861e-06",0.02466861407206,NA,NA
"FNIP1","FNIP1",-1,-1,4,"4.31640468658144e-06",0.0266624317490136,NA,NA
"UGT8","UGT8",-1,-1,4,"4.58406706122069e-06",0.028311198170099,NA,NA
"OR5W2","OR5W2",-1,-1,5,"4.78820718724734e-06",0.0295671793812523,NA,NA
"MATN3","MATN3",-1,-1,5,"5.22608913620398e-06",0.0322658743269234,NA,NA
"MEF2BNB-MEF2B","MEF2BNB-MEF2B",-1,-1,5,"7.11816954701932e-06",0.0439404606137503,NA,NA
"SLC44A4","SLC44A4",-1,-1,5,"7.496581632131e-06",0.0462689018335125,NA,NA
"CFL1","CFL1",-1,-1,5,"7.67065492964158e-06",0.0473356115708182,NA,NA
"WDR25","WDR25",-1,-1,5,"1.05817124431293e-05",0.0652891657741078,NA,NA
"CLMP","CLMP",-1,-1,5,"1.10196771393937e-05",0.0679803882729197,NA,NA
"CACNB2","CACNB2",-1,-1,5,"1.31460859706775e-05",0.0810850582671388,NA,NA
"MAF","MAF",-1,-1,5,"1.48727826503305e-05",0.0917204506045882,NA,NA
"GNA11","GNA11",-1,-1,5,"2.04015992822783e-05",0.125796261174528,NA,NA
"VSTM2L","VSTM2L",-1,-1,5,"2.13248546944454e-05",0.131467729191256,NA,NA
"KIF2A","KIF2A",-1,-1,5,"3.04821161258399e-05",0.187891763799677,NA,NA
"KPNA6","KPNA6",-1,-1,5,"3.12034886242185e-05",0.192307100391059,NA,NA
"CAMK2A","CAMK2A",-1,-1,5,"3.62781984795589e-05",0.223546259031042,NA,NA
"RNF183","RNF183",-1,-1,5,"3.73584476095874e-05",0.230165395722668,NA,NA
"NKX3-2","NKX3-2",-1,-1,5,"4.66665660742233e-05",0.287466047017216,NA,NA
"OR2W3","OR2W3",-1,-1,4,"4.67982728758937e-05",0.288230562642629,NA,NA
"PARK2","PARK2",-1,-1,5,"4.7786932268745e-05",0.294271928910932,NA,NA
