"","#wt","#mut","pvalue","p_adj"
"CCND3",5,0,5.61591908968851e-13,3.67561904420113e-09
"MEF2B",4,1,1.36163767865035e-10,4.45595930338327e-07
"EP300",3,2,2.66820225123212e-09,5.82112791143807e-06
"TCF3",5,0,2.88366677276536e-08,3.77511332534916e-05
"CDK6",5,0,2.88396739904443e-08,3.77511332534916e-05
"CNKSR1",5,0,2.02610144237343e-07,0.000212276836577636
"PTTG1IP",5,0,2.27034049815654e-07,0.000212276836577636
"CDK5",5,0,7.31771557749908e-07,0.000598680605684143
"F2RL3",5,0,9.71693908407244e-07,0.000706637403391712
"LGALS1",5,0,1.37257036198306e-06,0.000898347301917913
"ADK",5,0,2.01479753797077e-06,0.00109774655142187
"ECM1",5,0,2.09331533208972e-06,0.00109774655142187
"PIM3",5,0,2.19584572677586e-06,0.00109774655142187
"TPCN2",5,0,2.34812096560827e-06,0.00109774655142187
"MAN1B1",4,1,2.82353182759854e-06,0.00123200105410883
"MLLT1",5,0,3.01561155863974e-06,0.00123357360320607
"CHRM1",5,0,3.99297735060861e-06,0.00153729627998431
"FNIP1",4,1,4.31640468658144e-06,0.00156694080202669
"UGT8",4,1,4.58406706122069e-06,0.00156694080202669
"OR5W2",5,0,4.78820718724734e-06,0.00156694080202669
"MATN3",5,0,5.22608913620398e-06,0.00162879778078357
"MEF2BNB-MEF2B",5,0,7.11816954701932e-06,0.00209185152143767
"SLC44A4",5,0,7.496581632131e-06,0.00209185152143767
"CFL1",5,0,7.67065492964158e-06,0.00209185152143767
"WDR25",5,0,1.05817124431293e-05,0.00277029231761125
"CLMP",5,0,1.10196771393937e-05,0.0027739918029743
"PDK3",5,0,1.15020093250116e-05,0.00278817226045189
"CACNB2",5,0,1.31460859706775e-05,0.00307289759564587
"MAF",5,0,1.48727826503305e-05,0.00335663318780735
"FLNA",5,0,1.64886369319332e-05,0.00359727095731676
"GNA11",5,0,2.04015992822783e-05,0.00430736991298424
"VSTM2L",5,0,2.13248546944454e-05,0.00436159918672329
"APMAP",5,0,2.31298663224954e-05,0.00458742348729492
"KIF2A",5,0,3.04821161258399e-05,0.00583505237272886
"KPNA6",5,0,3.12034886242185e-05,0.00583505237272886
"CAMK2A",5,0,3.62781984795589e-05,0.00659557802913092
"RNF183",5,0,3.73584476095874e-05,0.00660840647580404
"CHST7",5,0,4.15334709150815e-05,0.00715359387208443
"NKX3-2",5,0,4.66665660742233e-05,0.00762842613899844
"OR2W3",4,1,4.67982728758937e-05,0.00762842613899844
"PARK2",5,0,4.7786932268745e-05,0.00762842613899844
"TPTE2",5,0,5.11005102155247e-05,0.00796316284191927
"GPSM1",4,1,7.3561343215314e-05,0.0109398646828217
"APEX2",5,0,7.40414027746397e-05,0.0109398646828217
"SLC44A5",5,0,7.52167930828079e-05,0.0109398646828217
"IGF2BP3",4,1,9.14322619311974e-05,0.0130092207465149
"PLK2",4,1,9.44400538953924e-05,0.0131512798456456
"TTC3",5,0,0.00010287544603053,0.0139688996573184
"HSH2D",5,0,0.000104579997434469,0.0139688996573184
"NR1D1",5,0,0.00011891590251778,0.0152591373129859
"LGALS7",5,0,0.000122248715388873,0.0152591373129859
"LGALS7B",5,0,0.000122248715388873,0.0152591373129859
"RAB33A",5,0,0.000123565206659779,0.0152591373129859
"CD14",5,0,0.000134083605074716,0.0162514295410003
"MAP2K4",5,0,0.000138952808702456,0.0165353842355923
"VAX1",5,0,0.000167526721231743,0.0194780075079855
"MRGPRD",5,0,0.000169632762101631,0.0194780075079855
"ZBTB24",5,0,0.000175224476545208,0.0196944194331692
"GJB1",5,0,0.000177535637365467,0.0196944194331692
"E2F7",5,0,0.000183021802591084,0.0199646282993107
