"","#wt","#mut","pvalue","p_adj"
"DARS",5,0,2.63318256088496e-10,1.33672691110531e-06
"COPS8",5,0,4.08472700108575e-10,1.33672691110531e-06
"DDX19B",5,0,9.21719234270313e-09,2.01088412943307e-05
"WDR74",5,0,1.66645808263866e-08,2.72674203771751e-05
"PPP1CB",5,0,2.1867892718852e-08,2.86250715689773e-05
"PSAT1",5,0,3.61611909305282e-08,3.94458324400512e-05
"RTP1",4,1,5.21710292744615e-08,4.65156688898155e-05
"MCM6",5,0,5.68564325620358e-08,4.65156688898155e-05
"INTS4",5,0,7.0687673603409e-08,5.14056470815902e-05
"ARPC1A",5,0,1.32207323089162e-07,8.65296929618565e-05
"PPP1CC",5,0,1.77404105294876e-07,0.000105555442650451
"USP5",5,0,2.67208604354252e-07,0.000137818301315267
"WDR46",5,0,2.73741469380973e-07,0.000137818301315267
"ACTG1",5,0,3.11948409659202e-07,0.00013804179292632
"PRDM14",5,0,3.21207668241286e-07,0.00013804179292632
"PRPF6",5,0,3.37458928467704e-07,0.00013804179292632
"AATF",5,0,4.67927897540577e-07,0.000173835332306638
"UBASH3B",4,1,4.95778515907652e-07,0.000173835332306638
"ITGA1",5,0,5.2076699741388e-07,0.000173835332306638
"EEF2",5,0,5.37578189740984e-07,0.000173835332306638
"ATRIP",5,0,5.57760424513276e-07,0.000173835332306638
"FTSJ3",5,0,5.90427949642702e-07,0.000175652315018704
"CDK1",5,0,6.72267898238488e-07,0.000183813790758912
"STIL",5,0,6.74030707137341e-07,0.000183813790758912
"SERPINA3",5,0,7.39021309814625e-07,0.000193475778909469
"PRPF4B",5,0,8.07089312604425e-07,0.000203169213499845
"DDX59",5,0,9.14104848259711e-07,0.000221585786365178
"STC2",5,0,1.0808326442735e-06,0.000248973362156307
"PIP5K1B",5,0,1.10316692170098e-06,0.000248973362156307
"SNRPF",5,0,1.29929698056142e-06,0.00028346329125915
"RPP40",5,0,1.42104025580014e-06,0.000300022854006836
"RRM2",5,0,2.08488132280582e-06,0.000426423383055128
"RPS10",5,0,2.36203468928498e-06,0.000454691677687359
"RPS10-NUDT3",5,0,2.36203468928498e-06,0.000454691677687359
"RRP9",5,0,2.67807523601782e-06,0.000500800069135332
"EPB41L4A",5,0,3.13030465615149e-06,0.000561885181832701
"KDM5B",5,0,3.17643265512757e-06,0.000561885181832701
"KAT8",5,0,3.48006402584033e-06,0.000599395238134867
"USP7",5,0,4.25993747099618e-06,0.000714904890965897
"MKL2",4,1,5.52365857764414e-06,0.000903808634767022
"MEIS1",5,0,5.66760049680592e-06,0.000904742567112067
"ITGA8",5,0,6.53585992238526e-06,0.00101850483790504
"KLHL13",5,0,7.60110761066635e-06,0.00115695928632119
"FBXO5",5,0,8.14430147599854e-06,0.00121146484455478
"LGALSL",5,0,1.01742276200634e-05,0.00147960034445321
"PABPN1",5,0,1.0399024575225e-05,0.00147960034445321
"MMP14",5,0,1.1097705643337e-05,0.00151457659219494
"VPRBP",5,0,1.12420419217107e-05,0.00151457659219494
"NR1I3",5,0,1.1339076091299e-05,0.00151457659219494
"CDC27",5,0,1.30014841133175e-05,0.00170189427043326
"WDR36",4,1,1.34779379461492e-05,0.00172966870308915
"BRCA2",5,0,1.42783112361267e-05,0.00176875216152195
"CENPW",5,0,1.45528419778218e-05,0.00176875216152195
"NR1H2",5,0,1.45932187505249e-05,0.00176875216152195
"DDX27",5,0,1.52375749326028e-05,0.00181327141697973
"PLRG1",5,0,1.61646932996806e-05,0.00188924852940017
"RBMXL1",5,0,1.6619547020702e-05,0.0019083321973771
"CDKN1B",4,1,1.79725216883364e-05,0.00202810611120969
"ATP6AP1",5,0,1.87470453637539e-05,0.00207965104925033
"EIF5A",4,1,1.98307813884524e-05,0.00216320773645702
"NLE1",5,0,2.05091981910765e-05,0.00220053610099337
