"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"RBM23","RBM23",2,0.483122601793921,3,"0.854705046280053",1,NA,NA
"ATP13A5","ATP13A5",2,0.60302231110324,3,"0.283761893832921",1,NA,NA
"CREBBP","CREBBP",2,0.693988643025479,3,"0.692375062455805",1,NA,NA
"GNA13","GNA13",2,0.805348796242801,3,"0.432936224627038",1,NA,NA
"GNAI2","GNAI2",2,0.999467556138914,3,"0.641270539880965",1,NA,NA
"ARL11","ARL11",1,0.000470686666688369,4,"0.000684547319875328",0.0461272933354602,NA,NA
"TWIST1","TWIST1",1,0.00360843360973684,4,"0.0499916576027766",0.350018060144473,NA,NA
"FIP1L1","FIP1L1",1,0.0125510123974248,4,"0.0202735440334423",1,NA,NA
"AKR1C3","AKR1C3",1,0.0192187246514027,4,"0.00072563805159398",1,NA,NA
"MUC12","MUC12",1,0.023376239350942,4,"0.00454452407623007",1,NA,NA
"ERMAP","ERMAP",1,0.0288672965012768,4,"0.0101185604273581",1,NA,NA
"PPIL2","PPIL2",1,0.0329463675272397,4,"0.0113368725176972",1,NA,NA
"IQGAP3","IQGAP3",1,0.0348290156930687,4,"0.0638311923872544",1,NA,NA
"RAE1","RAE1",1,0.0363194454910167,4,"0.0165348161132269",1,NA,NA
"UBA6","UBA6",1,0.0614998647089806,4,"0.00622325808974555",1,NA,NA
"CIITA","CIITA",1,0.0960150810825133,4,"0.248357668491033",1,NA,NA
"HPSE","HPSE",1,0.10354567374583,4,"0.00121323320171685",1,NA,NA
"ESR2","ESR2",1,0.112488252533518,4,"0.837219632061233",1,NA,NA
"TMEM81","TMEM81",1,0.118136197031005,4,"0.584936357142026",1,NA,NA
"TTF1","TTF1",1,0.13209917092757,4,"0.647435100217297",1,NA,NA
"GBP2","GBP2",1,0.136099798279957,4,"0.519915894103994",1,NA,NA
"FGFR4","FGFR4",1,0.138766883181548,4,"0.871105056596331",1,NA,NA
"BIN1","BIN1",1,0.148572342378575,4,"0.0472048121233879",1,NA,NA
"KIAA1549","KIAA1549",1,0.151474758300895,4,"0.750927835915598",1,NA,NA
"PLCG1","PLCG1",1,0.151631645648047,4,"0.0475069888442533",1,NA,NA
"ZNF367","ZNF367",1,0.177988719969654,4,"0.0138008619687234",1,NA,NA
"SMEK2","SMEK2",1,0.182852227731379,4,"0.703431629358198",1,NA,NA
"TTL","TTL",1,0.188343284881714,4,"0.433901625726534",1,NA,NA
"NRP2","NRP2",1,0.20560089306848,4,"0.00235085703676441",1,NA,NA
"ORM2","ORM2",1,0.212425492669611,4,"0.194815098718958",1,NA,NA
"CASC5","CASC5",1,0.220426747374384,4,"0.0769273471755499",1,NA,NA
"SRPK3","SRPK3",1,0.247332927411024,4,"0.939510653540733",1,NA,NA
"PI4KA","PI4KA",1,0.254628189053612,4,"0.119041378792085",1,NA,NA
"ASXL1","ASXL1",1,0.285456552769063,4,"0.0723347055877088",1,NA,NA
"ZNF638","ZNF638",1,0.285456552769063,4,"0.0140421702127477",1,NA,NA
"SHC1","SHC1",1,0.311578296069941,4,"0.638086561681976",1,NA,NA
"IGSF3","IGSF3",1,0.337307821002938,4,"0.922826457573936",1,NA,NA
"RYK","RYK",1,0.339896462230953,4,"0.336854028356303",1,NA,NA
"PHF11","PHF11",1,0.353702548780366,4,"0.533740523637519",1,NA,NA
"MLLT3","MLLT3",1,0.357389401438448,4,"0.032714901685211",1,NA,NA
"SUDS3","SUDS3",1,0.359115162257125,4,"0.00748022115968661",1,NA,NA
"IL7R","IL7R",1,0.361390028790835,4,"0.699226841448259",1,NA,NA
"ASPH","ASPH",1,0.371273931661438,4,"0.224474211284658",1,NA,NA
"OR2G6","OR2G6",1,0.387747103112442,4,"0.397681115946012",1,NA,NA
"CR2","CR2",1,0.388453096174628,4,"0.591768657085913",1,NA,NA
"INTS12","INTS12",1,0.397474118635892,4,"0.170154211709283",1,NA,NA
"MYO9A","MYO9A",1,0.42257609418028,4,"0.00940552857892196",1,NA,NA
"LRFN2","LRFN2",1,0.432695328071611,4,"0.973919274567526",1,NA,NA
"ABCF2","ABCF2",1,0.432852215418763,4,"0.554833633363234",1,NA,NA
"EML6","EML6",1,0.434264201543135,4,"0.978812642588874",1,NA,NA
"TRIP12","TRIP12",1,0.446658301968177,4,"0.0793723738978492",1,NA,NA
"ABCA13","ABCA13",1,0.473015376289784,4,"0.790424941726433",1,NA,NA
"PLCE1","PLCE1",1,0.482036398751048,4,"0.900474990563918",1,NA,NA
"DGKD","DGKD",1,0.484546596305486,4,"0.797292613498738",1,NA,NA
"BACH2","BACH2",1,0.492312519989531,4,"0.574589064123516",1,NA,NA
"RNF4","RNF4",1,0.503608408984506,4,"0.0619857792991438",1,NA,NA
"TNFRSF14","TNFRSF14",1,0.516316284103852,4,"0.336518487531099",1,NA,NA
"BPTF","BPTF",1,0.521258235539153,4,"0.607012827433798",1,NA,NA
"RPL22","RPL22",1,0.529102602896774,4,"0.993534564138111",1,NA,NA
"NCOA2","NCOA2",1,0.558754311508582,4,"0.483061586871833",1,NA,NA
"FBXO11","FBXO11",1,0.585817378892375,4,"0.0590872455100538",1,NA,NA
"XDH","XDH",1,0.585817378892375,4,"0.897684822892421",1,NA,NA
"TFAM","TFAM",1,0.592877309514234,4,"0.131253293349265",1,NA,NA
"SERPINI2","SERPINI2",1,0.594524626659334,4,"0.233628707703435",1,NA,NA
"PTPN13","PTPN13",1,0.598211479317416,4,"0.939527897341571",1,NA,NA
"DLC1","DLC1",1,0.61656729893425,4,"0.998741923458841",1,NA,NA
"BTAF1","BTAF1",1,0.627078751193462,4,"0.134439624451815",1,NA,NA
"TAS1R2","TAS1R2",1,0.634217125488897,4,"0.486614958813465",1,NA,NA
"IGF2BP2","IGF2BP2",1,0.644571690400957,4,"0.378350616534924",1,NA,NA
"TP53","TP53",1,0.666692806349448,4,"0.531343328716912",1,NA,NA
"CASD1","CASD1",1,0.685440844334163,4,"0.789191138800874",1,NA,NA
"CKS1B","CKS1B",1,0.691167232505226,4,"0.880131220891379",1,NA,NA
"TFDP2","TFDP2",1,0.726780660308826,4,"0.584987441747767",1,NA,NA
"DDX3X","DDX3X",1,0.731408837049822,4,"0.395105172130159",1,NA,NA
"SACS","SACS",1,0.737684330935919,4,"0.542016157969648",1,NA,NA
"FUBP1","FUBP1",1,0.765296504034746,4,"0.0609389463551168",1,NA,NA
"BLNK","BLNK",1,0.773925308128129,4,"0.555662048797493",1,NA,NA
"ATP12A","ATP12A",1,0.776278618335415,4,"0.436067969087012",1,NA,NA
"IVL","IVL",1,0.783966098345884,4,"0.952637084522633",1,NA,NA
"PPP2R5B","PPP2R5B",1,0.785064309775951,4,"0.998796872232762",1,NA,NA
"RCOR1","RCOR1",1,0.798164403263178,4,"0.448534275957496",1,NA,NA
"PLEKHH2","PLEKHH2",1,0.80702853837729,4,"0.991421989783556",1,NA,NA
"FLOT2","FLOT2",1,0.826796344118495,4,"0.997336498707272",1,NA,NA
"CPVL","CPVL",1,0.831816739227373,4,"0.955724819819931",1,NA,NA
"NFIB","NFIB",1,0.853388749460831,4,"0.804370041167478",1,NA,NA
"INPP4B","INPP4B",1,0.859115137631894,4,"0.551984116607255",1,NA,NA
"INPP4A","INPP4A",1,0.865312187844415,4,"0.800904704545808",1,NA,NA
"NEK4","NEK4",1,0.869469702543954,4,"0.733266473257502",1,NA,NA
"RBM38","RBM38",1,0.890021945020921,4,"0.942490591518767",1,NA,NA
"HIST1H1C","HIST1H1C",1,0.903749587896758,4,"0.999329147656105",1,NA,NA
"PIK3R1","PIK3R1",1,0.921634745472134,4,"0.897684822892421",1,NA,NA
"EP300","EP300",1,0.932930634467109,4,"0.99999999988697",1,NA,NA
"TTN","TTN",1,0.935989937736581,4,"0.841624182076103",1,NA,NA
"ARID1A","ARID1A",1,0.970897372477995,4,"0.991469839106809",1,NA,NA
"MYT1","MYT1",1,0.980702831675021,4,"0.762279364324722",1,NA,NA
"NAA11","NAA11",1,0.99129272760781,4,"0.999979654964038",1,NA,NA
"RUFY1","RUFY1",1,0.994665805571587,4,"0.998632460078361",1,NA,NA
"NCKAP1L","NCKAP1L",1,0.997019115778873,4,"0.871712087152755",1,NA,NA
"A1CF","A1CF",0,NA,5,"0.335328246643048",NA,NA,NA
"AAAS","AAAS",0,NA,5,"0.00634869785057157",NA,NA,NA
"AADAT","AADAT",0,NA,5,"0.0272125932335364",NA,NA,NA
"AAMDC","AAMDC",0,NA,5,"0.148514671959469",NA,NA,NA
"AAMP","AAMP",0,NA,5,"0.0511244416302298",NA,NA,NA
"AANAT","AANAT",0,NA,5,"0.0079452861919721",NA,NA,NA
"AATF","AATF",0,NA,5,"4.31224181918211e-07",NA,NA,NA
"AATK","AATK",0,NA,5,"0.999617895449562",NA,NA,NA
"ABCA1","ABCA1",0,NA,5,"0.257877204135136",NA,NA,NA
"ABCA10","ABCA10",0,NA,5,"0.117250478876504",NA,NA,NA
"ABCA12","ABCA12",0,NA,5,"0.78099654630816",NA,NA,NA
"ABCA3","ABCA3",0,NA,5,"0.857054853466228",NA,NA,NA
"ABCA4","ABCA4",0,NA,5,"0.894436544800723",NA,NA,NA
"ABCA5","ABCA5",0,NA,5,"0.997113821246978",NA,NA,NA
"ABCA6","ABCA6",0,NA,5,"0.198513019806305",NA,NA,NA
"ABCA7","ABCA7",0,NA,5,"0.772620378114824",NA,NA,NA
"ABCA8","ABCA8",0,NA,5,"0.247418647261285",NA,NA,NA
"ABCA9","ABCA9",0,NA,5,"0.000352007745641481",NA,NA,NA
"ABCB1","ABCB1",0,NA,5,"0.938778182837643",NA,NA,NA
"ABCB10","ABCB10",0,NA,5,"0.937350624590573",NA,NA,NA
"ABCB11","ABCB11",0,NA,5,"0.128217707607444",NA,NA,NA
