"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"CFL1","CFL1",2,0.000124959289259228,13,"2.39706524249655e-05",0.230549888683276,0.999705482844823,0.000294517155177497
"LANCL2","LANCL2",6,0.000198762175246663,9,"0.00124371609236512",0.366517451154847,0.992812670130174,0.00718732986982643
"LRRC15","LRRC15",4,0.00139795186000931,11,"0.123053366412115",1,0.999999739429245,2.60570754936888e-07
"EGFR","EGFR",6,0.00176533224097919,9,"0.125975151481102",1,0.99964325229727,0.000356747702729703
"RANBP6","RANBP6",2,0.0021218954198456,13,"0.0236402897559067",1,0.813218010669519,0.186781989330481
"WDR49","WDR49",3,0.00357159256855213,12,"0.00460099030066014",1,0.819238984597648,0.180761015402352
"SEC62","SEC62",3,0.00464168085595812,12,"0.112371352732151",1,0.218285521467185,0.781714478532815
"DHX36","DHX36",3,0.00488073746656931,12,"0.43954711902397",1,0.999999183555716,8.16444284086606e-07
"LRCH3","LRCH3",4,0.00529249005177742,11,"0.0699120732344794",1,0.914931103660292,0.0850688963397076
"BRIX1","BRIX1",4,0.00544578644200674,11,"0.948041809628428",1,0.999999999999994,5.87574741338974e-15
"FFAR1","FFAR1",2,0.0058969148506791,13,"0.604215342744685",1,0.37381298292742,0.62618701707258
"RTP1","RTP1",4,0.00647123035175305,11,"0.00244561931771009",1,0.251688862898958,0.748311137101042
"CD274","CD274",2,0.00662296023574311,13,"0.0107612447830942",1,0.999999994916753,5.08324698376204e-09
"GP5","GP5",4,0.00720597051712689,11,"0.10731906529753",1,0.948556192891767,0.0514438071082327
"TP63","TP63",3,0.00770771250070271,12,"5.50964379095943e-06",1,0.999999996654021,3.34597944298341e-09
"TTC7B","TTC7B",2,0.00842797901698462,13,"0.00550905123996267",1,0.161372915501812,0.838627084498188
"GPR171","GPR171",3,0.00934684636798024,12,"0.000160387714851971",1,0.900702653414916,0.0992973465850839
"RTP2","RTP2",4,0.00965604522569322,11,"0.0443568347539143",1,0.546722612156902,0.453277387843098
"ERBB2","ERBB2",3,0.0103126349030881,12,"0.326855036321671",1,0.931282752153946,0.0687172478460541
"HUS1","HUS1",2,0.0132431847938597,13,"0.130823168117807",1,0.998761818906257,0.00123818109374283
"ACTB","ACTB",2,0.0139866517853456,13,"0.00404199729503746",1,0.998668473076829,0.0013315269231714
"KLHL28","KLHL28",2,0.0141403500588152,13,"0.0815096852757401",1,0.994409926892579,0.00559007310742097
"EIF5A2","EIF5A2",3,0.014771484925809,12,"0.579887689648016",1,0.0678986759942485,0.932101324005752
"ALDH6A1","ALDH6A1",2,0.0159137010316767,13,"0.00509254140982574",1,0.0013620787071025,0.998637921292898
"LRP5","LRP5",3,0.0165296907356658,12,"0.230356992442353",1,0.884590730590096,0.115409269409904
"STAG3L1","STAG3L1",2,0.0190224864908362,13,"0.000216195157550901",1,0.99758320596057,0.0024167940394297
"STAG3L2","STAG3L2",2,0.0190224864908362,13,"0.000216195157550901",1,0.999478352007635,0.00052164799236528
