"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"BRIX1",11,4,0.00177375185231026,0.98945911907129,1.17514948267795e-14,"up"
"MFN1",10,5,0.00716911710051538,0.98945911907129,2.65632405689731e-05,"up"
"BTNL9",13,2,0.00866467665195951,0.98945911907129,0.289648168767181,"down"
"DNAJC2",13,2,0.0161996973079769,0.98945911907129,2.75254771019416e-11,"up"
"FFAR1",13,2,0.0165729398168832,0.98945911907129,0.747625965854841,"down"
"FAM46C",13,2,0.0191259639945016,0.98945911907129,0.0245833213212727,"down"
"DHX36",12,3,0.0195558803750124,0.98945911907129,1.63288856817321e-06,"up"
"SMYD2",14,1,0.021016009957499,0.98945911907129,0.417102621382323,"up"
"NSF",13,2,0.0239336434098644,0.98945911907129,2.29293089723742e-06,"up"
"EIF5A2",12,3,0.0240202981519745,0.98945911907129,0.135797351988497,"down"
"SLC39A10",14,1,0.0250451148930654,0.98945911907129,9.47994447168046e-09,"up"
"LOC646214",13,2,0.0250485801579709,0.98945911907129,NA,NA
"CCDC144C",12,3,0.0276341290681351,0.98945911907129,NA,NA
"LOC728554",14,1,0.0301538644069981,0.98945911907129,NA,NA
"UGT3A1",12,3,0.0314405411360926,0.98945911907129,0.0969341438296853,"up"
"PPARG",14,1,0.031976752663232,0.98945911907129,0.494300195544683,"down"
"RALYL",14,1,0.033005029840249,0.98945911907129,0.101078199464877,"up"
"ATP1A1",13,2,0.0352920947411728,0.98945911907129,0.0754153012757006,"up"
"DLST",13,2,0.0364935189476723,0.98945911907129,0.356304716482975,"up"
"FMN2",14,1,0.0365472346149927,0.98945911907129,0.232012832975702,"down"
"ELK3",14,1,0.036727367673557,0.98945911907129,0.00346935066407291,"up"
"TBC1D10C",12,3,0.0372475613251035,0.98945911907129,0.895723073161539,"up"
"ALKBH4",13,2,0.0379975625671527,0.98945911907129,1.15941168193922e-09,"up"
"ERBB2",12,3,0.0381364327539798,0.98945911907129,0.137434495692108,"up"
"FCGR2B",14,1,0.040312188669422,0.98945911907129,0.826457561724081,"down"
"SETD5",14,1,0.0409815857134316,0.98945911907129,0.0868074791679196,"up"
"MTNR1B",14,1,0.0413600453723762,0.98945911907129,0.36368711415941,"up"
"ZSCAN16",14,1,0.0414344573294453,0.98945911907129,0.774583453172086,"up"
"LRRC15",11,4,0.0419849912724526,0.98945911907129,5.21141509873777e-07,"up"
"GFI1",14,1,0.0428141260085085,0.98945911907129,0.00143980528151682,"up"
"HIST1H2BD",14,1,0.0442477583315208,0.98945911907129,0.0176742838927389,"up"
"PRRG4",13,2,0.0448488984750081,0.98945911907129,0.0106462930430705,"up"
