"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"NFE2L2","NFE2L2",5,2.14394771750134e-07,10,"0.515021334684129",0.000392128037530995,0.13254179859915,0.86745820140085
"KIF27","KIF27",2,0.000204798785850037,13,"0.0164716612286249",0.374167381748018,0.972161899635188,0.0278381003648124
"POLG","POLG",2,0.000964856839601794,13,"3.26127588710983e-06",1,0.85232742141734,0.14767257858266
"PNPLA7","PNPLA7",4,0.0017342331140338,11,"0.00155741380775535",1,0.00257467669642996,0.99742532330357
"TP53","TP53",12,0.00224507623509888,3,"0.00915530893529745",1,0.999992528823913,7.47117608692246e-06
"ADCY1","ADCY1",2,0.00255903441537858,13,"0.0544589493424059",1,0.111021548979023,0.888978451020977
"ITGB7","ITGB7",2,0.00366214767390899,13,"0.00013517099919243",1,0.82259150648203,0.17740849351797
"MYO3B","MYO3B",3,0.00519523981867395,12,"0.0409264079457436",1,0.993489083469511,0.0065109165304889
"BCLAF1","BCLAF1",2,0.0074108775449253,13,"0.109148529770078",1,0.98078848286195,0.0192115171380497
"MACF1","MACF1",6,0.0087752755815639,9,"0.0815046565173664",1,0.800810678895251,0.199189321104749
"GPR149","GPR149",2,0.00890214778556828,13,"0.000909072418435787",1,0.632758632131568,0.367241367868432
"DUOX2","DUOX2",2,0.00983606037598324,13,"0.54020107420286",1,0.334693779600615,0.665306220399385
"SVEP1","SVEP1",3,0.010116631791773,12,"0.660645700643945",1,0.132604570885429,0.867395429114571
"NOC2L","NOC2L",4,0.0107005777944121,11,"0.0486997121301385",1,0.999996378779659,3.62122034075714e-06
"BANK1","BANK1",2,0.0110718654956805,13,"0.143380589750951",1,0.801414197546199,0.198585802453801
"EPB41L2","EPB41L2",2,0.0130309733858059,13,"0.200936920518171",1,0.570794365056441,0.429205634943559
"DCAF12L1","DCAF12L1",2,0.0162333472853966,13,"0.27409052065357",1,0.00900260019790575,0.990997399802094
"MDC1","MDC1",3,0.0200395912029927,12,"0.278929741184193",1,0.999901624446405,9.83755535948865e-05
"CACNA1C","CACNA1C",2,0.0222799109217797,13,"0.0452645808536558",1,0.0726589786236229,0.927341021376377
"NIN","NIN",2,0.022896799639734,13,"0.000383149963628827",1,0.51327289427561,0.48672710572439
"XYLT2","XYLT2",2,0.0237951269292026,13,"0.0080256256379063",1,0.0106427247240582,0.989357275275942
"CDC42BPA","CDC42BPA",2,0.0256436362935703,13,"2.06244990929779e-09",1,0.0265948259179661,0.973405174082034
"CSMD1","CSMD1",3,0.0293200457208181,12,"0.239219092225669",1,0.84909298493059,0.15090701506941
"SH2D2A","SH2D2A",2,0.0309565376737049,13,"0.00234389786991242",1,0.999998476444028,1.52355597229518e-06
"ANKRD27","ANKRD27",2,0.0340353723105658,13,"4.10173988992227e-05",1,0.999832256149254,0.000167743850745919
"ACCSL","ACCSL",4,0.0359470019321052,11,"0.175589146227055",1,0.238342599240423,0.761657400759577
"MAPKBP1","MAPKBP1",2,0.0359653435419902,13,"0.0145160985728452",1,0.979057455113876,0.0209425448861242
"LAMA5","LAMA5",2,0.036007432873598,13,"0.585647553943007",1,0.982087010665373,0.0179129893346267
"CSF1R","CSF1R",2,0.0402961142192711,13,"0.455277297300218",1,0.0803080577622024,0.919691942237798
"SFMBT2","SFMBT2",2,0.041756610932359,13,"0.339109530094332",1,0.151332919863001,0.848667080136999
"TAAR6","TAAR6",2,0.0441008759052207,13,"8.19989592069035e-05",1,0.389638302724666,0.610361697275334
"STIL","STIL",3,0.0447804842558452,12,"0.627144483549534",1,0.999997973668267,2.02633173267367e-06
"KIF2B","KIF2B",4,0.0484953861735106,11,"0.094317246779037",1,0.279698261193115,0.720301738806885
