"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"NFE2L2",10,5,0.00124433436082362,0.891202703455111,0.265083597198299,"down"
"ZMYM5",13,2,0.00498620047469379,0.891202703455111,1.0709682064918e-05,"up"
"KRAS",14,1,0.00956725801232762,0.891202703455111,0.0102000525739032,"up"
"CHEK1",14,1,0.0128620787735278,0.891202703455111,5.25459120730825e-07,"up"
"RNF20",14,1,0.0148431897427466,0.891202703455111,1.62392323551733e-05,"up"
"SVEP1",12,3,0.0150949881955728,0.891202703455111,0.265209141770858,"down"
"SRCAP",13,2,0.0154747766419247,0.891202703455111,0.402727509341634,"up"
"ARHGEF12",14,1,0.0155192847962014,0.891202703455111,0.393913405641529,"down"
"OGFOD3",14,1,0.0181945090365725,0.891202703455111,0.0210559289218517,"up"
"RBM44",14,1,0.0184975952671259,0.891202703455111,0.148024050616675,"up"
"ETV1",14,1,0.0192591902113616,0.891202703455111,0.00103456040537806,"up"
"SALL1",13,2,0.020142991517268,0.891202703455111,0.0681419205671335,"up"
"MTOR",13,2,0.0202260109350663,0.891202703455111,0.127016195396792,"up"
"CACNA2D2",13,2,0.0225552475046159,0.891202703455111,0.0134944459411047,"down"
"DUOX2",13,2,0.0226235497391016,0.891202703455111,0.66938755920123,"down"
"SLC38A6",14,1,0.0231285606737403,0.891202703455111,5.822158468835e-08,"up"
"SLAMF9",14,1,0.0241847374574502,0.891202703455111,0.557776893718892,"up"
"CNR1",13,2,0.0244715549405985,0.891202703455111,0.141162454390218,"down"
"GINS2",14,1,0.0245050799823089,0.891202703455111,9.84261491715841e-11,"up"
"SYNJ2",14,1,0.0252101322825451,0.891202703455111,0.194801081732641,"down"
"CYP4Z1",13,2,0.0255315986697497,0.891202703455111,0.06285401909631,"up"
"TRPC5",14,1,0.0258146069361125,0.891202703455111,0.274648627657426,"down"
"RAB3A",14,1,0.0259739405402537,0.891202703455111,0.404829625790834,"down"
"SPOPL",14,1,0.0268078748886582,0.891202703455111,0.301880885529945,"up"
"STARD7",14,1,0.027399190823866,0.891202703455111,0.00408057715872285,"up"
"EPHA3",14,1,0.027747762327103,0.891202703455111,0.553884304542382,"down"
"MAP3K9",14,1,0.0282367657867613,0.891202703455111,0.8981869639112,"down"
"PRMT7",14,1,0.0290217509418038,0.891202703455111,0.00224205994667673,"up"
"CORO7",14,1,0.0291719222493124,0.891202703455111,0.0167681885243075,"up"
"BRD9",14,1,0.0295550836932813,0.891202703455111,8.24026669264887e-07,"up"
"PAPPA",14,1,0.0298866470501261,0.891202703455111,0.00396461626444254,"up"
"FLNA",13,2,0.0316193958137471,0.891202703455111,0.315632830143083,"down"
"FMOD",14,1,0.0324961602980504,0.891202703455111,0.00687308945899032,"down"
"NBEAL1",14,1,0.0353306085770481,0.891202703455111,0.0794343905964802,"down"
"LATS1",14,1,0.0355858231229397,0.891202703455111,0.168858620181858,"up"
