"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"ITGAV","ITGAV",-1,-1,13,"7.13309411537466e-11",4.66861009851271e-07,0.998237194743784,0.00176280525621574
"SRSF4","SRSF4",-1,-1,14,"2.13133843907087e-10",1.39474787452798e-06,0.999951765421223,4.82345787769089e-05
"OR2T5","OR2T5",-1,-1,14,"4.9536191815136e-09",3.24115303046435e-05,0.992419662840792,0.00758033715920786
"MSI2","MSI2",-1,-1,15,"1.55135917001559e-07",0.0010148991690242,0.99752767586215,0.00247232413784978
"CNKSR1","CNKSR1",-1,-1,14,"2.36548264864744e-07",0.00154726220048029,0.826254348890643,0.173745651109357
"LOC100653057","LOC100653057",-1,-1,15,"5.09931787573414e-07",0.00333495389073013,NA,NA
"SUSD5","SUSD5",-1,-1,15,"7.24136190788371e-07",0.00473512655156516,0.357020710778532,0.642979289221468
"CPS1","CPS1",-1,-1,14,"8.47286787619694e-07",0.00553956101745756,0.963491613758218,0.0365083862417822
"HIST1H2BB","HIST1H2BB",-1,-1,14,"8.56249396052888e-07",0.00559730230199773,0.991935081269828,0.00806491873017244
"FERMT2","FERMT2",-1,-1,12,"8.97334654803572e-07",0.00586497930379615,0.120908276944171,0.879091723055829
"H6PD","H6PD",-1,-1,15,"1.01479815217687e-06",0.00663170592447585,0.0951446634168895,0.90485533658311
"ITGB5","ITGB5",-1,-1,11,"1.4672470937116e-06",0.00958699251031159,0.980856513826194,0.0191434861738063
"OR2T29","OR2T29",-1,-1,13,"1.49534723636879e-06",0.0097691034951973,0.983063102151771,0.0169368978482292
"RNF8","RNF8",-1,-1,15,"3.09586949820417e-06",0.0202222195622696,0.999508833188158,0.000491166811842426
"IKBKB","IKBKB",-1,-1,13,"3.36619944774075e-06",0.0219846485931948,0.999975024122577,2.49758774228557e-05
"CES1","CES1",-1,-1,13,"4.95867042005216e-06",0.0323801178429406,0.989813195746786,0.0101868042532136
"HTR2C","HTR2C",-1,-1,15,"6.41326137429399e-06",0.0418721835127655,0.998054524298223,0.00194547570177733
"UTS2D","UTS2D",-1,-1,11,"9.09906574686481e-06",0.0593987011955335,NA,NA
"ADRM1","ADRM1",-1,-1,14,"1.13108939557849e-05",0.073826204849408,0.999999988052047,1.19479533657324e-08
"DIRAS1","DIRAS1",-1,-1,13,"1.34127384048277e-05",0.0875315308299056,0.0111615482740863,0.988838451725914
"SLC12A7","SLC12A7",-1,-1,13,"1.41189767576266e-05",0.0921263233435136,0.983810547191946,0.0161894528080542
"HTR1B","HTR1B",-1,-1,13,"1.4993077611769e-05",0.0978148383391809,0.10849427189791,0.89150572810209
"CDC42","CDC42",-1,-1,15,"1.91936165533368e-05",0.125199960777416,0.989072542544294,0.010927457455706
"SEMA6C","SEMA6C",-1,-1,15,"2.3456707545777e-05",0.152984646613558,0.829974731665696,0.170025268334304
"RAB11A","RAB11A",-1,-1,15,"2.36311144278245e-05",0.154098497183844,0.407796945019204,0.592203054980796
"FGD6","FGD6",-1,-1,14,"2.37567797327642e-05",0.154894203857623,0.999998870053489,1.12994651104405e-06
"LETM2","LETM2",-1,-1,15,"2.41105799999586e-05",0.15717687101973,0.997752173503376,0.002247826496624
"SLC25A13","SLC25A13",-1,-1,13,"2.57876527584022e-05",0.168083920679266,0.999072901191687,0.000927098808313103
"DHRS11","DHRS11",-1,-1,14,"2.59213404102399e-05",0.168929375453533,0.459884447121153,0.540115552878847
"GPX4","GPX4",-1,-1,13,"2.63046229169728e-05",0.171400922926995,0.999999949746236,5.02537636057122e-08
"TNFRSF25","TNFRSF25",-1,-1,15,"2.65244224791905e-05",0.172806612451926,0.999959786193206,4.02138067944141e-05
