"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MKI67IP","MKI67IP",-1,-1,15,"1.05982131761916e-12",6.56453324133308e-09,NA,NA
"KRT1","KRT1",-1,-1,13,"8.03689439673576e-11",4.97724869989846e-07,0.293787249704514,0.706212750295486
"CDC42BPA","CDC42BPA",-1,-1,13,"2.1708731497863e-09",1.34420465434768e-05,0.0265948259179661,0.973405174082034
"CABP5","CABP5",-1,-1,15,"7.11119692110589e-09",4.40254201385666e-05,0.212646846710837,0.787353153289163
"FTSJ3","FTSJ3",-1,-1,15,"8.01570644738208e-09",4.96172229092951e-05,0.997718119464624,0.00228188053537641
"SLC35B2","SLC35B2",-1,-1,15,"2.54513334112015e-08",0.000157518302481926,0.999918964458065,8.10355419346273e-05
"THBS2","THBS2",-1,-1,14,"2.62149593554798e-08",0.000162218168491709,0.999942745189492,5.7254810508434e-05
"CDC40","CDC40",-1,-1,13,"3.27980530033702e-08",0.000202921553931851,0.493978530959762,0.506021469040238
"TNS3","TNS3",-1,-1,13,"4.38399617706039e-08",0.000271194003512956,0.239264232053994,0.760735767946006
"AKR1A1","AKR1A1",-1,-1,15,"7.07291348253624e-08",0.000437459698894866,0.542282108719087,0.457717891280913
"BET1","BET1",-1,-1,14,"7.80795033108418e-08",0.000482843648474246,0.999994321503209,5.67849679100694e-06
"MPP7","MPP7",-1,-1,14,"1.64818397506338e-07",0.00101907215178169,0.0222954574194503,0.97770454258055
"BTD","BTD",-1,-1,14,"2.07977217340855e-07",0.00128571515760117,0.000798787268456403,0.999201212731544
"DDX4","DDX4",-1,-1,13,"2.67885807369141e-07",0.00165580217534866,0.529326785820232,0.470673214179768
"GNL3","GNL3",-1,-1,15,"2.98764589158869e-07",0.00184636516100181,0.985538883741645,0.0144611162583548
"DDX43","DDX43",-1,-1,14,"3.1035443176099e-07",0.00191768003385116,0.990538539434118,0.00946146056588191
"WDR16","WDR16",-1,-1,14,"3.7540197040047e-07",0.0023192333731341,NA,NA
"SKIV2L2","SKIV2L2",-1,-1,13,"3.82317802162831e-07",0.00236157706395981,0.912244849357269,0.0877551506427307
"LRRC7","LRRC7",-1,-1,15,"3.84361852602058e-07",0.00237381880167031,0.0784219021872858,0.921578097812714
"UBE2MP1","UBE2MP1",-1,-1,14,"5.07734122645099e-07",0.00313525820733349,0.963751981510751,0.036248018489249
"CDKN1B","CDKN1B",-1,-1,14,"5.33555055884193e-07",0.00329416891502901,0.768574354072238,0.231425645927762
"XRCC5","XRCC5",-1,-1,15,"6.45932549247138e-07",0.00398734162650258,0.999129717439491,0.000870282560508916
"CHRNA5","CHRNA5",-1,-1,15,"9.46201563511855e-07",0.00583995604999517,0.978636958327068,0.021363041672932
"FBXO5","FBXO5",-1,-1,15,"9.62826220854317e-07",0.00594160060889199,0.999999311021645,6.8897835540594e-07
"COLEC10","COLEC10",-1,-1,10,"1.05483028745261e-06",0.0065083028735826,0.999908514018636,9.14859813644383e-05
"TYMP","TYMP",-1,-1,14,"1.09145037607979e-06",0.00673315737003622,1,2.34578222991493e-17
"UBE2M","UBE2M",-1,-1,14,"1.27041004787554e-06",0.00783588917529633,0.999999826007211,1.73992788930819e-07
"ESCO2","ESCO2",-1,-1,15,"1.38493175190603e-06",0.00854087411400449,0.999310292262751,0.000689707737249438
"UBE2L3","UBE2L3",-1,-1,14,"1.59942446812879e-06",0.00986205127048212,0.999978619874578,2.13801254215239e-05
"HOXD8","HOXD8",-1,-1,14,"1.83549443047775e-06",0.0113158231638953,0.999999953662097,4.6337903283177e-08
"WNT5B","WNT5B",-1,-1,14,"1.89870802119188e-06",0.0117036362426267,0.921600594043618,0.0783994059563816
"GABRA6","GABRA6",-1,-1,14,"2.33884522704258e-06",0.0144143031342634,0.565378056508992,0.434621943491008
"B4GALNT3","B4GALNT3",-1,-1,14,"2.54399505278576e-06",0.0156760975152659,0.00501164906578917,0.994988350934211
"NEDD4","NEDD4",-1,-1,13,"2.59705749629257e-06",0.0160004712346585,0.993267934477047,0.00673206552295284
"HLA-C","HLA-C",-1,-1,15,"2.81004861827144e-06",0.0173098994885521,0.990252601666386,0.00974739833361399
"TMEM65","TMEM65",-1,-1,11,"2.96962745106738e-06",0.018289935471124,0.999999999999995,4.65060234520146e-15
"CCBL1","CCBL1",-1,-1,15,"3.1034961454167e-06",0.019111329263476,NA,NA
"SLA2","SLA2",-1,-1,15,"3.12138710844691e-06",0.0192183804267076,0.873861075628305,0.126138924371695
"SMN1","SMN1",-1,-1,15,"3.18084762037938e-06",0.0195812979510555,0.999999999903357,9.6643472111099e-11
"SMN2","SMN2",-1,-1,15,"3.18084762037938e-06",0.0195812979510555,0.978209885686863,0.021790114313137
"POLG","POLG",-1,-1,13,"3.26237993018532e-06",0.0200766860903605,0.85232742141734,0.14767257858266
"BTN3A2","BTN3A2",-1,-1,14,"3.29195568468411e-06",0.0202554033278613,0.64876294942521,0.35123705057479
