"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"NSFP1","NSFP1",7,0.000110539587448491,9,"0.152775462794402",0.339798691816661,NA,NA
"TMED10P1","TMED10P1",7,0.00108987318594424,9,"0.91629359906523",1,NA,NA
"ARL10","ARL10",2,0.00185243338588741,14,"0.0867385719482567",1,NA,NA
"SPSB1","SPSB1",3,0.00200860825170233,13,"0.243914202245068",1,NA,NA
"CCNE1","CCNE1",4,0.00214248468328367,12,"0.00224772738678012",1,NA,NA
"CA8","CA8",2,0.00359312004012589,14,"0.0196479148781548",1,NA,NA
"VAPB","VAPB",5,0.00390150294997855,11,"0.0727324245105457",1,NA,NA
"CATSPERG","CATSPERG",4,0.00393126088226525,12,"0.606704171240121",1,NA,NA
"MAP3K10","MAP3K10",3,0.00516654976134737,13,"0.0113786660964124",1,NA,NA
"OR2T10","OR2T10",10,0.00599816008358183,6,"0.273541791863004",1,NA,NA
"ANKRD42","ANKRD42",2,0.00603875273850937,14,"0.527754847686021",1,NA,NA
"CLEC2D","CLEC2D",3,0.00616153523882903,13,"0.662192826601164",1,NA,NA
"WHSC2","WHSC2",2,0.00643100067915304,14,"0.839318873557047",1,NA,NA
"SMAP2","SMAP2",2,0.00783399917883234,14,"0.532519421658159",1,NA,NA
"KIFC2","KIFC2",7,0.00817728410819579,9,"0.170327751437394",1,NA,NA
"CFTR","CFTR",3,0.00878235561726405,13,"0.162485152828886",1,NA,NA
"ZNF781","ZNF781",4,0.0104175831826561,12,"0.75864971448156",1,NA,NA
"FKBP4","FKBP4",4,0.0117406746214971,12,"0.938689222796607",1,NA,NA
"LRRC7","LRRC7",2,0.0124958625079605,14,"0.695790690552436",1,NA,NA
"ARHGAP11B","ARHGAP11B",2,0.014426485970884,14,"0.475643406959534",1,NA,NA
"ANKRD28","ANKRD28",2,0.014606484165476,14,"0.0728066307569989",1,NA,NA
"YAP1","YAP1",3,0.0146352733456109,13,"0.011906149252307",1,NA,NA
"PVRL4","PVRL4",2,0.0147766680242138,14,"0.760182981481469",1,NA,NA
"SLC2A4RG","SLC2A4RG",7,0.0151809697450923,9,"0.378159875907577",1,NA,NA
"EXO1","EXO1",2,0.0157235262508217,14,"0.986481607618012",1,NA,NA
"TMEM207","TMEM207",3,0.0167928886959806,13,"0.461459270726139",1,NA,NA
"CD7","CD7",3,0.0179082475186101,13,"0.348635171658568",1,NA,NA
"APCDD1L","APCDD1L",5,0.0182476016794206,11,"0.01855403378178",1,NA,NA
"PPP2R5B","PPP2R5B",2,0.0184019892262715,14,"0.920258660458227",1,NA,NA
"SERPINA9","SERPINA9",2,0.0198962779366963,14,"0.903349975884974",1,NA,NA
"FOXM1","FOXM1",4,0.0206019763705448,12,"0.30300414566899",1,NA,NA
"RAVER2","RAVER2",2,0.0206497709724702,14,"0.24687810497456",1,NA,NA
"DGAT1","DGAT1",6,0.0215594681268969,10,"0.56434622793237",1,NA,NA
"ZGPAT","ZGPAT",7,0.0216255821734171,9,"0.0658603380802897",1,NA,NA
"BCAS3","BCAS3",2,0.0232900163551272,14,"0.608584769931163",1,NA,NA
"NUMA1","NUMA1",2,0.0269508602749472,14,"0.118972101707331",1,NA,NA
"ARHGAP39","ARHGAP39",7,0.0273536080990063,9,"0.889030519237599",1,NA,NA
