"","#wt","#mut","pvalue","p_adj"
"TMED10P1",9,7,0.0009568768127024,0.918808608633255
"FKBP4",12,4,0.00366882691006097,0.918808608633255
"EXO1",14,2,0.00389238820582511,0.918808608633255
"PYROXD1",13,3,0.00843168915117878,0.918808608633255
"WHSC2",14,2,0.00854857387087466,0.918808608633255
"PPP2R5B",14,2,0.0093624709231199,0.918808608633255
"CATSPERG",12,4,0.0105632797517693,0.918808608633255
"SERPINA9",14,2,0.0108279863856428,0.918808608633255
"ZNF781",12,4,0.0108940248479837,0.918808608633255
"CLEC2D",13,3,0.0111035771876456,0.918808608633255
"RERGL",13,3,0.0121379145904369,0.918808608633255
"DYRK3",15,1,0.0122012252228733,0.918808608633255
"ARHGAP39",9,7,0.0122728092402919,0.918808608633255
"PKHD1L1",13,3,0.0130083803174174,0.918808608633255
"KCNJ3",15,1,0.0133706138183868,0.918808608633255
"DLL3",11,5,0.0156151873355212,0.918808608633255
"PVRL4",14,2,0.0157939816476821,0.918808608633255
"TBC1D8",14,2,0.0158920748379044,0.918808608633255
"BTBD8",15,1,0.0169612966348258,0.918808608633255
"LRRC7",14,2,0.0173431691473724,0.918808608633255
"NRG1",15,1,0.0174013308910689,0.918808608633255
"CBFA2T2",15,1,0.0189405498966889,0.918808608633255
"ANKRD42",14,2,0.0194915552102861,0.918808608633255
"RTN4R",15,1,0.020177114011961,0.918808608633255
"SMAP2",14,2,0.0209935465396857,0.918808608633255
"POLM",15,1,0.0215521855440318,0.918808608633255
"KIAA1324",15,1,0.0215804484596695,0.918808608633255
"PRDM14",14,2,0.0215917913780691,0.918808608633255
"NR1H3",14,2,0.0218985121985019,0.918808608633255
"VDAC2",15,1,0.0222826203755691,0.918808608633255
"CACNA2D1",14,2,0.0223187498473277,0.918808608633255
"TBX2",14,2,0.0224096403249504,0.918808608633255
"KCTD15",12,4,0.0231453756984576,0.918808608633255
"SPSB1",13,3,0.0234355250884259,0.918808608633255
"LGALS14",12,4,0.0241564288065926,0.918808608633255
"P2RY14",14,2,0.0248379870745241,0.918808608633255
"OR2T12",14,2,0.0249476395578259,0.918808608633255
"OR2T8",14,2,0.0249476395578259,0.918808608633255
"OR2T33",14,2,0.0249476395578259,0.918808608633255
"TTC7B",15,1,0.0252949817649519,0.918808608633255
"DGKZ",15,1,0.0265301835424684,0.918808608633255
"SCRT1",10,6,0.026967886983344,0.918808608633255
"RASGRP4",12,4,0.0274201083287078,0.918808608633255
"CCNE2",15,1,0.0280200608258718,0.918808608633255
"KCNT1",15,1,0.0283033702101672,0.918808608633255
"BCAS3",14,2,0.0290291222998044,0.918808608633255
"NCAN",15,1,0.0290711280855852,0.918808608633255
"GSTP1",15,1,0.0295115364772429,0.918808608633255
"ARHGAP11B",14,2,0.0300368566955825,0.918808608633255
"COLEC10",12,4,0.0301624676787846,0.918808608633255
"TTC8",15,1,0.0304494416046285,0.918808608633255
"FOS",15,1,0.0312208350693591,0.918808608633255
"HDAC5",14,2,0.0312427529576063,0.918808608633255
"MDM4",15,1,0.031434990253302,0.918808608633255
"HNRNPA1",15,1,0.0320149910619871,0.918808608633255
"HNRNPA1P10",15,1,0.0320149910619871,0.918808608633255
"PHB",15,1,0.0322308104433128,0.918808608633255
"NSFP1",9,7,0.0322728504976684,0.918808608633255
"MMP8",13,3,0.0327327772573614,0.918808608633255
"MYLK4",15,1,0.0327427097994078,0.918808608633255
"LILRA4",14,2,0.0334158077162246,0.918808608633255
"TMEM207",13,3,0.034159702793702,0.918808608633255
"ATRIP",15,1,0.0344511268975369,0.918808608633255
"PTPN21",15,1,0.0348073768964867,0.918808608633255
"APPBP2",14,2,0.0348206868965486,0.918808608633255
"OSCAR",14,2,0.0349843923506797,0.918808608633255
"GABRA6",13,3,0.0351931515004785,0.918808608633255
"EPHA2",15,1,0.0358593857258312,0.918808608633255
"ATAT1",15,1,0.036575311598988,0.918808608633255
"GPR39",15,1,0.036646003506627,0.918808608633255
"UBTF",14,2,0.0366857567918331,0.918808608633255
"OXTR",15,1,0.0368302618707712,0.918808608633255
"MLF2",12,4,0.0379942652311142,0.918808608633255
"KCNQ5",14,2,0.0381846540635567,0.918808608633255
"PTGIS",13,3,0.0381917366076812,0.918808608633255
"XPA",15,1,0.0384558663215065,0.918808608633255
"ANKLE2",15,1,0.0384943957562203,0.918808608633255
"SAMD8",13,3,0.0386447156826936,0.918808608633255
"HEATR6",15,1,0.0387315291792641,0.918808608633255
"MAEA",15,1,0.0394852109888614,0.918808608633255
"DCLRE1C",15,1,0.0407257749403977,0.918808608633255
"PDAP1",15,1,0.0411324763848658,0.918808608633255
"PTPN6",12,4,0.041306383002473,0.918808608633255
"FFAR3",15,1,0.0414889075166067,0.918808608633255
"SH2D6",14,2,0.0415566824306992,0.918808608633255
"ELK4",14,2,0.0425636798732601,0.918808608633255
"B3GALT6",15,1,0.0436461131083247,0.918808608633255
"C1orf159",15,1,0.0440867893628207,0.918808608633255
"TNFSF10",11,5,0.0443861071267753,0.918808608633255
"TREML4",15,1,0.0445123826409366,0.918808608633255
"CHN1",14,2,0.044718293078588,0.918808608633255
"LRP5L",15,1,0.0449953092491306,0.918808608633255
"METTL2A",15,1,0.045026208534484,0.918808608633255
"RPS6KA5",15,1,0.045203489273664,0.918808608633255
"C1orf204",14,2,0.0452238760133837,0.918808608633255
"LRP8",14,2,0.0452829624826574,0.918808608633255
"DGAT1",10,6,0.0460404435630545,0.918808608633255
"GLRA1",15,1,0.0464330781026681,0.918808608633255
"ZBTB6",15,1,0.0467335590383456,0.918808608633255
"BCAN",14,2,0.0467447803061288,0.918808608633255
"CD7",13,3,0.0467925338935473,0.918808608633255
"ATP13A1",15,1,0.0474095172680191,0.918808608633255
"ARL10",14,2,0.0476007712612911,0.918808608633255
"COL19A1",14,2,0.0476237361039815,0.918808608633255
"NPY1R",15,1,0.0479881329870101,0.918808608633255
"VN1R5",14,2,0.0480851162579845,0.918808608633255
"UBE2Z",15,1,0.0482768940372475,0.918808608633255
"RBBP5",15,1,0.0483408460102105,0.918808608633255
"NRBP2",11,5,0.0485508580195336,0.918808608633255
"PDK4",15,1,0.0490760522127057,0.918808608633255
"CYP2R1",15,1,0.0491911005985227,0.918808608633255
"ETNK2",15,1,0.0493798854813072,0.918808608633255
"LRCH4",15,1,0.049703319297699,0.918808608633255
