"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"SVIL","SVIL",4,0.00558827109662033,12,"0.96459743343168",1,NA,NA
"BCAM","BCAM",2,0.0105720560643507,14,"0.257356055525028",1,NA,NA
"SLC38A6","SLC38A6",3,0.012358245861326,13,"0.535493775530119",1,NA,NA
"APC","APC",2,0.0128606859425379,14,"0.884719098835418",1,NA,NA
"PNPLA6","PNPLA6",2,0.0155749051784664,14,"0.543359231097712",1,NA,NA
"PEX14","PEX14",2,0.0201254517807513,14,"0.8035465898762",1,NA,NA
"LRP1","LRP1",2,0.0209926291562753,14,"0.348293648234468",1,NA,NA
"MYO7B","MYO7B",2,0.0216788581751211,14,"0.0690036249515496",1,NA,NA
"TENM4","TENM4",2,0.0229451663736661,14,"0.170805337639793",1,NA,NA
"CTBP1","CTBP1",2,0.0233725026065407,14,"0.0682848702002242",1,NA,NA
"ATP6V1B1","ATP6V1B1",2,0.0265974102651314,14,"0.271127183444734",1,NA,NA
"NUMA1","NUMA1",2,0.0269508602749472,14,"0.118972101707331",1,NA,NA
"PPP1R16A","PPP1R16A",2,0.0373758856340872,14,"0.97933777433921",1,NA,NA
"SMARCC2","SMARCC2",2,0.0388305161010413,14,"0.164420650824605",1,NA,NA
"ATM","ATM",3,0.0404259237104449,13,"0.885299080478174",1,NA,NA
"PLXNB2","PLXNB2",2,0.0407711279479562,14,"0.535804300083721",1,NA,NA
"STAT6","STAT6",2,0.044356878018353,14,"0.787969155288769",1,NA,NA
"ABCC2","ABCC2",3,0.0449354292965759,13,"0.245428126324492",1,NA,NA
"CLCN5","CLCN5",2,0.0451559412084068,14,"0.675266046279711",1,NA,NA
"POLD1","POLD1",2,0.045570002626291,14,"0.29256787280251",1,NA,NA
"SPTY2D1","SPTY2D1",2,0.0511003489070281,14,"0.953549800599633",1,NA,NA
"KLHL22","KLHL22",2,0.0511491903297543,14,"0.0012761896987833",1,NA,NA
"FRAS1","FRAS1",2,0.0514672282469298,14,"0.19502253425097",1,NA,NA
"PCDH8","PCDH8",2,0.0534460815872361,14,"0.223458328255864",1,NA,NA
"LRRC10","LRRC10",2,0.0604047368261495,14,"0.117995765762513",1,NA,NA
