"","#wt","#mut","pvalue","p_adj"
"SVIL",12,4,0.00137391892021804,0.792790595260142
"PPP1R16A",14,2,0.00858341799381731,0.792790595260142
"APC",14,2,0.0093839091251329,0.792790595260142
"SPTY2D1",14,2,0.0156492023223311,0.792790595260142
"PEX14",14,2,0.0163335413382996,0.792790595260142
"TP53",8,8,0.017288901316751,0.792790595260142
"ATM",13,3,0.0177111208247212,0.792790595260142
"ABCC9",15,1,0.0222563803345521,0.792790595260142
"SLC38A6",13,3,0.0235268814016173,0.792790595260142
"ANK3",15,1,0.0244737172629483,0.792790595260142
"SP140L",15,1,0.0245059962302447,0.792790595260142
"WNK4",14,2,0.024814315176223,0.792790595260142
"NOMO1",15,1,0.0262584345627599,0.792790595260142
"PNPLA6",14,2,0.0270639883162925,0.792790595260142
"DDX3X",15,1,0.0279934664899667,0.792790595260142
"DOT1L",15,1,0.0287808990619213,0.792790595260142
"STAT6",14,2,0.0291200173100977,0.792790595260142
"NRAS",15,1,0.030425431415068,0.792790595260142
"SALL2",15,1,0.031349485845138,0.792790595260142
"TPTE2",15,1,0.0316692160562855,0.792790595260142
"SLC7A1",15,1,0.0325802782096023,0.792790595260142
"SLAMF1",14,2,0.0330070548239092,0.792790595260142
"SLC5A1",15,1,0.0335255873905519,0.792790595260142
"PSMA8",15,1,0.0337765681988233,0.792790595260142
"CUX1",15,1,0.0343125599798226,0.792790595260142
"OR1C1",15,1,0.034987906110486,0.792790595260142
"ORC4",15,1,0.0360967342936362,0.792790595260142
"DPCR1",15,1,0.0366802451024922,0.792790595260142
"RIPK4",15,1,0.0370689943430079,0.792790595260142
"IGSF1",15,1,0.0373925461946084,0.792790595260142
"KANK1",15,1,0.0377744904028267,0.792790595260142
"PNN",15,1,0.038495423994031,0.792790595260142
"PAX3",15,1,0.0385847386769297,0.792790595260142
"KIF26A",15,1,0.0386716681857818,0.792790595260142
"CLCN5",14,2,0.0387791753403866,0.792790595260142
"DHX37",15,1,0.039717198419145,0.792790595260142
"BIRC6",13,3,0.0398942263034174,0.792790595260142
"ECI1",15,1,0.0407082023373279,0.792790595260142
"DCLRE1C",15,1,0.0407257749403977,0.792790595260142
"CYP27A1",15,1,0.040812219257362,0.792790595260142
"BPTF",15,1,0.0414499702225366,0.792790595260142
"CLSPN",15,1,0.0419759666735742,0.792790595260142
"NET1",15,1,0.0421345682160715,0.792790595260142
"BCAM",14,2,0.0422089135883587,0.792790595260142
"UNC5A",15,1,0.0423321798196525,0.792790595260142
"PDGFA",15,1,0.0424834007038607,0.792790595260142
"WDR17",15,1,0.0428552333544868,0.792790595260142
"TM4SF18",15,1,0.0430655535339909,0.792790595260142
"STARD9",14,2,0.0431763574193011,0.792790595260142
"NOTCH4",14,2,0.0442945334762155,0.792790595260142
"ATRX",15,1,0.0443271890870384,0.792790595260142
"BRD9",15,1,0.0445271570710006,0.792790595260142
"RMI1",15,1,0.0447427605855304,0.792790595260142
"SLC12A7",15,1,0.0452706871506479,0.792790595260142
"SAFB2",15,1,0.0454385518465117,0.792790595260142
"EPHB3",15,1,0.0454663687733778,0.792790595260142
"TBC1D10A",15,1,0.0458956267066163,0.792790595260142
"LRP1",14,2,0.0462351076681786,0.792790595260142
"PBX3",15,1,0.0466968708282738,0.792790595260142
"CELF6",15,1,0.0471162442186231,0.792790595260142
"PLXNB2",14,2,0.0475472751646805,0.792790595260142
"IGF1R",15,1,0.0475831270553259,0.792790595260142
"POU1F1",15,1,0.0483020184273133,0.792790595260142
"LRPPRC",15,1,0.0483775017922506,0.792790595260142
"STAP1",15,1,0.0487670829085239,0.792790595260142
"DGKH",15,1,0.0495224004041262,0.792790595260142
"RAB7A",15,1,0.0500161260521653,0.792790595260142
"ATAD3B",15,1,0.0511849590118819,0.792790595260142
"UNC5C",15,1,0.0517266669127486,0.792790595260142
"SARDH",14,2,0.0522689630181048,0.792790595260142
