"","#wt","#mut","pvalue","p_adj"
"FERMT2",15,1,0.00982943573212824,0.773826998490404
"CDKN1B",15,1,0.0118481455385318,0.773826998490404
"TBC1D19",15,1,0.0176825650001835,0.773826998490404
"DNMBP",15,1,0.0261108314857839,0.773826998490404
"BCL6",15,1,0.0291878246118744,0.773826998490404
"ATP10B",15,1,0.0294834036201744,0.773826998490404
"HECTD1",15,1,0.0297153390875606,0.773826998490404
"PLOD3",15,1,0.0312513981048628,0.773826998490404
"TTN",14,2,0.031509952532832,0.773826998490404
"MAST2",15,1,0.0316880858635705,0.773826998490404
"C1QTNF1",15,1,0.0321225065273839,0.773826998490404
"CAPNS1",15,1,0.0355074754691405,0.773826998490404
"CCNG1",15,1,0.0360319769739217,0.773826998490404
"HTR1D",15,1,0.0368334830549284,0.773826998490404
"FOXN2",15,1,0.0410632366821652,0.773826998490404
"KDM2B",15,1,0.0418778176076552,0.773826998490404
"THRB",15,1,0.0418966603206155,0.773826998490404
"HKDC1",15,1,0.0423911671181406,0.773826998490404
"BRD8",15,1,0.0459268808232491,0.773826998490404
"HDAC11",14,2,0.0463532065601457,0.773826998490404
"ARNTL",15,1,0.0463881700202953,0.773826998490404
"CDC25A",15,1,0.048805205221897,0.773826998490404
"AGAP5",15,1,0.0502586947389383,0.773826998490404
"BCAS3",15,1,0.0504654035695244,0.773826998490404
"MLLT3",15,1,0.0509950907404092,0.773826998490404
"G2E3",15,1,0.0512901290704753,0.773826998490404
"ANKRD23",15,1,0.0520948383376696,0.773826998490404
"LAMA3",15,1,0.0525411458713266,0.773826998490404
"NCOA1",15,1,0.0529891200132367,0.773826998490404
"SLC6A3",15,1,0.0530904622126172,0.773826998490404
"KDM4C",15,1,0.0541166386978092,0.773826998490404
"ANKRD6",15,1,0.0541680503399178,0.773826998490404
"NOTCH1",15,1,0.0547689433379286,0.773826998490404
"RB1CC1",15,1,0.0552363150227843,0.773826998490404
"MNX1",15,1,0.0573380174075956,0.773826998490404
"ARID1A",13,3,0.0573749312786103,0.773826998490404
"ACVR2A",15,1,0.0578849764466316,0.773826998490404
"GATA3",15,1,0.0597697642259023,0.773826998490404
"C1QC",15,1,0.0607481990211479,0.773826998490404
"PREX1",15,1,0.0615468023451524,0.773826998490404
"NBEA",15,1,0.0623103830024627,0.773826998490404
"NSF",15,1,0.0634849616225988,0.773826998490404
"PARP15",15,1,0.0655577160089617,0.773826998490404
"KCNS2",15,1,0.0662441576676702,0.773826998490404
"WDTC1",15,1,0.0672251696357674,0.773826998490404
"TMLHE",15,1,0.067952080874618,0.773826998490404
"DRD3",15,1,0.0684413293379487,0.773826998490404
"FBXO11",15,1,0.0701845222223006,0.773826998490404
"ENG",15,1,0.0711022882638085,0.773826998490404
"WDR63",15,1,0.071268317469243,0.773826998490404
"T",15,1,0.0733998403757808,0.773826998490404
"DUOX2",15,1,0.0760149912833326,0.773826998490404
"RB1",15,1,0.0760546197173176,0.773826998490404
"CHD1",15,1,0.0767664871347089,0.773826998490404
"FANCL",15,1,0.0770730531992071,0.773826998490404
"AKNA",15,1,0.0788121539343752,0.773826998490404
"BRD9",15,1,0.0788564426590499,0.773826998490404
"WDR55",15,1,0.0793034937899665,0.773826998490404
"AKAP13",15,1,0.0805240969984319,0.773826998490404
"SLC5A1",15,1,0.0817553068637759,0.773826998490404
"WDR87",14,2,0.082556124572307,0.773826998490404
"RBBP8",15,1,0.0835473019040232,0.773826998490404
"MCAM",15,1,0.0839828950414868,0.773826998490404
"EGR1",15,1,0.0859568855399024,0.773826998490404
"ZFHX2",15,1,0.0876374848751232,0.773826998490404
"SHMT2",15,1,0.0877535771483963,0.773826998490404
"HECW2",15,1,0.0911836104845878,0.77805296921091
"PHF2",15,1,0.0915505032693691,0.77805296921091
"NAA15",15,1,0.0955782142561241,0.77805296921091
"SOS2",15,1,0.0966439680876893,0.77805296921091
"PREX2",15,1,0.0994759995926384,0.77805296921091
"HIVEP2",15,1,0.0999398877319428,0.77805296921091
"ITGA4",15,1,0.101180936886081,0.77805296921091
"POLK",15,1,0.101673762378079,0.77805296921091
"ATG9B",15,1,0.102121965969032,0.77805296921091
"ACO1",15,1,0.102711008419506,0.77805296921091
"TAAR2",15,1,0.102938279431684,0.77805296921091
"SPIB",15,1,0.105518095720542,0.787327329607121
"TP53BP1",15,1,0.109914941888863,0.805720917766075
"HDAC7",15,1,0.111562251499585,0.805720917766075
"PVRL1",15,1,0.11321448137345,0.805720917766075
"EML5",15,1,0.114493269017515,0.805720917766075
"GPR149",15,1,0.115184348063601,0.805720917766075
"DHX36",15,1,0.119518741348291,0.805720917766075
"TDRD12",15,1,0.121787854497384,0.805720917766075
"HTR3E",15,1,0.123676430550206,0.805720917766075
"ARHGEF5",15,1,0.125808714821898,0.805720917766075
"ZBTB48",15,1,0.126074496378584,0.805720917766075
"HECW1",15,1,0.127805189469769,0.805720917766075
"RBM23",15,1,0.129352053564286,0.805720917766075
"RAPGEF5",15,1,0.130093723770389,0.805720917766075
"ITGB5",15,1,0.130316428566431,0.805720917766075
"COG2",15,1,0.131883643771765,0.805720917766075
"EIF5AL1",15,1,0.138158387362348,0.805720917766075
"TEAD2",15,1,0.13820546617777,0.805720917766075
"BRD2",15,1,0.139553415677938,0.805720917766075
"MAP1B",15,1,0.139943503736512,0.805720917766075
"CBX5",15,1,0.140400233224546,0.805720917766075
"CCNF",15,1,0.144056217224778,0.805720917766075
"LRP2",15,1,0.144176933257813,0.805720917766075
"TICAM1",15,1,0.144227771767773,0.805720917766075
"CBX8",15,1,0.145068611300682,0.805720917766075
"LHX2",15,1,0.145115939050679,0.805720917766075
"WDR44",15,1,0.145427772876741,0.805720917766075
"PRKCA",15,1,0.148695950130258,0.805720917766075
"LMTK3",15,1,0.148929021854758,0.805720917766075
"DLX6",14,2,0.15162876784995,0.805720917766075
"RBL2",15,1,0.152004401643529,0.805720917766075
"SP110",15,1,0.154308069700134,0.805720917766075
"RASGRF2",15,1,0.155635840865965,0.805720917766075
"TRIP12",15,1,0.155936582189708,0.805720917766075
"DICER1",15,1,0.157785006982932,0.805720917766075
"FBXO32",15,1,0.158229048967282,0.805720917766075
"PRDM7",15,1,0.160004543026303,0.805720917766075
"MAP4K5",15,1,0.162280999707646,0.805720917766075
"HCRTR1",15,1,0.166460568138772,0.805720917766075
"TRIO",15,1,0.166609448743748,0.805720917766075
"RHOT2",15,1,0.166698778654454,0.805720917766075
"ARF1",15,1,0.167421321419537,0.805720917766075
"RGMA",15,1,0.168377625489042,0.805720917766075
"FRY",15,1,0.169225581585431,0.805720917766075
"RPS6KL1",15,1,0.170804041893237,0.805720917766075
"MSH6",15,1,0.171577058509565,0.805720917766075
"MCPH1",15,1,0.172044619272931,0.805720917766075
"COL6A5",15,1,0.178241498096862,0.805720917766075
"POU3F1",15,1,0.17847574058053,0.805720917766075
"CDX2",15,1,0.178631246290156,0.805720917766075
"CACNA1A",15,1,0.179434452667575,0.805720917766075
"LGALS9",15,1,0.179539161678241,0.805720917766075
"ATAD2",15,1,0.179972026305137,0.805720917766075
"USP44",15,1,0.182298615867502,0.809906827747223
"DOCK11",15,1,0.183894568501555,0.810807870211402
"ZMYND8",15,1,0.186778670901631,0.813238788334511
"SEMA4D",15,1,0.188353861426267,0.813238788334511
"ROCK1",15,1,0.188637863273469,0.813238788334511
"FOXB2",14,2,0.192016996638477,0.821719794438188
"RASGRF1",15,1,0.196235265872351,0.833345923797
"NDUFS7",15,1,0.198990267054979,0.833345923797
"ACVRL1",15,1,0.199029352934335,0.833345923797
"DDR1",15,1,0.203419733661775,0.836775939360275
"COMMD3-BMI1",15,1,0.20462544632355,0.836775939360275
"HNRNPAB",15,1,0.204933334147718,0.836775939360275
"SPEN",15,1,0.205599586475119,0.836775939360275
"ATP13A2",15,1,0.210943318907165,0.844757500046175
"MYT1",15,1,0.212617633860722,0.844757500046175
"CXorf21",15,1,0.213107371338973,0.844757500046175
"ZRANB3",15,1,0.217361099555333,0.844757500046175
"U2AF1L4",15,1,0.218191737895777,0.844757500046175
"NWD1",15,1,0.218918669033345,0.844757500046175
"PPRC1",15,1,0.219842691857822,0.844757500046175
"ZFHX3",15,1,0.220852762223588,0.844757500046175
"EPB41L4B",15,1,0.22207282555711,0.844757500046175
"NLRP12",15,1,0.223889590285049,0.844757500046175
"BAX",15,1,0.22629430453487,0.844757500046175
"KIF5C",14,2,0.227996219583731,0.844757500046175
"KIF17",14,2,0.228639853173459,0.844757500046175
"CPEB2",15,1,0.229932396235227,0.844757500046175
"PTK2",15,1,0.231380725989858,0.844757500046175
"STAT3",15,1,0.233142043156477,0.844757500046175
"COL9A3",15,1,0.233476711015541,0.844757500046175
"TNK2",15,1,0.235522565882756,0.844757500046175
"ATG4C",15,1,0.235872816292013,0.844757500046175
"CACNA1F",14,2,0.23659015894764,0.844757500046175
