"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TP53","TP53",-1,-1,2,"2.28644266053735e-06",0.014964767213217,NA,NA
"ERI1","ERI1",-1,-1,16,"2.8898185486792e-06",0.0189109725825567,NA,NA
"CDK6","CDK6",-1,-1,13,"9.59773226960614e-06",0.062797962240033,NA,NA
"COL25A1","COL25A1",-1,-1,15,"1.73604435491637e-05",0.113572021698629,NA,NA
"NADSYN1","NADSYN1",-1,-1,15,"2.42105758758715e-05",0.158361376804075,NA,NA
"IRAK2","IRAK2",-1,-1,14,"2.5101277291828e-05",0.164162353488555,NA,NA
"ERCC5","ERCC5",-1,-1,16,"3.27488370954754e-05",0.214144645767314,NA,NA
"BIVM-ERCC5","BIVM-ERCC5",-1,-1,16,"3.27488370954754e-05",0.214144645767314,NA,NA
"ARL5B","ARL5B",-1,-1,16,"4.03421781838276e-05",0.263716818787681,NA,NA
"IMPDH1","IMPDH1",-1,-1,14,"5.4509522937396e-05",0.35627424191882,NA,NA
"GTF2H5","GTF2H5",-1,-1,14,"7.1490822639575e-05",0.467192525949623,NA,NA
"SH2D4B","SH2D4B",-1,-1,13,"7.54055400632447e-05",0.492699798773241,NA,NA
"KIT","KIT",-1,-1,16,"0.000125085952563331",0.817186528096241,NA,NA
"TOP2B","TOP2B",-1,-1,13,"0.000187834516812035",1,NA,NA
"UTY","UTY",-1,-1,16,"0.000194285108038761",1,NA,NA
"USP33","USP33",-1,-1,13,"0.000228389698674669",1,NA,NA
"CFB","CFB",-1,-1,15,"0.000243209426849522",1,NA,NA
"PSCA","PSCA",-1,-1,11,"0.000244989464226686",1,NA,NA
"KIAA1324","KIAA1324",-1,-1,14,"0.000265342677445157",1,NA,NA
"YWHAE","YWHAE",-1,-1,14,"0.000359600432889184",1,NA,NA
"LIG4","LIG4",-1,-1,16,"0.000383467489666556",1,NA,NA
"RCBTB2","RCBTB2",-1,-1,16,"0.000401411665496232",1,NA,NA
"AK4","AK4",-1,-1,14,"0.000418093713742129",1,NA,NA
"BTBD18","BTBD18",-1,-1,16,"0.00048189659609621",1,NA,NA
"WDR25","WDR25",-1,-1,15,"0.000516817142881321",1,NA,NA
"SAFB","SAFB",-1,-1,14,"0.000528783427191093",1,NA,NA
"ZBTB6","ZBTB6",-1,-1,15,"0.00064612428862032",1,NA,NA
"MLF2","MLF2",-1,-1,12,"0.000676259046988315",1,NA,NA
"SRSF12","SRSF12",-1,-1,14,"0.000692950343473053",1,NA,NA
"GCAT","GCAT",-1,-1,16,"0.000749063365745539",1,NA,NA
"ESRRB","ESRRB",-1,-1,16,"0.000830840683661349",1,NA,NA
"SH2D1B","SH2D1B",-1,-1,14,"0.000911146061361112",1,NA,NA
"CXCL5","CXCL5",-1,-1,16,"0.000939181178283399",1,NA,NA
"CASK","CASK",-1,-1,16,"0.000985793939962121",1,NA,NA
"GABRR2","GABRR2",-1,-1,15,"0.00101933187609538",1,NA,NA
"RUFY3","RUFY3",-1,-1,16,"0.00126454260320696",1,NA,NA
