"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MAPKAP1","MAPKAP1",-1,-1,16,"1.29725975048545e-06",0.00849056506692727,NA,NA
"GPX4","GPX4",-1,-1,15,"5.21385353539296e-06",0.0341194575356115,NA,NA
"TRA2B","TRA2B",-1,-1,12,"1.23330530769268e-05",0.0806951662823321,NA,NA
"CKMT2","CKMT2",-1,-1,16,"1.90782899378288e-05",0.124810172773276,NA,NA
"AGAP1","AGAP1",-1,-1,15,"2.70473024831083e-05",0.176916405542011,NA,NA
"CSTF2T","CSTF2T",-1,-1,15,"5.97959929216523e-05",0.391065793707606,NA,NA
"CCNB1","CCNB1",-1,-1,16,"7.10328510553012e-05",0.464483813050615,NA,NA
"LRRTM4","LRRTM4",-1,-1,15,"8.72242235251441e-05",0.570271973407392,NA,NA
"CDK2","CDK2",-1,-1,15,"9.47256147868908e-05",0.619221343861905,NA,NA
"ARHGAP29","ARHGAP29",-1,-1,15,"9.65543332213057e-05",0.631079121934454,NA,NA
"FMN2","FMN2",-1,-1,14,"0.000115280731496329",0.75335958032851,NA,NA
"COPG1","COPG1",-1,-1,15,"0.000116701468219223",0.762527393344403,NA,NA
"C15orf55","C15orf55",-1,-1,15,"0.00015807211403595",1,NA,NA
"CDKN1B","CDKN1B",-1,-1,12,"0.000160523156409572",1,NA,NA
"DDX19B","DDX19B",-1,-1,16,"0.000238350322690333",1,NA,NA
"TBXA2R","TBXA2R",-1,-1,14,"0.000261954773221041",1,NA,NA
"OBP2A","OBP2A",-1,-1,14,"0.000276080946731139",1,NA,NA
"COPS3","COPS3",-1,-1,13,"0.000367960577957305",1,NA,NA
"FCRLA","FCRLA",-1,-1,14,"0.000386680608327549",1,NA,NA
"FUBP1","FUBP1",-1,-1,13,"0.000395184185008488",1,NA,NA
"GSTM2","GSTM2",-1,-1,14,"0.000426482093350649",1,NA,NA
"P2RY12","P2RY12",-1,-1,14,"0.000455397307185577",1,NA,NA
"SKP2","SKP2",-1,-1,16,"0.000463739435943067",1,NA,NA
"LYPD1","LYPD1",-1,-1,16,"0.000482445988383909",1,NA,NA
"TTN","TTN",-1,-1,8,"0.00054236157353671",1,NA,NA
"UBE2G1","UBE2G1",-1,-1,15,"0.000557138590141229",1,NA,NA
"KIF5C","KIF5C",-1,-1,13,"0.000662893951770718",1,NA,NA
"TMED10","TMED10",-1,-1,15,"0.000777638450815403",1,NA,NA
"OTC","OTC",-1,-1,16,"0.000927984298603184",1,NA,NA
"GNG10","GNG10",-1,-1,16,"0.000992160482646957",1,NA,NA
"DNAJC25-GNG10","DNAJC25-GNG10",-1,-1,16,"0.000992160482646957",1,NA,NA
"ALDH7A1","ALDH7A1",-1,-1,16,"0.00105966133537029",1,NA,NA
"TTC30A","TTC30A",-1,-1,13,"0.00115714294983869",1,NA,NA
"SMPD2","SMPD2",-1,-1,14,"0.00120226660741612",1,NA,NA
"NPR1","NPR1",-1,-1,12,"0.00125064057174571",1,NA,NA
"THRAP3","THRAP3",-1,-1,13,"0.00126834728141796",1,NA,NA
"CFHR4","CFHR4",-1,-1,15,"0.00128807309190292",1,NA,NA
"CDK12","CDK12",-1,-1,13,"0.00138057722350637",1,NA,NA
"ZCCHC3","ZCCHC3",-1,-1,14,"0.00141310846701688",1,NA,NA
"SEMA4D","SEMA4D",-1,-1,15,"0.00141719000439523",1,NA,NA
"GJC2","GJC2",-1,-1,15,"0.00149544320634335",1,NA,NA
"FERMT2","FERMT2",-1,-1,14,"0.00153396842136742",1,NA,NA
"RAB5B","RAB5B",-1,-1,16,"0.00162079194221779",1,NA,NA
"LMLN","LMLN",-1,-1,11,"0.00164591924523636",1,NA,NA
"TYRO3","TYRO3",-1,-1,14,"0.00166977381449442",1,NA,NA
"SEMA6A","SEMA6A",-1,-1,15,"0.0017224695594442",1,NA,NA
"UBA3","UBA3",-1,-1,16,"0.00174782686656973",1,NA,NA
"NSMCE1","NSMCE1",-1,-1,16,"0.00190099624466547",1,NA,NA
"GP5","GP5",-1,-1,12,"0.00214341460137449",1,NA,NA
"TXN","TXN",-1,-1,16,"0.00216405636889167",1,NA,NA
"ABCB9","ABCB9",-1,-1,16,"0.00217255005794697",1,NA,NA
"SNX31","SNX31",-1,-1,15,"0.00221544755308283",1,NA,NA
"KIF23","KIF23",-1,-1,16,"0.00223204015378601",1,NA,NA
"CCNE1","CCNE1",-1,-1,12,"0.00224772738678012",1,NA,NA
"ZBTB44","ZBTB44",-1,-1,13,"0.00227962776865726",1,NA,NA
"RBM14","RBM14",-1,-1,15,"0.00228208111567104",1,NA,NA
"NOS1","NOS1",-1,-1,16,"0.00239017539832897",1,NA,NA
"PTPN12","PTPN12",-1,-1,14,"0.00239908451230831",1,NA,NA
"TNK1","TNK1",-1,-1,15,"0.00242881268005062",1,NA,NA
"TAS1R2","TAS1R2",-1,-1,16,"0.0024676036349317",1,NA,NA
"SDC1","SDC1",-1,-1,14,"0.00260563927203941",1,NA,NA
"TRPC5","TRPC5",-1,-1,16,"0.00271935750033455",1,NA,NA
"KLHL22","KLHL22",-1,-1,12,"0.00272599483801236",1,NA,NA
"ADAR","ADAR",-1,-1,11,"0.00275339047416127",1,NA,NA
"RPS6KB2","RPS6KB2",-1,-1,14,"0.00277539261888893",1,NA,NA
"TTC16","TTC16",-1,-1,16,"0.00291974039902263",1,NA,NA
"AMBP","AMBP",-1,-1,16,"0.00299652508901488",1,NA,NA
"LOC100996758","LOC100996758",-1,-1,16,"0.00307206927819658",1,NA,NA
"FBXO5","FBXO5",-1,-1,14,"0.00309398409929749",1,NA,NA
"WEE1","WEE1",-1,-1,15,"0.00313604723355862",1,NA,NA
"P2RY1","P2RY1",-1,-1,14,"0.00322006950665494",1,NA,NA
"MSGN1","MSGN1",-1,-1,16,"0.00325538653636513",1,NA,NA
"TCHH","TCHH",-1,-1,14,"0.00331510537467226",1,NA,NA
"CENPW","CENPW",-1,-1,12,"0.00348885459961063",1,NA,NA
"RAD23B","RAD23B",-1,-1,16,"0.00352418069718262",1,NA,NA
"DDHD2","DDHD2",-1,-1,16,"0.00385466817997575",1,NA,NA
"IDH3A","IDH3A",-1,-1,16,"0.0039539105998098",1,NA,NA
"KCNC3","KCNC3",-1,-1,15,"0.00397393654569577",1,NA,NA
"MAPK11","MAPK11",-1,-1,16,"0.0039927080419114",1,NA,NA
"DHX29","DHX29",-1,-1,16,"0.00407630332093174",1,NA,NA
"FEN1","FEN1",-1,-1,15,"0.00407942478578988",1,NA,NA
"MAGEA1","MAGEA1",-1,-1,16,"0.00421073415911292",1,NA,NA
"ZNF131","ZNF131",-1,-1,15,"0.00425391904961196",1,NA,NA
"MLL2","MLL2",-1,-1,16,"0.00432939578049359",1,NA,NA
"CHAF1B","CHAF1B",-1,-1,16,"0.00439278416911694",1,NA,NA
"SREK1IP1","SREK1IP1",-1,-1,16,"0.00449823186125359",1,NA,NA
"CSNK2A2","CSNK2A2",-1,-1,16,"0.00468345236498203",1,NA,NA
"SERPINA1","SERPINA1",-1,-1,14,"0.00473170574055555",1,NA,NA
"FAM210B","FAM210B",-1,-1,11,"0.00479505867413062",1,NA,NA
