"","#wt","#mut","pvalue","p_adj"
"MAPKAP1",16,0,1.29725975048545e-06,0.00849056506692727
"GPX4",15,1,5.21385353539296e-06,0.0170623356945735
"TRA2B",12,4,1.23330530769268e-05,0.026906610796162
"CKMT2",16,0,1.90782899378288e-05,0.0312168519107724
"AGAP1",15,1,2.70473024831083e-05,0.0354049189503888
"CSTF2T",15,1,5.97959929216523e-05,0.0631948110933446
"CCNB1",16,0,7.10328510553012e-05,0.0631948110933446
"LRRTM4",15,1,8.72242235251441e-05,0.0631948110933446
"CDK2",15,1,9.47256147868908e-05,0.0631948110933446
"ARHGAP29",15,1,9.65543332213057e-05,0.0631948110933446
"FMN2",14,2,0.000115280731496329,0.0636509257912345
"COPG1",15,1,0.000116701468219223,0.0636509257912345
"C15orf55",15,1,0.00015807211403595,0.0750445756214749
"CDKN1B",12,4,0.000160523156409572,0.0750445756214749
"DDX19B",16,0,0.000238350322690333,0.104000190800549
"TBXA2R",14,2,0.000261954773221041,0.106291164491489
"OBP2A",14,2,0.000276080946731139,0.106291164491489
"COPS3",13,3,0.000367960577957305,0.129324024544028
"FCRLA",14,2,0.000386680608327549,0.129324024544028
"FUBP1",13,3,0.000395184185008488,0.129324024544028
"GSTM2",14,2,0.000426482093350649,0.131567041415529
"P2RY12",14,2,0.000455397307185577,0.131567041415529
"SKP2",16,0,0.000463739435943067,0.131567041415529
"LYPD1",16,0,0.000482445988383909,0.131567041415529
"TTN",8,8,0.00054236157353671,0.140248925864398
"UBE2G1",15,1,0.000557138590141229,0.140248925864398
"KIF5C",13,3,0.000662893951770718,0.160690404234791
"TMED10",15,1,0.000777638450815403,0.1817729878781
"OTC",16,0,0.000927984298603184,0.209436456357167
"GNG10",16,0,0.000992160482646957,0.209473882545946
"DNAJC25-GNG10",16,0,0.000992160482646957,0.209473882545946
"ALDH7A1",16,0,0.00105966133537029,0.216733857499955
"TTC30A",13,3,0.00115714294983869,0.227849686121746
"SMPD2",14,2,0.00120226660741612,0.227849686121746
