"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"IL6R","IL6R",2,0.00136059842100313,7,"0.00318851135896069",1,NA,NA
"ALK","ALK",2,0.0017076510497951,7,"0.00592326972442046",1,NA,NA
"LY9","LY9",2,0.00224915154809123,7,"0.0447812553026523",1,NA,NA
"PPM1G","PPM1G",2,0.00238260372240551,7,"0.065297220598703",1,NA,NA
"OR2W3","OR2W3",3,0.00297067806881015,6,"0.355156796694497",1,NA,NA
"OR2T4","OR2T4",3,0.00815153864479129,6,"0.0935235713889853",1,NA,NA
"PLXNA2","PLXNA2",3,0.00885819148397715,6,"0.4091268564192",1,NA,NA
"PROX1","PROX1",3,0.0106654159508174,6,"0.594109498983805",1,NA,NA
"AGT","AGT",3,0.0120926847936818,6,"0.0503261758376643",1,NA,NA
"PBX1","PBX1",2,0.0125790668218958,7,"0.403975661690424",1,NA,NA
"PTPN14","PTPN14",3,0.013116451181977,6,"0.0181836086031725",1,NA,NA
"VSIG8","VSIG8",2,0.0139587109714112,7,"0.098629399913335",1,NA,NA
"MYCN","MYCN",5,0.0139658677007911,4,"0.143046666184805",1,NA,NA
"SLAMF8","SLAMF8",2,0.0146217410839057,7,"0.234605517694225",1,NA,NA
"SLC19A2","SLC19A2",2,0.0162333472853966,7,"0.0451875347035129",1,NA,NA
"ECM1","ECM1",3,0.0165562423631664,6,"0.0140013373806126",1,NA,NA
"WASH3P","WASH3P",3,0.0179390855612438,6,"0.000207083586450176",1,NA,NA
"DUSP27","DUSP27",2,0.0181078825858963,7,"0.0491241798848461",1,NA,NA
"NR1I3","NR1I3",2,0.0206547949744779,7,"0.0799699874522814",1,NA,NA
"AVPR1B","AVPR1B",3,0.0219814345864101,6,"0.288133352195159",1,NA,NA
"FH","FH",3,0.0236371841105026,6,"0.686293423618213",1,NA,NA
"CHFR","CHFR",2,0.0237780173690451,7,"0.00621494114512302",1,NA,NA
"UBE2T","UBE2T",3,0.0241312505245951,6,"0.316643013556257",1,NA,NA
"TAF5L","TAF5L",3,0.0252512459610647,6,"0.264788460948058",1,NA,NA
"CD84","CD84",2,0.0265034401408919,7,"0.18036090714612",1,NA,NA
"ITLN1","ITLN1",2,0.026811353762468,7,"0.408463095034776",1,NA,NA
"TDRD5","TDRD5",2,0.0302385607375169,7,"0.0010220424470021",1,NA,NA
"ATF3","ATF3",3,0.0325868040282826,6,"0.0564194992855494",1,NA,NA
"CKS1B","CKS1B",2,0.0343636198713729,7,"0.922253621873723",1,NA,NA
"NME1","NME1",2,0.0389272510216586,7,"0.804043255103819",1,NA,NA
"CD1D","CD1D",2,0.038949141781327,7,"0.501523288164228",1,NA,NA
"OR2G2","OR2G2",3,0.0397249602235171,6,"0.569212730264285",1,NA,NA
"LEFTY1","LEFTY1",3,0.0426117407603013,6,"0.469525581955987",1,NA,NA
"APOA2","APOA2",2,0.0456518677452212,7,"0.374724329029707",1,NA,NA
"KIF14","KIF14",3,0.0459500448060084,6,"0.0832730625464738",1,NA,NA
"KLHL20","KLHL20",2,0.0469888808698861,7,"0.00764978590900791",1,NA,NA
"LRRN2","LRRN2",3,0.0485909369212468,6,"0.109436515792021",1,NA,NA
"MPZ","MPZ",2,0.0528099614154357,7,"0.0643340233029353",1,NA,NA
"MDM4","MDM4",3,0.0555561397324235,6,"0.00156558828477609",1,NA,NA
"OLFML2B","OLFML2B",2,0.0599718424360542,7,"0.0106980461561872",1,NA,NA
"OR2T1","OR2T1",3,0.0612258732444674,6,"0.949372372744091",1,NA,NA
"CDC42BPA","CDC42BPA",3,0.06266538994917,6,"0.670952506007961",1,NA,NA
"FERD3L","FERD3L",2,0.0626915607805516,7,"0.17733904084488",1,NA,NA
"OR11L1","OR11L1",3,0.0628494591697441,6,"0.311204008968251",1,NA,NA
"ULK1","ULK1",2,0.0645663973586076,7,"0.0841165614072038",1,NA,NA
"TGFB2","TGFB2",3,0.0658015534656762,6,"4.20176126034459e-05",1,NA,NA
"ABCB10","ABCB10",3,0.0669266444741482,6,"0.405806520568138",1,NA,NA
"FCRL4","FCRL4",2,0.0681091128401075,7,"0.258773309701481",1,NA,NA
"HAPLN2","HAPLN2",2,0.0716870258186466,7,"0.577102456228097",1,NA,NA
"RAB13","RAB13",2,0.0749915304410761,7,"0.0137524626867337",1,NA,NA
"HSD17B7","HSD17B7",2,0.0760279863264122,7,"0.034926599373184",1,NA,NA
"TMEM81","TMEM81",3,0.0773759690399202,6,"0.00596587719895956",1,NA,NA
"TDRD10","TDRD10",2,0.0778124754284867,7,"0.405145155846352",1,NA,NA
