"","#wt","#mut","pvalue","p_adj"
"LRRC59",8,1,0.0100369528753253,0.959077264556009
"CKS1B",7,2,0.0118715302511435,0.959077264556009
"OR2T1",6,3,0.0131391077626473,0.959077264556009
"CD7",8,1,0.0160925948055199,0.959077264556009
"MPP3",8,1,0.0165636966488442,0.959077264556009
"ABCA9",8,1,0.0172491580646847,0.959077264556009
"LPAR5",8,1,0.0182751302821814,0.959077264556009
"TBC1D9",8,1,0.0224425682969621,0.959077264556009
"NME1",7,2,0.0246291966950496,0.959077264556009
"PROX1",6,3,0.0266917505769508,0.959077264556009
"FH",6,3,0.0297924007471241,0.959077264556009
"OR2W3",6,3,0.0360252307362468,0.959077264556009
"TRA2A",8,1,0.0363048698351803,0.959077264556009
"MAL2",8,1,0.0375738238869032,0.959077264556009
"QPCT",8,1,0.0409763366457312,0.959077264556009
"ARHGEF7",8,1,0.0413337772849024,0.959077264556009
"TPP2",8,1,0.0425793231928943,0.959077264556009
"DCAF7",8,1,0.0427917267974817,0.959077264556009
"JMJD4",6,3,0.0429224241723302,0.959077264556009
"PLXNA2",6,3,0.0445336692508706,0.959077264556009
"FKBP14",8,1,0.0447274276345325,0.959077264556009
"PBX1",7,2,0.0448989517176513,0.959077264556009
"KCNJ2",8,1,0.0493423856216687,0.959077264556009
"TSSK2",8,1,0.0509375534716241,0.959077264556009
"LANCL2",8,1,0.052811538825411,0.959077264556009
"PRMT10",8,1,0.0532360692120306,0.959077264556009
"HOXA1",8,1,0.0535885093441054,0.959077264556009
"MSGN1",8,1,0.0537347688226612,0.959077264556009
"AGR2",8,1,0.0545741491683388,0.959077264556009
"HELT",8,1,0.0571117197066658,0.959077264556009
"HDAC9",8,1,0.0576172546550082,0.959077264556009
"ZFP36L2",7,2,0.0577434344066149,0.959077264556009
"MUC20",6,3,0.0594051705579086,0.959077264556009
"UPF3A",8,1,0.05964878216516,0.959077264556009
"CD1D",7,2,0.0600818232094872,0.959077264556009
"ITLN1",7,2,0.0607508205414796,0.959077264556009
"OR2G2",6,3,0.0619223269500849,0.959077264556009
"CDC42BPA",6,3,0.0633898795802743,0.959077264556009
"MATN3",8,1,0.0662855647957168,0.959077264556009
"PDE1C",8,1,0.066562958841947,0.959077264556009
"PDK2",8,1,0.0689717003421868,0.959077264556009
"CYP11B1",8,1,0.0707058456990586,0.959077264556009
"GSTM1",8,1,0.0709339355524611,0.959077264556009
"RNF139",8,1,0.0721942583203106,0.959077264556009
"RGS5",7,2,0.0726579518567412,0.959077264556009
"TERT",8,1,0.07392457504498,0.959077264556009
"LAMP1",8,1,0.0743664512620789,0.959077264556009
"SLAMF8",7,2,0.0751083976571237,0.959077264556009
"HAPLN2",7,2,0.0754396064295471,0.959077264556009
"TNFRSF14",8,1,0.0788967558770756,0.959077264556009
"PRKAB1",8,1,0.0789747589207205,0.959077264556009
"ZBTB41",6,3,0.0801657510244582,0.959077264556009
"HIC2",8,1,0.0811264064518579,0.959077264556009
"LRIT3",8,1,0.0841230577632553,0.959077264556009
"PPP1R16A",8,1,0.0855180881773806,0.959077264556009
"LEFTY1",6,3,0.085630239486107,0.959077264556009
"CDK13",8,1,0.0864232960907705,0.959077264556009
"TBX20",8,1,0.0865117513803415,0.959077264556009
"DCAKD",8,1,0.0870192143391227,0.959077264556009
"TAOK3",8,1,0.0873703112619725,0.959077264556009
"POLG2",8,1,0.087727431997406,0.959077264556009
"APOA2",7,2,0.0883859800625534,0.959077264556009
"HIST3H3",6,3,0.0885549414453144,0.959077264556009
"TRPC3",8,1,0.0894739188875483,0.959077264556009
"MTMR4",8,1,0.0900752995232043,0.959077264556009
"TET2",8,1,0.0909396169126182,0.959077264556009
"MAFK",8,1,0.0936580884639695,0.959077264556009
"DLX3",8,1,0.0944584495904665,0.959077264556009
"UBE2T",6,3,0.0951424484383371,0.959077264556009
"ATP9A",8,1,0.0952374427378887,0.959077264556009
"SNRNP35",8,1,0.0956075289297411,0.959077264556009
"PPM1G",7,2,0.0978638867355671,0.959077264556009
"OR2T3",6,3,0.0980550932137196,0.959077264556009
"AVPR1B",6,3,0.0992469709797365,0.959077264556009
"CACNA1E",7,2,0.10083174035385,0.959077264556009
"CBR4",8,1,0.101861946579284,0.959077264556009
