"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"OR2T4","OR2T4",2,0.0176336641103356,7,"0.0489535621552444",1,NA,NA
"HEATR2","HEATR2",2,0.0176480091654481,7,"0.189238781911646",1,NA,NA
"TFAP2B","TFAP2B",2,0.0191567887507965,7,"0.0172484651444604",1,NA,NA
"ARID4A","ARID4A",2,0.0235213453070409,7,"0.347407311587728",1,NA,NA
"SEMA6C","SEMA6C",2,0.0350334220064482,7,"0.0327779592188045",1,NA,NA
"ALK","ALK",2,0.0666875166503144,7,"0.00136155445792894",1,NA,NA
"NCAM1","NCAM1",2,0.0878641776952777,7,"0.0940890307649456",1,NA,NA
"RALGAPA2","RALGAPA2",3,0.0893993205283087,6,"0.000257719990671293",1,NA,NA
"COL8A2","COL8A2",2,0.104146950276732,7,"0.615230456579247",1,NA,NA
"FCGBP","FCGBP",2,0.128770191357281,7,"0.0208834235990473",1,NA,NA
"KDM4B","KDM4B",2,0.133147558427428,7,"0.0803385388630499",1,NA,NA
"SEMA3G","SEMA3G",2,0.142488468325806,7,"0.463830143430272",1,NA,NA
"ABCA4","ABCA4",2,0.172500747901441,7,"0.129535644905507",1,NA,NA
"LLGL1","LLGL1",2,0.173579015264774,7,"0.0367266132944125",1,NA,NA
"SACS","SACS",2,0.193134885693888,7,"0.0488692293972446",1,NA,NA
"ASH1L","ASH1L",2,0.200513649472503,7,"0.194888101320588",1,NA,NA
"INSR","INSR",2,0.210005857385804,7,"0.00016906675402512",1,NA,NA
"FRY","FRY",2,0.217193559856724,7,"0.136686611884828",1,NA,NA
"SI","SI",2,0.227274127784244,7,"0.63304862518295",1,NA,NA
"NRAS","NRAS",2,0.229907671209665,7,"0.615829640138372",1,NA,NA
"TTN","TTN",5,0.248799647168141,4,"0.0204298967262855",1,NA,NA
"MYO7A","MYO7A",2,0.250764391870563,7,"0.707894552206062",1,NA,NA
"PDE3B","PDE3B",2,0.274333765101043,7,"0.618896271774758",1,NA,NA
"MADD","MADD",2,0.28133593252566,7,"0.0803995057994568",1,NA,NA
"ATR","ATR",2,0.30662811176496,7,"0.113736912676242",1,NA,NA
"ZFHX2","ZFHX2",2,0.325941492415139,7,"0.416564865696186",1,NA,NA
"CFHR3","CFHR3",2,0.344385354055788,7,"0.709313297592977",1,NA,NA
"ABCA13","ABCA13",3,0.359887752841681,6,"0.115996800322883",1,NA,NA
"ATP9A","ATP9A",2,0.381994342636653,7,"0.626048485449993",1,NA,NA
"RASAL1","RASAL1",2,0.405233732725581,7,"0.206674911919998",1,NA,NA
"WDR87","WDR87",2,0.422885291855827,7,"0.161364808778961",1,NA,NA
"TET2","TET2",2,0.449633535909658,7,"0.318467800200694",1,NA,NA
"KIAA2018","KIAA2018",2,0.464602651880944,7,"0.00526910119806823",1,NA,NA
"ALPK3","ALPK3",2,0.496569217014361,7,"0.175492310787136",1,NA,NA
"CHD1","CHD1",2,0.504495728866794,7,"0.378640633942348",1,NA,NA
"TP53","TP53",4,0.515321070345517,5,"0.997580231172962",1,NA,NA
"ANKRD11","ANKRD11",2,0.526223886975771,7,"0.181945954730974",1,NA,NA
"BIRC6","BIRC6",3,0.554230055230411,6,"0.999794728216728",1,NA,NA
"MYO7B","MYO7B",2,0.597648774155385,7,"0.222145272752064",1,NA,NA
"ARHGAP23","ARHGAP23",2,0.614727756043122,7,"0.54777678598889",1,NA,NA
"CENPE","CENPE",2,0.632877458022699,7,"0.566671191804216",1,NA,NA
"PLXNA2","PLXNA2",3,0.633772646740096,6,"0.0172832835008177",1,NA,NA
"MYO3B","MYO3B",2,0.654790188921239,7,"0.848181246573794",1,NA,NA
"MAP3K13","MAP3K13",2,0.671525493289814,7,"0.81178278071639",1,NA,NA
"GPR98","GPR98",2,0.685789966664196,7,"0.0206626674637106",1,NA,NA
"NAT10","NAT10",2,0.687845004050027,7,"0.491531670806357",1,NA,NA
"SIPA1L1","SIPA1L1",3,0.728578599898499,6,"0.680883422786702",1,NA,NA
"MSX2","MSX2",2,0.748694468072411,7,"0.384694631039032",1,NA,NA
"SPEG","SPEG",2,0.757920818562439,7,"0.995535168329036",1,NA,NA
"USP20","USP20",2,0.768328205200431,7,"0.153116114325216",1,NA,NA
