"","#wt","#mut","pvalue","p_adj"
"C7",8,1,0.00296857051124647,0.958713648822674
"TTC27",8,1,0.00749174064745814,0.958713648822674
"RCC1",8,1,0.0121629021504789,0.958713648822674
"APRT",8,1,0.0151097439024407,0.958713648822674
"SERPINE1",8,1,0.0211869055993247,0.958713648822674
"OPA1",8,1,0.0222056580843382,0.958713648822674
"RASAL3",8,1,0.0243799625910246,0.958713648822674
"COL21A1",8,1,0.0246470315686007,0.958713648822674
"CDC23",8,1,0.026299585724305,0.958713648822674
"UBE2Q2",8,1,0.0308647910387428,0.958713648822674
"SLC2A2",8,1,0.0326342039134104,0.958713648822674
"TP63",8,1,0.0337854873377071,0.958713648822674
"CYP7A1",8,1,0.0355687832939642,0.958713648822674
"TP53",5,4,0.0404219764340479,0.958713648822674
"BIRC6",6,3,0.0411547423219341,0.958713648822674
"NCOA7",8,1,0.0419751542812714,0.958713648822674
"SPRY2",8,1,0.0432963956477328,0.958713648822674
"SRD5A3",8,1,0.043855044787838,0.958713648822674
"CAMK2G",8,1,0.0452296296936439,0.958713648822674
"HK3",8,1,0.0460215118190628,0.958713648822674
"CD44",8,1,0.0473855370199835,0.958713648822674
"SATB1",8,1,0.0498439506062177,0.958713648822674
"C4A",8,1,0.0499434648626308,0.958713648822674
"SORD",8,1,0.0517289127163219,0.958713648822674
"SIK3",8,1,0.0521166077021671,0.958713648822674
"KLHL35",8,1,0.0531955215548001,0.958713648822674
"PCDH9",8,1,0.0541960107258623,0.958713648822674
"NCKIPSD",8,1,0.0575633076305035,0.958713648822674
"CYP4Z1",8,1,0.0597968061228292,0.958713648822674
"TNF",8,1,0.0621396087557687,0.958713648822674
"IVL",8,1,0.0627373167110847,0.958713648822674
"OTUB1",8,1,0.0630687329116435,0.958713648822674
"DMXL1",8,1,0.0655900248034781,0.958713648822674
"ARID4A",7,2,0.0664359491208491,0.958713648822674
"OPN4",8,1,0.0679838896025016,0.958713648822674
"MAGEA1",8,1,0.0682708659911451,0.958713648822674
"ARHGEF3",8,1,0.0706046535192541,0.958713648822674
"GRIK4",8,1,0.0713068479852293,0.958713648822674
"TNIK",8,1,0.0719502360177831,0.958713648822674
"PLAG1",8,1,0.0736195032493742,0.958713648822674
"PPARGC1B",8,1,0.0737457731500086,0.958713648822674
"SLC4A4",8,1,0.0800914984073536,0.958713648822674
"GATM",8,1,0.0832837676688418,0.958713648822674
"IRAK4",8,1,0.0838489945940109,0.958713648822674
"SMAD4",8,1,0.0885399350405686,0.958713648822674
"HEATR2",7,2,0.0913680588372024,0.958713648822674
"INA",8,1,0.0922218266790956,0.958713648822674
"COL8A2",7,2,0.094186358106813,0.958713648822674
"RTN4R",8,1,0.0945686954906934,0.958713648822674
"RASGEF1A",8,1,0.0946264811856295,0.958713648822674
"TSPAN8",8,1,0.0949105339504699,0.958713648822674
"PXDN",8,1,0.095989291935972,0.958713648822674
"KDM3B",8,1,0.0971788079247473,0.958713648822674
"CCNK",8,1,0.0979526524329844,0.958713648822674
"CLEC12A",8,1,0.0987255825687069,0.958713648822674
"VGLL1",8,1,0.100120421029596,0.958713648822674
"TG",8,1,0.100883775089307,0.958713648822674
"MAGED4B",8,1,0.101762157331578,0.958713648822674
"ZBTB6",8,1,0.103513152661635,0.958713648822674
"ITGB5",8,1,0.104295218445472,0.958713648822674
"EGLN2",8,1,0.104470218513451,0.958713648822674
"GNA14",8,1,0.110830021479604,0.958713648822674
"SH3TC2",8,1,0.111645575758238,0.958713648822674
"DCAF12L1",8,1,0.111989623324231,0.958713648822674
"S1PR3",8,1,0.114890222341993,0.958713648822674
"PPP2CA",8,1,0.117917772206584,0.958713648822674
"POU2F1",8,1,0.119377948128335,0.958713648822674
"TTF2",8,1,0.122431325076548,0.958713648822674
"OR1C1",8,1,0.123389095600272,0.958713648822674
"PRDM6",8,1,0.124448052063126,0.958713648822674
"ABCA3",8,1,0.126403784883377,0.958713648822674
"KCNT1",8,1,0.127676014915394,0.958713648822674
"LINGO1",8,1,0.128518191338916,0.958713648822674
"TTC28",8,1,0.129943558349666,0.958713648822674
"PRDM14",8,1,0.130974983733897,0.958713648822674
"HERC6",8,1,0.131905426265866,0.958713648822674
"CR1L",8,1,0.133477470043931,0.958713648822674
"ATP8B3",8,1,0.133584969400533,0.958713648822674
"CYP4B1",8,1,0.134595671344942,0.958713648822674
"TFEC",8,1,0.134791677601629,0.958713648822674
"GEMIN4",8,1,0.135252046201455,0.958713648822674
"KIF4B",8,1,0.135944618154924,0.958713648822674
"HOXD9",8,1,0.136284999535612,0.958713648822674
"COL6A6",8,1,0.137672934859018,0.958713648822674
"AGAP9",8,1,0.139880342819653,0.958713648822674
"NCOA1",8,1,0.139956647740338,0.958713648822674
"ACOXL",8,1,0.140616821793637,0.958713648822674
"EXT1",8,1,0.142272984028899,0.958713648822674
"VSIG8",8,1,0.142743565141081,0.958713648822674
"CDC42BPA",8,1,0.143921081829111,0.958713648822674
"TMPRSS2",8,1,0.144913256628367,0.958713648822674
"NEDD4",8,1,0.146124217669341,0.958713648822674
