"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"TP53I3","TP53I3",-1,-1,7,"8.87367956892149e-12",5.20530043512935e-08,NA,NA
"COPS8","COPS8",-1,-1,9,"1.33666910873131e-09",7.83956432270913e-06,NA,NA
"BTF3","BTF3",-1,-1,9,"2.4118446129151e-09",1.41430568101341e-05,NA,NA
"SNRPB2","SNRPB2",-1,-1,9,"1.04000528189374e-08",6.097550967743e-05,NA,NA
"CDC40","CDC40",-1,-1,9,"1.50220701433668e-08",8.80593751804162e-05,NA,NA
"MAP1B","MAP1B",-1,-1,8,"1.82623117739311e-08",0.00010703540930701,NA,NA
"TMEM44","TMEM44",-1,-1,9,"1.96647158556829e-08",0.000115235234914302,NA,NA
"ATP6V1B2","ATP6V1B2",-1,-1,8,"2.26448484408337e-08",0.000132676167014845,NA,NA
"SP3","SP3",-1,-1,9,"4.1131945738293e-08",0.00024095093813492,NA,NA
"WWTR1","WWTR1",-1,-1,9,"1.06300748203836e-07",0.000622603482229867,NA,NA
"CAPZA2","CAPZA2",-1,-1,9,"1.79809334754921e-07",0.00105296346432482,NA,NA
"UBA3","UBA3",-1,-1,8,"2.26278557780013e-07",0.00132486095580198,NA,NA
"MASP1","MASP1",-1,-1,9,"2.40915258520324e-07",0.00141031792337798,NA,NA
"NT5E","NT5E",-1,-1,9,"3.09927210673244e-07",0.0018140039640705,NA,NA
"SART3","SART3",-1,-1,9,"5.24504710996965e-07",0.00306940156875424,NA,NA
"F11R","F11R",-1,-1,7,"5.62009280336007e-07",0.00328831629924598,NA,NA
"MKI67IP","MKI67IP",-1,-1,8,"1.09606259524053e-06",0.0064119661821571,NA,NA
"WDR70","WDR70",-1,-1,8,"1.20075870124747e-06",0.00702323764359645,NA,NA
"WASL","WASL",-1,-1,9,"1.26548948475858e-06",0.00740058250686818,NA,NA
"NNMT","NNMT",-1,-1,8,"1.28579966340858e-06",0.00751807063194997,NA,NA
"PAK1IP1","PAK1IP1",-1,-1,9,"1.45753846825247e-06",0.00852076988540394,NA,NA
"PRPF4","PRPF4",-1,-1,8,"1.65022542630844e-06",0.00964556761677283,NA,NA
"ALX1","ALX1",-1,-1,9,"2.2434764995749e-06",0.0131108766635157,NA,NA
"NUP43","NUP43",-1,-1,9,"2.37308640893552e-06",0.0138659438874102,NA,NA
"RBFOX3","RBFOX3",-1,-1,8,"2.86128134063812e-06",0.0167156055920079,NA,NA
"UBE2I","UBE2I",-1,-1,9,"3.2549004209681e-06",0.0190118733588747,NA,NA
"DARS","DARS",-1,-1,8,"3.39690387163305e-06",0.019837918610337,NA,NA
"MED19","MED19",-1,-1,9,"3.55285660602611e-06",0.0207451297225865,NA,NA
"SNAI2","SNAI2",-1,-1,9,"3.94116305824088e-06",0.0230085099340103,NA,NA
"C7","C7",-1,-1,8,"4.08204317203786e-06",0.023826885995185,NA,NA
"CASP8AP2","CASP8AP2",-1,-1,9,"4.08241086591321e-06",0.023826885995185,NA,NA
"ATP1A1","ATP1A1",-1,-1,9,"4.19128140127789e-06",0.0244561269764565,NA,NA
"DDX50","DDX50",-1,-1,9,"5.66611286390017e-06",0.0330561024479936,NA,NA
"FIGLA","FIGLA",-1,-1,9,"6.18851267275566e-06",0.0360975944201838,NA,NA
"ATRIP","ATRIP",-1,-1,8,"6.79421572735706e-06",0.0396238661219464,NA,NA
"PPP2CA","PPP2CA",-1,-1,8,"7.10608519038924e-06",0.0414355827451597,NA,NA
"FTSJ3","FTSJ3",-1,-1,8,"7.29595657567028e-06",0.0425354268361577,NA,NA
"RNF20","RNF20",-1,-1,8,"7.39794467630173e-06",0.0431226195181628,NA,NA
"DAPK3","DAPK3",-1,-1,9,"7.4289442438813e-06",0.0432958870533402,NA,NA
"WDR3","WDR3",-1,-1,9,"7.77898684067857e-06",0.045328156320634,NA,NA
"LHX3","LHX3",-1,-1,8,"8.28360512983295e-06",0.0482602834864068,NA,NA
"RANBP2","RANBP2",-1,-1,8,"8.77903465079655e-06",0.0511378768408899,NA,NA
"NAA15","NAA15",-1,-1,8,"9.40628781753716e-06",0.0547822202493364,NA,NA
"KIF5A","KIF5A",-1,-1,9,"9.52779120633185e-06",0.0554803281944704,NA,NA
"NFE2L2","NFE2L2",-1,-1,9,"1.04310702739863e-05",0.0607296911351482,NA,NA
"GNL3","GNL3",-1,-1,8,"1.05268325771846e-05",0.0612766924317916,NA,NA
"CYP2J2","CYP2J2",-1,-1,9,"1.13274011758202e-05",0.0659254748432736,NA,NA
"GABARAPL2","GABARAPL2",-1,-1,9,"1.19289252545896e-05",0.0694144160564569,NA,NA
"CTSB","CTSB",-1,-1,9,"1.21890419287896e-05",0.0709158459416979,NA,NA
"CEACAM1","CEACAM1",-1,-1,9,"1.22475256391086e-05",0.0712438566426947,NA,NA
"RRAS","RRAS",-1,-1,8,"1.31500070048585e-05",0.076480440740257,NA,NA
"YME1L1","YME1L1",-1,-1,8,"1.3584979091652e-05",0.0789966534179564,NA,NA
"KLRG2","KLRG2",-1,-1,9,"1.44838158324667e-05",0.0842089052499614,NA,NA
"COPS3","COPS3",-1,-1,9,"1.5054825544869e-05",0.0875137008923235,NA,NA
"TTL","TTL",-1,-1,9,"1.6503868262463e-05",0.095920482341435,NA,NA
"RNF40","RNF40",-1,-1,9,"1.69386326490661e-05",0.0984303943237231,NA,NA
"ILF3","ILF3",-1,-1,8,"1.82922172504707e-05",0.106277782225235,NA,NA
"WDHD1","WDHD1",-1,-1,8,"1.85682870607051e-05",0.107863179535636,NA,NA
"UBE2G1","UBE2G1",-1,-1,9,"2.00044335955107e-05",0.116185750322726,NA,NA
"GMNN","GMNN",-1,-1,9,"2.1502410403329e-05",0.124864497212131,NA,NA
"ZFP36L2","ZFP36L2",-1,-1,7,"2.25868715291178e-05",0.131139376098058,NA,NA
"GLRB","GLRB",-1,-1,8,"2.36431245514979e-05",0.137248338021445,NA,NA
"CCNB1","CCNB1",-1,-1,9,"3.03131209674623e-05",0.175937354095151,NA,NA
"SKIV2L2","SKIV2L2",-1,-1,9,"3.03295193210262e-05",0.176002200619915,NA,NA
"KCNE3","KCNE3",-1,-1,9,"3.04774586379342e-05",0.176830215017294,NA,NA
"NRG2","NRG2",-1,-1,9,"3.08584436510273e-05",0.179009831619609,NA,NA
"PPP1CC","PPP1CC",-1,-1,9,"3.30570665086904e-05",0.191730985750404,NA,NA
"AK1","AK1",-1,-1,9,"3.38082252185901e-05",0.196053898042604,NA,NA
"FBXO5","FBXO5",-1,-1,9,"3.69863975863138e-05",0.214447133205447,NA,NA
"TFRC","TFRC",-1,-1,9,"4.03850004168094e-05",0.234111847416244,NA,NA
"RPS6KA4","RPS6KA4",-1,-1,9,"4.69022657146878e-05",0.27184553208233,NA,NA
"CDC25B","CDC25B",-1,-1,9,"5.45030990534157e-05",0.315845459014544,NA,NA
"MYC","MYC",-1,-1,8,"5.50805507725238e-05",0.319136711176003,NA,NA
"USP5","USP5",-1,-1,8,"5.9148066499648e-05",0.342644749232461,NA,NA
"MMS22L","MMS22L",-1,-1,9,"6.6859767909877e-05",0.387251775734008,NA,NA
"WDR74","WDR74",-1,-1,9,"7.04172104252221e-05",0.407786065572461,NA,NA
"GABRA2","GABRA2",-1,-1,9,"7.45783455983196e-05",0.431808621014271,NA,NA
"OTX1","OTX1",-1,-1,9,"7.52375308369357e-05",0.435550066015021,NA,NA
"GNL2","GNL2",-1,-1,9,"8.50661016633669e-05",0.492362596427568,NA,NA
"HNF4G","HNF4G",-1,-1,9,"8.64286455140029e-05",0.500162571589535,NA,NA
"NFYB","NFYB",-1,-1,9,"8.69707017807642e-05",0.503212480503502,NA,NA
"POLG","POLG",-1,-1,9,"8.83602670607164e-05",0.511164144946244,NA,NA
"ABCF1","ABCF1",-1,-1,9,"9.43421552929147e-05",0.545675026214219,NA,NA
"TNFRSF13C","TNFRSF13C",-1,-1,8,"9.65668308827716e-05",0.558445982995068,NA,NA
"SUFU","SUFU",-1,-1,9,"9.67510167692032e-05",0.559414378959533,NA,NA
"CDK1","CDK1",-1,-1,9,"0.000101205706200869",0.585070187547224,NA,NA
"SREBF2","SREBF2",-1,-1,8,"0.000102282752099225",0.591194307133521,NA,NA
"NAE1","NAE1",-1,-1,9,"0.000102359503242444",0.591535569238084,NA,NA
"DDX56","DDX56",-1,-1,8,"0.000102929754791758",0.594728123186778,NA,NA
"USP10","USP10",-1,-1,8,"0.000111440569240506",0.643792168502403,NA,NA
"ADSL","ADSL",-1,-1,8,"0.000113073748101655",0.653113969035159,NA,NA
"ACTG1","ACTG1",-1,-1,8,"0.000126846174530848",0.732536657915647,NA,NA
"LRFN2","LRFN2",-1,-1,9,"0.000126850472611628",0.732536657915647,NA,NA
"CEL","CEL",-1,-1,9,"0.000132450954724694",0.764639361625658,NA,NA
"ALG8","ALG8",-1,-1,9,"0.000139600066202616",0.8057715821215,NA,NA
"DDX47","DDX47",-1,-1,8,"0.000140069832151646",0.808343001347149,NA,NA
"RDH12","RDH12",-1,-1,9,"0.000141070253019016",0.813975359919722,NA,NA
"ITGA3","ITGA3",-1,-1,8,"0.000142064295823752",0.819568922607225,NA,NA
"ARID4B","ARID4B",-1,-1,5,"0.000142511927929134",0.822008800295245,NA,NA
"PROM1","PROM1",-1,-1,9,"0.000147957818796507",0.853272740999456,NA,NA
