"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"MLNR","MLNR",-1,-1,9,"6.92212425643484e-12",4.53122253826225e-08,NA,NA
"KCTD20","KCTD20",-1,-1,9,"2.7676816002132e-10",1.81144760733954e-06,NA,NA
"GCM1","GCM1",-1,-1,9,"2.85231011809913e-09",1.86655174128407e-05,NA,NA
"ANGPTL4","ANGPTL4",-1,-1,9,"8.74761655141019e-09",5.72356550958769e-05,NA,NA
"INPP5F","INPP5F",-1,-1,8,"2.26032260710849e-08",0.000147870304957037,NA,NA
"FIGNL2","FIGNL2",-1,-1,9,"1.39018939940974e-07",0.000909322886153911,NA,NA
"UTY","UTY",-1,-1,9,"2.00278497239897e-07",0.00130982137194893,NA,NA
"ATF1","ATF1",-1,-1,9,"3.16667581093613e-07",0.00207068931277114,NA,NA
"SULT1A2","SULT1A2",-1,-1,9,"3.85009507610953e-07",0.00251719216076041,NA,NA
"SULT1A1","SULT1A1",-1,-1,9,"3.85009507610953e-07",0.00251719216076041,NA,NA
"ABTB2","ABTB2",-1,-1,9,"4.93796737996336e-07",0.00322745547954405,NA,NA
"MIB1","MIB1",-1,-1,9,"5.94799203740227e-07",0.00388701279644238,NA,NA
"RASGRP4","RASGRP4",-1,-1,9,"8.06507272183116e-07",0.00526971851644448,NA,NA
"STK39","STK39",-1,-1,9,"1.42310915164787e-06",0.00929717208771553,NA,NA
"HSD11B1L","HSD11B1L",-1,-1,9,"2.60966122921041e-06",0.0170463071492024,NA,NA
"HMG20B","HMG20B",-1,-1,9,"3.2604835902512e-06",0.0212942183279306,NA,NA
"KIT","KIT",-1,-1,9,"3.74261131495858e-06",0.0244392518866795,NA,NA
"SMARCE1","SMARCE1",-1,-1,9,"3.78509320354954e-06",0.0247128735259749,NA,NA
"TIAM1","TIAM1",-1,-1,9,"6.85807079241659e-06",0.0447694861328955,NA,NA
"ATP13A1","ATP13A1",-1,-1,9,"7.13555610685155e-06",0.0465737747094201,NA,NA
"PLD1","PLD1",-1,-1,9,"8.08293651896471e-06",0.0527492437227637,NA,NA
"ANKRD30B","ANKRD30B",-1,-1,9,"1.00111488401779e-05",0.0653227461821608,NA,NA
"TEX28","TEX28",-1,-1,9,"1.04734964324561e-05",0.0683290907253436,NA,NA
"LOC101060234","LOC101060234",-1,-1,9,"1.04734964324561e-05",0.0683290907253436,NA,NA
"DIRAS1","DIRAS1",-1,-1,9,"1.04859155818703e-05",0.0683891414249581,NA,NA
"APEX2","APEX2",-1,-1,8,"1.08544124954771e-05",0.0707816238830062,NA,NA
"DOCK11","DOCK11",-1,-1,9,"1.16860626336751e-05",0.0761931283715617,NA,NA
"GRIN1","GRIN1",-1,-1,9,"1.20888842541151e-05",0.0788074364525763,NA,NA
"IMPDH1","IMPDH1",-1,-1,9,"1.21100515069633e-05",0.0789333157223868,NA,NA
"TET3","TET3",-1,-1,7,"1.26531217374015e-05",0.0824603943626456,NA,NA
"PPP2R2A","PPP2R2A",-1,-1,9,"1.60073273354476e-05",0.104303744917777,NA,NA
"FGD4","FGD4",-1,-1,9,"1.69067507784021e-05",0.11014748132129,NA,NA
"LAMP3","LAMP3",-1,-1,9,"1.87787872707701e-05",0.122325020281796,NA,NA
"DGKH","DGKH",-1,-1,9,"1.90200124174753e-05",0.123877340875017,NA,NA
"ESPNL","ESPNL",-1,-1,8,"1.93381770170367e-05",0.125930208734943,NA,NA
"RNFT1","RNFT1",-1,-1,8,"2.0258727095446e-05",0.131904572118449,NA,NA
"ARL13A","ARL13A",-1,-1,9,"2.13765751554505e-05",0.139161504261983,NA,NA
"GPR50","GPR50",-1,-1,9,"2.2258242203913e-05",0.14487889850527,NA,NA
"MLLT10","MLLT10",-1,-1,7,"2.58589417762873e-05",0.168289993080078,NA,NA
"GLI1","GLI1",-1,-1,9,"2.73006532828801e-05",0.177645350911701,NA,NA
"TNS1","TNS1",-1,-1,8,"3.17395441468337e-05",0.2064974742193,NA,NA
"ARID3A","ARID3A",-1,-1,9,"3.35428153706194e-05",0.218196013985879,NA,NA
"PTPRZ1","PTPRZ1",-1,-1,9,"3.47672277043941e-05",0.226126048989379,NA,NA
"RELB","RELB",-1,-1,9,"3.51112840420184e-05",0.228328680125246,NA,NA
"SLC22A17","SLC22A17",-1,-1,9,"3.714419552994e-05",0.24151155933567,NA,NA
"SRPX","SRPX",-1,-1,9,"3.98065931400248e-05",0.258782662003301,NA,NA
