"","#wt","#mut","pvalue","p_adj"
"MLNR",9,0,6.92212425643484e-12,4.53122253826225e-08
"KCTD20",9,0,2.7676816002132e-10,9.0586218774978e-07
"GCM1",9,0,2.85231011809913e-09,6.2237406776923e-06
"ANGPTL4",9,0,8.74761655141019e-09,1.43154744863828e-05
"INPP5F",8,1,2.26032260710849e-08,2.95921435722644e-05
"FIGNL2",9,0,1.39018939940974e-07,0.000151669663475603
"UTY",9,0,2.00278497239897e-07,0.000187289006133195
"ATF1",9,0,3.16667581093613e-07,0.00025202722368213
"SULT1A2",9,0,3.85009507610953e-07,0.00025202722368213
"SULT1A1",9,0,3.85009507610953e-07,0.00025202722368213
"ABTB2",9,0,4.93796737996336e-07,0.000293853949720365
"MIB1",9,0,5.94799203740227e-07,0.000324462965640294
"RASGRP4",9,0,8.06507272183116e-07,0.000406107431054667
"STK39",9,0,1.42310915164787e-06,0.000665405179049068
"HSD11B1L",9,0,2.60966122921041e-06,0.00113885616042742
"HMG20B",9,0,3.2604835902512e-06,0.00133394534886152
"KIT",9,0,3.74261131495858e-06,0.00137651222835752
"SMARCE1",9,0,3.78509320354954e-06,0.00137651222835752
"TIAM1",9,0,6.85807079241659e-06,0.00233546751377251
"ATP13A1",9,0,7.13555610685155e-06,0.00233546751377251
"PLD1",9,0,8.08293651896471e-06,0.002519566783483
"ANKRD30B",9,0,1.00111488401779e-05,0.0027328070844382
"TEX28",9,0,1.04734964324561e-05,0.0027328070844382
"LOC101060234",9,0,1.04734964324561e-05,0.0027328070844382
"DIRAS1",9,0,1.04859155818703e-05,0.0027328070844382
"APEX2",8,1,1.08544124954771e-05,0.0027328070844382
"DOCK11",9,0,1.16860626336751e-05,0.00273353093670972
"GRIN1",9,0,1.20888842541151e-05,0.00273353093670972
"IMPDH1",9,0,1.21100515069633e-05,0.00273353093670972
"TET3",7,2,1.26531217374015e-05,0.00276091116310101
"PPP2R2A",9,0,1.60073273354476e-05,0.00338012789476903
"FGD4",9,0,1.69067507784021e-05,0.00345848720610688
"LAMP3",9,0,1.87787872707701e-05,0.00361679162152921
"DGKH",9,0,1.90200124174753e-05,0.00361679162152921
"ESPNL",8,1,1.93381770170367e-05,0.00361679162152921
"RNFT1",8,1,2.0258727095446e-05,0.00368371187685526
"ARL13A",9,0,2.13765751554505e-05,0.00378192056669132
"GPR50",9,0,2.2258242203913e-05,0.00383427509123196
"MLLT10",7,2,2.58589417762873e-05,0.00434032391968145
"GLI1",9,0,2.73006532828801e-05,0.00446775190974333
"TNS1",8,1,3.17395441468337e-05,0.00506748917037008
"ARID3A",9,0,3.35428153706194e-05,0.00522360148497846
"PTPRZ1",9,0,3.47672277043941e-05,0.00522360148497846
"RELB",9,0,3.51112840420184e-05,0.00522360148497846
"SLC22A17",9,0,3.714419552994e-05,0.00540324230975527
"SRPX",9,0,3.98065931400248e-05,0.00566465127596962
"TGFB2",6,3,4.28824359568294e-05,0.0059725196973065
"CDK6",9,0,4.89136724399678e-05,0.00649935739772076
"CHD3",9,0,4.89625299095967e-05,0.00649935739772076
"HIST1H1B",9,0,5.03733212238941e-05,0.00649935739772076
"FN1",9,0,5.10287470308375e-05,0.00649935739772076
"KIRREL",7,2,5.17271212946885e-05,0.00649935739772076
"YIF1B",9,0,5.26223559546594e-05,0.00649935739772076
"SLC16A5",8,1,5.45863928948286e-05,0.00661708384980644
"BAZ2A",9,0,5.72772768800677e-05,0.00681703735376224
"SMUG1",9,0,5.87547937877965e-05,0.00686801571669493
"ENO1",8,1,5.98090811370099e-05,0.00686860079162924
"KBTBD13",9,0,6.41963656015868e-05,0.0070542095075981
"TGFBR2",9,0,6.47268005228084e-05,0.0070542095075981
"KDM1B",8,1,6.5110447854079e-05,0.0070542095075981
"NAA11",9,0,6.57358356192307e-05,0.0070542095075981
"RBM34",5,4,7.13894135182754e-05,0.00730179845141611
"OR2T12",5,4,7.13894135182754e-05,0.00730179845141611
"OR2T33",5,4,7.13894135182754e-05,0.00730179845141611
"ARID5B",8,1,7.42673170626134e-05,0.0074792901152595
"ITGA5",9,0,7.57527866788585e-05,0.0075132991151486
"NDST4",7,2,7.95852990859292e-05,0.00777560250472377
"ALDOB",8,1,8.10088810069064e-05,0.00779829610398837
"PIGX",9,0,8.82917921330721e-05,0.00837620393192884
"IER3",9,0,9.83821730477717e-05,0.00920013863958162
"CAMK4",9,0,0.000100259889382963,0.00924367937888558
"EAF1",9,0,0.000106231067162241,0.00951323015664492
"GLI3",8,1,0.000106544180241868,0.00951323015664492
"CHRNA6",9,0,0.000108934978187666,0.00951323015664492
"NCOA3",9,0,0.000109233612392372,0.00951323015664492
"FANCE",9,0,0.000111040719470429,0.00951323015664492
"CDC42BPG",9,0,0.000111903257265759,0.00951323015664492
"GRM4",8,1,0.000118127472951644,0.00991362099924951
"STK35",9,0,0.000120861179968966,0.0100146491655298
"MLF1",9,0,0.000124394884244668,0.0100973092706445
"SPHK1",8,1,0.000124943790241705,0.0100973092706445
"KPNA6",9,0,0.000130624553844356,0.0104276625544531
