"","#wt","#mut","pvalue","p_adj"
"TP53I3",7,2,9.63451540769711e-12,6.30675378587853e-08
"COPS8",9,0,1.59905155783235e-09,5.23369574878528e-06
"BTF3",9,0,2.72480027430078e-09,5.9455141985243e-06
"SNRPB2",9,0,1.15690541591107e-08,1.75279760545877e-05
"DDX19B",9,0,1.48043945991105e-08,1.75279760545877e-05
"CDC40",9,0,1.74696156429732e-08,1.75279760545877e-05
"MAP1B",8,1,1.93789732039207e-08,1.75279760545877e-05
"TMEM44",9,0,2.14212967364347e-08,1.75279760545877e-05
"ATP6V1B2",8,1,2.58745030956575e-08,1.88193885849082e-05
"SP3",9,0,4.57272674170284e-08,2.38339050807771e-05
"RGPD5",8,1,5.09738269371951e-08,2.38339050807771e-05
"RGPD1",8,1,5.09738269371951e-08,2.38339050807771e-05
"RGPD6",8,1,5.09738269371951e-08,2.38339050807771e-05
"RGPD2",8,1,5.09738269371951e-08,2.38339050807771e-05
"WWTR1",9,0,1.23232891668934e-07,5.37788339243228e-05
"GNL3L",9,0,1.82592699404793e-07,7.47032381439859e-05
"CAPZA2",9,0,2.00647371939588e-07,7.72610409833261e-05
"MASP1",9,0,2.60490523706913e-07,9.05629178650517e-05
"UBA3",8,1,2.62862120292695e-07,9.05629178650517e-05
"NT5E",9,0,3.42469305247839e-07,0.000112090203607618
"SART3",9,0,5.72868307791019e-07,0.000178571235371429
"F11R",7,2,6.24797129034071e-07,0.000185905545757138
"MKI67IP",8,1,1.19864746161991e-06,0.000341145490598432
"WDR70",8,1,1.34849972943663e-06,0.000353796698806512
"WASL",9,0,1.38052635179076e-06,0.000353796698806512
"NNMT",8,1,1.40524200564762e-06,0.000353796698806512
"PAK1IP1",9,0,1.65283645336967e-06,0.000400721015694736
"PRPF4",8,1,1.77200167761349e-06,0.000409958453889332
"RGPD3",6,3,1.81619235606334e-06,0.000409958453889332
"NUP43",9,0,2.52605965578301e-06,0.000543861383639044
"ALX1",9,0,2.5755733108479e-06,0.000543861383639044
"GPR89B",6,3,2.82558909581176e-06,0.000544009006505405
"GPR89A",6,3,2.82558909581176e-06,0.000544009006505405
"GPR89C",6,3,2.82558909581176e-06,0.000544009006505405
"RGPD8",6,3,2.94023742763994e-06,0.000549908405752316
"RBFOX3",8,1,3.06876866740247e-06,0.000558004436022682
"METTL2B",9,0,3.45228268927578e-06,0.000605146736160873
"UBE2I",9,0,3.51292025269068e-06,0.000605146736160873
"DARS",8,1,3.66697325404619e-06,0.000615487356948368
"MED19",9,0,3.93847666368963e-06,0.000644531706012808
"C7",8,1,4.45847437213764e-06,0.000693446641715611
"CASP8AP2",9,0,4.49923003598141e-06,0.000693446641715611
"SNAI2",9,0,4.55517958963814e-06,0.000693446641715611
"ATP1A1",9,0,4.82557734826639e-06,0.000717914302767086
"MAGEA3",9,0,5.11671284630921e-06,0.000728130484607393
"MAGEA6",9,0,5.11671284630921e-06,0.000728130484607393
"RGPD4",5,4,5.63041182399804e-06,0.000784184591487046
"DDX50",9,0,6.14764367801168e-06,0.000838384906588843
"FIGLA",9,0,6.64386107263049e-06,0.000887565603702841
"ATRIP",8,1,7.20848883728475e-06,0.000943735358577319
"PPP2CA",8,1,7.61928002945833e-06,0.000953470081451807
"FTSJ3",8,1,7.64088734173107e-06,0.000953470081451807
"DAPK3",9,0,7.75383496320892e-06,0.000953470081451807
"RNF20",8,1,7.86547271591775e-06,0.000953470081451807
"WDR3",9,0,8.61552544417776e-06,0.00102540417377432
"LHX3",8,1,8.94605785173308e-06,0.00104573026245437
"RBMX",9,0,9.56703331322917e-06,0.00108713088642204
"RANBP2",8,1,9.63238487816653e-06,0.00108713088642204
"KIF5A",9,0,1.01370523842848e-05,0.00111239118268392
"NAA15",8,1,1.01960695021441e-05,0.00111239118268392
"COPG1",9,0,1.10065092214784e-05,0.00117607557330548
"NFE2L2",9,0,1.12422290193814e-05,0.00117607557330548
"GNL3",8,1,1.13187841610518e-05,0.00117607557330548
"RBMXL1",9,0,1.16246371171247e-05,0.00118898241513591
"CYP2J2",9,0,1.25622419975269e-05,0.00126511440178171
"CTSB",9,0,1.30067893422403e-05,0.00127815286436137
"CEACAM1",9,0,1.30822245512086e-05,0.00127815286436137
"GABARAPL2",9,0,1.32955163517634e-05,0.00127988897115652
"RRAS",8,1,1.46591387079065e-05,0.00138250982386158
"YME1L1",8,1,1.47839425099772e-05,0.00138250982386158
"KLRG2",9,0,1.54637385120227e-05,0.00142436776441178
"COPS3",9,0,1.56667398468757e-05,0.00142436776441178
"RNF40",9,0,1.74462098446737e-05,0.00152298304379289
"MED27",9,0,1.74853215861859e-05,0.00152298304379289
"CRSP8P",9,0,1.74853215861859e-05,0.00152298304379289
"TTL",9,0,1.76820518374976e-05,0.00152298304379289
"WDHD1",8,1,1.99435329133468e-05,0.00169545930455543
"ILF3",8,1,2.02206750955503e-05,0.00169698127148041
"UBE2G1",9,0,2.0924520817811e-05,0.00173382168700495
"GMNN",9,0,2.34247217264505e-05,0.00191672785526681
"GLRB",8,1,2.47864661516717e-05,0.00199876924569869
"ZFP36L2",7,2,2.50380504349668e-05,0.00199876924569869
"SBDS",9,0,2.75342294852043e-05,0.00214570316916842
"SBDSP1",9,0,2.75342294852043e-05,0.00214570316916842
"CCNB1",9,0,3.22386688674792e-05,0.00245501371462476
"KCNE3",9,0,3.23737919253331e-05,0.00245501371462476
"SKIV2L2",9,0,3.26285049148112e-05,0.00245501371462476
"PPP1CC",9,0,3.45694095377214e-05,0.00257149266856732
"NRG2",9,0,3.54400196761473e-05,0.00260663335730405
"AK1",9,0,3.59568242256358e-05,0.00261525968201124
"NEDD8-MDP1",9,0,3.65556494579256e-05,0.00262959649836902
"FBXO5",9,0,3.96847586133786e-05,0.00282365684655626
"PABPN1",8,1,4.19953295601738e-05,0.0029559293258161
"TFRC",9,0,4.26588416740925e-05,0.00297068912338946
"RPS6KA4",9,0,5.10541062617165e-05,0.0035178966272547
"MYC",8,1,5.9319831832827e-05,0.00402194273052444
"CDC25B",9,0,6.01192669843487e-05,0.00402194273052444
"DDX39B",9,0,6.08268148979407e-05,0.00402194273052444
"ATP6V1G2-DDX39B",9,0,6.08268148979407e-05,0.00402194273052444
"USP5",8,1,6.22408476484981e-05,0.00407428588707069
"MMS22L",9,0,7.06205038761842e-05,0.00457704770666833
"WDR74",9,0,7.45371709716114e-05,0.00478353256058988
"OTX1",9,0,8.09458236306071e-05,0.00511418144480321
"GABRA2",9,0,8.12518897432835e-05,0.00511418144480321
"HNF4G",9,0,9.09674885481992e-05,0.00563338797733888
"GNL2",9,0,9.12219868007824e-05,0.00563338797733888
"NFYB",9,0,9.32808314277889e-05,0.00565648097408578
"POLG",9,0,9.33241590591605e-05,0.00565648097408578
"SUFU",9,0,0.000101327106745264,0.00603543478631881
"ABCF1",9,0,0.000101420382904838,0.00603543478631881
"CDK1",9,0,0.00010458949961778,0.00611701151733516
"TNFRSF13C",8,1,0.000104660142062563,0.00611701151733516
"DDX56",8,1,0.000109342602057083,0.00633412985013863
"NAE1",9,0,0.000113904517680896,0.00654051730472934
"SREBF2",8,1,0.000115016920020694,0.00654696311700402
"USP10",8,1,0.000119500070929424,0.00674351262331043
"ADSL",8,1,0.00012234840184866,0.00684523622650708
"NACA2",8,1,0.000132692197574391,0.00736104343493189
"ACTG1",8,1,0.000136755392349031,0.00752269578417443
"LRFN2",9,0,0.000139401750087309,0.00760436546726271
"CEL",9,0,0.000142588728913595,0.00771393239230077
"DDX47",8,1,0.000145423041798431,0.00780278058698794
"ARID4B",5,4,0.000147573566673054,0.00785379323123424
"RDH12",9,0,0.00015054221290578,0.00794717198130029
"LAMP2",9,0,0.000152674807251119,0.00797722540925958
"ALG8",9,0,0.000153548793395464,0.00797722540925958
"PRKX",9,0,0.000156129002189198,0.00799330546450874
"ITGA3",8,1,0.000156379604377199,0.00799330546450874
"TEAD1",8,1,0.000157521601729549,0.00799330546450874
"PROM1",9,0,0.000160141323976237,0.00806373159037267
"ZBTB2",9,0,0.000172134556591375,0.00853842847399421
"DDX27",9,0,0.000172732123619457,0.00853842847399421
"INTS4",9,0,0.00017348166621467,0.00853842847399421
"UBL5",9,0,0.000176966805604861,0.00864496051857776
"TMEM65",8,1,0.000181945921702842,0.00879395318584424
"ACOT11",9,0,0.000182703579785337,0.00879395318584424
"CLNS1A",9,0,0.000186032334652975,0.00888881505575456
"MAGEC3",9,0,0.000188442791056009,0.00893874282791764
"ENG",9,0,0.000194009173920984,0.00909120954263032
"RBMX2",8,1,0.000194434667883936,0.00909120954263032
"ECI2",9,0,0.000196678661519734,0.00913091147736297
"BIRC6",6,3,0.000205271783271899,0.00946274009364684
"CLCA2",9,0,0.00020900958067771,0.00955127449329079
"TLN1",8,1,0.000210110529641594,0.00955127449329079
"VPRBP",8,1,0.00022888458553505,0.0103097377443216
"WDR26",6,3,0.000229969395250995,0.0103097377443216
"PPP1CB",8,1,0.000232939478316596,0.0103097377443216
"ARHGAP19-SLIT1",9,0,0.000233095201063183,0.0103097377443216
"NRG1",9,0,0.000238316094708035,0.0104699137983812
"RPP38",8,1,0.000244584257630187,0.0106736570029814
"RAB24",8,1,0.000248311870871043,0.0107246108122079
"DDX6",7,2,0.000249028543149343,0.0107246108122079
"CSNK1G3",9,0,0.000256828310974067,0.0108979196088586
"DDX4",9,0,0.000257573229501373,0.0108979196088586
"WDR36",9,0,0.000258854679114351,0.0108979196088586
"PPP2R5B",9,0,0.00025971210800213,0.0108979196088586
"TMED10",9,0,0.000263819289909151,0.0109997520493331
"LONP1",9,0,0.000268425535351002,0.0111209718633396
"TBL3",9,0,0.000270310090787929,0.0111286154358351
"DLX1",9,0,0.000272990553564889,0.0111287206261204
"DDX24",8,1,0.000273712804889303,0.0111287206261204
"PRR5",9,0,0.00028025369216822,0.0113243251168714
"HNRNPD",8,1,0.000285954934247101,0.0114059954741526
"BHLHA15",9,0,0.000286397239937397,0.0114059954741526
"CABP5",8,1,0.000287502177396148,0.0114059954741526
"PPP1R12A",8,1,0.000296010862274709,0.0116728138822304
"HCRTR1",9,0,0.000303817694011665,0.0117463310254732
"RRN3",9,0,0.000305052898614488,0.0117463310254732
"RRN3P2",9,0,0.000305052898614488,0.0117463310254732
"RRN3P1",9,0,0.000305052898614488,0.0117463310254732
"STOML3",9,0,0.00030903542483296,0.0117851529932928
"PELP1",9,0,0.00030966182628267,0.0117851529932928
"UPF2",9,0,0.000317138532057504,0.0119999354384302
"ARL5C",9,0,0.000333240279031144,0.0125367291180337
"MAPKAP1",9,0,0.000335656191208566,0.0125443445198656
"ATP6V1A",9,0,0.000337275379696966,0.0125443445198656
"CDC20",9,0,0.000345337139610935,0.0127697692247195
"MEP1A",8,1,0.000347237843263071,0.0127697692247195
"QPRT",9,0,0.000355405385656704,0.012950682564306
"PSMC4",9,0,0.000356114094343885,0.012950682564306
"IRF8",8,1,0.000360720681175319,0.0130457324805173
"LRRC59",8,1,0.000364996894105074,0.0131278553231418
"UTP18",7,2,0.000375808994668714,0.0134428725633956
"ITGAV",9,0,0.00040399125560886,0.0143724280392152
"TTK",9,0,0.000406694895173754,0.0143904042367967
"LPL",9,0,0.000410538964681462,0.0144483229183056
"MED30",8,1,0.000413438478067851,0.014472557633327
"DLX5",9,0,0.000417343247944291,0.0145235268946635
"VPS28",8,1,0.000419331894758845,0.0145235268946635
"AIFM1",9,0,0.000432764893968485,0.0149098894521984
"LRCH3",9,0,0.000438697557724743,0.0150351529469433
"FKBP14",8,1,0.000449530045314117,0.0153261649824282
"GPR64",9,0,0.000452527921103618,0.0153484340494522
"COX6C",9,0,0.000463688358836145,0.0155442925247738
"PI4KAP2",8,1,0.000465426418401416,0.0155442925247738
"PI4KAP1",8,1,0.000465426418401416,0.0155442925247738
"GPR37",6,3,0.000468814436600407,0.0155779659999303
"NVL",6,3,0.000484474993386996,0.0160170369025822
"C10orf2",8,1,0.00049869604998054,0.0164043434330282
"GLTSCR2",8,1,0.000517172673549893,0.016895197921284
"MGP",9,0,0.00051943689255507,0.016895197921284
"DHX36",9,0,0.000522015086459326,0.016895197921284
"PTPRD",8,1,0.000525209629405832,0.016895197921284
"SEMA3B",8,1,0.000526523124952938,0.016895197921284
"GABRA6",9,0,0.000536702991628779,0.0171378428448877
"APTX",9,0,0.000541200237945683,0.0171975570756915
"SLC2A4RG",7,2,0.000560744188537465,0.0177325191215761
"SNRPF",9,0,0.000565252708648156,0.0177891549558213
"GPR82",9,0,0.000578606363955791,0.0180249020485032
"SMN1",9,0,0.000581004328175094,0.0180249020485032
"SMN2",9,0,0.000581004328175094,0.0180249020485032
"SERPINB5",8,1,0.000585782203190721,0.0180683010706378
"ATG2B",8,1,0.000589641199358337,0.0180683010706378
"RHEB",9,0,0.00059068384190597,0.0180683010706378
"IL18RAP",8,1,0.000607778558724514,0.0184222378037569
"PNPT1",9,0,0.000608646870908225,0.0184222378037569
"PA2G4",9,0,0.000610697464621945,0.0184222378037569
"MICB",9,0,0.000642193754639475,0.0192834876966514
"C1QBP",9,0,0.000662749367489779,0.0198098509570233
"PLEKHG4",9,0,0.000665943609077124,0.0198148493864493
"PPP6C",9,0,0.000704049258757444,0.0205660347044536
"ANKRD20A1",9,0,0.000706898534754363,0.0205660347044536
"ANKRD20A3",9,0,0.000706898534754363,0.0205660347044536
"ANKRD20A2",9,0,0.000706898534754363,0.0205660347044536
"ANKRD20A4",9,0,0.000706898534754363,0.0205660347044536
"AATF",9,0,0.000717870961863154,0.0207012480896749
"NUP54",9,0,0.000717870961863154,0.0207012480896749
"MAGEA12",9,0,0.000730326704114215,0.0208466085227796
"LOC101060230",9,0,0.000730326704114215,0.0208466085227796
"PPP3R1",9,0,0.000732465621790301,0.0208466085227796
"FIP1L1",9,0,0.000737836996045571,0.0209085756541745
"EGOT",9,0,0.000751964737645938,0.0212170740199582
"UBE2J1",9,0,0.000789470802061487,0.0219602978747545
"SSB",9,0,0.000791187897611567,0.0219602978747545
"ZFAND4",9,0,0.000792908268976933,0.0219602978747545
"LOC128322",9,0,0.000794631921425815,0.0219602978747545
"SLC39A4",8,1,0.000795079528920994,0.0219602978747545
"ARHGAP19",7,2,0.000808785030098846,0.0222449865841473
"CR2",6,3,0.000816698938884808,0.0222967100894954
"GRIK3",9,0,0.000819996895576436,0.0222967100894954
"DBF4",9,0,0.000820884071428107,0.0222967100894954
"EIF2AK3",7,2,0.000852189593037678,0.0230513763472093
"TTC39C",9,0,0.000884169518423294,0.0237663477383081
"CYP2C8",8,1,0.000885882806010874,0.0237663477383081
"FOXO4",9,0,0.000902329857173756,0.0241087805920792
"NCBP2",9,0,0.000927051632039544,0.0245946448215817
"MAGED4B",8,1,0.000934208254810276,0.0245946448215817
"VMP1",8,1,0.000937099557047905,0.0245946448215817
"LDHC",8,1,0.000938548119338245,0.0245946448215817
"CHN1",9,0,0.000939300520225395,0.0245946448215817
"DCLRE1C",7,2,0.000960063037627745,0.0250381380251443
"CHD6",8,1,0.00097652425918493,0.0253663801612085
"ACCSL",9,0,0.000988331814634424,0.0255716207849681
"IRF3",8,1,0.00100808979964007,0.0259801410568657
"ZDHHC19",9,0,0.00101296540226437,0.0260034177381277
"CABP2",9,0,0.00102944426227103,0.0263232114876022
"ARNTL2",9,0,0.00103414363978938,0.0263404835255303
"GGA1",9,0,0.00103922549051849,0.0263673258175738
"JPH2",8,1,0.00105890681470322,0.0267513276899459
"DGAT1",8,1,0.00106253363876962,0.0267513276899459
"LRRC7",9,0,0.0010855763818215,0.0272267547716611
"PDE4D",9,0,0.00112044743331152,0.0278214495156641
"POLA2",9,0,0.00112200243950444,0.0278214495156641
"KCNN2",9,0,0.00112589821205933,0.0278214495156641
"GPR31",9,0,0.00112628843899343,0.0278214495156641
"CLK1",9,0,0.00116430517666399,0.0286524123550469
"TTC1",9,0,0.00119807288365159,0.0293729778890761
"KIF3B",9,0,0.00121131845876388,0.0295869053398073
"PPP3CA",9,0,0.00124073991110396,0.0301655289566382
"NLE1",8,1,0.00124422450592765,0.0301655289566382
"MED4",9,0,0.0012488326225556,0.0301655289566382
"NCOA5",9,0,0.00129836373731163,0.0311799967200093
"ARF4",8,1,0.00130035733341927,0.0311799967200093
"WDR46",9,0,0.00130856210810693,0.031262217371051
"DHX15",9,0,0.00132196934924778,0.0314676776733672
"CLTCL1",7,2,0.00137486251851771,0.0324923853001673
"CHRD",9,0,0.00137494511581826,0.0324923853001673
"RTP1",9,0,0.00139222753792412,0.0327824513066593
"GSTM3",9,0,0.00142256897158,0.0333768332901888
"CA7",9,0,0.00148151153870513,0.0345167790388012
"DDX46",9,0,0.00148299955919395,0.0345167790388012
"DLST",9,0,0.00148697398242315,0.0345167790388012
"PTBP1",9,0,0.00149645045500779,0.0346075766102136
"RAD23A",9,0,0.00150145917465638,0.0346075766102136
"TNFAIP6",8,1,0.00153125219794747,0.035170445220225
"TOP2A",9,0,0.00155545622919162,0.0356014562107984
"SHC2",9,0,0.00156271282360709,0.0356429203600419
"STK11",9,0,0.00157626759679519,0.035827248918824
"NDST3",7,2,0.00158382799882961,0.0358745262295454
"GPN3",9,0,0.00165430066096206,0.0373415590574402
"ASPN",8,1,0.0016615002193171,0.0373751905005146
"DYRK3",6,3,0.00170708076579129,0.0382690092221568
"CD7",8,1,0.00172062006010354,0.0384408836636101
"RBM14",9,0,0.00178055688313883,0.0396446440715197
"IFT140",9,0,0.00187275044395596,0.0415560149360533
"FKBP15",7,2,0.00188391788741005,0.0416390978213892
"OGDH",8,1,0.00189497793059834,0.0416390978213892
"CTNNBL1",8,1,0.00190297908589743,0.0416390978213892
"CHST1",9,0,0.00190521212804562,0.0416390978213892
"FEN1",9,0,0.00190829962517824,0.0416390978213892
"ATP2B4",6,3,0.00191658287153962,0.0416809019172703
"WDR82",8,1,0.00196460761981743,0.0425838459580295
"MED6",9,0,0.0019849931580691,0.0428115417693404
"MED23",9,0,0.00198819259057126,0.0428115417693404
"MIOS",8,1,0.00200338105988263,0.0429971554688252
"CDKL2",9,0,0.00201978465722941,0.0432075502164174
"SDC2",9,0,0.00204130560465643,0.0433982977710548
"ACLY",9,0,0.00204196084837838,0.0433982977710548
"ZCCHC3",9,0,0.0020504956377243,0.0434386551603342
"PWP2",8,1,0.0020937630842528,0.0442121714500607
"ILF2",7,2,0.00210474692286311,0.044249307250521
"PANK3",8,1,0.00210904122550604,0.044249307250521
"CDC23",8,1,0.00215025280716985,0.0449698238841337
