"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"NCKAP1","NCKAP1",2,0.112429052995601,7,"0.0429777648746074",1,NA,NA
"KIAA2026","KIAA2026",2,0.184699256170584,7,"0.974037484080163",1,NA,NA
"CACNA1F","CACNA1F",2,0.228612749485704,7,"0.512464999268863",1,NA,NA
"RAB3C","RAB3C",2,0.281485389486333,7,"0.68939376791931",1,NA,NA
"ELAVL2","ELAVL2",3,0.581634901012418,6,"0.727326994919348",1,NA,NA
"TTN","TTN",2,0.617907856662561,7,"0.974162824726611",1,NA,NA
"ZMYM5","ZMYM5",2,0.619551850977892,7,"0.897517109836377",1,NA,NA
"DMXL1","DMXL1",3,0.685199368437973,6,"0.02922960858429",1,NA,NA
"UNC5C","UNC5C",5,0.786206411632946,4,"0.488548902763451",1,NA,NA
"COL25A1","COL25A1",2,0.998001258581372,7,"0.965031630365413",1,NA,NA
"MCPH1","MCPH1",1,0.0106683642315959,8,"0.0219248943033293",1,NA,NA
"DACH2","DACH2",1,0.0171007454648451,8,"0.187784870689634",1,NA,NA
"WDR70","WDR70",1,0.0249451128224663,8,"1.20075870124747e-06",1,NA,NA
"APAF1","APAF1",1,0.0262002115996857,8,"0.0858407988513207",1,NA,NA
"FBXW7","FBXW7",1,0.0276121977240574,8,"0.43968202904356",1,NA,NA
"SREK1IP1","SREK1IP1",1,0.0331032548743921,8,"0.722562913432939",1,NA,NA
"ANK3","ANK3",1,0.0395356361076414,8,"0.977332152254636",1,NA,NA
"NCK1","NCK1",1,0.0406338475377084,8,"0.00833934005757175",1,NA,NA
"WDR7","WDR7",1,0.046438679382348,8,"0.102465526404972",1,NA,NA
"KIF15","KIF15",1,0.0482428838746009,8,"0.128594099037133",1,NA,NA
"CLNK","CLNK",1,0.0487919895896343,8,"0.749524697052935",1,NA,NA
"CD2AP","CD2AP",1,0.0490273206103631,8,"0.194898639531251",1,NA,NA
"COL18A1","COL18A1",1,0.0557734765379172,8,"0.145413284185467",1,NA,NA
"KDM5B","KDM5B",1,0.0596956602167277,8,"0.0361123224555455",1,NA,NA
"C2","C2",1,0.0728741973775311,8,"0.267102141095649",1,NA,NA
"PVRL3","PVRL3",1,0.0809538957558809,8,"0.00540069899878703",1,NA,NA
"ABCA7","ABCA7",1,0.0810323394294571,8,"0.558830032141612",1,NA,NA
"ARAP2","ARAP2",1,0.0826796565745574,8,"0.92248746317989",1,NA,NA
"RXFP2","RXFP2",1,0.0895042561756879,8,"0.797643972114332",1,NA,NA
"CDC42","CDC42",1,0.0942893202638367,8,"0.154973364168374",1,NA,NA
"GPR158","GPR158",1,0.0964857431239706,8,"0.00290313762911598",1,NA,NA
"ZNF239","ZNF239",1,0.104251666808015,8,"0.223405998704939",1,NA,NA
"NEK4","NEK4",1,0.122842817445577,8,"0.0184112865892362",1,NA,NA
"PKN2","PKN2",1,0.13107940317108,8,"0.105305256706113",1,NA,NA
"RBL2","RBL2",1,0.140492644000225,8,"0.00268283200325881",1,NA,NA
"HNRNPD","HNRNPD",1,0.142924397881088,8,"0.000270943840818938",1,NA,NA
"KIAA1377","KIAA1377",1,0.142924397881088,8,"0.480115866378917",1,NA,NA
"DCLRE1C","DCLRE1C",1,0.143159728901816,8,"0.00016553523638152",1,NA,NA
"PHF11","PHF11",1,0.149592110135066,8,"0.0604789642083197",1,NA,NA
"LOXL2","LOXL2",1,0.152102307689504,8,"0.682019295991625",1,NA,NA
"ELF2","ELF2",1,0.158142470554873,8,"0.164209846357019",1,NA,NA
"NPHS1","NPHS1",1,0.167634155057594,8,"0.256070393760903",1,NA,NA
"TBC1D19","TBC1D19",1,0.183322889772836,8,"0.0179471452707329",1,NA,NA
"NUMA1","NUMA1",1,0.198070300405164,8,"0.00517553609727328",1,NA,NA
"TRIP12","TRIP12",1,0.22505492411538,8,"0.00200388309054611",1,NA,NA
"WDFY3","WDFY3",1,0.235801707395321,8,"0.0931923171880022",1,NA,NA
"DHX16","DHX16",1,0.237527468213998,8,"0.14989783238209",1,NA,NA
"BDP1","BDP1",1,0.239488560053403,8,"0.914663515591689",1,NA,NA
"SP140","SP140",1,0.245293391898043,8,"0.987480353842212",1,NA,NA
"FPR1","FPR1",1,0.259883915183218,8,"0.747707088482169",1,NA,NA
"DHX33","DHX33",1,0.260119246203947,8,"0.997134133211787",1,NA,NA
"CACNA1H","CACNA1H",1,0.261217457634014,8,"0.274266351069853",1,NA,NA
"ARID1B","ARID1B",1,0.270709142136735,8,"0.104757663854894",1,NA,NA
"XDH","XDH",1,0.291496715634431,8,"0.802005001722347",1,NA,NA
"CRIM1","CRIM1",1,0.294163800536022,8,"0.0300455147647242",1,NA,NA
"IQGAP3","IQGAP3",1,0.294556018903903,8,"0.318352129919416",1,NA,NA
"STC2","STC2",1,0.296360223396156,8,"0.0788724130419605",1,NA,NA
"PHOX2B","PHOX2B",1,0.324913720577897,8,"0.90649875185795",1,NA,NA
"ITGAX","ITGAX",1,0.330404777728232,8,"0.912198370547042",1,NA,NA
"SATB1","SATB1",1,0.336288053246448,8,"0.744907150142738",1,NA,NA
"MYLK","MYLK",1,0.341857554070359,8,"0.11045121568613",1,NA,NA
"PSENEN","PSENEN",1,0.348054604282879,8,"0.948874611825709",1,NA,NA
"COL28A1","COL28A1",1,0.349545034080827,8,"0.299771978250215",1,NA,NA
"ISL2","ISL2",1,0.366724198594018,8,"0.0558149157059854",1,NA,NA
"ZHX2","ZHX2",1,0.366724198594018,8,"0.359257384969332",1,NA,NA
"RASL11B","RASL11B",1,0.371587706355743,8,"0.210360111950626",1,NA,NA
"PIP4K2B","PIP4K2B",1,0.393944153324963,8,"0.0767189771834575",1,NA,NA
"SALL2","SALL2",1,0.424929404387566,8,"0.057813593393076",1,NA,NA
"STK31","STK31",1,0.443520555025128,8,"0.920114527303113",1,NA,NA
"CREBBP","CREBBP",1,0.46148415627408,8,"0.0277236970289889",1,NA,NA
"LMO1","LMO1",1,0.464151241175672,8,"0.0189754026790728",1,NA,NA
"SEZ6","SEZ6",1,0.505569500823911,8,"0.0226788422851485",1,NA,NA
"TOP3A","TOP3A",1,0.505569500823911,8,"0.372939982835655",1,NA,NA
"ZNF189","ZNF189",1,0.505961719191792,8,"0.999204968632621",1,NA,NA
"WDR60","WDR60",1,0.517414495533919,8,"0.656760048108247",1,NA,NA
"SDHD","SDHD",1,0.523533102072863,8,"0.69087997108533",1,NA,NA
"FLOT2","FLOT2",1,0.531299025756908,8,"0.635715211553197",1,NA,NA
"RASGRP1","RASGRP1",1,0.540712266586054,8,"0.359222062631252",1,NA,NA
"PTK2B","PTK2B",1,0.54306557679334,8,"0.999324573332922",1,NA,NA
"USP44","USP44",1,0.551929711907452,8,"0.0162897741456606",1,NA,NA
"PLXNB3","PLXNB3",1,0.553890803746857,8,"0.317036051849875",1,NA,NA
"CENPE","CENPE",1,0.559852522938649,8,"0.339181116985892",1,NA,NA
"TWIST1","TWIST1",1,0.568167552337727,8,"0.0803809248917563",1,NA,NA
"DSP","DSP",1,0.572717285405148,8,"0.0172138473305301",1,NA,NA
"PILRB","PILRB",1,0.573344834793757,8,"0.0923505282426843",1,NA,NA
"UPK1B","UPK1B",1,0.58158142051926,8,"0.996990694640105",1,NA,NA
"USP22","USP22",1,0.610919354436762,8,"0.591601319402597",1,NA,NA
"COL27A1","COL27A1",1,0.615625974851335,8,"0.966320993133579",1,NA,NA
"GRB14","GRB14",1,0.618293059752926,8,"0.96953900505652",1,NA,NA
"ESPNL","ESPNL",1,0.621273919348822,8,"0.999981359097953",1,NA,NA
"NADSYN1","NADSYN1",1,0.624333222618294,8,"0.84660157488069",1,NA,NA
"COL20A1","COL20A1",1,0.625823652416242,8,"0.838577630272405",1,NA,NA
"WDR35","WDR35",1,0.625823652416242,8,"0.936174949869468",1,NA,NA
"VRK2","VRK2",1,0.628726068338562,8,"0.670698601326996",1,NA,NA
"TDRD1","TDRD1",1,0.628961399359291,8,"0.642542571667325",1,NA,NA
"ZWINT","ZWINT",1,0.643708809991619,8,"0.463049531377179",1,NA,NA
"SLC10A3","SLC10A3",1,0.644257915706652,8,"0.67826324306802",1,NA,NA
"PAPPA","PAPPA",1,0.649435198162682,8,"0.21946901370457",1,NA,NA
"DLX6","DLX6",1,0.691010345158074,8,"0.0953700968086147",1,NA,NA
"NEK3","NEK3",1,0.691010345158074,8,"0.500338428381188",1,NA,NA
"SORL1","SORL1",1,0.698776268842119,8,"0.984812752755207",1,NA,NA
"BCAS3","BCAS3",1,0.702855339868082,8,"0.988350745931752",1,NA,NA
"BRAP","BRAP",1,0.704737988033911,8,"0.0506993955234986",1,NA,NA
"FANCC","FANCC",1,0.715014109272394,8,"0.924054622612287",1,NA,NA
"ELOVL2","ELOVL2",1,0.721289603158491,8,"0.79350066869579",1,NA,NA
"PHF3","PHF3",1,0.724113575407235,8,"0.128128273550046",1,NA,NA
"DGKD","DGKD",1,0.727565097044588,8,"0.122665503515544",1,NA,NA
"TBX4","TBX4",1,0.728192646433198,8,"0.99937173098438",1,NA,NA
"ADAMTSL3","ADAMTSL3",1,0.72834953378035,8,"0.267383205180933",1,NA,NA
"RICTOR","RICTOR",1,0.734075921951414,8,"0.975123203568107",1,NA,NA
"NPEPPS","NPEPPS",1,0.739488535428172,8,"0.959373923492759",1,NA,NA
"SIK2","SIK2",1,0.745528698293541,8,"0.91484637316145",1,NA,NA
"FASN","FASN",1,0.748901776257318,8,"0.946109323980949",1,NA,NA
"GABRA1","GABRA1",1,0.755491044837719,8,"0.968257965510326",1,NA,NA
"KBTBD11","KBTBD11",1,0.776278618335415,8,"0.993171615952218",1,NA,NA
"TLN2","TLN2",1,0.780514576708531,8,"0.990433337302777",1,NA,NA
"PLA2G6","PLA2G6",1,0.791888909377081,8,"0.98591302206874",1,NA,NA
"SLIRP","SLIRP",1,0.796909304485959,8,"0.4229300550312",1,NA,NA
"PDE1B","PDE1B",1,0.814716018387759,8,"0.997961429364431",1,NA,NA
"KALRN","KALRN",1,0.829777203714391,8,"0.104071574967359",1,NA,NA
"SREBF1","SREBF1",1,0.849231234761291,8,"0.153899468537541",1,NA,NA
"GSK3A","GSK3A",1,0.850878551906392,8,"0.0600304076440843",1,NA,NA
"MLLT3","MLLT3",1,0.859272024979046,8,"0.877589714846003",1,NA,NA
"TET1","TET1",1,0.86374331437289,8,"0.576146617726824",1,NA,NA
"DLX2","DLX2",1,0.868999040502497,8,"0.503233837458405",1,NA,NA
"ATR","ATR",1,0.87245056213985,8,"0.823921290768716",1,NA,NA
"TAOK2","TAOK2",1,0.881079366233233,8,"0.996844334186252",1,NA,NA
"ACAP3","ACAP3",1,0.883903338481977,8,"0.976222643931651",1,NA,NA
"ANKRD11","ANKRD11",1,0.887119529098601,8,"0.634259401431215",1,NA,NA
"RB1","RB1",1,0.887747078487211,8,"0.95746280583423",1,NA,NA
"ENTPD5","ENTPD5",1,0.89025727604165,8,"0.077768875921322",1,NA,NA
"QRFPR","QRFPR",1,0.890414163388802,8,"0.952650921831375",1,NA,NA
"TICAM1","TICAM1",1,0.894963896456222,8,"0.999852099694573",1,NA,NA
"ERMAP","ERMAP",1,0.89645432625417,8,"0.93687453851926",1,NA,NA
"ASH1L","ASH1L",1,0.89770942503139,8,"0.776622462253912",1,NA,NA
"PPME1","PPME1",1,0.904847799326825,8,"0.0145480121970776",1,NA,NA
"VLDLR","VLDLR",1,0.919752097306305,8,"0.764934700582478",1,NA,NA
"LRP2","LRP2",1,0.921634745472134,8,"0.929655855418634",1,NA,NA
