"","#wt","#mut","pvalue","p_adj"
"KRAS",351,32,8.95895858221026e-08,0.000542375352567009
"CDK4",369,14,1.06414086365718e-05,0.0322115439429028
"TLK2",362,21,8.24281165029894e-05,0.166339939103033
"IL6",351,32,0.000129077012208136,0.167515479279924
"HAS2",333,50,0.00013835107307559,0.167515479279924
"YAP1",366,17,0.000184298202373338,0.185956886194698
"MITF",372,11,0.000218080757646413,0.188608700970198
"ITGA4",376,7,0.000322012564127412,0.243683007903419
"ERBB2",362,21,0.000406231960530994,0.273258698783849
"NTSR1",342,41,0.000515265137066067,0.292206830777818
"BRAF",366,17,0.000552434590362372,0.292206830777818
"RAB22A",339,44,0.000579200853870799,0.292206830777818
"THRA",368,15,0.000952646575416102,0.443640182120699
"NRAS",362,21,0.0013332399474004,0.483000649333416
"LY9",362,21,0.00137294974208977,0.483000649333416
"RUNX1",380,3,0.00139647363997604,0.483000649333416
"NPY1R",376,7,0.0014639950356539,0.483000649333416
"PPM1D",365,18,0.00147826011946163,0.483000649333416
"CLEC2D",373,10,0.00151585932232159,0.483000649333416
"RNFT1",367,16,0.00172940005393992,0.500335073065591
"SOX10",380,3,0.00173555278070324,0.500335073065591
"FOXA1",366,17,0.00194274305040964,0.534607564871816
"TNS3",352,31,0.00204953035482677,0.539472033396577
"CACNA1E",369,14,0.0022337622685514,0.563466532242091
"MC2R",378,5,0.0034553851005078,0.784545192371073
"LY6K",343,40,0.00362104448632697,0.784545192371073
"FOXC1",374,9,0.00375352605228925,0.784545192371073
"C20orf151",339,44,0.00383991968344113,0.784545192371073
"UBE2MP1",374,9,0.00385272058645792,0.784545192371073
"OR2T12",363,20,0.00413904159109901,0.784545192371073
"OR2T33",363,20,0.00413904159109901,0.784545192371073
"TAX1BP1",357,26,0.00420936384875841,0.784545192371073
"PMEPA1",339,44,0.00427650996832597,0.784545192371073
"DUSP23",363,20,0.00458828863675231,0.800801559995727
"ABCA1",378,5,0.00472754141516496,0.800801559995727
"AQP4",378,5,0.00497930423263824,0.800801559995727
"EGFR",334,49,0.00500949054132726,0.800801559995727
"CCNE1",363,20,0.00508984681498024,0.800801559995727
"AHCY",363,20,0.00525555130145419,0.800801559995727
"PROX1",371,12,0.00530730658666241,0.800801559995727
"FOXQ1",374,9,0.00556340239242943,0.800801559995727
"BTNL9",359,24,0.00564443653634007,0.800801559995727
"PARD6A",377,6,0.00568788686485237,0.800801559995727
"TLE3",377,6,0.00598344267811516,0.818509005559397
"VLDLR",372,11,0.00608916176771762,0.818509005559397
"APCDD1L",339,44,0.00621926234815531,0.818509005559397
"ARHGAP11B",373,10,0.00652833983806984,0.825477695569092
"HEY2",375,8,0.00656538775647031,0.825477695569092
"MDM4",373,10,0.00668126975270656,0.825477695569092
"IRX2",357,26,0.0069214240172272,0.828051790694716
"DYRK1A",377,6,0.00708364476026395,0.828051790694716
"UBD",377,6,0.00719561439521107,0.828051790694716
"GJC2",367,16,0.00729650797582514,0.828051790694716
"TRPS1",342,41,0.00738599218657328,0.828051790694716
"NR1H3",376,7,0.0076258811932246,0.835803122050971
"KIF5A",369,14,0.00818200696006031,0.835803122050971
"KIRREL",363,20,0.00825088164310478,0.835803122050971
"WIF1",378,5,0.00839782162544116,0.835803122050971
"PPME1",369,14,0.0084869000038338,0.835803122050971
"FLI1",376,7,0.0090266453099339,0.835803122050971
"LGR4",375,8,0.00905303918374557,0.835803122050971
"METTL1",370,13,0.00907985972773723,0.835803122050971
"ANKRD20A4",372,11,0.0092040557224672,0.835803122050971
"PIK3CG",366,17,0.00921991984310491,0.835803122050971
"IGSF21",381,2,0.00925347345318018,0.835803122050971
"PTPN14",371,12,0.00931476947100221,0.835803122050971
"SLC35B3",374,9,0.0093388360794402,0.835803122050971
"HSD17B7",366,17,0.0097183220638258,0.835803122050971
"HSD11B1",373,10,0.00974826206106338,0.835803122050971
"TSSK1B",376,7,0.00999149676498236,0.835803122050971
"NAPRT1",337,46,0.0100660467325232,0.835803122050971
"GPR39",381,2,0.0100692091135232,0.835803122050971
"SPSB1",377,6,0.0101796897439167,0.835803122050971
"KCNMB3",356,27,0.0102162918783898,0.835803122050971
"OR52I2",378,5,0.010877978046081,0.841942885372979
"OR52I1",378,5,0.010877978046081,0.841942885372979
"ITCH",364,19,0.01116504829129,0.841942885372979
"KHSRP",381,2,0.0114638588090943,0.841942885372979
"IL6R",360,23,0.0118365376093715,0.841942885372979
"FOXK1",351,32,0.0119477809722193,0.841942885372979
"DCLRE1C",380,3,0.012013914135188,0.841942885372979
"PDGFRA",369,14,0.0121124285348755,0.841942885372979
"FOXL2",368,15,0.0121339123789007,0.841942885372979
"SERPINF1",379,4,0.0123812967038141,0.841942885372979
"OR2T8",361,22,0.0123819439145653,0.841942885372979
"SAMD8",376,7,0.0125366935200209,0.841942885372979
"BCL6",356,27,0.012539725420886,0.841942885372979
"BATF",375,8,0.0125829864963169,0.841942885372979
"PRKAA1",343,40,0.012605896195232,0.841942885372979
"TBC1D2B",379,4,0.0126505965829346,0.841942885372979
"SDK1",351,32,0.0128247821654568,0.841942885372979
"NCAN",374,9,0.0128927459649657,0.841942885372979
"TBX18",378,5,0.0130263303871659,0.841942885372979
"HNF1B",371,12,0.0130727834861348,0.841942885372979
"DLL3",370,13,0.013435846781194,0.84639001941838
"GNAS",341,42,0.0135236230589968,0.84639001941838
"SUCLA2",380,3,0.0137042950502171,0.84639001941838
"MAFG",359,24,0.0138238553683541,0.84639001941838
"HAPLN2",364,19,0.0139937595723317,0.84639001941838
"MAP2K3",370,13,0.0140453777841908,0.84639001941838
"EPHA2",378,5,0.014120480997895,0.84639001941838
"ITGB1",378,5,0.0147215529542723,0.857735634019896
"COL18A1",373,10,0.0148614393683743,0.857735634019896
"ANKRD28",379,4,0.0153186359389113,0.857735634019896
"MDH1B",380,3,0.0155533847649542,0.857735634019896
"GTPBP8",374,9,0.0157231007293117,0.857735634019896
"C1QL4",379,4,0.0158496145642041,0.857735634019896
"TTC8",372,11,0.0161063682827021,0.857735634019896
"SYDE2",370,13,0.0161685864671395,0.857735634019896
"SMAD4",381,2,0.0164052929898278,0.857735634019896
"ABCG8",381,2,0.016724457781098,0.857735634019896
"KCNA3",371,12,0.0168092198987977,0.857735634019896
"HMGB1",374,9,0.0168925806568961,0.857735634019896
"ATG4D",378,5,0.0169690641561548,0.857735634019896
"SLC16A6",363,20,0.0170310181966846,0.857735634019896
"CALM3",381,2,0.01718653766116,0.857735634019896
"LAMP1",362,21,0.0175684449739425,0.857735634019896
"PDE7A",368,15,0.0176249084742198,0.857735634019896
"RELA",367,16,0.0176278440989329,0.857735634019896
"PSIP1",375,8,0.0176606027777069,0.857735634019896
"KLHL28",374,9,0.0179063077258054,0.857735634019896
"ERN2",380,3,0.0182034453426837,0.857735634019896
"IQGAP2",381,2,0.0183564690402495,0.857735634019896
"BTN3A3",376,7,0.0183878796638,0.857735634019896
"LRP5",356,27,0.0185583679644489,0.857735634019896
"NCF1",375,8,0.0187603532473211,0.857735634019896
"MAPK1",365,18,0.0188332034795763,0.857735634019896
"PPP1CA",356,27,0.0190794402205267,0.857735634019896
"DKK4",370,13,0.0190842308303899,0.857735634019896
"KAT6A",370,13,0.019104242770115,0.857735634019896
"LEP",367,16,0.0192349247607391,0.857735634019896
"MTMR9LP",381,2,0.0192801046157258,0.857735634019896
"MYCN",373,10,0.019389842804323,0.857735634019896
"MCM10",381,2,0.0196755313199833,0.857735634019896
"NCF1C",375,8,0.0197619981004528,0.857735634019896
"PATZ1",381,2,0.0199429694710775,0.857735634019896
"ARID3B",378,5,0.0203532687444324,0.857735634019896
"TAOK3",379,4,0.0204548997384726,0.857735634019896
"MYOC",367,16,0.0205192640342516,0.857735634019896
"POLE",376,7,0.0207784259588274,0.857735634019896
"PARP2",371,12,0.0209167081685022,0.857735634019896
"AGAP2",369,14,0.0209529747558889,0.857735634019896
"WRAP53",381,2,0.0213438136587088,0.857735634019896
"TCF7",379,4,0.021394240109792,0.857735634019896
"PIM3",377,6,0.0214962999892644,0.857735634019896
"MAP4K2",374,9,0.021581455158156,0.857735634019896
"STAG3L2",376,7,0.0217484408174105,0.857735634019896
"DUSP15",358,25,0.02191851987532,0.857735634019896
"KCTD8",379,4,0.0221064159080208,0.857735634019896
"SLC4A7",381,2,0.0221285307978049,0.857735634019896
"TMEM189-UBE2V1",352,31,0.0221626208630484,0.857735634019896
"CORO2B",377,6,0.0225324915980597,0.857735634019896
"IREB2",378,5,0.0226400125146717,0.857735634019896
"ECHDC1",378,5,0.0231174978091902,0.857735634019896
"RAB40B",359,24,0.023179952616898,0.857735634019896
"PKD1L2",375,8,0.0233725340928024,0.857735634019896
"RPS6KA4",376,7,0.0235730618894629,0.857735634019896
"MFSD2A",378,5,0.0237101085299465,0.857735634019896
"ASPN",373,10,0.0237403458218718,0.857735634019896
"WASL",365,18,0.0238697209923554,0.857735634019896
"FANCD2",378,5,0.0240529993135027,0.857735634019896
"GPR171",365,18,0.0241040688031055,0.857735634019896
"CYP4F22",378,5,0.0242877620690206,0.857735634019896
"FKBP1B",378,5,0.0243075479814998,0.857735634019896
"ATAD3B",372,11,0.0243228105749998,0.857735634019896
"EPB41L1",367,16,0.0244771528972344,0.857735634019896
"CCDC144C",371,12,0.0245912501585001,0.857735634019896
"WDR91",363,20,0.0247128842499838,0.857735634019896
"SAMD4B",369,14,0.0254679938127595,0.857735634019896
"OPN5",380,3,0.0255273631745837,0.857735634019896
"DRAP1",366,17,0.0257135407865499,0.857735634019896
"CDKN1B",373,10,0.0261817739834331,0.857735634019896
"TDRD5",370,13,0.0269153171705837,0.857735634019896
"ASH1L",363,20,0.0270974524231005,0.857735634019896
"FARP2",378,5,0.0277036784113879,0.857735634019896
"WDFY2",377,6,0.0277718447450529,0.857735634019896
"MAPK6",377,6,0.0279663503225389,0.857735634019896
"PLEKHH1",378,5,0.0279736117722587,0.857735634019896
"MCM8",372,11,0.0279943429667472,0.857735634019896
"DRAM2",371,12,0.028145903555945,0.857735634019896
"TFAP2A",373,10,0.028468364576062,0.857735634019896
"SATB2",380,3,0.0286350752509682,0.857735634019896
"CCR7",370,13,0.0289155994567664,0.857735634019896
"VAT1L",372,11,0.0291156516101319,0.857735634019896
"ARHGAP18",379,4,0.0291182772106872,0.857735634019896
"RBBP5",371,12,0.0293367848514956,0.857735634019896
"ABCA6",363,20,0.0293712980396952,0.857735634019896
"LINGO1",378,5,0.029496455066931,0.857735634019896
"XPR1",369,14,0.029589192490717,0.857735634019896
"BAI1",344,39,0.0297762094843851,0.857735634019896
"RAB32",376,7,0.0301183025161961,0.857735634019896
"MBOAT1",372,11,0.0301750745692258,0.857735634019896
"TNFRSF1A",371,12,0.0302296734920855,0.857735634019896
"RNF182",372,11,0.0306739468259636,0.857735634019896
"PLEKHG6",371,12,0.0307346659448436,0.857735634019896
"NRBP2",332,51,0.0307933613722377,0.857735634019896
"C17orf82",366,17,0.0308683842142051,0.857735634019896
"TMEM128",379,4,0.0309252553908167,0.857735634019896
"CD74",376,7,0.0310222239274354,0.857735634019896
"PLXNA2",373,10,0.0310530445314828,0.857735634019896
"COL25A1",382,1,0.0312187693118502,0.857735634019896
"LOC407835",366,17,0.0313209277081338,0.857735634019896
"OSBPL2",340,43,0.0315178115058149,0.857735634019896
"CLCN2",359,24,0.0316981420361279,0.857735634019896
"COL1A1",364,19,0.0317350720604979,0.857735634019896
"NFE2L1",369,14,0.0318496335267411,0.857735634019896
"MAP2K1",376,7,0.0318579679331382,0.857735634019896
"BHMT",379,4,0.0320122324779068,0.857735634019896
"PTGER4",342,41,0.0320530874219163,0.857735634019896
"CD4",373,10,0.0321356597740211,0.857735634019896
"SCMH1",378,5,0.0325415591424736,0.857735634019896
"LPHN3",375,8,0.0325451752393956,0.857735634019896
"CDC25C",380,3,0.032967700840892,0.857735634019896
"TRA2A",351,32,0.0330745431398886,0.857735634019896
"RAB18",380,3,0.0330879034628001,0.857735634019896
"MAP2K6",364,19,0.0332989072204561,0.857735634019896
"PARP4",381,2,0.0334007504310124,0.857735634019896
"STARD7",379,4,0.0334396658003024,0.857735634019896
"PRKRA",375,8,0.0334621774754833,0.857735634019896
"SDC2",359,24,0.0334845433426024,0.857735634019896
"ACADVL",381,2,0.0335340042100457,0.857735634019896
"STRADA",368,15,0.0336320488957364,0.857735634019896
"ANKLE2",376,7,0.033846829248264,0.857735634019896
"RBM23",379,4,0.0339508712030066,0.857735634019896
"PRKAG1",378,5,0.0341146860145105,0.857735634019896
"MN1",381,2,0.0342666258275311,0.857735634019896
"GJA10",379,4,0.0345315718337446,0.857735634019896
"RSPO3",377,6,0.0346553298215973,0.857735634019896
"PGAP3",362,21,0.0346666511379555,0.857735634019896
"NBN",353,30,0.0347015821089743,0.857735634019896
"ARL10",375,8,0.0351252618861297,0.857735634019896
"GNB5",377,6,0.0351385965122294,0.857735634019896
"TGIF2",370,13,0.0351406223535892,0.857735634019896
"ELF1",379,4,0.0351657323351677,0.857735634019896
"LDHAL6A",379,4,0.0354527072007701,0.857735634019896
"FNIP1",380,3,0.0355985263723923,0.857735634019896
"ENPP3",376,7,0.0356476097917963,0.857735634019896
"NUDT1",352,31,0.0358287427486374,0.857735634019896
"CDK7",380,3,0.035834240388582,0.857735634019896
"MEOX2",338,45,0.0359182727539217,0.857735634019896
"FCGR3A",349,34,0.0359654480420564,0.857735634019896
"PAX8",376,7,0.0360446598972973,0.857735634019896
"PIK3CD",378,5,0.0361928671485906,0.857735634019896
