"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"KRAS","KRAS",81,3.72033177727305e-32,302,"1",2.22029400467656e-28
"TP53","TP53",190,1.71176570687813e-17,193,"0.999995718760427",1.02141059729418e-13
"BRAF","BRAF",67,8.51658597482871e-15,316,"0.999985711055046",5.08099519258281e-11
"CTNNB1","CTNNB1",25,3.75053360568047e-12,358,"0.950192934861589",2.2371932957884e-08
"NRAS","NRAS",26,9.64583269992352e-10,357,"0.9998261067613",5.75277462223439e-06
"PIK3CA","PIK3CA",55,1.86568607442623e-09,328,"0.999408441173591",1.11250860618036e-05
"RRAS2","RRAS2",3,2.58706737695008e-06,380,"0.449410629469721",0.0154240957013764
"DDX27","DDX27",10,9.72071816792978e-06,373,"0.999269958779198",0.0579452009990294
"RBM39","RBM39",10,3.05689675374411e-05,373,"0.712456644592475",0.182191046523149
"WDR82","WDR82",2,7.487529464644e-05,381,"0.999097755887465",0.446181880798136
"SCAP","SCAP",20,7.91508319969109e-05,363,"0.411736127750291",0.471580657037595
"ATP5B","ATP5B",3,9.36636131126429e-05,380,"0.871470911789176",0.557954143312014
"ANKRD29","ANKRD29",9,0.000184608150941713,374,"0.872651698767517",1
"MMS22L","MMS22L",17,0.00023178612035116,366,"0.843910246533187",1
"RNF20","RNF20",15,0.000247095845995008,368,"0.773481603047063",1
"MED8","MED8",3,0.000298425673537359,380,"0.793166959953158",1
"TOP2A","TOP2A",9,0.000323164992905788,374,"0.915582654216873",1
"SLC2A2","SLC2A2",9,0.000335955144711706,374,"0.847088038947429",1
"CCNK","CCNK",9,0.000443462715396498,374,"0.569883327215443",1
"PDE5A","PDE5A",13,0.000578891798243861,370,"0.393918151353761",1
"UBE2D3","UBE2D3",2,0.00061475506870064,381,"0.998204398185739",1
"FCGRT","FCGRT",7,0.000644892860110463,376,"0.908322538421676",1
"PPIL2","PPIL2",6,0.000768657686520242,377,"0.533860598185222",1
"KIF2B","KIF2B",37,0.000827907805811119,346,"0.255516972883661",1
"DLX5","DLX5",7,0.00110845387713996,376,"0.813027431061769",1
"KCTD9","KCTD9",6,0.00112168207967857,377,"0.869508750952299",1
"GLDC","GLDC",18,0.0013060703802785,365,"0.226819767417108",1
"SOX3","SOX3",13,0.00135181826272328,370,"0.493159871725641",1
"SKIV2L2","SKIV2L2",10,0.00139673034701434,373,"0.984084642242596",1
"COPS8","COPS8",2,0.00144788769861303,381,"0.985394297357325",1
"SREBF1","SREBF1",15,0.00150905481793541,368,"0.293261940212149",1
"LAMA5","LAMA5",71,0.00170838127714865,312,"0.537937354434951",1
"PRRX1","PRRX1",10,0.00183088758897846,373,"0.436933992402134",1
"SORD","SORD",7,0.00189763600726425,376,"0.913264260278866",1
"TTK","TTK",14,0.00190824586899283,369,"0.953018459048373",1
"UBA3","UBA3",7,0.00198279523217283,376,"0.701132169425207",1
"FPR1","FPR1",14,0.00201824170221986,369,"0.357529045854603",1
"IDO2","IDO2",8,0.00212378591600387,375,"0.254726934508148",1
"BCL2L10","BCL2L10",3,0.00221806926000232,380,"0.28767550270821",1
"ARSG","ARSG",20,0.00229045299447873,363,"0.53217511883457",1
"ABCA1","ABCA1",38,0.00242615659084621,345,"0.3151673729998",1
"APC","APC",47,0.00250237313812693,336,"0.800570056852302",1
"MYC","MYC",6,0.00251060382952012,377,"0.940498442899494",1
"MLLT11","MLLT11",1,0.00258866585324603,382,"0.161987260575844",1
"SLC38A6","SLC38A6",10,0.00270135009590713,373,"0.511497655324562",1
"WDR70","WDR70",9,0.0027298835662091,374,"0.982658723249595",1
"SERPINA1","SERPINA1",6,0.00273017311264564,377,"0.138263581353901",1
"RNPC3","RNPC3",9,0.00281318177269757,374,"0.705514144856405",1
"CCNI","CCNI",4,0.00285634263258848,379,"0.533389095420259",1
"MDM2","MDM2",9,0.00308021603134526,374,"0.999613980670669",1
"PKD1","PKD1",76,0.00316738034014127,307,"0.439852314084408",1
"SMAD4","SMAD4",18,0.00327358986331335,365,"0.401303147143107",1
"POLE2","POLE2",14,0.00328693931208582,369,"0.973604665169827",1
"IL1RL1","IL1RL1",22,0.00335416646868431,361,"0.4837154120887",1
"WDR46","WDR46",9,0.00339275572538071,374,"0.997287429286102",1
"RNF40","RNF40",16,0.00343687986326674,367,"0.994028562789508",1
"KLF5","KLF5",7,0.00345364714447599,376,"0.209687157842931",1
"GGA2","GGA2",6,0.00347018908278268,377,"0.361015552238418",1
"PRMT1","PRMT1",5,0.00348620791129358,378,"0.954615189825028",1
"XRCC5","XRCC5",9,0.00349318070531795,374,"0.996858721738666",1
"ITGA1","ITGA1",18,0.00350163387595638,365,"0.114859421327517",1
"BTBD2","BTBD2",8,0.00397965266946573,375,"0.259121787349657",1
"TAF3","TAF3",19,0.00415177126023821,364,"0.973575677603177",1
"NBEAL1","NBEAL1",21,0.00419416106064209,362,"0.487096321042779",1
"AIFM1","AIFM1",4,0.00433007152312678,379,"0.925673541073284",1
"AAMP","AAMP",5,0.00450615587269948,378,"0.980175855274706",1
"SFR1","SFR1",1,0.00454975769265131,382,"0.826186191190267",1
"CD83","CD83",3,0.00462684289189332,380,"0.74179883180204",1
"CTSB","CTSB",7,0.00463102037100835,376,"0.670414837387317",1
"NFE2L2","NFE2L2",16,0.00464864006305968,367,"0.639616924021558",1
"DDX46","DDX46",10,0.0046499452358804,373,"0.605650420606717",1
"ARID3C","ARID3C",8,0.00465083290705425,375,"0.280752448291138",1
"RAB36","RAB36",9,0.00482842838132647,374,"0.804416746937479",1
"SRCAP","SRCAP",47,0.00490997321926304,336,"0.206892381646629",1
